SITE CODE= êÁçŒésñkâh
LAT=  42.8259
LON= 141.6414
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 20
NS, EW, UD
   -0.418,    0.022,   -0.231
   -0.127,    0.024,   -0.680
    0.140,    0.037,   -0.869
    0.282,   -0.034,   -0.785
    0.271,   -0.185,   -0.468
    0.153,   -0.306,    0.045
    0.010,   -0.286,    0.662
   -0.115,   -0.105,    1.156
   -0.236,    0.154,    1.270
   -0.377,    0.363,    0.906
   -0.506,    0.419,    0.237
   -0.515,    0.298,   -0.415
   -0.316,    0.061,   -0.806
    0.043,   -0.164,   -0.896
    0.361,   -0.266,   -0.788
    0.436,   -0.221,   -0.588
    0.239,   -0.112,   -0.335
   -0.051,   -0.052,   -0.039
   -0.205,   -0.070,    0.247
   -0.134,   -0.077,    0.426
    0.070,    0.037,    0.454
    0.259,    0.269,    0.395
    0.357,    0.467,    0.376
    0.389,    0.466,    0.430
    0.393,    0.248,    0.406
    0.376,   -0.023,    0.080
    0.332,   -0.157,   -0.592
    0.278,   -0.099,   -1.308
    0.241,    0.043,   -1.575
    0.196,    0.126,   -1.104
    0.065,    0.102,   -0.091
   -0.209,    0.023,    0.897
   -0.578,   -0.039,    1.355
   -0.890,   -0.071,    1.196
   -1.003,   -0.092,    0.709
   -0.883,   -0.111,    0.235
   -0.613,   -0.107,   -0.095
   -0.312,   -0.063,   -0.340
   -0.053,   -0.000,   -0.563
    0.156,    0.031,   -0.760
    0.347,    0.004,   -0.897
    0.538,   -0.060,   -0.938
    0.722,   -0.099,   -0.791
    0.852,   -0.059,   -0.337
    0.853,    0.055,    0.384
    0.671,    0.187,    1.029
    0.329,    0.269,    1.128
   -0.054,    0.280,    0.507
   -0.336,    0.254,   -0.474
   -0.453,    0.234,   -1.185
   -0.464,    0.219,   -1.245
   -0.484,    0.173,   -0.790
   -0.568,    0.077,   -0.254
   -0.656,   -0.037,    0.046
   -0.640,   -0.114,    0.084
   -0.473,   -0.134,   -0.022
   -0.223,   -0.142,   -0.172
   -0.019,   -0.204,   -0.282
    0.041,   -0.346,   -0.228
   -0.046,   -0.519,    0.083
   -0.210,   -0.638,    0.571
   -0.353,   -0.653,    0.969
   -0.394,   -0.580,    1.040
   -0.288,   -0.476,    0.787
   -0.031,   -0.359,    0.417
    0.318,   -0.193,    0.126
    0.650,    0.059,   -0.048
    0.835,    0.357,   -0.167
    0.803,    0.567,   -0.233
    0.592,    0.568,   -0.169
    0.321,    0.366,    0.059
    0.093,    0.106,    0.374
   -0.083,   -0.060,    0.633
   -0.271,   -0.106,    0.742
   -0.514,   -0.124,    0.652
   -0.753,   -0.184,    0.315
   -0.848,   -0.242,   -0.296
   -0.696,   -0.189,   -1.068
   -0.330,   -0.000,   -1.695
    0.073,    0.198,   -1.844
    0.314,    0.246,   -1.406
    0.294,    0.103,   -0.579
    0.083,   -0.113,    0.282
   -0.140,   -0.252,    0.908
   -0.223,   -0.254,    1.192
   -0.136,   -0.167,    1.130
    0.027,   -0.046,    0.756
    0.157,    0.098,    0.184
    0.226,    0.263,   -0.367
    0.306,    0.391,   -0.663
    0.465,    0.392,   -0.613
    0.664,    0.235,   -0.349
    0.761,   -0.009,   -0.126
    0.640,   -0.228,   -0.110
    0.323,   -0.356,   -0.235
   -0.039,   -0.393,   -0.261
   -0.322,   -0.339,    0.020
   -0.530,   -0.170,    0.571
   -0.746,    0.105,    1.095
   -0.977,    0.372,    1.256
   -1.083,    0.458,    0.945
   -0.901,    0.282,    0.343
   -0.435,   -0.042,   -0.269
    0.092,   -0.283,   -0.701
    0.421,   -0.288,   -0.868
    0.471,   -0.096,   -0.710
    0.375,    0.114,   -0.213
    0.309,    0.194,    0.442
    0.325,    0.113,    0.886
    0.352,   -0.054,    0.812
    0.334,   -0.212,    0.295
    0.311,   -0.281,   -0.259
    0.348,   -0.227,   -0.491
    0.421,   -0.078,   -0.413
    0.432,    0.064,   -0.309
    0.326,    0.086,   -0.367
    0.172,   -0.037,   -0.473
    0.089,   -0.187,   -0.384
    0.104,   -0.187,   -0.030
    0.118,    0.020,    0.406
    0.018,    0.298,    0.681
   -0.185,    0.430,    0.699
   -0.358,    0.321,    0.537
   -0.380,    0.093,    0.326
   -0.270,   -0.049,    0.159
   -0.156,   -0.011,    0.083
   -0.141,    0.116,    0.136
   -0.206,    0.171,    0.293
   -0.234,    0.081,    0.417
   -0.138,   -0.081,    0.293
    0.060,   -0.186,   -0.199
    0.245,   -0.158,   -0.899
    0.301,   -0.021,   -1.383
    0.185,    0.138,   -1.245
   -0.059,    0.237,   -0.435
   -0.333,    0.216,    0.640
   -0.519,    0.078,    1.397
   -0.519,   -0.108,    1.496
   -0.305,   -0.253,    1.040
    0.055,   -0.314,    0.410
    0.396,   -0.322,   -0.093
    0.530,   -0.333,   -0.414
    0.359,   -0.343,   -0.650
   -0.050,   -0.285,   -0.840
   -0.480,   -0.127,   -0.890
   -0.684,    0.060,   -0.681
   -0.547,    0.164,   -0.226
   -0.165,    0.164,    0.314
    0.221,    0.168,    0.726
    0.391,    0.281,    0.849
    0.290,    0.455,    0.613
