SITE CODE= ç]ï ésçÇçªí¨
LAT=  43.1037
LON= 141.5359
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
   -0.259,   -0.045,    0.013
   -0.194,    0.005,    0.049
   -0.123,    0.032,    0.011
   -0.080,    0.024,   -0.085
   -0.066,   -0.003,   -0.164
   -0.059,   -0.026,   -0.178
   -0.044,   -0.031,   -0.159
   -0.019,   -0.015,   -0.164
    0.005,    0.020,   -0.187
    0.026,    0.070,   -0.156
    0.043,    0.121,   -0.036
    0.057,    0.152,    0.108
    0.067,    0.162,    0.169
    0.074,    0.169,    0.092
    0.067,    0.189,   -0.055
    0.031,    0.218,   -0.157
   -0.039,    0.232,   -0.146
   -0.125,    0.222,   -0.050
   -0.183,    0.208,    0.045
   -0.187,    0.208,    0.066
   -0.157,    0.209,   -0.010
   -0.142,    0.176,   -0.146
   -0.163,    0.092,   -0.270
   -0.196,   -0.009,   -0.327
   -0.198,   -0.077,   -0.308
   -0.162,   -0.086,   -0.255
   -0.121,   -0.059,   -0.212
   -0.109,   -0.040,   -0.175
   -0.123,   -0.050,   -0.107
   -0.134,   -0.073,    0.004
   -0.131,   -0.087,    0.107
   -0.133,   -0.082,    0.120
   -0.157,   -0.065,    0.016
   -0.190,   -0.045,   -0.130
   -0.193,   -0.029,   -0.205
   -0.147,   -0.021,   -0.145
   -0.072,   -0.030,   -0.001
   -0.009,   -0.053,    0.115
    0.018,   -0.082,    0.134
    0.023,   -0.107,    0.080
    0.029,   -0.125,    0.031
    0.049,   -0.143,    0.033
    0.082,   -0.166,    0.058
    0.118,   -0.182,    0.056
    0.147,   -0.171,    0.024
    0.163,   -0.121,    0.008
    0.158,   -0.046,    0.035
    0.123,    0.020,    0.063
    0.060,    0.045,    0.020
   -0.012,    0.026,   -0.099
   -0.069,   -0.007,   -0.207
   -0.089,   -0.012,   -0.199
   -0.078,    0.026,   -0.076
   -0.068,    0.085,    0.053
   -0.095,    0.120,    0.087
   -0.165,    0.102,    0.027
   -0.243,    0.049,   -0.034
   -0.285,    0.007,   -0.029
   -0.273,    0.010,    0.023
   -0.237,    0.055,    0.063
   -0.217,    0.101,    0.062
   -0.232,    0.108,    0.045
   -0.252,    0.066,    0.032
   -0.232,   -0.003,    0.016
   -0.155,   -0.070,   -0.011
   -0.048,   -0.117,   -0.014
    0.035,   -0.149,    0.046
    0.064,   -0.175,    0.154
    0.047,   -0.194,    0.228
    0.027,   -0.196,    0.219
    0.044,   -0.173,    0.168
    0.104,   -0.141,    0.164
    0.176,   -0.126,    0.220
    0.221,   -0.147,    0.245
    0.225,   -0.198,    0.140
    0.218,   -0.252,   -0.066
    0.252,   -0.284,   -0.221
    0.352,   -0.288,   -0.190
    0.504,   -0.269,    0.006
    0.658,   -0.230,    0.210
    0.765,   -0.173,    0.264
    0.790,   -0.116,    0.143
    0.730,   -0.082,   -0.039
    0.604,   -0.089,   -0.138
    0.464,   -0.126,   -0.089
    0.372,   -0.152,    0.052
    0.360,   -0.137,    0.177
    0.405,   -0.084,    0.208
    0.435,   -0.026,    0.161
    0.401,    0.008,    0.099
    0.313,    0.020,    0.062
    0.226,    0.032,    0.029
    0.186,    0.065,   -0.041
    0.185,    0.118,   -0.133
    0.187,    0.168,   -0.172
    0.160,    0.186,   -0.097
    0.103,    0.158,    0.064
    0.022,    0.099,    0.210
   -0.077,    0.048,    0.253
   -0.194,    0.045,    0.193
   -0.312,    0.093,    0.097
   -0.394,    0.156,    0.030
   -0.416,    0.189,    0.009
   -0.375,    0.182,    0.017
   -0.293,    0.171,    0.048
   -0.198,    0.198,    0.095
   -0.123,    0.258,    0.130
   -0.095,    0.300,    0.104
   -0.130,    0.277,   -0.003
   -0.221,    0.197,   -0.143
   -0.334,    0.121,   -0.221
   -0.423,    0.099,   -0.184
   -0.453,    0.125,   -0.073
   -0.412,    0.143,    0.001
   -0.321,    0.105,   -0.034
   -0.223,    0.014,   -0.153
   -0.156,   -0.077,   -0.257
   -0.132,   -0.113,   -0.258
   -0.130,   -0.070,   -0.165
   -0.127,    0.016,   -0.070
   -0.112,    0.083,   -0.064
   -0.110,    0.084,   -0.153
   -0.138,    0.021,   -0.247
   -0.186,   -0.060,   -0.246
   -0.209,   -0.109,   -0.130
   -0.173,   -0.111,    0.023
   -0.078,   -0.087,    0.121
    0.034,   -0.067,    0.136
    0.125,   -0.048,    0.113
    0.175,   -0.014,    0.103
    0.182,    0.039,    0.101
    0.147,    0.087,    0.081
    0.089,    0.099,    0.054
    0.034,    0.062,    0.070
    0.015,   -0.001,    0.146
    0.030,   -0.066,    0.234
    0.042,   -0.114,    0.260
    0.009,   -0.142,    0.216
   -0.069,   -0.153,    0.164
   -0.141,   -0.149,    0.154
   -0.145,   -0.137,    0.164
   -0.073,   -0.118,    0.141
    0.024,   -0.085,    0.082
    0.082,   -0.030,    0.046
    0.069,    0.045,    0.062
    0.006,    0.113,    0.078
   -0.055,    0.145,    0.013
   -0.077,    0.127,   -0.128
   -0.052,    0.075,   -0.244
   -0.014,    0.016,   -0.231
   -0.002,   -0.032,   -0.103
   -0.028,   -0.070,    0.025
   -0.066,   -0.091,    0.042
   -0.064,   -0.089,   -0.056
   -0.000,   -0.066,   -0.190
    0.096,   -0.035,   -0.268
    0.166,   -0.013,   -0.260
    0.166,   -0.006,   -0.194
    0.111,   -0.002,   -0.113
    0.052,    0.011,   -0.043
    0.033,    0.024,    0.007
    0.057,    0.012,    0.035
    0.101,   -0.038,    0.033
    0.139,   -0.115,    0.002
    0.165,   -0.187,   -0.036
    0.180,   -0.225,   -0.044
    0.190,   -0.225,    0.008
    0.204,   -0.204,    0.107
    0.235,   -0.173,    0.189
    0.289,   -0.136,    0.187
    0.344,   -0.089,    0.088
    0.357,   -0.043,   -0.040
    0.292,   -0.011,   -0.097
    0.158,    0.000,   -0.028
    0.011,    0.001,    0.118
   -0.073,    0.016,    0.237
   -0.065,    0.051,    0.250
    0.000,    0.091,    0.173
    0.061,    0.111,    0.090
    0.070,    0.091,    0.067
    0.031,    0.040,    0.094
   -0.017,   -0.016,    0.110
   -0.052,   -0.049,    0.073
   -0.076,   -0.040,   -0.003
   -0.108,    0.003,   -0.077
   -0.154,    0.049,   -0.128
   -0.200,    0.059,   -0.162
   -0.219,    0.014,   -0.173
   -0.203,   -0.059,   -0.132
   -0.158,   -0.115,   -0.030
   -0.098,   -0.121,    0.083
   -0.038,   -0.087,    0.125
    0.014,   -0.043,    0.052
    0.057,   -0.004,   -0.079
    0.086,    0.041,   -0.165
    0.099,    0.107,   -0.143
    0.095,    0.175,   -0.043
    0.077,    0.211,    0.050
    0.050,    0.204,    0.091
    0.036,    0.186,    0.090
    0.057,    0.198,    0.089
    0.124,    0.248,    0.097
    0.213,    0.298,    0.093
    0.283,    0.307,    0.060
    0.297,    0.268,    0.018
    0.258,    0.212,    0.002
    0.197,    0.169,    0.022
    0.148,    0.148,    0.039
    0.121,    0.144,    0.008
    0.104,    0.151,   -0.066
    0.086,    0.168,   -0.125
    0.072,    0.187,   -0.103
    0.066,    0.193,   -0.000
    0.065,    0.172,    0.110
    0.051,    0.130,    0.144
    0.016,    0.080,    0.079
   -0.021,    0.028,   -0.029
   -0.037,   -0.027,   -0.114
   -0.024,   -0.089,   -0.154
   -0.003,   -0.145,   -0.168
   -0.013,   -0.179,   -0.177
   -0.068,   -0.191,   -0.181
   -0.150,   -0.199,   -0.185
   -0.222,   -0.221,   -0.202
   -0.263,   -0.245,   -0.227
   -0.277,   -0.244,   -0.224
   -0.286,   -0.198,   -0.154
   -0.301,   -0.123,   -0.044
   -0.312,   -0.059,    0.024
   -0.302,   -0.030,    0.007
   -0.272,   -0.029,   -0.042
   -0.239,   -0.031,   -0.027
   -0.227,   -0.030,    0.064
   -0.242,   -0.040,    0.128
   -0.263,   -0.066,    0.059
   -0.265,   -0.084,   -0.111
   -0.234,   -0.054,   -0.237
   -0.190,    0.044,   -0.216
   -0.159,    0.188,   -0.098
   -0.152,    0.326,   -0.006
   -0.152,    0.421,    0.009
   -0.130,    0.461,    0.013
   -0.073,    0.444,    0.072
    0.000,    0.368,    0.151
    0.062,    0.247,    0.155
    0.096,    0.131,    0.059
    0.107,    0.082,   -0.063
    0.106,    0.125,   -0.130
    0.093,    0.218,   -0.155
    0.062,    0.285,   -0.210
    0.017,    0.284,   -0.300
   -0.028,    0.239,   -0.332
   -0.055,    0.198,   -0.228
   -0.062,    0.183,   -0.047
   -0.065,    0.166,    0.061
   -0.067,    0.114,    0.017
   -0.055,    0.018,   -0.092
   -0.010,   -0.088,   -0.111
    0.062,   -0.171,    0.011
    0.137,   -0.213,    0.169
    0.186,   -0.217,    0.221
    0.203,   -0.198,    0.137
    0.207,   -0.177,    0.017
    0.202,   -0.169,   -0.025
    0.176,   -0.183,    0.023
    0.118,   -0.202,    0.095
    0.048,   -0.209,    0.118
    0.011,   -0.197,    0.085
    0.035,   -0.186,    0.047
    0.109,   -0.200,    0.059
    0.197,   -0.234,    0.139
    0.259,   -0.257,    0.256
    0.273,   -0.238,    0.350
    0.229,   -0.173,    0.365
    0.131,   -0.088,    0.288
    0.007,   -0.016,    0.155
   -0.097,    0.027,    0.036
   -0.143,    0.046,   -0.012
   -0.130,    0.061,    0.027
   -0.089,    0.079,    0.123
   -0.052,    0.096,    0.216
   -0.026,    0.095,    0.264
   -0.002,    0.072,    0.266
    0.023,    0.044,    0.253
    0.042,    0.040,    0.252
    0.045,    0.078,    0.244
    0.035,    0.146,    0.193
    0.017,    0.202,    0.095
   -0.006,    0.214,    0.014
   -0.041,    0.182,    0.010
   -0.084,    0.138,    0.072
   -0.127,    0.117,    0.125
   -0.159,    0.132,    0.114
   -0.176,    0.159,    0.078
   -0.175,    0.161,    0.093
   -0.157,    0.107,    0.169
   -0.121,   -0.003,    0.214
   -0.073,   -0.142,    0.149
   -0.014,   -0.263,    0.002
    0.050,   -0.331,   -0.103
    0.109,   -0.341,   -0.094
    0.132,   -0.312,   -0.009
    0.092,   -0.269,    0.045
   -0.007,   -0.224,    0.038
   -0.116,   -0.173,    0.026
   -0.169,   -0.108,    0.074
   -0.143,   -0.040,    0.159
   -0.075,    0.007,    0.208
   -0.021,    0.027,    0.181
   -0.014,    0.031,    0.121
   -0.043,    0.051,    0.090
   -0.081,    0.103,    0.100
   -0.113,    0.176,    0.117
   -0.134,    0.242,    0.111
   -0.145,    0.276,    0.088
   -0.148,    0.273,    0.052
   -0.157,    0.242,   -0.017
   -0.187,    0.197,   -0.135
   -0.236,    0.149,   -0.264
   -0.268,    0.106,   -0.318
   -0.246,    0.075,   -0.237
   -0.166,    0.058,   -0.058
   -0.068,    0.053,    0.103
   -0.005,    0.055,    0.145
   -0.007,    0.061,    0.046
   -0.055,    0.064,   -0.129
   -0.109,    0.064,   -0.300
