SITE CODE= ëÍêÏésëÂí¨
LAT=  43.5574
LON= 141.9108
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 20
NS, EW, UD
    0.091,   -0.023,   -0.122
    0.123,   -0.046,   -0.140
    0.169,   -0.049,   -0.150
    0.177,   -0.026,   -0.146
    0.132,    0.009,   -0.127
    0.065,    0.030,   -0.097
    0.015,    0.016,   -0.059
   -0.000,   -0.039,   -0.032
    0.009,   -0.118,   -0.039
    0.025,   -0.182,   -0.085
    0.039,   -0.192,   -0.152
    0.043,   -0.129,   -0.203
    0.031,   -0.011,   -0.219
    0.000,    0.112,   -0.200
   -0.039,    0.190,   -0.168
   -0.065,    0.200,   -0.147
   -0.059,    0.158,   -0.142
   -0.029,    0.095,   -0.137
   -0.005,    0.039,   -0.104
   -0.012,   -0.003,   -0.029
   -0.045,   -0.036,    0.064
   -0.073,   -0.062,    0.126
   -0.080,   -0.079,    0.121
   -0.074,   -0.082,    0.064
   -0.078,   -0.069,    0.008
   -0.097,   -0.042,   -0.013
   -0.112,   -0.011,   -0.016
   -0.102,    0.014,   -0.040
   -0.071,    0.027,   -0.087
   -0.054,    0.034,   -0.120
   -0.079,    0.045,   -0.099
   -0.139,    0.068,   -0.032
   -0.200,    0.098,    0.038
   -0.227,    0.112,    0.083
   -0.216,    0.096,    0.106
   -0.189,    0.054,    0.116
   -0.169,    0.010,    0.104
   -0.164,   -0.006,    0.057
   -0.163,    0.005,   -0.009
   -0.159,    0.022,   -0.045
   -0.143,    0.018,   -0.009
   -0.109,   -0.012,    0.084
   -0.049,   -0.041,    0.168
    0.030,   -0.038,    0.183
    0.094,    0.005,    0.121
    0.102,    0.071,    0.030
    0.044,    0.133,   -0.030
   -0.032,    0.178,   -0.042
   -0.061,    0.209,   -0.024
   -0.016,    0.220,   -0.004
    0.059,    0.206,    0.014
    0.098,    0.168,    0.045
    0.073,    0.118,    0.092
    0.026,    0.076,    0.134
    0.014,    0.047,    0.144
    0.052,    0.022,    0.119
    0.105,   -0.005,    0.084
    0.128,   -0.022,    0.058
    0.114,   -0.010,    0.025
    0.089,    0.032,   -0.046
    0.075,    0.081,   -0.164
    0.067,    0.105,   -0.276
    0.055,    0.096,   -0.320
    0.050,    0.072,   -0.277
    0.070,    0.057,   -0.190
    0.128,    0.058,   -0.118
    0.202,    0.065,   -0.077
    0.255,    0.073,   -0.042
    0.272,    0.087,    0.005
    0.264,    0.116,    0.046
    0.260,    0.156,    0.043
    0.282,    0.197,   -0.012
    0.318,    0.222,   -0.075
    0.341,    0.220,   -0.087
    0.332,    0.189,   -0.033
    0.290,    0.134,    0.046
    0.238,    0.068,    0.085
    0.200,    0.011,    0.051
    0.185,   -0.016,   -0.032
    0.183,   -0.004,   -0.114
    0.182,    0.043,   -0.149
    0.179,    0.103,   -0.136
    0.186,    0.146,   -0.100
    0.203,    0.146,   -0.068
    0.217,    0.097,   -0.043
    0.210,    0.016,   -0.012
    0.176,   -0.065,    0.020
    0.130,   -0.121,    0.035
    0.096,   -0.141,    0.013
    0.080,   -0.136,   -0.035
    0.073,   -0.127,   -0.071
    0.069,   -0.130,   -0.060
    0.069,   -0.148,   -0.007
    0.088,   -0.171,    0.050
    0.126,   -0.190,    0.074
    0.168,   -0.200,    0.068
    0.187,   -0.208,    0.064
    0.175,   -0.218,    0.089
    0.139,   -0.230,    0.139
    0.101,   -0.237,    0.182
    0.076,   -0.235,    0.191
    0.064,   -0.224,    0.169
    0.059,   -0.207,    0.134
    0.059,   -0.191,    0.098
    0.069,   -0.179,    0.055
    0.089,   -0.177,   -0.003
    0.111,   -0.186,   -0.063
    0.122,   -0.194,   -0.092
    0.121,   -0.186,   -0.070
    0.123,   -0.152,   -0.014
    0.136,   -0.099,    0.029
    0.158,   -0.045,    0.037
    0.164,   -0.005,    0.024
    0.134,    0.014,    0.023
    0.070,    0.024,    0.045
   -0.008,    0.030,    0.067
   -0.086,    0.037,    0.062
   -0.164,    0.043,    0.029
   -0.250,    0.049,   -0.012
   -0.336,    0.057,   -0.050
   -0.401,    0.063,   -0.083
   -0.423,    0.059,   -0.113
   -0.403,    0.036,   -0.119
   -0.374,   -0.004,   -0.075
   -0.364,   -0.052,    0.018
   -0.376,   -0.088,    0.115
   -0.391,   -0.102,    0.165
   -0.384,   -0.087,    0.149
   -0.360,   -0.049,    0.098
   -0.342,   -0.003,    0.055
   -0.344,    0.038,    0.037
   -0.359,    0.067,    0.031
   -0.367,    0.084,    0.018
   -0.359,    0.090,   -0.001
   -0.348,    0.083,   -0.012
   -0.346,    0.066,   -0.012
   -0.346,    0.045,   -0.015
   -0.323,    0.032,   -0.037
   -0.265,    0.036,   -0.080
   -0.187,    0.052,   -0.127
   -0.118,    0.070,   -0.151
   -0.069,    0.089,   -0.134
   -0.025,    0.116,   -0.079
    0.032,    0.161,   -0.007
    0.098,    0.216,    0.057
    0.137,    0.265,    0.108
    0.119,    0.289,    0.149
    0.051,    0.288,    0.186
   -0.024,    0.274,    0.209
   -0.064,    0.257,    0.197
   -0.057,    0.241,    0.148
   -0.025,    0.224,    0.086
   -0.001,    0.209,    0.050
    0.010,    0.198,    0.048
    0.024,    0.186,    0.058
    0.055,    0.164,    0.049
    0.094,    0.126,    0.027
    0.111,    0.081,    0.034
    0.087,    0.050,    0.100
    0.037,    0.040,    0.196
   -0.004,    0.046,    0.255
   -0.006,    0.054,    0.228
    0.025,    0.058,    0.140
    0.065,    0.064,    0.060
    0.091,    0.082,    0.034
    0.108,    0.108,    0.046
    0.142,    0.128,    0.042
    0.196,    0.128,   -0.007
    0.244,    0.099,   -0.078
    0.252,    0.048,   -0.123
    0.213,   -0.012,   -0.117
    0.157,   -0.065,   -0.082
    0.125,   -0.101,   -0.053
    0.131,   -0.120,   -0.046
    0.156,   -0.127,   -0.048
    0.170,   -0.128,   -0.037
    0.163,   -0.119,   -0.013
    0.143,   -0.094,    0.005
    0.118,   -0.054,    0.001
    0.082,   -0.016,   -0.024
    0.024,    0.006,   -0.046
   -0.049,    0.005,   -0.046
   -0.112,   -0.015,   -0.030
   -0.143,   -0.045,   -0.026
   -0.135,   -0.074,   -0.058
   -0.109,   -0.096,   -0.116
   -0.080,   -0.107,   -0.164
   -0.051,   -0.105,   -0.181
   -0.016,   -0.101,   -0.174
    0.021,   -0.111,   -0.162
    0.038,   -0.140,   -0.143
    0.014,   -0.180,   -0.090
   -0.047,   -0.205,    0.012
   -0.112,   -0.199,    0.137
   -0.141,   -0.161,    0.218
   -0.120,   -0.109,    0.210
   -0.067,   -0.063,    0.131
   -0.011,   -0.030,    0.040
    0.028,   -0.005,   -0.006
    0.052,    0.016,   -0.004
    0.072,    0.031,    0.012
    0.094,    0.026,    0.008
    0.106,   -0.009,   -0.022
    0.095,   -0.069,   -0.055
    0.067,   -0.127,   -0.064
    0.051,   -0.156,   -0.047
    0.076,   -0.145,   -0.026
    0.141,   -0.104,   -0.021
    0.211,   -0.054,   -0.039
    0.248,   -0.011,   -0.065
    0.243,    0.020,   -0.071
    0.214,    0.032,   -0.040
    0.187,    0.018,    0.023
    0.164,   -0.029,    0.086
    0.137,   -0.101,    0.105
    0.099,   -0.173,    0.057
    0.055,   -0.212,   -0.033
    0.007,   -0.200,   -0.114
   -0.037,   -0.145,   -0.154
   -0.071,   -0.074,   -0.164
   -0.081,   -0.011,   -0.182
   -0.062,    0.025,   -0.224
   -0.037,    0.037,   -0.262
   -0.046,    0.031,   -0.252
   -0.102,    0.016,   -0.182
   -0.180,   -0.000,   -0.089
   -0.229,   -0.016,   -0.018
   -0.222,   -0.030,    0.010
   -0.180,   -0.042,    0.011
   -0.148,   -0.048,    0.004
   -0.150,   -0.043,   -0.013
   -0.171,   -0.026,   -0.056
   -0.184,   -0.012,   -0.123
   -0.183,   -0.016,   -0.188
   -0.182,   -0.050,   -0.213
   -0.196,   -0.101,   -0.180
   -0.217,   -0.147,   -0.103
   -0.220,   -0.168,   -0.013
   -0.200,   -0.164,    0.066
   -0.168,   -0.140,    0.131
   -0.146,   -0.108,    0.182
   -0.131,   -0.071,    0.208
   -0.103,   -0.038,    0.189
   -0.051,   -0.019,    0.123
    0.004,   -0.018,    0.040
    0.032,   -0.027,   -0.012
    0.023,   -0.037,   -0.016
    0.003,   -0.041,   -0.000
    0.004,   -0.047,   -0.009
    0.029,   -0.062,   -0.059
    0.045,   -0.079,   -0.123
    0.023,   -0.083,   -0.166
   -0.027,   -0.066,   -0.187
   -0.067,   -0.038,   -0.208
   -0.069,   -0.020,   -0.242
   -0.050,   -0.024,   -0.265
   -0.050,   -0.045,   -0.245
   -0.099,   -0.072,   -0.187
   -0.184,   -0.097,   -0.129
   -0.267,   -0.119,   -0.101
   -0.315,   -0.136,   -0.096
   -0.322,   -0.142,   -0.073
   -0.301,   -0.130,   -0.016
   -0.261,   -0.100,    0.048
   -0.199,   -0.057,    0.078
   -0.118,   -0.009,    0.066
   -0.034,    0.038,    0.051
    0.027,    0.080,    0.084
    0.057,    0.108,    0.163
    0.071,    0.112,    0.239
    0.093,    0.088,    0.257
    0.126,    0.045,    0.214
    0.153,    0.002,    0.151
    0.157,   -0.017,    0.107
    0.149,   -0.008,    0.087
    0.156,    0.021,    0.071
    0.191,    0.055,    0.048
    0.235,    0.085,    0.029
    0.254,    0.111,    0.023
    0.236,    0.138,    0.021
    0.202,    0.169,    0.002
    0.181,    0.191,   -0.027
    0.189,    0.193,   -0.041
    0.218,    0.172,   -0.015
    0.254,    0.138,    0.036
    0.291,    0.110,    0.073
    0.328,    0.105,    0.066
    0.350,    0.121,    0.023
    0.337,    0.145,   -0.023
    0.285,    0.159,   -0.050
    0.217,    0.154,   -0.061
    0.162,    0.134,   -0.065
    0.128,    0.109,   -0.059
    0.092,    0.086,   -0.035
    0.031,    0.070,   -0.000
   -0.045,    0.060,    0.013
   -0.102,    0.055,   -0.021
   -0.109,    0.051,   -0.089
   -0.079,    0.048,   -0.137
   -0.056,    0.051,   -0.115
   -0.070,    0.063,   -0.026
   -0.110,    0.086,    0.079
   -0.147,    0.109,    0.150
   -0.169,    0.120,    0.180
   -0.188,    0.110,    0.197
   -0.214,    0.084,    0.215
   -0.228,    0.047,    0.212
   -0.204,    0.008,    0.166
   -0.146,   -0.021,    0.092
   -0.090,   -0.029,    0.045
   -0.073,   -0.014,    0.061
   -0.091,    0.011,    0.116
   -0.114,    0.023,    0.153
   -0.120,    0.004,    0.140
   -0.127,   -0.043,    0.104
   -0.155,   -0.097,    0.095
   -0.200,   -0.129,    0.132
   -0.226,   -0.129,    0.184
   -0.204,   -0.102,    0.213
   -0.147,   -0.061,    0.209
   -0.095,   -0.019,    0.195
   -0.080,    0.015,    0.190
   -0.093,    0.032,    0.185
   -0.107,    0.025,    0.154
   -0.098,   -0.005,    0.090
   -0.075,   -0.044,    0.006
   -0.055,   -0.068,   -0.070
   -0.043,   -0.060,   -0.125
   -0.029,   -0.019,   -0.158
   -0.004,    0.038,   -0.168
    0.018,    0.089,   -0.152
    0.010,    0.114,   -0.104
   -0.043,    0.110,   -0.044
   -0.124,    0.086,   -0.008
   -0.196,    0.057,   -0.021
   -0.239,    0.039,   -0.070
   -0.260,    0.035,   -0.111
   -0.273,    0.036,   -0.112
   -0.277,    0.027,   -0.078
   -0.259,    0.003,   -0.041
   -0.217,   -0.027,   -0.026
   -0.179,   -0.048,   -0.021
   -0.177,   -0.049,    0.004
   -0.213,   -0.034,    0.064
   -0.260,   -0.019,    0.133
   -0.280,   -0.020,    0.166
   -0.262,   -0.039,    0.133
   -0.221,   -0.061,    0.046
   -0.181,   -0.062,   -0.048
   -0.151,   -0.031,   -0.094
   -0.125,    0.021,   -0.064
   -0.093,    0.067,    0.020
   -0.045,    0.077,    0.100
    0.016,    0.038,    0.122
    0.074,   -0.034,    0.084
    0.098,   -0.107,    0.033
    0.066,   -0.153,    0.022
   -0.007,   -0.159,    0.062
   -0.071,   -0.143,    0.115
   -0.081,   -0.128,    0.137
   -0.037,   -0.133,    0.123
    0.009,   -0.148,    0.096
    0.008,   -0.155,    0.082
   -0.035,   -0.136,    0.069
   -0.059,   -0.100,    0.029
   -0.010,   -0.072,   -0.039
    0.100,   -0.068,   -0.102
    0.202,   -0.084,   -0.114
    0.230,   -0.100,   -0.070
    0.192,   -0.100,   -0.012
    0.146,   -0.084,    0.008
    0.147,   -0.069,   -0.017
    0.185,   -0.068,   -0.047
    0.209,   -0.082,   -0.032
    0.183,   -0.096,    0.032
    0.125,   -0.101,    0.100
    0.084,   -0.099,    0.107
    0.089,   -0.100,    0.044
    0.121,   -0.109,   -0.038
    0.144,   -0.118,   -0.074
    0.139,   -0.105,   -0.040
    0.126,   -0.052,    0.024
    0.130,    0.030,    0.063
    0.155,    0.117,    0.055
    0.183,    0.175,    0.030
    0.194,    0.186,    0.023
    0.200,    0.159,    0.041
    0.232,    0.117,    0.054
    0.304,    0.080,    0.038
    0.394,    0.061,    0.000
    0.458,    0.056,   -0.027
    0.466,    0.058,   -0.029
    0.432,    0.060,   -0.016
    0.391,    0.061,   -0.017
    0.365,    0.060,   -0.038
    0.340,    0.058,   -0.061
    0.287,    0.052,   -0.066
    0.207,    0.040,   -0.062
    0.123,    0.021,   -0.071
    0.065,   -0.006,   -0.105
    0.031,   -0.038,   -0.144
   -0.000,   -0.068,   -0.155
   -0.039,   -0.090,   -0.129
   -0.067,   -0.099,   -0.091
   -0.052,   -0.092,   -0.075
    0.011,   -0.071,   -0.091
    0.095,   -0.043,   -0.120
    0.158,   -0.022,   -0.138
    0.191,   -0.017,   -0.136
    0.209,   -0.029,   -0.120
    0.228,   -0.052,   -0.098
    0.244,   -0.073,   -0.077
    0.240,   -0.079,   -0.068
    0.214,   -0.064,   -0.080
    0.180,   -0.027,   -0.109
    0.153,    0.019,   -0.132
    0.134,    0.059,   -0.121
    0.115,    0.074,   -0.068
    0.101,    0.058,    0.001
    0.107,    0.029,    0.059
    0.135,    0.017,    0.097
    0.168,    0.044,    0.135
    0.175,    0.105,    0.185
    0.153,    0.169,    0.227
    0.123,    0.200,    0.227
    0.107,    0.185,    0.174
    0.102,    0.136,    0.100
    0.077,    0.079,    0.050
    0.023,    0.040,    0.039
   -0.037,    0.027,    0.037
   -0.070,    0.033,    0.007
   -0.067,    0.046,   -0.047
   -0.065,    0.056,   -0.092
   -0.105,    0.063,   -0.092
   -0.190,    0.071,   -0.055
   -0.277,    0.087,   -0.016
   -0.323,    0.111,   -0.005
   -0.321,    0.130,   -0.012
   -0.301,    0.130,   -0.009
   -0.296,    0.100,    0.014
   -0.309,    0.042,    0.046
   -0.315,   -0.025,    0.061
   -0.294,   -0.088,    0.051
   -0.247,   -0.134,    0.032
   -0.195,   -0.156,    0.019
   -0.152,   -0.156,    0.008
   -0.114,   -0.139,   -0.017
   -0.073,   -0.111,   -0.061
   -0.029,   -0.073,   -0.097
    0.004,   -0.027,   -0.087
    0.024,    0.028,   -0.026
    0.044,    0.084,    0.045
    0.078,    0.131,    0.075
    0.116,    0.153,    0.046
    0.129,    0.149,   -0.004
    0.103,    0.128,   -0.032
    0.062,    0.104,   -0.025
    0.047,    0.087,   -0.012
    0.082,    0.077,   -0.018
    0.141,    0.073,   -0.026
    0.176,    0.081,   -0.003
    0.168,    0.104,    0.055
    0.140,    0.140,    0.109
    0.128,    0.178,    0.108
    0.145,    0.205,    0.050
    0.166,    0.213,   -0.022
    0.164,    0.207,   -0.061
    0.131,    0.199,   -0.059
    0.082,    0.198,   -0.043
    0.025,    0.201,   -0.039
   -0.043,    0.195,   -0.043
   -0.130,    0.170,   -0.041
   -0.222,    0.125,   -0.035
   -0.289,    0.072,   -0.044
   -0.305,    0.024,   -0.080
   -0.272,   -0.010,   -0.131
   -0.218,   -0.033,   -0.169
   -0.169,   -0.045,   -0.176
   -0.136,   -0.050,   -0.157
   -0.112,   -0.048,   -0.138
   -0.088,   -0.039,   -0.147
   -0.064,   -0.024,   -0.193
   -0.047,    0.002,   -0.270
   -0.037,    0.048,   -0.358
   -0.031,    0.109,   -0.431
   -0.027,    0.166,   -0.473
   -0.024,    0.192,   -0.481
   -0.026,    0.169,   -0.464
   -0.032,    0.100,   -0.432
   -0.041,    0.010,   -0.384
   -0.054,   -0.070,   -0.311
   -0.066,   -0.123,   -0.218
   -0.065,   -0.144,   -0.128
   -0.035,   -0.139,   -0.069
    0.025,   -0.115,   -0.050
    0.096,   -0.082,   -0.049
    0.145,   -0.050,   -0.038
    0.157,   -0.027,   -0.006
    0.143,   -0.021,    0.026
    0.126,   -0.031,    0.036
    0.116,   -0.054,    0.019
    0.102,   -0.079,   -0.002
    0.067,   -0.094,   -0.006
    0.014,   -0.085,    0.005
   -0.033,   -0.053,    0.012
   -0.058,   -0.013,   -0.005
   -0.060,    0.008,   -0.045
   -0.057,   -0.002,   -0.073
   -0.061,   -0.036,   -0.059
   -0.067,   -0.071,    0.001
   -0.057,   -0.089,    0.081
   -0.021,   -0.095,    0.141
    0.027,   -0.104,    0.159
    0.068,   -0.127,    0.149
    0.089,   -0.150,    0.140
    0.093,   -0.152,    0.141
    0.093,   -0.125,    0.131
    0.096,   -0.081,    0.080
    0.089,   -0.041,   -0.004
    0.054,   -0.018,   -0.078
   -0.019,   -0.012,   -0.096
   -0.119,   -0.016,   -0.055
   -0.217,   -0.021,    0.005
   -0.280,   -0.022,    0.041
   -0.297,   -0.007,    0.050
   -0.271,    0.030,    0.059
   -0.216,    0.084,    0.091
   -0.146,    0.133,    0.134
   -0.073,    0.154,    0.159
   -0.010,    0.140,    0.155
    0.027,    0.104,    0.141
    0.029,    0.072,    0.145
   -0.002,    0.063,    0.178
   -0.049,    0.075,    0.221
   -0.092,    0.094,    0.248
   -0.112,    0.102,    0.241
   -0.104,    0.086,    0.204
   -0.076,    0.046,    0.151
   -0.037,   -0.002,    0.092
   -0.003,   -0.037,    0.034
    0.020,   -0.038,   -0.023
    0.021,   -0.000,   -0.074
   -0.011,    0.061,   -0.100
   -0.087,    0.122,   -0.090
   -0.190,    0.159,   -0.050
   -0.285,    0.167,   -0.006
   -0.339,    0.152,    0.012
   -0.340,    0.125,    0.008
   -0.304,    0.091,   -0.001
   -0.257,    0.051,    0.000
   -0.219,    0.005,    0.005
   -0.192,   -0.042,   -0.006
   -0.178,   -0.083,   -0.042
   -0.183,   -0.110,   -0.077
   -0.215,   -0.122,   -0.078
   -0.264,   -0.122,   -0.038
   -0.309,   -0.117,    0.017
   -0.328,   -0.112,    0.059
   -0.318,   -0.111,    0.077
   -0.289,   -0.113,    0.083
   -0.255,   -0.115,    0.099
   -0.222,   -0.115,    0.130
