SITE CODE= ïxó«ñÏésé·èºí¨
LAT=  43.3457
LON= 142.3843
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
    0.064,    0.214,    0.052
    0.099,    0.231,    0.018
    0.131,    0.241,   -0.012
    0.154,    0.243,   -0.039
    0.163,    0.237,   -0.066
    0.159,    0.230,   -0.093
    0.142,    0.227,   -0.115
    0.119,    0.229,   -0.129
    0.090,    0.238,   -0.135
    0.056,    0.244,   -0.134
    0.014,    0.242,   -0.127
   -0.027,    0.227,   -0.108
   -0.062,    0.204,   -0.073
   -0.081,    0.181,   -0.031
   -0.082,    0.166,    0.004
   -0.077,    0.159,    0.023
   -0.072,    0.154,    0.023
   -0.070,    0.140,    0.011
   -0.069,    0.109,   -0.005
   -0.063,    0.063,   -0.027
   -0.058,    0.011,   -0.054
   -0.060,   -0.035,   -0.079
   -0.070,   -0.061,   -0.100
   -0.087,   -0.063,   -0.111
   -0.104,   -0.046,   -0.114
   -0.114,   -0.025,   -0.113
   -0.113,   -0.018,   -0.107
   -0.099,   -0.032,   -0.094
   -0.075,   -0.062,   -0.072
   -0.051,   -0.093,   -0.048
   -0.036,   -0.109,   -0.029
   -0.036,   -0.103,   -0.019
   -0.052,   -0.077,   -0.013
   -0.074,   -0.039,   -0.003
   -0.094,   -0.003,    0.011
   -0.108,    0.016,    0.026
   -0.116,    0.011,    0.036
   -0.116,   -0.019,    0.038
   -0.108,   -0.060,    0.038
   -0.088,   -0.095,    0.039
   -0.061,   -0.109,    0.042
   -0.032,   -0.097,    0.045
   -0.006,   -0.064,    0.042
    0.019,   -0.015,    0.033
    0.046,    0.039,    0.016
    0.073,    0.085,   -0.004
    0.094,    0.114,   -0.022
    0.103,    0.125,   -0.032
    0.102,    0.124,   -0.034
    0.091,    0.125,   -0.036
    0.068,    0.135,   -0.045
    0.034,    0.148,   -0.057
   -0.013,    0.156,   -0.062
   -0.068,    0.158,   -0.055
   -0.122,    0.156,   -0.038
   -0.169,    0.153,   -0.021
   -0.203,    0.149,   -0.012
   -0.224,    0.140,   -0.011
   -0.226,    0.124,   -0.011
   -0.213,    0.103,   -0.012
   -0.190,    0.079,   -0.016
   -0.168,    0.055,   -0.026
   -0.151,    0.031,   -0.038
   -0.139,    0.007,   -0.047
   -0.120,   -0.018,   -0.052
   -0.091,   -0.045,   -0.055
   -0.050,   -0.068,   -0.061
   -0.002,   -0.080,   -0.068
    0.043,   -0.080,   -0.066
    0.081,   -0.068,   -0.049
    0.108,   -0.053,   -0.021
    0.123,   -0.039,    0.005
    0.131,   -0.027,    0.023
    0.139,   -0.020,    0.032
    0.150,   -0.021,    0.040
    0.156,   -0.037,    0.051
    0.151,   -0.063,    0.063
    0.130,   -0.088,    0.071
    0.097,   -0.098,    0.070
    0.068,   -0.090,    0.058
    0.052,   -0.063,    0.037
    0.052,   -0.030,    0.007
    0.061,    0.003,   -0.026
    0.070,    0.032,   -0.054
    0.077,    0.055,   -0.070
    0.084,    0.075,   -0.077
    0.092,    0.095,   -0.085
    0.097,    0.112,   -0.102
    0.095,    0.120,   -0.123
    0.082,    0.112,   -0.137
    0.062,    0.086,   -0.138
    0.041,    0.046,   -0.134
    0.025,    0.003,   -0.134
    0.012,   -0.034,   -0.143
    0.000,   -0.057,   -0.153
   -0.014,   -0.062,   -0.149
   -0.028,   -0.050,   -0.127
   -0.038,   -0.025,   -0.095
   -0.042,    0.001,   -0.061
   -0.040,    0.021,   -0.036
   -0.039,    0.029,   -0.016
   -0.045,    0.025,   -0.003
   -0.062,    0.016,    0.004
   -0.095,    0.014,    0.005
   -0.138,    0.025,    0.005
   -0.180,    0.048,    0.009
   -0.207,    0.078,    0.020
   -0.210,    0.106,    0.032
   -0.189,    0.127,    0.036
   -0.157,    0.139,    0.032
   -0.129,    0.143,    0.029
   -0.117,    0.140,    0.034
   -0.118,    0.132,    0.045
   -0.121,    0.118,    0.055
   -0.116,    0.102,    0.055
   -0.096,    0.089,    0.046
   -0.070,    0.081,    0.035
   -0.050,    0.072,    0.028
   -0.048,    0.054,    0.027
   -0.070,    0.020,    0.029
   -0.108,   -0.020,    0.037
   -0.151,   -0.057,    0.051
   -0.186,   -0.078,    0.071
   -0.204,   -0.082,    0.090
   -0.203,   -0.074,    0.099
   -0.190,   -0.063,    0.098
   -0.172,   -0.059,    0.095
   -0.155,   -0.066,    0.102
   -0.137,   -0.086,    0.117
   -0.108,   -0.113,    0.132
   -0.064,   -0.132,    0.132
   -0.007,   -0.135,    0.116
    0.054,   -0.118,    0.093
    0.108,   -0.095,    0.078
    0.145,   -0.080,    0.077
    0.165,   -0.086,    0.085
    0.172,   -0.112,    0.088
    0.177,   -0.150,    0.082
    0.187,   -0.191,    0.076
    0.207,   -0.225,    0.080
    0.232,   -0.243,    0.098
    0.259,   -0.241,    0.120
    0.278,   -0.221,    0.132
    0.285,   -0.193,    0.135
    0.279,   -0.169,    0.136
    0.259,   -0.154,    0.151
    0.230,   -0.142,    0.179
    0.202,   -0.125,    0.208
    0.184,   -0.098,    0.221
    0.181,   -0.071,    0.211
    0.187,   -0.049,    0.184
    0.193,   -0.037,    0.152
    0.187,   -0.028,    0.121
    0.165,   -0.014,    0.091
    0.135,    0.001,    0.057
    0.105,    0.014,    0.016
    0.082,    0.014,   -0.026
    0.064,    0.005,   -0.061
    0.045,   -0.000,   -0.084
    0.018,    0.003,   -0.093
   -0.021,    0.017,   -0.090
   -0.070,    0.030,   -0.083
   -0.127,    0.030,   -0.075
   -0.180,    0.012,   -0.063
   -0.217,   -0.020,   -0.048
   -0.231,   -0.059,   -0.032
   -0.226,   -0.095,   -0.019
   -0.214,   -0.125,   -0.012
   -0.208,   -0.141,   -0.007
   -0.216,   -0.143,   -0.000
   -0.229,   -0.133,    0.011
   -0.236,   -0.118,    0.025
   -0.228,   -0.104,    0.036
   -0.203,   -0.099,    0.039
   -0.174,   -0.102,    0.036
   -0.151,   -0.111,    0.032
   -0.141,   -0.122,    0.031
   -0.144,   -0.132,    0.033
   -0.148,   -0.135,    0.036
   -0.139,   -0.125,    0.038
   -0.106,   -0.107,    0.040
   -0.050,   -0.087,    0.042
    0.018,   -0.075,    0.047
    0.086,   -0.072,    0.053
    0.144,   -0.070,    0.056
    0.186,   -0.062,    0.053
    0.215,   -0.045,    0.042
    0.230,   -0.024,    0.029
    0.234,   -0.007,    0.023
    0.232,    0.007,    0.031
    0.230,    0.027,    0.048
    0.227,    0.058,    0.061
    0.216,    0.096,    0.061
    0.186,    0.128,    0.053
    0.137,    0.141,    0.050
    0.074,    0.133,    0.061
    0.012,    0.116,    0.077
   -0.037,    0.108,    0.087
   -0.073,    0.120,    0.079
   -0.097,    0.149,    0.058
   -0.112,    0.179,    0.032
   -0.114,    0.196,    0.008
   -0.104,    0.188,   -0.008
   -0.086,    0.157,   -0.015
   -0.066,    0.113,   -0.009
   -0.048,    0.071,    0.005
   -0.035,    0.045,    0.019
   -0.032,    0.042,    0.023
   -0.045,    0.061,    0.015
   -0.079,    0.087,    0.003
   -0.127,    0.102,   -0.003
   -0.169,    0.089,   -0.003
   -0.189,    0.047,   -0.002
   -0.180,   -0.009,   -0.009
   -0.150,   -0.061,   -0.023
   -0.109,   -0.094,   -0.041
   -0.066,   -0.101,   -0.061
   -0.025,   -0.088,   -0.082
    0.016,   -0.068,   -0.103
    0.057,   -0.058,   -0.123
    0.093,   -0.067,   -0.134
    0.118,   -0.096,   -0.134
    0.130,   -0.133,   -0.127
    0.128,   -0.164,   -0.120
    0.112,   -0.176,   -0.115
    0.091,   -0.162,   -0.113
    0.077,   -0.128,   -0.110
    0.073,   -0.086,   -0.103
    0.077,   -0.046,   -0.100
    0.079,   -0.022,   -0.101
    0.074,   -0.013,   -0.103
    0.063,   -0.016,   -0.099
    0.047,   -0.022,   -0.086
    0.029,   -0.027,   -0.069
    0.010,   -0.034,   -0.056
   -0.010,   -0.043,   -0.049
   -0.028,   -0.052,   -0.046
   -0.036,   -0.055,   -0.043
   -0.034,   -0.043,   -0.047
   -0.026,   -0.017,   -0.069
   -0.021,    0.018,   -0.108
   -0.023,    0.053,   -0.149
   -0.029,    0.078,   -0.173
   -0.034,    0.086,   -0.168
   -0.031,    0.075,   -0.144
   -0.018,    0.051,   -0.113
    0.005,    0.025,   -0.087
    0.034,    0.008,   -0.064
    0.060,   -0.000,   -0.036
    0.074,   -0.009,   -0.003
    0.073,   -0.024,    0.032
    0.061,   -0.047,    0.063
    0.049,   -0.069,    0.090
    0.045,   -0.082,    0.112
    0.046,   -0.084,    0.127
    0.045,   -0.077,    0.127
    0.037,   -0.066,    0.110
    0.025,   -0.058,    0.084
    0.015,   -0.052,    0.062
    0.009,   -0.050,    0.052
    0.007,   -0.045,    0.048
    0.009,   -0.034,    0.045
    0.023,   -0.011,    0.041
    0.056,    0.022,    0.042
    0.103,    0.059,    0.052
    0.151,    0.089,    0.064
    0.184,    0.108,    0.066
    0.195,    0.118,    0.054
    0.187,    0.125,    0.039
    0.169,    0.133,    0.029
    0.140,    0.140,    0.026
    0.102,    0.141,    0.022
    0.058,    0.135,    0.016
    0.016,    0.123,    0.013
   -0.014,    0.109,    0.024
   -0.027,    0.095,    0.046
   -0.030,    0.079,    0.068
   -0.034,    0.062,    0.082
   -0.045,    0.051,    0.088
   -0.061,    0.048,    0.096
   -0.077,    0.054,    0.103
   -0.083,    0.066,    0.102
   -0.077,    0.081,    0.083
   -0.064,    0.103,    0.048
   -0.050,    0.132,    0.014
   -0.039,    0.162,   -0.000
   -0.031,    0.179,    0.011
   -0.025,    0.174,    0.039
   -0.020,    0.153,    0.065
   -0.020,    0.132,    0.074
   -0.027,    0.129,    0.060
   -0.038,    0.146,    0.028
   -0.046,    0.171,   -0.014
   -0.045,    0.191,   -0.060
   -0.029,    0.195,   -0.101
   -0.006,    0.185,   -0.127
    0.019,    0.168,   -0.136
    0.044,    0.156,   -0.132
    0.072,    0.154,   -0.124
    0.102,    0.164,   -0.116
    0.130,    0.176,   -0.101
    0.153,    0.178,   -0.077
    0.173,    0.166,   -0.044
    0.191,    0.140,   -0.015
    0.207,    0.107,   -0.002
    0.214,    0.074,   -0.002
    0.207,    0.043,   -0.007
    0.186,    0.016,   -0.009
    0.159,   -0.004,   -0.008
    0.133,   -0.015,   -0.011
    0.109,   -0.016,   -0.018
    0.086,   -0.007,   -0.032
    0.066,    0.000,   -0.048
    0.050,    0.001,   -0.070
    0.035,   -0.011,   -0.097
    0.013,   -0.037,   -0.126
   -0.018,   -0.071,   -0.150
   -0.055,   -0.101,   -0.161
   -0.088,   -0.118,   -0.161
   -0.110,   -0.121,   -0.154
