SITE CODE= í_êUà…íBésî~ñ{
LAT=  42.4739
LON= 140.8761
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 10
NS, EW, UD
    0.068,   -0.051,   -0.160
    0.126,   -0.048,   -0.075
    0.141,   -0.021,    0.016
    0.108,    0.002,    0.059
    0.067,    0.002,    0.020
    0.063,   -0.028,   -0.077
    0.099,   -0.063,   -0.161
    0.133,   -0.072,   -0.161
    0.120,   -0.037,   -0.078
    0.056,    0.026,    0.025
   -0.017,    0.083,    0.077
   -0.050,    0.104,    0.062
   -0.026,    0.082,    0.020
    0.023,    0.038,    0.008
    0.052,    0.000,    0.045
    0.039,   -0.022,    0.105
    0.005,   -0.034,    0.141
   -0.014,   -0.045,    0.116
   -0.002,   -0.051,    0.034
    0.027,   -0.041,   -0.065
    0.052,   -0.010,   -0.130
    0.067,    0.025,   -0.125
    0.079,    0.045,   -0.066
    0.095,    0.037,   -0.009
    0.105,    0.007,    0.005
    0.106,   -0.022,   -0.019
    0.102,   -0.034,   -0.046
    0.106,   -0.020,   -0.051
    0.122,    0.009,   -0.039
    0.140,    0.034,   -0.026
    0.150,    0.029,   -0.009
    0.149,   -0.009,    0.025
    0.143,   -0.061,    0.071
    0.134,   -0.092,    0.091
    0.117,   -0.089,    0.058
    0.092,   -0.073,   -0.012
    0.062,   -0.079,   -0.072
    0.036,   -0.116,   -0.089
    0.016,   -0.150,   -0.086
    0.001,   -0.137,   -0.106
   -0.008,   -0.061,   -0.159
   -0.012,    0.041,   -0.209
   -0.008,    0.117,   -0.212
    0.003,    0.132,   -0.166
    0.025,    0.097,   -0.103
    0.056,    0.045,   -0.053
    0.089,    0.007,   -0.020
    0.112,    0.004,   -0.000
    0.105,    0.037,   -0.000
    0.071,    0.091,   -0.020
    0.030,    0.134,   -0.042
    0.005,    0.129,   -0.033
    0.005,    0.068,    0.012
    0.024,   -0.019,    0.052
    0.052,   -0.089,    0.040
    0.084,   -0.117,   -0.025
    0.113,   -0.121,   -0.093
    0.117,   -0.125,   -0.121
    0.073,   -0.129,   -0.119
   -0.016,   -0.107,   -0.119
   -0.112,   -0.039,   -0.128
   -0.162,    0.058,   -0.111
   -0.143,    0.143,   -0.043
   -0.077,    0.185,    0.052
   -0.007,    0.181,    0.119
    0.042,    0.148,    0.132
    0.073,    0.100,    0.107
    0.099,    0.050,    0.070
    0.115,    0.006,    0.025
    0.107,   -0.017,   -0.025
    0.072,   -0.025,   -0.071
    0.027,   -0.030,   -0.091
   -0.001,   -0.038,   -0.087
   -0.006,   -0.040,   -0.079
   -0.006,   -0.025,   -0.080
   -0.023,    0.000,   -0.073
   -0.064,    0.014,   -0.038
   -0.107,    0.002,    0.005
   -0.122,   -0.014,    0.016
   -0.098,   -0.007,   -0.030
   -0.052,    0.032,   -0.102
   -0.015,    0.078,   -0.140
   -0.013,    0.095,   -0.107
   -0.038,    0.071,   -0.026
   -0.057,    0.021,    0.035
   -0.034,   -0.030,    0.021
    0.032,   -0.075,   -0.067
    0.102,   -0.106,   -0.166
    0.126,   -0.117,   -0.195
    0.085,   -0.103,   -0.125
    0.006,   -0.066,   -0.018
   -0.058,   -0.016,    0.024
   -0.082,    0.028,   -0.043
   -0.073,    0.067,   -0.168
   -0.056,    0.105,   -0.235
   -0.045,    0.145,   -0.187
   -0.035,    0.177,   -0.073
   -0.023,    0.177,    0.005
   -0.016,    0.130,   -0.005
   -0.021,    0.050,   -0.074
   -0.035,   -0.023,   -0.128
   -0.041,   -0.048,   -0.128
   -0.032,   -0.014,   -0.091
   -0.015,    0.039,   -0.053
   -0.004,    0.057,   -0.042
   -0.012,    0.007,   -0.056
   -0.037,   -0.080,   -0.078
