SITE CODE= äòêŒésë¸âzí¨
LAT=  39.2760
LON= 141.8856
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 00
NS, EW, UD
    0.009,    0.015,    0.002
   -0.007,    0.022,   -0.001
   -0.018,    0.007,   -0.004
   -0.014,   -0.015,   -0.003
    0.002,   -0.023,    0.000
    0.016,   -0.009,    0.002
    0.017,    0.014,    0.001
    0.002,    0.023,   -0.002
   -0.014,    0.010,   -0.004
   -0.020,   -0.012,   -0.002
   -0.010,   -0.020,    0.000
    0.006,   -0.008,    0.002
    0.016,    0.008,    0.002
    0.013,    0.014,    0.000
   -0.002,    0.006,   -0.002
   -0.016,   -0.004,   -0.002
   -0.016,   -0.008,    0.000
   -0.002,   -0.004,    0.000
    0.014,    0.000,    0.000
    0.020,    0.001,    0.000
    0.009,    0.001,    0.000
   -0.010,    0.004,   -0.002
   -0.021,    0.004,   -0.002
   -0.014,   -0.000,   -0.002
    0.005,   -0.008,    0.000
    0.020,   -0.011,    0.001
    0.018,   -0.002,    0.001
   -0.000,    0.012,    0.000
   -0.018,    0.017,   -0.002
   -0.019,    0.005,   -0.002
   -0.005,   -0.013,    0.000
    0.012,   -0.019,    0.002
    0.017,   -0.006,    0.002
    0.007,    0.013,    0.000
   -0.008,    0.020,   -0.002
   -0.016,    0.005,   -0.003
   -0.009,   -0.014,   -0.002
    0.003,   -0.019,    0.000
    0.011,   -0.005,    0.000
    0.008,    0.012,    0.000
   -0.002,    0.016,   -0.001
   -0.009,    0.004,   -0.001
   -0.008,   -0.009,    0.000
    0.000,   -0.012,    0.001
    0.009,   -0.002,    0.001
    0.009,    0.008,    0.000
    0.001,    0.009,   -0.001
   -0.007,    0.002,   -0.002
   -0.009,   -0.004,   -0.001
   -0.002,   -0.005,   -0.000
    0.007,   -0.001,   -0.000
    0.010,    0.002,    0.000
    0.004,    0.003,    0.000
   -0.004,    0.002,    0.000
   -0.008,    0.000,    0.000
   -0.004,   -0.000,    0.000
    0.004,   -0.002,    0.000
    0.008,   -0.003,    0.000
    0.005,   -0.002,    0.000
   -0.001,   -0.000,    0.000
   -0.007,    0.002,    0.000
   -0.007,    0.002,    0.000
   -0.002,    0.001,    0.000
    0.004,   -0.000,    0.000
    0.008,   -0.001,    0.000
    0.006,   -0.000,    0.000
    0.000,    0.000,    0.000
   -0.005,    0.000,    0.001
   -0.006,   -0.000,    0.002
   -0.000,   -0.000,    0.002
    0.005,   -0.000,    0.000
    0.007,   -0.000,    0.000
    0.001,   -0.000,    0.000
   -0.006,   -0.001,    0.000
   -0.008,   -0.000,    0.001
   -0.004,    0.001,    0.000
    0.005,    0.001,    0.000
    0.009,    0.001,    0.000
    0.005,   -0.002,    0.000
   -0.001,   -0.003,    0.000
   -0.005,   -0.003,    0.001
   -0.005,    0.000,    0.001
    0.000,    0.002,    0.000
    0.004,    0.001,    0.000
    0.005,   -0.001,    0.000
    0.003,   -0.003,   -0.000
   -0.000,   -0.003,    0.000
   -0.002,   -0.000,    0.000
   -0.002,    0.002,    0.000
   -0.000,    0.004,    0.000
    0.001,    0.003,    0.000
    0.001,    0.000,    0.000
    0.001,   -0.002,    0.000
    0.001,   -0.003,    0.000
    0.001,   -0.002,    0.000
    0.000,    0.001,    0.000
   -0.000,    0.004,    0.000
   -0.001,    0.003,    0.000
   -0.000,    0.000,    0.000
    0.001,   -0.003,    0.000
    0.003,   -0.004,   -0.000
    0.002,   -0.003,    0.000
   -0.000,   -0.001,    0.000
   -0.003,    0.001,    0.000
   -0.003,    0.002,    0.000
   -0.000,    0.002,   -0.000
    0.004,    0.000,   -0.000
    0.005,   -0.002,    0.000
    0.001,   -0.002,    0.000
   -0.004,   -0.000,    0.000
   -0.006,    0.002,   -0.001
   -0.003,    0.004,   -0.002
    0.002,    0.002,   -0.002
