SITE CODE= ñkè„ésñˆå¥í¨
LAT=  39.2929
LON= 141.1095
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 00
NS, EW, UD
   -0.034,   -0.045,   -0.047
   -0.023,   -0.006,   -0.030
    0.013,    0.039,    0.017
    0.043,    0.049,    0.046
    0.033,    0.013,    0.029
   -0.009,   -0.030,   -0.013
   -0.045,   -0.041,   -0.037
   -0.037,   -0.014,   -0.026
    0.004,    0.017,   -0.000
    0.037,    0.023,    0.014
    0.029,    0.004,    0.010
   -0.007,   -0.012,    0.003
   -0.031,   -0.009,    0.005
   -0.020,    0.005,    0.008
    0.005,    0.012,    0.000
    0.015,    0.002,   -0.016
    0.004,   -0.007,   -0.025
   -0.004,   -0.006,   -0.016
    0.000,    0.005,    0.004
    0.007,    0.009,    0.021
    0.003,   -0.000,    0.024
   -0.005,   -0.011,    0.014
   -0.003,   -0.009,    0.001
    0.009,    0.003,   -0.009
    0.008,    0.011,   -0.013
   -0.015,    0.004,   -0.011
   -0.034,   -0.007,   -0.004
   -0.019,   -0.008,   -0.001
    0.020,    0.004,   -0.002
    0.040,    0.013,   -0.001
    0.013,    0.004,    0.006
   -0.029,   -0.014,    0.016
   -0.037,   -0.021,    0.015
    0.000,   -0.006,    0.002
    0.034,    0.016,   -0.012
    0.024,    0.024,   -0.012
   -0.014,    0.007,    0.001
   -0.031,   -0.016,    0.010
   -0.005,   -0.023,    0.003
    0.029,   -0.008,   -0.010
    0.026,    0.012,   -0.011
   -0.009,    0.017,    0.002
   -0.035,    0.003,    0.014
   -0.022,   -0.014,    0.006
    0.010,   -0.015,   -0.012
    0.026,    0.000,   -0.020
    0.012,    0.016,   -0.005
   -0.009,    0.016,    0.013
   -0.017,   -0.000,    0.018
   -0.007,   -0.016,    0.004
    0.005,   -0.014,   -0.006
    0.013,    0.003,   -0.003
    0.012,    0.018,    0.007
    0.003,    0.014,    0.009
   -0.009,   -0.003,   -0.000
   -0.019,   -0.016,   -0.011
   -0.011,   -0.011,   -0.009
    0.009,    0.005,    0.003
    0.025,    0.014,    0.013
    0.018,    0.004,    0.011
   -0.003,   -0.013,   -0.000
   -0.019,   -0.017,   -0.007
   -0.015,   -0.001,   -0.003
    0.002,    0.019,    0.007
    0.014,    0.022,    0.012
    0.009,    0.004,    0.006
   -0.005,   -0.017,   -0.003
   -0.016,   -0.022,   -0.007
   -0.011,   -0.008,   -0.000
    0.004,    0.007,    0.007
    0.017,    0.010,    0.007
    0.014,    0.001,   -0.002
    0.000,   -0.005,   -0.009
   -0.008,   -0.002,   -0.000
   -0.003,    0.004,    0.014
    0.006,    0.004,    0.021
    0.006,   -0.001,    0.009
   -0.004,   -0.004,   -0.010
   -0.008,    0.000,   -0.018
    0.002,    0.009,   -0.007
    0.013,    0.010,    0.006
    0.005,   -0.001,    0.009
   -0.017,   -0.014,    0.002
   -0.027,   -0.014,   -0.004
   -0.004,   -0.002,   -0.003
    0.027,    0.012,    0.001
    0.032,    0.014,    0.001
    0.001,    0.007,   -0.001
   -0.027,   -0.002,   -0.000
   -0.020,   -0.006,    0.005
    0.011,   -0.006,    0.009
    0.026,   -0.005,    0.001
    0.004,   -0.003,   -0.011
   -0.025,    0.002,   -0.015
   -0.023,    0.011,   -0.004
    0.008,    0.013,    0.014
    0.030,    0.006,    0.025
    0.014,   -0.006,    0.019
   -0.018,   -0.013,    0.001
   -0.028,   -0.008,   -0.016
   -0.005,    0.004,   -0.024
    0.020,    0.012,   -0.014
    0.016,    0.009,    0.005
   -0.008,   -0.000,    0.023
   -0.019,   -0.008,    0.023
   -0.002,   -0.010,    0.004
    0.020,   -0.004,   -0.020
    0.018,    0.004,   -0.028
   -0.009,    0.009,   -0.014
   -0.029,    0.004,    0.009
   -0.020,   -0.005,    0.020
    0.009,   -0.014,    0.013
    0.026,   -0.010,   -0.000
    0.014,    0.003,   -0.007
   -0.011,    0.014,   -0.004
   -0.022,    0.011,   -0.000
   -0.008,   -0.002,   -0.001
    0.016,   -0.011,   -0.005
    0.024,   -0.006,   -0.005
    0.010,    0.005,   -0.000
   -0.010,    0.009,    0.007
   -0.018,    0.001,    0.009
   -0.010,   -0.008,    0.004
    0.000,   -0.007,   -0.002
    0.004,    0.002,   -0.005
