SITE CODE= “’‘òŽs‰«’ß
LAT=  39.1740
LON= 140.4796
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 10
NS, EW, UD
    0.000,    0.000,   -0.000
   -0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.001,   -0.000,    0.001
    0.001,   -0.000,    0.002
   -0.000,   -0.000,    0.001
   -0.001,    0.000,   -0.000
   -0.002,    0.001,   -0.002
   -0.001,    0.001,   -0.003
    0.000,    0.001,   -0.001
    0.000,    0.001,   -0.000
    0.000,    0.001,    0.000
    0.000,    0.001,   -0.000
    0.000,    0.000,   -0.000
    0.001,    0.000,   -0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.001
    0.000,   -0.000,    0.001
   -0.001,   -0.000,   -0.000
   -0.002,   -0.000,   -0.001
   -0.002,    0.000,   -0.002
   -0.002,    0.001,   -0.002
   -0.002,    0.001,   -0.001
   -0.001,    0.001,   -0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,   -0.000
    0.002,    0.001,   -0.000
    0.004,    0.002,    0.000
    0.002,    0.002,    0.001
    0.000,    0.001,    0.001
    0.000,    0.001,   -0.000
    0.000,    0.001,   -0.000
    0.000,    0.000,   -0.000
    0.000,   -0.000,   -0.000
   -0.002,   -0.000,    0.000
   -0.002,    0.001,   -0.000
   -0.001,    0.001,   -0.001
    0.000,    0.001,   -0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.001,    0.000,    0.000
    0.000,   -0.000,    0.000
   -0.001,   -0.000,    0.001
   -0.003,   -0.000,    0.001
   -0.002,    0.000,    0.000
    0.000,    0.001,   -0.000
    0.002,    0.000,   -0.000
    0.002,   -0.000,    0.000
    0.001,   -0.000,    0.000
    0.000,   -0.000,    0.001
    0.000,   -0.000,    0.000
    0.000,   -0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.001,    0.000
    0.000,    0.000,    0.001
   -0.001,   -0.000,    0.002
   -0.002,   -0.001,    0.001
   -0.003,   -0.000,   -0.000
   -0.001,   -0.000,   -0.000
    0.001,    0.001,   -0.000
    0.002,    0.001,    0.001
    0.001,    0.001,    0.001
    0.000,    0.001,    0.001
    0.000,    0.000,   -0.000
    0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.001
   -0.000,   -0.000,   -0.001
   -0.000,   -0.000,   -0.000
    0.000,   -0.000,    0.000
    0.002,    0.000,    0.001
    0.002,    0.001,    0.001
    0.000,    0.001,    0.001
    0.000,    0.001,    0.000
    0.000,    0.000,   -0.000
    0.000,   -0.001,   -0.001
    0.000,   -0.002,   -0.002
   -0.001,   -0.001,   -0.002
   -0.001,    0.000,   -0.001
    0.000,    0.001,    0.000
    0.001,    0.001,    0.001
    0.001,   -0.000,    0.001
    0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.001
    0.001,   -0.000,   -0.000
    0.002,    0.000,    0.001
    0.002,    0.000,    0.001
    0.001,    0.000,    0.000
   -0.000,   -0.000,    0.000
   -0.000,   -0.001,    0.001
   -0.000,   -0.002,    0.002
   -0.000,   -0.000,    0.001
   -0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.001
    0.000,   -0.001,   -0.000
    0.001,   -0.002,    0.001
    0.002,   -0.000,    0.001
    0.001,    0.001,    0.000
   -0.000,    0.001,   -0.000
   -0.000,   -0.000,    0.000
   -0.002,   -0.001,    0.002
   -0.001,   -0.001,    0.003
   -0.001,    0.000,    0.001
   -0.000,    0.001,   -0.001
    0.000,    0.001,   -0.002
    0.000,    0.000,   -0.001
   -0.000,   -0.000,   -0.000
   -0.000,    0.001,   -0.000
    0.000,    0.002,   -0.000
    0.001,    0.001,   -0.000
    0.001,    0.000,   -0.000
    0.000,   -0.000,   -0.000
   -0.002,   -0.000,   -0.000
   -0.001,    0.000,    0.000
    0.000,   -0.000,    0.000
    0.002,   -0.001,   -0.000
    0.002,   -0.002,   -0.002
    0.000,   -0.001,   -0.002
   -0.000,    0.000,   -0.002
   -0.000,    0.000,   -0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.001,   -0.001
    0.000,    0.000,   -0.000
   -0.000,   -0.001,   -0.000
   -0.001,   -0.002,   -0.000
   -0.002,   -0.002,   -0.001
   -0.000,   -0.001,   -0.002
    0.000,    0.000,   -0.002
    0.001,    0.001,   -0.000
    0.000,    0.001,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.000
   -0.001,   -0.000,    0.000
   -0.001,    0.000,   -0.001
   -0.000,    0.001,   -0.000
    0.000,    0.000,    0.000
    0.002,   -0.000,    0.001
    0.002,   -0.001,    0.001
    0.000,   -0.000,    0.000
    0.000,    0.000,   -0.001
   -0.000,    0.001,   -0.002
    0.000,    0.001,   -0.002
    0.000,    0.001,   -0.001
    0.001,    0.001,   -0.000
    0.001,    0.001,   -0.000
    0.001,    0.000,    0.000
    0.001,   -0.000,    0.000
    0.000,   -0.002,   -0.000
   -0.000,   -0.002,    0.000
   -0.000,   -0.002,    0.000
   -0.000,   -0.001,    0.002
    0.000,   -0.001,    0.004
   -0.000,   -0.000,    0.002
   -0.001,   -0.000,    0.000
   -0.002,    0.000,   -0.002
   -0.002,    0.000,   -0.002
   -0.002,   -0.000,    0.000
   -0.001,   -0.002,    0.001
   -0.000,   -0.002,    0.001
    0.000,   -0.002,    0.000
    0.000,   -0.001,    0.000
    0.000,   -0.000,    0.000
    0.001,   -0.000,    0.001
    0.001,    0.000,    0.001
    0.001,    0.001,    0.001
    0.000,    0.001,    0.001
    0.000,    0.001,    0.001
   -0.000,    0.000,    0.002
   -0.001,   -0.000,    0.002
   -0.001,   -0.002,    0.001
   -0.000,   -0.003,   -0.000
    0.000,   -0.003,   -0.001
    0.000,   -0.001,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.001,   -0.000
    0.000,    0.001,   -0.000
   -0.000,   -0.000,   -0.000
   -0.001,   -0.000,   -0.000
   -0.002,   -0.000,    0.000
   -0.002,   -0.000,   -0.000
   -0.000,   -0.002,   -0.000
    0.000,   -0.002,   -0.000
    0.001,   -0.002,    0.001
    0.002,   -0.000,    0.002
    0.001,    0.001,    0.002
    0.000,    0.001,    0.001
    0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.001,    0.001,    0.001
    0.001,    0.001,    0.001
    0.000,   -0.000,    0.001
    0.000,   -0.000,    0.000
   -0.001,   -0.001,   -0.000
   -0.002,   -0.000,   -0.000
   -0.002,   -0.001,   -0.000
   -0.001,   -0.001,   -0.000
    0.000,   -0.000,   -0.000
    0.000,    0.001,   -0.000
    0.001,    0.003,    0.000
    0.000,    0.003,    0.001
    0.000,    0.001,    0.001
    0.001,   -0.000,    0.001
    0.001,   -0.001,    0.001
    0.000,   -0.001,    0.000
    0.000,   -0.002,   -0.000
    0.000,   -0.002,   -0.002
   -0.001,   -0.002,   -0.003
   -0.001,   -0.002,   -0.003
   -0.001,   -0.000,   -0.002
   -0.000,    0.000,   -0.000
    0.000,    0.001,   -0.000
    0.000,    0.001,   -0.002
    0.000,    0.001,   -0.002
    0.001,    0.001,    0.000
    0.002,    0.000,    0.002
    0.000,   -0.000,    0.002
    0.000,   -0.000,    0.001
   -0.000,   -0.000,   -0.002
   -0.000,   -0.000,   -0.003
    0.000,   -0.000,   -0.002
   -0.000,   -0.000,    0.000
   -0.000,   -0.000,    0.000
    0.000,    0.000,   -0.000
    0.001,    0.001,   -0.001
    0.003,    0.001,   -0.000
    0.002,    0.000,    0.000
    0.001,   -0.000,   -0.000
    0.001,   -0.001,   -0.002
    0.000,   -0.001,   -0.003
   -0.000,   -0.001,   -0.002
   -0.002,   -0.000,   -0.000
   -0.002,   -0.000,    0.000
   -0.002,   -0.000,    0.000
   -0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.000
   -0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.001
    0.000,   -0.000,   -0.001
    0.002,    0.000,   -0.000
    0.002,    0.000,   -0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.003
    0.001,    0.000,   -0.003
    0.001,    0.000,   -0.001
   -0.000,    0.000,    0.000
   -0.000,    0.000,    0.002
   -0.001,   -0.001,    0.002
   -0.001,   -0.001,    0.002
   -0.001,   -0.000,    0.000
   -0.001,    0.000,   -0.000
    0.000,    0.001,   -0.001
    0.000,    0.000,    0.000
    0.001,    0.000,    0.001
    0.001,    0.000,    0.001
    0.000,    0.001,    0.000
    0.000,    0.002,    0.000
    0.000,    0.001,    0.000
    0.000,   -0.000,    0.000
   -0.001,   -0.001,    0.000
   -0.002,   -0.000,    0.000
   -0.002,   -0.000,   -0.001
   -0.000,   -0.000,   -0.001
    0.000,   -0.001,    0.000
    0.000,   -0.001,    0.001
    0.000,   -0.000,    0.003
    0.000,    0.000,    0.004
    0.000,    0.000,    0.004
    0.001,    0.000,    0.003
    0.002,    0.000,    0.002
    0.001,    0.000,    0.002
    0.000,    0.000,    0.001
   -0.002,    0.000,    0.000
   -0.002,    0.000,    0.000
   -0.000,    0.000,   -0.000
    0.000,    0.000,   -0.001
    0.002,    0.000,   -0.000
    0.002,   -0.000,    0.000
    0.001,   -0.001,    0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
   -0.000,    0.001,    0.001
   -0.001,    0.000,    0.002
   -0.001,    0.000,    0.002
   -0.001,   -0.000,    0.000
   -0.000,   -0.000,   -0.001
    0.000,   -0.000,   -0.001
    0.000,   -0.000,   -0.000
    0.001,   -0.000,    0.001
    0.002,    0.000,    0.001
    0.002,    0.000,    0.001
    0.001,    0.000,    0.000
   -0.000,    0.001,   -0.000
   -0.001,    0.000,   -0.001
   -0.002,    0.000,   -0.001
   -0.000,   -0.001,   -0.000
    0.000,   -0.002,   -0.000
    0.001,   -0.001,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.001,   -0.001
    0.000,    0.002,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.000
   -0.000,   -0.000,   -0.000
   -0.001,    0.000,   -0.001
   -0.001,    0.000,   -0.000
   -0.000,    0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.000,    0.000,   -0.000
    0.001,    0.001,   -0.000
    0.001,    0.001,   -0.000
    0.000,    0.001,    0.000
   -0.000,    0.000,    0.000
   -0.002,   -0.000,   -0.001
   -0.002,   -0.000,   -0.002
   -0.001,   -0.000,   -0.003
    0.000,    0.000,   -0.002
    0.000,    0.000,   -0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.001,    0.000
    0.001,    0.002,   -0.000
    0.002,    0.002,   -0.001
    0.002,    0.001,   -0.000
    0.000,   -0.000,    0.000
   -0.000,   -0.000,    0.001
   -0.000,   -0.000,    0.000
   -0.000,   -0.000,   -0.001
   -0.000,   -0.000,   -0.003
   -0.000,   -0.000,   -0.003
   -0.000,   -0.000,   -0.001
   -0.000,   -0.000,    0.000
    0.000,   -0.000,    0.000
    0.001,   -0.000,   -0.000
    0.001,   -0.000,   -0.001
    0.001,   -0.000,    0.000
   -0.000,   -0.000,    0.000
   -0.000,   -0.000,    0.000
   -0.000,   -0.000,   -0.001
   -0.001,    0.000,   -0.002
   -0.000,    0.000,   -0.001
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.002
    0.000,   -0.000,    0.001
   -0.000,   -0.002,    0.000
    0.000,   -0.001,   -0.000
    0.000,   -0.000,    0.000
    0.002,    0.000,    0.002
    0.000,    0.000,    0.002
   -0.000,    0.000,    0.002
   -0.002,   -0.000,    0.000
   -0.002,   -0.000,    0.000
   -0.001,    0.000,    0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.002,   -0.000,    0.000
    0.002,   -0.001,    0.000
    0.002,   -0.002,    0.000
    0.000,   -0.001,   -0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.001,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,   -0.000,    0.000
   -0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
   -0.002,    0.000,    0.000
   -0.002,    0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.001,    0.000,    0.001
    0.001,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.001,    0.000
    0.000,    0.000,    0.000
   -0.001,    0.000,    0.000
   -0.001,    0.000,    0.000
    0.000,    0.000,   -0.001
    0.001,    0.000,   -0.002
    0.001,    0.000,   -0.001
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,   -0.000,   -0.000
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.000
   -0.001,   -0.000,    0.000
   -0.001,   -0.001,    0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.001,    0.002,    0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.000
   -0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.001
    0.000,   -0.000,   -0.001
    0.000,   -0.000,   -0.000
    0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
   -0.001,    0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,   -0.000,   -0.000
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.001
    0.001,   -0.000,    0.001
    0.001,   -0.002,    0.000
    0.000,   -0.002,   -0.000
   -0.000,   -0.000,   -0.001
   -0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,   -0.000,    0.000
    0.000,   -0.001,    0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.002
    0.000,   -0.000,    0.002
    0.001,   -0.001,    0.002
    0.002,   -0.001,    0.000
    0.001,   -0.001,    0.000
    0.000,    0.000,    0.000
   -0.000,    0.000,    0.002
   -0.001,    0.000,    0.002
   -0.001,    0.000,    0.002
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.001,   -0.000,    0.000
    0.001,   -0.001,    0.000
    0.001,   -0.000,    0.001
    0.000,    0.000,    0.001
   -0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.001,    0.000,    0.001
    0.000,    0.000,    0.001
   -0.000,    0.000,    0.001
   -0.001,    0.000,    0.001
   -0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
   -0.000,    0.000,   -0.000
    0.001,    0.000,    0.000
    0.002,    0.000,    0.000
    0.002,    0.000,    0.001
    0.002,    0.000,    0.001
    0.000,    0.000,    0.001
   -0.000,    0.001,    0.000
   -0.000,    0.001,    0.000
