SITE CODE= ŒSŽRŽs’©“ú
LAT=  37.4009
LON= 140.3600
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 00
NS, EW, UD
    0.011,   -0.006,    0.007
    0.004,   -0.006,    0.001
   -0.005,   -0.007,   -0.007
   -0.010,   -0.003,   -0.012
   -0.007,    0.009,   -0.010
   -0.000,    0.020,   -0.002
    0.004,    0.020,    0.007
    0.003,    0.006,    0.009
   -0.000,   -0.011,    0.005
   -0.002,   -0.020,   -0.000
   -0.001,   -0.014,   -0.001
    0.003,   -0.002,    0.002
    0.008,    0.007,    0.007
    0.007,    0.008,    0.005
    0.001,    0.004,   -0.003
   -0.006,    0.001,   -0.014
   -0.009,    0.001,   -0.018
   -0.004,    0.001,   -0.010
    0.001,   -0.002,    0.003
    0.004,   -0.007,    0.014
    0.001,   -0.010,    0.014
   -0.002,   -0.007,    0.005
   -0.003,   -0.001,   -0.004
   -0.002,    0.006,   -0.009
   -0.002,    0.010,   -0.008
   -0.005,    0.009,   -0.004
   -0.007,    0.003,   -0.001
   -0.005,   -0.002,    0.000
    0.001,   -0.005,    0.000
    0.007,   -0.005,    0.002
    0.008,   -0.002,    0.004
    0.002,   -0.000,    0.005
   -0.005,    0.000,    0.004
   -0.010,    0.001,    0.002
   -0.004,    0.004,   -0.002
    0.006,    0.007,   -0.005
    0.016,    0.005,   -0.004
    0.014,   -0.002,    0.000
    0.001,   -0.012,    0.005
   -0.015,   -0.015,    0.005
   -0.021,   -0.004,   -0.000
   -0.014,    0.010,   -0.010
    0.001,    0.019,   -0.014
    0.013,    0.012,   -0.008
    0.014,   -0.003,    0.004
    0.007,   -0.013,    0.017
   -0.002,   -0.009,    0.021
   -0.006,    0.005,    0.012
   -0.005,    0.017,   -0.006
   -0.000,    0.014,   -0.023
    0.004,   -0.003,   -0.027
    0.007,   -0.023,   -0.012
    0.008,   -0.030,    0.015
    0.005,   -0.017,    0.035
   -0.002,    0.010,    0.030
   -0.013,    0.034,   -0.000
   -0.021,    0.037,   -0.036
   -0.018,    0.012,   -0.048
   -0.004,   -0.026,   -0.023
    0.014,   -0.052,    0.025
    0.024,   -0.041,    0.059
    0.016,    0.000,    0.053
   -0.005,    0.044,    0.009
   -0.024,    0.055,   -0.039
   -0.024,    0.022,   -0.057
   -0.005,   -0.030,   -0.030
    0.014,   -0.062,    0.018
    0.021,   -0.044,    0.049
    0.009,    0.012,    0.038
   -0.009,    0.064,   -0.006
   -0.018,    0.068,   -0.048
   -0.010,    0.015,   -0.049
    0.005,   -0.056,   -0.007
    0.014,   -0.091,    0.043
    0.007,   -0.056,    0.056
   -0.007,    0.027,    0.018
   -0.016,    0.096,   -0.037
   -0.011,    0.093,   -0.063
    0.004,    0.012,   -0.034
    0.016,   -0.085,    0.026
    0.016,   -0.125,    0.066
    0.002,   -0.068,    0.054
   -0.015,    0.045,    0.001
   -0.025,    0.130,   -0.048
   -0.021,    0.121,   -0.061
   -0.003,    0.023,   -0.030
    0.015,   -0.089,    0.018
    0.024,   -0.136,    0.052
    0.018,   -0.080,    0.052
    0.002,    0.032,    0.016
   -0.009,    0.117,   -0.029
   -0.012,    0.114,   -0.052
   -0.006,    0.028,   -0.035
   -0.000,   -0.076,    0.010
    0.002,   -0.119,    0.049
    0.001,   -0.071,    0.046
    0.001,    0.029,    0.001
    0.002,    0.107,   -0.046
    0.004,    0.102,   -0.054
    0.005,    0.019,   -0.014
    0.001,   -0.076,    0.038
   -0.005,   -0.112,    0.059
   -0.012,   -0.063,    0.032
   -0.015,    0.030,   -0.018
   -0.009,    0.095,   -0.052
    0.000,    0.086,   -0.043
    0.007,    0.018,   -0.004
    0.009,   -0.056,    0.035
    0.004,   -0.084,    0.045
    0.000,   -0.051,    0.022
   -0.000,    0.013,   -0.013
    0.001,    0.063,   -0.036
    0.002,    0.070,   -0.032
    0.001,    0.032,   -0.010
   -0.002,   -0.027,    0.015
   -0.006,   -0.068,    0.027
   -0.010,   -0.065,    0.022
   -0.008,   -0.018,    0.005
    0.000,    0.042,   -0.009
    0.011,    0.074,   -0.016
