SITE CODE= “È–ØŽsˆ®’¬
LAT=  36.3772
LON= 139.7363
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 10
NS, EW, UD
   -0.005,   -0.006,    0.003
    0.000,   -0.027,    0.004
    0.007,   -0.034,    0.005
    0.009,   -0.019,    0.003
    0.006,    0.011,    0.001
   -0.001,    0.035,   -0.000
   -0.007,    0.032,    0.002
   -0.011,    0.005,    0.007
   -0.009,   -0.028,    0.011
   -0.002,   -0.038,    0.009
    0.009,   -0.018,    0.001
    0.016,    0.015,   -0.008
    0.013,    0.032,   -0.009
    0.001,    0.019,    0.002
   -0.011,   -0.012,    0.017
   -0.012,   -0.031,    0.022
   -0.001,   -0.021,    0.009
    0.011,    0.007,   -0.011
    0.011,    0.029,   -0.020
   -0.001,    0.025,   -0.010
   -0.013,    0.001,    0.010
   -0.011,   -0.021,    0.023
    0.004,   -0.025,    0.020
    0.018,   -0.012,    0.004
    0.015,    0.004,   -0.012
   -0.002,    0.009,   -0.018
   -0.018,    0.005,   -0.009
   -0.017,   -0.000,    0.007
    0.001,   -0.001,    0.021
    0.018,   -0.000,    0.021
    0.016,   -0.004,    0.005
   -0.003,   -0.008,   -0.016
   -0.021,   -0.007,   -0.024
   -0.018,    0.002,   -0.011
    0.003,    0.012,    0.011
    0.024,    0.011,    0.024
    0.024,   -0.005,    0.018
    0.004,   -0.025,    0.000
   -0.017,   -0.028,   -0.016
   -0.019,   -0.007,   -0.019
   -0.003,    0.021,   -0.009
    0.016,    0.035,    0.007
    0.018,    0.020,    0.020
    0.002,   -0.009,    0.020
   -0.015,   -0.030,    0.007
   -0.020,   -0.023,   -0.010
   -0.007,    0.000,   -0.017
    0.011,    0.020,   -0.007
    0.018,    0.017,    0.012
    0.009,   -0.005,    0.022
   -0.007,   -0.023,    0.012
   -0.015,   -0.022,   -0.007
   -0.006,   -0.001,   -0.017
    0.011,    0.023,   -0.009
    0.018,    0.030,    0.007
    0.004,    0.016,    0.015
   -0.017,   -0.009,    0.009
   -0.023,   -0.028,   -0.002
   -0.005,   -0.027,   -0.006
    0.022,   -0.009,   -0.001
    0.030,    0.014,    0.005
    0.010,    0.025,    0.006
   -0.023,    0.016,    0.002
   -0.034,   -0.005,   -0.002
   -0.012,   -0.023,   -0.001
    0.024,   -0.022,    0.003
    0.037,   -0.005,    0.007
    0.015,    0.014,    0.007
   -0.022,    0.019,    0.002
   -0.042,    0.008,   -0.005
   -0.028,   -0.009,   -0.007
    0.009,   -0.018,   -0.000
    0.040,   -0.012,    0.010
    0.045,   -0.000,    0.016
    0.021,    0.009,    0.009
   -0.015,    0.010,   -0.002
   -0.041,    0.005,   -0.006
   -0.041,   -0.000,    0.002
   -0.016,   -0.005,    0.016
    0.018,   -0.009,    0.018
    0.038,   -0.013,    0.006
    0.029,   -0.011,   -0.010
    0.000,    0.001,   -0.014
   -0.028,    0.017,   -0.002
   -0.032,    0.023,    0.014
   -0.006,    0.010,    0.018
    0.032,   -0.014,    0.009
    0.049,   -0.029,   -0.002
    0.024,   -0.020,   -0.005
   -0.027,    0.006,    0.002
   -0.062,    0.027,    0.006
   -0.050,    0.025,    0.004
    0.004,    0.003,   -0.002
    0.054,   -0.019,   -0.002
    0.060,   -0.023,    0.006
    0.020,   -0.007,    0.014
   -0.028,    0.011,    0.012
   -0.044,    0.014,    0.000
   -0.021,    0.002,   -0.010
    0.012,   -0.013,   -0.007
    0.027,   -0.012,    0.006
    0.014,    0.006,    0.017
   -0.007,    0.022,    0.014
   -0.016,    0.017,    0.000
   -0.006,   -0.011,   -0.010
    0.008,   -0.036,   -0.007
    0.011,   -0.031,    0.005
    0.001,    0.004,    0.014
   -0.009,    0.039,    0.011
   -0.005,    0.040,    0.002
    0.010,    0.003,   -0.005
    0.018,   -0.041,   -0.002
    0.006,   -0.050,    0.007
   -0.017,   -0.016,    0.014
   -0.025,    0.030,    0.009
   -0.007,    0.047,   -0.003
    0.023,    0.020,   -0.009
    0.034,   -0.024,   -0.002
    0.010,   -0.045,    0.012
   -0.025,   -0.025,    0.020
   -0.038,    0.014,    0.009
   -0.012,    0.032,   -0.011
    0.031,    0.013,   -0.020
    0.051,   -0.021,   -0.008
    0.027,   -0.032,    0.014
   -0.024,   -0.005,    0.024
   -0.057,    0.032,    0.012
   -0.042,    0.037,   -0.009
    0.012,   -0.000,   -0.021
    0.058,   -0.044,   -0.010
    0.055,   -0.048,    0.012
    0.004,   -0.006,    0.026
   -0.052,    0.041,    0.018
   -0.061,    0.046,   -0.005
   -0.017,    0.008,   -0.023
    0.041,   -0.036,   -0.022
    0.062,   -0.041,   -0.002
    0.031,   -0.006,    0.023
   -0.023,    0.031,    0.032
   -0.055,    0.032,    0.017
   -0.041,   -0.003,   -0.011
   -0.001,   -0.037,   -0.030
    0.032,   -0.036,   -0.025
    0.037,    0.002,    0.002
    0.019,    0.038,    0.030
   -0.005,    0.037,    0.036
   -0.019,   -0.003,    0.013
   -0.020,   -0.046,   -0.021
   -0.012,   -0.050,   -0.036
    0.000,   -0.005,   -0.019
    0.009,    0.050,    0.014
    0.012,    0.064,    0.034
    0.009,    0.016,    0.024
    0.005,   -0.055,   -0.004
    0.002,   -0.086,   -0.023
    0.000,   -0.046,   -0.020
   -0.006,    0.036,   -0.000
   -0.015,    0.089,    0.017
   -0.017,    0.066,    0.018
   -0.004,   -0.016,    0.006
    0.016,   -0.085,   -0.005
    0.025,   -0.080,   -0.009
    0.014,   -0.006,   -0.004
   -0.008,    0.071,    0.005
   -0.023,    0.080,    0.011
   -0.020,    0.012,    0.008
   -0.001,   -0.065,   -0.002
    0.015,   -0.080,   -0.009
    0.021,   -0.018,   -0.008
    0.014,    0.061,    0.002
    0.002,    0.081,    0.012
   -0.012,    0.020,    0.014
   -0.019,   -0.064,    0.006
   -0.015,   -0.095,   -0.005
    0.000,   -0.041,   -0.010
    0.013,    0.051,   -0.007
    0.013,    0.098,    0.002
    0.002,    0.059,    0.009
   -0.007,   -0.031,    0.011
   -0.003,   -0.095,    0.006
    0.011,   -0.076,    0.000
    0.018,    0.006,   -0.001
    0.005,    0.075,    0.003
   -0.018,    0.072,    0.004
   -0.032,    0.005,   -0.000
   -0.020,   -0.060,   -0.005
    0.011,   -0.062,   -0.002
    0.037,   -0.006,    0.009
    0.039,    0.050,    0.017
    0.014,    0.052,    0.012
   -0.020,    0.002,   -0.001
   -0.040,   -0.050,   -0.010
   -0.031,   -0.053,   -0.006
   -0.003,   -0.006,    0.006
    0.024,    0.044,    0.013
    0.029,    0.052,    0.011
    0.013,    0.012,    0.002
   -0.006,   -0.038,   -0.004
   -0.013,   -0.055,   -0.004
   -0.005,   -0.025,    0.001
    0.005,    0.025,    0.006
    0.007,    0.050,    0.009
    0.000,    0.029,    0.007
   -0.009,   -0.020,   -0.000
   -0.013,   -0.050,   -0.008
