SITE CODE= ‘Š–ÍŒ´’†‰›‹æ’†‰›
LAT=  35.5714
LON= 139.3741
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 30
NS, EW, UD
    0.045,    0.027,    0.092
    0.013,    0.045,   -0.007
   -0.050,    0.039,   -0.121
   -0.080,    0.023,   -0.153
   -0.038,    0.009,   -0.072
    0.047,   -0.007,    0.062
    0.104,   -0.034,    0.138
    0.082,   -0.061,    0.098
    0.000,   -0.061,   -0.012
   -0.075,   -0.017,   -0.090
   -0.083,    0.044,   -0.073
   -0.023,    0.071,    0.005
    0.049,    0.043,    0.065
    0.075,   -0.016,    0.056
    0.039,   -0.050,    0.002
   -0.024,   -0.032,   -0.037
   -0.066,    0.016,   -0.031
   -0.062,    0.048,   -0.002
   -0.022,    0.040,    0.007
    0.025,    0.005,   -0.015
    0.050,   -0.027,   -0.035
    0.048,   -0.037,   -0.020
    0.025,   -0.023,    0.024
   -0.002,    0.001,    0.053
   -0.024,    0.021,    0.036
   -0.034,    0.023,   -0.014
   -0.031,    0.009,   -0.046
   -0.016,   -0.013,   -0.029
    0.005,   -0.029,    0.022
    0.023,   -0.025,    0.056
    0.025,   -0.002,    0.037
    0.008,    0.027,   -0.025
   -0.013,    0.043,   -0.081
   -0.017,    0.035,   -0.082
    0.002,    0.006,   -0.021
    0.027,   -0.027,    0.059
    0.033,   -0.043,    0.094
    0.008,   -0.037,    0.051
   -0.030,   -0.016,   -0.034
   -0.052,    0.008,   -0.089
   -0.039,    0.025,   -0.066
   -0.001,    0.033,    0.009
    0.041,    0.026,    0.065
    0.061,    0.004,    0.058
    0.048,   -0.024,    0.008
    0.009,   -0.035,   -0.029
   -0.038,   -0.014,   -0.028
   -0.068,    0.023,   -0.009
   -0.063,    0.046,   -0.007
   -0.025,    0.034,   -0.025
    0.028,   -0.002,   -0.031
    0.070,   -0.032,   -0.009
    0.080,   -0.042,    0.027
    0.050,   -0.035,    0.048
   -0.006,   -0.020,    0.038
   -0.061,    0.002,    0.009
   -0.086,    0.031,   -0.023
