SITE CODE= éÖãõêÏésàÍÇÃã{
LAT=  37.0388
LON= 137.8633
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 40
NS, EW, UD
    0.005,    0.017,    0.038
    0.003,    0.018,    0.043
    0.003,    0.016,    0.047
    0.004,    0.012,    0.049
    0.005,    0.010,    0.051
    0.005,    0.011,    0.052
    0.004,    0.015,    0.054
    0.004,    0.020,    0.055
    0.006,    0.022,    0.054
    0.007,    0.023,    0.048
    0.007,    0.022,    0.039
    0.005,    0.019,    0.032
    0.005,    0.014,    0.026
    0.005,    0.011,    0.023
    0.005,    0.012,    0.021
    0.007,    0.018,    0.018
    0.007,    0.024,    0.012
    0.007,    0.024,    0.003
    0.007,    0.022,   -0.005
    0.007,    0.023,   -0.009
    0.009,    0.028,   -0.008
    0.012,    0.035,   -0.003
    0.015,    0.037,    0.002
    0.015,    0.035,    0.002
    0.012,    0.030,   -0.003
    0.008,    0.026,   -0.012
    0.008,    0.024,   -0.022
    0.012,    0.022,   -0.030
    0.016,    0.021,   -0.034
    0.016,    0.021,   -0.035
    0.014,    0.024,   -0.035
    0.008,    0.030,   -0.037
    0.005,    0.037,   -0.041
    0.004,    0.040,   -0.046
    0.004,    0.038,   -0.049
    0.004,    0.033,   -0.046
    0.003,    0.027,   -0.036
    0.004,    0.024,   -0.025
    0.007,    0.024,   -0.020
    0.013,    0.025,   -0.024
    0.017,    0.025,   -0.035
    0.017,    0.024,   -0.047
    0.013,    0.023,   -0.052
    0.007,    0.023,   -0.050
    0.002,    0.023,   -0.043
    0.000,    0.021,   -0.036
    0.003,    0.018,   -0.034
    0.007,    0.014,   -0.035
    0.009,    0.012,   -0.039
    0.009,    0.012,   -0.042
    0.007,    0.011,   -0.041
    0.006,    0.010,   -0.038
    0.007,    0.010,   -0.035
    0.008,    0.010,   -0.032
    0.007,    0.009,   -0.029
    0.005,    0.001,   -0.027
    0.003,   -0.009,   -0.024
    0.002,   -0.018,   -0.023
    0.001,   -0.020,   -0.023
    0.000,   -0.016,   -0.022
   -0.002,   -0.012,   -0.017
   -0.005,   -0.009,   -0.009
   -0.008,   -0.009,   -0.003
   -0.010,   -0.009,   -0.005
   -0.011,   -0.009,   -0.016
   -0.010,   -0.011,   -0.033
   -0.010,   -0.015,   -0.046
   -0.010,   -0.021,   -0.050
   -0.010,   -0.026,   -0.043
   -0.008,   -0.026,   -0.030
   -0.005,   -0.023,   -0.019
   -0.001,   -0.021,   -0.017
    0.001,   -0.020,   -0.025
   -0.002,   -0.019,   -0.041
   -0.009,   -0.014,   -0.056
   -0.017,   -0.006,   -0.066
   -0.021,    0.000,   -0.071
   -0.023,    0.004,   -0.072
   -0.021,    0.004,   -0.071
   -0.022,    0.004,   -0.069
   -0.025,    0.007,   -0.066
   -0.026,    0.011,   -0.064
   -0.023,    0.017,   -0.063
   -0.016,    0.022,   -0.065
   -0.009,    0.026,   -0.071
   -0.004,    0.029,   -0.080
   -0.004,    0.029,   -0.087
   -0.004,    0.026,   -0.093
   -0.005,    0.023,   -0.096
   -0.005,    0.024,   -0.095
   -0.005,    0.028,   -0.094
   -0.004,    0.035,   -0.091
   -0.004,    0.039,   -0.091
   -0.005,    0.041,   -0.095
   -0.006,    0.039,   -0.104
   -0.005,    0.039,   -0.114
   -0.001,    0.040,   -0.120
    0.003,    0.043,   -0.116
    0.003,    0.044,   -0.102
    0.000,    0.042,   -0.082
   -0.003,    0.037,   -0.065
   -0.001,    0.032,   -0.056
    0.007,    0.028,   -0.057
    0.017,    0.027,   -0.064
    0.025,    0.027,   -0.067
    0.028,    0.028,   -0.065
    0.026,    0.029,   -0.060
    0.022,    0.031,   -0.055
    0.017,    0.035,   -0.051
    0.014,    0.036,   -0.045
    0.014,    0.032,   -0.029
    0.016,    0.022,   -0.002
    0.020,    0.010,    0.032
    0.022,    0.002,    0.060
    0.022,   -0.001,    0.071
    0.022,    0.000,    0.066
    0.024,    0.004,    0.052
    0.025,    0.008,    0.039
    0.024,    0.011,    0.032
    0.021,    0.012,    0.030
    0.018,    0.009,    0.023
    0.016,    0.004,    0.007
    0.016,    0.002,   -0.017
    0.015,    0.005,   -0.038
    0.012,    0.011,   -0.051
    0.011,    0.015,   -0.052
    0.011,    0.016,   -0.047
    0.013,    0.018,   -0.039
    0.016,    0.024,   -0.028
    0.018,    0.035,   -0.009
    0.020,    0.044,    0.019
    0.020,    0.048,    0.051
    0.018,    0.050,    0.079
    0.013,    0.050,    0.095
    0.006,    0.050,    0.100
    0.000,    0.050,    0.096
   -0.006,    0.052,    0.087
   -0.012,    0.056,    0.071
   -0.018,    0.064,    0.046
   -0.020,    0.073,    0.015
   -0.018,    0.079,   -0.013
   -0.011,    0.080,   -0.027
   -0.004,    0.079,   -0.023
    0.002,    0.079,   -0.005
    0.005,    0.081,    0.013
    0.009,    0.083,    0.020
    0.016,    0.083,    0.011
    0.027,    0.080,   -0.002
    0.037,    0.078,   -0.003
    0.044,    0.077,    0.016
    0.044,    0.079,    0.050
    0.038,    0.084,    0.087
    0.030,    0.089,    0.115
    0.021,    0.090,    0.131
    0.014,    0.086,    0.138
    0.007,    0.080,    0.140
    0.002,    0.076,    0.136
   -0.002,    0.078,    0.120
    0.002,    0.084,    0.095
    0.013,    0.089,    0.071
    0.027,    0.089,    0.058
    0.038,    0.085,    0.058
    0.043,    0.076,    0.068
    0.043,    0.065,    0.082
    0.044,    0.051,    0.093
    0.048,    0.038,    0.102
    0.053,    0.026,    0.108
    0.056,    0.016,    0.110
