SITE CODE= ‹›’ÃŽsŽß‰Þ“°
LAT=  36.8265
LON= 137.4092
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 30
NS, EW, UD
   -0.163,   -0.086,    0.139
   -0.112,   -0.086,    0.157
   -0.055,   -0.074,    0.176
    0.004,   -0.054,    0.194
    0.059,   -0.031,    0.208
    0.110,   -0.010,    0.217
    0.156,    0.006,    0.222
    0.194,    0.021,    0.224
    0.223,    0.036,    0.226
    0.244,    0.048,    0.229
    0.258,    0.054,    0.233
    0.265,    0.053,    0.235
    0.267,    0.046,    0.236
    0.263,    0.036,    0.235
    0.253,    0.026,    0.233
    0.240,    0.022,    0.230
    0.228,    0.027,    0.225
    0.226,    0.038,    0.219
    0.235,    0.052,    0.210
    0.255,    0.062,    0.197
    0.279,    0.070,    0.183
    0.299,    0.073,    0.169
    0.317,    0.070,    0.157
    0.332,    0.064,    0.145
    0.343,    0.057,    0.131
    0.345,    0.054,    0.114
    0.334,    0.056,    0.096
    0.312,    0.062,    0.080
    0.285,    0.070,    0.065
    0.260,    0.075,    0.055
    0.234,    0.077,    0.049
    0.207,    0.072,    0.048
    0.174,    0.061,    0.052
    0.132,    0.049,    0.057
    0.085,    0.039,    0.062
    0.035,    0.034,    0.064
   -0.016,    0.034,    0.064
   -0.064,    0.032,    0.064
   -0.107,    0.031,    0.066
   -0.143,    0.030,    0.074
   -0.167,    0.034,    0.086
   -0.179,    0.040,    0.100
   -0.181,    0.048,    0.116
   -0.180,    0.055,    0.130
   -0.181,    0.065,    0.139
   -0.182,    0.079,    0.141
   -0.181,    0.096,    0.136
   -0.173,    0.115,    0.126
   -0.158,    0.135,    0.114
   -0.140,    0.155,    0.102
   -0.126,    0.173,    0.091
   -0.121,    0.185,    0.079
   -0.128,    0.187,    0.070
   -0.144,    0.180,    0.062
   -0.161,    0.171,    0.060
   -0.170,    0.162,    0.064
   -0.166,    0.153,    0.071
   -0.150,    0.142,    0.080
   -0.128,    0.126,    0.087
   -0.105,    0.107,    0.091
   -0.079,    0.087,    0.096
   -0.050,    0.067,    0.103
   -0.015,    0.046,    0.116
    0.017,    0.026,    0.131
    0.044,    0.010,    0.142
    0.063,    0.000,    0.148
    0.077,   -0.003,    0.143
    0.084,   -0.002,    0.130
    0.084,    0.001,    0.108
    0.077,    0.008,    0.080
    0.066,    0.025,    0.049
    0.057,    0.055,    0.018
    0.053,    0.094,   -0.010
    0.053,    0.131,   -0.033
    0.054,    0.158,   -0.050
    0.055,    0.171,   -0.055
    0.053,    0.177,   -0.051
    0.048,    0.177,   -0.037
    0.042,    0.171,   -0.020
    0.040,    0.150,   -0.003
    0.040,    0.117,    0.012
    0.037,    0.077,    0.023
    0.028,    0.035,    0.031
    0.010,   -0.007,    0.040
   -0.010,   -0.053,    0.049
   -0.027,   -0.097,    0.059
   -0.043,   -0.133,    0.067
   -0.062,   -0.151,    0.073
   -0.086,   -0.153,    0.075
   -0.109,   -0.144,    0.075
   -0.121,   -0.132,    0.070
   -0.123,   -0.120,    0.062
   -0.120,   -0.110,    0.048
   -0.117,   -0.106,    0.034
   -0.117,   -0.112,    0.023
   -0.117,   -0.123,    0.016
   -0.114,   -0.134,    0.014
   -0.109,   -0.144,    0.013
   -0.109,   -0.156,    0.012
   -0.115,   -0.168,    0.014
   -0.126,   -0.177,    0.022
   -0.131,   -0.178,    0.034
   -0.127,   -0.174,    0.045
   -0.115,   -0.170,    0.052
   -0.100,   -0.170,    0.054
   -0.088,   -0.172,    0.052
   -0.078,   -0.176,    0.045
   -0.066,   -0.180,    0.030
   -0.050,   -0.184,    0.011
   -0.037,   -0.185,   -0.011
   -0.033,   -0.180,   -0.029
