SITE CODE= è¨ñÓïîésêÚí¨
LAT=  36.6725
LON= 136.8738
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 20
NS, EW, UD
    0.193,    0.163,    0.022
    0.183,    0.150,    0.013
    0.173,    0.131,    0.021
    0.166,    0.109,    0.041
    0.186,    0.105,    0.071
    0.191,    0.102,    0.084
    0.184,    0.073,    0.086
    0.192,    0.038,    0.100
    0.187,    0.002,    0.113
    0.174,   -0.036,    0.131
    0.143,   -0.075,    0.148
    0.109,   -0.124,    0.171
    0.100,   -0.164,    0.188
    0.077,   -0.177,    0.176
    0.058,   -0.177,    0.162
    0.023,   -0.176,    0.148
   -0.019,   -0.203,    0.130
   -0.051,   -0.228,    0.125
   -0.088,   -0.216,    0.125
   -0.092,   -0.197,    0.128
   -0.121,   -0.194,    0.121
   -0.159,   -0.209,    0.102
   -0.163,   -0.216,    0.076
   -0.177,   -0.228,    0.045
   -0.168,   -0.247,    0.020
   -0.171,   -0.253,   -0.002
   -0.166,   -0.273,   -0.026
   -0.123,   -0.298,   -0.055
   -0.101,   -0.300,   -0.103
   -0.070,   -0.271,   -0.155
   -0.039,   -0.234,   -0.206
   -0.027,   -0.232,   -0.262
   -0.000,   -0.227,   -0.310
    0.025,   -0.183,   -0.347
    0.066,   -0.128,   -0.375
    0.100,   -0.077,   -0.410
    0.111,   -0.048,   -0.454
    0.136,   -0.021,   -0.493
    0.151,    0.034,   -0.540
    0.166,    0.087,   -0.574
    0.170,    0.131,   -0.588
    0.153,    0.164,   -0.584
    0.159,    0.185,   -0.565
    0.154,    0.210,   -0.554
    0.165,    0.247,   -0.536
    0.174,    0.301,   -0.513
    0.130,    0.317,   -0.494
    0.110,    0.301,   -0.457
    0.094,    0.299,   -0.403
    0.064,    0.297,   -0.350
    0.024,    0.302,   -0.301
   -0.027,    0.305,   -0.253
   -0.045,    0.302,   -0.212
   -0.084,    0.300,   -0.192
   -0.147,    0.285,   -0.173
   -0.193,    0.273,   -0.136
   -0.244,    0.240,   -0.103
   -0.272,    0.181,   -0.079
   -0.282,    0.168,   -0.061
   -0.280,    0.184,   -0.046
   -0.272,    0.191,   -0.035
   -0.288,    0.164,   -0.033
   -0.287,    0.119,   -0.020
   -0.273,    0.101,   -0.004
   -0.268,    0.083,    0.009
   -0.248,    0.083,    0.026
   -0.239,    0.085,    0.033
   -0.216,    0.057,    0.027
   -0.185,    0.028,    0.012
   -0.175,    0.007,   -0.006
   -0.169,   -0.006,   -0.017
   -0.177,   -0.029,   -0.028
   -0.164,   -0.081,   -0.036
   -0.136,   -0.132,   -0.040
   -0.121,   -0.158,   -0.052
   -0.109,   -0.165,   -0.064
   -0.105,   -0.198,   -0.072
   -0.086,   -0.265,   -0.075
   -0.056,   -0.303,   -0.068
   -0.045,   -0.320,   -0.052
   -0.029,   -0.328,   -0.021
   -0.008,   -0.321,   -0.001
    0.025,   -0.335,    0.009
    0.059,   -0.324,    0.011
    0.077,   -0.275,    0.014
    0.109,   -0.218,    0.037
    0.125,   -0.163,    0.062
    0.137,   -0.128,    0.084
    0.187,   -0.082,    0.106
    0.227,   -0.027,    0.123
    0.251,    0.017,    0.136
    0.262,    0.075,    0.141
    0.267,    0.100,    0.141
    0.291,    0.095,    0.141
    0.281,    0.091,    0.139
    0.268,    0.096,    0.141
    0.270,    0.109,    0.136
    0.265,    0.082,    0.120
    0.276,    0.057,    0.103
    0.271,    0.064,    0.079
    0.264,    0.064,    0.062
    0.252,    0.052,    0.060
    0.232,    0.021,    0.062
    0.243,    0.004,    0.071
    0.242,    0.013,    0.071
    0.235,    0.027,    0.068
    0.230,    0.056,    0.065
    0.203,    0.068,    0.046
    0.186,    0.062,    0.028
    0.164,    0.071,    0.020
    0.145,    0.090,    0.025
    0.125,    0.122,    0.031
    0.081,    0.134,    0.022
    0.065,    0.116,    0.013
    0.049,    0.107,    0.001
    0.006,    0.097,   -0.012
   -0.030,    0.080,   -0.018
   -0.066,    0.025,   -0.023
   -0.073,   -0.035,   -0.032
   -0.086,   -0.064,   -0.051
   -0.109,   -0.090,   -0.077
   -0.114,   -0.106,   -0.109
   -0.141,   -0.144,   -0.151
   -0.167,   -0.204,   -0.184
   -0.193,   -0.233,   -0.204
   -0.221,   -0.240,   -0.209
   -0.240,   -0.241,   -0.209
   -0.268,   -0.245,   -0.214
   -0.267,   -0.242,   -0.213
   -0.261,   -0.226,   -0.223
   -0.270,   -0.215,   -0.226
   -0.257,   -0.193,   -0.209
   -0.241,   -0.177,   -0.186
   -0.203,   -0.189,   -0.156
   -0.152,   -0.193,   -0.126
   -0.112,   -0.182,   -0.089
   -0.073,   -0.168,   -0.058
   -0.057,   -0.178,   -0.040
   -0.039,   -0.223,   -0.012
   -0.037,   -0.251,    0.023
   -0.057,   -0.268,    0.064
   -0.059,   -0.289,    0.105
   -0.071,   -0.309,    0.138
   -0.070,   -0.326,    0.165
   -0.063,   -0.325,    0.185
   -0.076,   -0.316,    0.207
   -0.077,   -0.303,    0.242
   -0.091,   -0.295,    0.280
   -0.090,   -0.291,    0.324
   -0.065,   -0.244,    0.366
   -0.059,   -0.180,    0.389
   -0.045,   -0.118,    0.401
   -0.073,   -0.058,    0.394
   -0.109,   -0.033,    0.384
   -0.115,   -0.003,    0.387
   -0.146,    0.029,    0.382
   -0.161,    0.061,    0.379
   -0.182,    0.096,    0.366
   -0.189,    0.094,    0.345
   -0.186,    0.094,    0.325
   -0.219,    0.100,    0.306
   -0.218,    0.102,    0.302
   -0.216,    0.100,    0.295
   -0.215,    0.068,    0.287
   -0.191,    0.070,    0.283
   -0.170,    0.105,    0.269
   -0.118,    0.135,    0.253
   -0.084,    0.159,    0.239
   -0.048,    0.164,    0.228
    0.013,    0.192,    0.223
    0.038,    0.220,    0.213
    0.079,    0.248,    0.203
    0.113,    0.294,    0.182
    0.123,    0.313,    0.150
    0.141,    0.331,    0.123
    0.131,    0.339,    0.102
    0.114,    0.326,    0.094
    0.065,    0.304,    0.083
    0.011,    0.239,    0.079
   -0.014,    0.177,    0.098
   -0.068,    0.138,    0.107
   -0.103,    0.100,    0.108
   -0.134,    0.064,    0.104
   -0.161,   -0.009,    0.097
   -0.156,   -0.065,    0.088
   -0.176,   -0.093,    0.069
   -0.164,   -0.131,    0.069
   -0.152,   -0.152,    0.056
   -0.158,   -0.175,    0.023
   -0.137,   -0.182,   -0.007
   -0.146,   -0.191,   -0.041
   -0.149,   -0.213,   -0.062
   -0.175,   -0.231,   -0.073
   -0.206,   -0.278,   -0.068
   -0.206,   -0.308,   -0.052
   -0.240,   -0.308,   -0.043
   -0.263,   -0.308,   -0.040
   -0.293,   -0.300,   -0.041
   -0.332,   -0.326,   -0.045
   -0.339,   -0.358,   -0.042
   -0.357,   -0.367,   -0.032
   -0.356,   -0.374,   -0.021
   -0.345,   -0.365,   -0.020
   -0.335,   -0.372,   -0.034
   -0.299,   -0.378,   -0.043
   -0.287,   -0.371,   -0.058
   -0.269,   -0.377,   -0.066
   -0.249,   -0.385,   -0.064
   -0.240,   -0.417,   -0.065
   -0.191,   -0.430,   -0.065
   -0.155,   -0.410,   -0.080
   -0.108,   -0.400,   -0.095
   -0.079,   -0.381,   -0.111
   -0.083,   -0.373,   -0.130
   -0.064,   -0.365,   -0.135
   -0.061,   -0.347,   -0.141
   -0.034,   -0.318,   -0.136
   -0.023,   -0.260,   -0.131
   -0.043,   -0.213,   -0.131
   -0.010,   -0.175,   -0.116
    0.017,   -0.128,   -0.094
    0.043,   -0.081,   -0.061
    0.082,   -0.021,   -0.023
    0.115,    0.005,    0.018
    0.182,    0.016,    0.073
    0.230,    0.047,    0.113
    0.271,    0.066,    0.148
    0.315,    0.084,    0.179
    0.315,    0.072,    0.189
    0.329,    0.055,    0.201
    0.330,    0.068,    0.217
    0.328,    0.053,    0.247
    0.321,    0.037,    0.277
    0.276,    0.019,    0.296
    0.275,    0.014,    0.320
    0.259,    0.029,    0.334
    0.222,    0.018,    0.344
    0.192,    0.027,    0.360
    0.148,    0.031,    0.376
    0.135,    0.019,    0.389
    0.112,    0.045,    0.394
    0.100,    0.078,    0.396
    0.089,    0.124,    0.387
    0.043,    0.128,    0.367
    0.025,    0.103,    0.355
   -0.012,    0.116,    0.347
   -0.050,    0.119,    0.336
   -0.070,    0.124,    0.318
   -0.100,    0.116,    0.295
   -0.096,    0.099,    0.264
   -0.113,    0.120,    0.227
   -0.119,    0.128,    0.205
   -0.110,    0.127,    0.193
   -0.129,    0.120,    0.176
   -0.108,    0.111,    0.166
   -0.086,    0.143,    0.155
   -0.062,    0.170,    0.127
   -0.038,    0.215,    0.087
   -0.045,    0.253,    0.052
   -0.017,    0.246,    0.036
   -0.002,    0.265,    0.023
    0.002,    0.286,    0.008
    0.015,    0.320,   -0.004
    0.027,    0.334,   -0.024
    0.068,    0.326,   -0.041
    0.078,    0.344,   -0.052
    0.071,    0.341,   -0.057
    0.073,    0.337,   -0.049
    0.056,    0.311,   -0.030
    0.058,    0.284,    0.000
    0.045,    0.307,    0.020
    0.012,    0.315,    0.022
   -0.035,    0.331,    0.023
   -0.114,    0.351,    0.018
   -0.161,    0.344,    0.020
   -0.207,    0.348,    0.020
   -0.260,    0.349,    0.018
   -0.290,    0.365,    0.017
   -0.327,    0.376,    0.005
   -0.327,    0.360,    0.000
   -0.339,    0.350,   -0.004
   -0.358,    0.328,    0.003
   -0.347,    0.293,    0.027
   -0.359,    0.224,    0.044
   -0.336,    0.150,    0.068
   -0.315,    0.120,    0.087
   -0.310,    0.084,    0.098
   -0.291,    0.044,    0.100
   -0.302,   -0.012,    0.098
   -0.283,   -0.070,    0.112
   -0.272,   -0.088,    0.123
   -0.268,   -0.105,    0.128
   -0.244,   -0.118,    0.129
   -0.246,   -0.118,    0.120
   -0.221,   -0.127,    0.116
   -0.209,   -0.134,    0.108
   -0.207,   -0.153,    0.116
   -0.194,   -0.168,    0.134
   -0.212,   -0.186,    0.143
   -0.184,   -0.227,    0.159
   -0.155,   -0.245,    0.156
   -0.146,   -0.244,    0.132
   -0.121,   -0.235,    0.102
   -0.118,   -0.241,    0.065
   -0.074,   -0.261,    0.034
   -0.046,   -0.260,    0.001
   -0.036,   -0.267,   -0.024
    0.008,   -0.259,   -0.043
    0.022,   -0.247,   -0.072
