SITE CODE= Žµ”öŽs–{•{’†’¬
LAT=  37.0327
LON= 136.9698
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 50
NS, EW, UD
   -0.021,    0.052,   -0.040
   -0.021,    0.043,   -0.042
   -0.014,    0.036,   -0.040
   -0.007,    0.032,   -0.034
   -0.004,    0.030,   -0.025
   -0.008,    0.030,   -0.016
   -0.014,    0.032,   -0.009
   -0.016,    0.031,   -0.004
   -0.015,    0.026,    0.000
   -0.012,    0.019,    0.006
   -0.014,    0.014,    0.013
   -0.018,    0.012,    0.020
   -0.021,    0.011,    0.022
   -0.020,    0.009,    0.023
   -0.011,    0.007,    0.022
    0.002,    0.007,    0.021
    0.011,    0.012,    0.022
    0.014,    0.023,    0.025
    0.010,    0.033,    0.032
    0.002,    0.041,    0.037
   -0.005,    0.045,    0.039
   -0.007,    0.049,    0.035
   -0.005,    0.054,    0.029
    0.001,    0.059,    0.024
    0.007,    0.064,    0.027
    0.012,    0.066,    0.034
    0.013,    0.069,    0.038
    0.012,    0.068,    0.037
    0.010,    0.062,    0.034
    0.007,    0.053,    0.032
    0.005,    0.041,    0.032
    0.003,    0.032,    0.029
    0.001,    0.026,    0.021
    0.000,    0.023,    0.010
    0.001,    0.020,    0.002
    0.005,    0.016,    0.001
    0.013,    0.013,    0.005
    0.022,    0.012,    0.012
    0.028,    0.009,    0.022
    0.029,    0.002,    0.035
    0.027,   -0.012,    0.050
    0.022,   -0.029,    0.063
    0.017,   -0.044,    0.072
    0.014,   -0.054,    0.077
    0.016,   -0.057,    0.082
    0.023,   -0.055,    0.088
    0.034,   -0.054,    0.093
    0.043,   -0.055,    0.094
    0.047,   -0.061,    0.089
    0.044,   -0.069,    0.082
    0.035,   -0.078,    0.075
    0.025,   -0.084,    0.068
    0.016,   -0.084,    0.058
    0.010,   -0.078,    0.041
    0.011,   -0.071,    0.020
    0.015,   -0.063,   -0.002
    0.021,   -0.057,   -0.022
    0.025,   -0.056,   -0.041
    0.024,   -0.062,   -0.055
    0.019,   -0.070,   -0.066
    0.012,   -0.078,   -0.070
    0.006,   -0.080,   -0.068
    0.001,   -0.075,   -0.064
   -0.003,   -0.069,   -0.063
   -0.005,   -0.067,   -0.064
   -0.004,   -0.071,   -0.073
    0.000,   -0.079,   -0.087
    0.006,   -0.085,   -0.105
    0.009,   -0.084,   -0.122
    0.007,   -0.075,   -0.133
    0.003,   -0.063,   -0.137
    0.002,   -0.051,   -0.138
    0.002,   -0.046,   -0.136
    0.003,   -0.047,   -0.134
    0.001,   -0.051,   -0.129
   -0.001,   -0.056,   -0.121
   -0.001,   -0.061,   -0.112
    0.002,   -0.068,   -0.103
    0.005,   -0.077,   -0.092
    0.003,   -0.088,   -0.078
   -0.004,   -0.098,   -0.061
   -0.013,   -0.105,   -0.040
   -0.020,   -0.110,   -0.017
   -0.022,   -0.112,    0.005
   -0.022,   -0.112,    0.023
   -0.021,   -0.108,    0.040
   -0.021,   -0.099,    0.057
   -0.020,   -0.089,    0.074
   -0.019,   -0.083,    0.092
   -0.018,   -0.079,    0.107
   -0.017,   -0.073,    0.116
   -0.016,   -0.058,    0.117
   -0.016,   -0.036,    0.113
   -0.018,   -0.009,    0.105
   -0.021,    0.018,    0.092
   -0.026,    0.039,    0.075
   -0.029,    0.054,    0.053
   -0.032,    0.061,    0.029
   -0.035,    0.058,    0.007
   -0.039,    0.048,   -0.010
   -0.045,    0.037,   -0.024
   -0.050,    0.033,   -0.039
   -0.050,    0.040,   -0.057
   -0.042,    0.056,   -0.074
   -0.028,    0.073,   -0.088
   -0.013,    0.083,   -0.102
   -0.001,    0.085,   -0.119
    0.005,    0.081,   -0.140
    0.007,    0.073,   -0.166
    0.008,    0.068,   -0.186
    0.013,    0.068,   -0.195
    0.024,    0.080,   -0.191
    0.035,    0.104,   -0.173
    0.041,    0.134,   -0.144
    0.035,    0.158,   -0.109
    0.021,    0.164,   -0.075
    0.004,    0.151,   -0.047
   -0.007,    0.129,   -0.029
   -0.012,    0.114,   -0.019
   -0.014,    0.110,   -0.013
   -0.014,    0.113,   -0.007
   -0.015,    0.112,   -0.002
   -0.012,    0.103,    0.004
   -0.005,    0.086,    0.012
    0.002,    0.067,    0.029
    0.005,    0.052,    0.052
    0.000,    0.041,    0.078
   -0.006,    0.032,    0.100
   -0.011,    0.022,    0.113
   -0.011,    0.017,    0.121
   -0.012,    0.019,    0.127
   -0.016,    0.031,    0.132
   -0.025,    0.046,    0.131
   -0.034,    0.057,    0.116
   -0.039,    0.059,    0.090
   -0.042,    0.054,    0.062
   -0.043,    0.054,    0.040
   -0.044,    0.066,    0.027
   -0.045,    0.089,    0.020
   -0.044,    0.109,    0.012
   -0.045,    0.118,    0.005
   -0.048,    0.112,   -0.001
   -0.052,    0.101,   -0.004
   -0.053,    0.093,   -0.004
   -0.052,    0.091,   -0.004
   -0.050,    0.091,    0.000
   -0.048,    0.091,    0.008
   -0.047,    0.090,    0.017
   -0.043,    0.087,    0.024
   -0.036,    0.082,    0.026
   -0.028,    0.073,    0.026
   -0.023,    0.067,    0.029
   -0.021,    0.067,    0.039
   -0.020,    0.072,    0.054
   -0.015,    0.078,    0.070
   -0.009,    0.077,    0.083
   -0.004,    0.071,    0.093
   -0.001,    0.064,    0.097
    0.002,    0.061,    0.093
    0.009,    0.057,    0.076
    0.021,    0.048,    0.051
    0.034,    0.037,    0.022
    0.048,    0.032,    0.001
    0.062,    0.038,   -0.010
    0.076,    0.048,   -0.007
    0.089,    0.050,    0.007
    0.096,    0.042,    0.029
    0.096,    0.027,    0.054
    0.087,    0.014,    0.077
    0.076,    0.013,    0.093
    0.066,    0.023,    0.101
    0.064,    0.035,    0.100
    0.070,    0.045,    0.092
    0.082,    0.045,    0.078
    0.100,    0.032,    0.062
    0.118,    0.009,    0.048
    0.131,   -0.021,    0.043
    0.136,   -0.051,    0.046
    0.129,   -0.079,    0.054
    0.109,   -0.105,    0.057
    0.079,   -0.128,    0.054
    0.044,   -0.150,    0.043
    0.010,   -0.171,    0.029
   -0.014,   -0.195,    0.016
   -0.027,   -0.225,    0.004
   -0.032,   -0.258,   -0.009
   -0.032,   -0.288,   -0.025
   -0.031,   -0.305,   -0.040
   -0.026,   -0.304,   -0.052
   -0.018,   -0.288,   -0.055
   -0.010,   -0.266,   -0.050
   -0.004,   -0.243,   -0.041
    0.000,   -0.223,   -0.036
    0.008,   -0.202,   -0.037
    0.022,   -0.175,   -0.041
    0.041,   -0.141,   -0.045
    0.060,   -0.103,   -0.045
    0.073,   -0.070,   -0.041
    0.080,   -0.046,   -0.036
    0.078,   -0.036,   -0.030
    0.067,   -0.039,   -0.024
    0.050,   -0.053,   -0.014
    0.030,   -0.074,   -0.002
    0.011,   -0.100,    0.010
   -0.004,   -0.124,    0.017
   -0.020,   -0.142,    0.019
   -0.038,   -0.149,    0.020
   -0.057,   -0.149,    0.023
   -0.073,   -0.148,    0.030
   -0.083,   -0.152,    0.035
   -0.087,   -0.161,    0.032
   -0.085,   -0.170,    0.018
   -0.076,   -0.173,   -0.006
   -0.056,   -0.162,   -0.032
   -0.026,   -0.137,   -0.055
    0.011,   -0.101,   -0.070
    0.043,   -0.058,   -0.074
    0.064,   -0.015,   -0.070
    0.071,    0.023,   -0.062
    0.067,    0.050,   -0.054
    0.059,    0.066,   -0.048
    0.050,    0.070,   -0.048
    0.039,    0.070,   -0.054
    0.028,    0.067,   -0.064
    0.015,    0.062,   -0.070
    0.004,    0.049,   -0.070
   -0.005,    0.026,   -0.062
   -0.013,   -0.007,   -0.052
   -0.020,   -0.043,   -0.042
   -0.028,   -0.073,   -0.038
   -0.036,   -0.095,   -0.034
   -0.046,   -0.105,   -0.027
   -0.055,   -0.110,   -0.010
   -0.066,   -0.109,    0.012
   -0.075,   -0.104,    0.039
   -0.083,   -0.100,    0.063
   -0.091,   -0.099,    0.078
   -0.095,   -0.096,    0.086
   -0.094,   -0.088,    0.085
   -0.086,   -0.072,    0.077
   -0.071,   -0.048,    0.062
   -0.055,   -0.020,    0.041
   -0.038,    0.004,    0.014
   -0.018,    0.018,   -0.012
    0.002,    0.021,   -0.036
    0.018,    0.016,   -0.056
    0.025,    0.011,   -0.070
    0.021,    0.013,   -0.082
    0.013,    0.030,   -0.094
    0.005,    0.059,   -0.104
    0.002,    0.093,   -0.113
    0.004,    0.122,   -0.122
    0.006,    0.144,   -0.131
    0.009,    0.158,   -0.140
    0.009,    0.168,   -0.151
    0.001,    0.177,   -0.159
   -0.017,    0.184,   -0.162
   -0.043,    0.190,   -0.156
   -0.070,    0.196,   -0.142
   -0.095,    0.200,   -0.120
   -0.116,    0.200,   -0.093
   -0.132,    0.192,   -0.062
   -0.142,    0.175,   -0.026
   -0.142,    0.150,    0.014
   -0.132,    0.123,    0.057
   -0.117,    0.102,    0.102
   -0.102,    0.093,    0.141
   -0.086,    0.095,    0.174
   -0.067,    0.103,    0.200
   -0.043,    0.109,    0.218
   -0.023,    0.112,    0.227
   -0.014,    0.116,    0.228
   -0.018,    0.127,    0.222
   -0.028,    0.146,    0.211
   -0.034,    0.166,    0.201
   -0.034,    0.184,    0.193
   -0.029,    0.195,    0.183
   -0.025,    0.198,    0.169
   -0.020,    0.189,    0.149
