SITE CODE= ëÂí¨ésñèä
LAT=  36.5024
LON= 137.8516
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
   -0.068,   -0.086,    0.222
   -0.049,   -0.067,    0.291
   -0.065,   -0.083,    0.404
   -0.129,   -0.139,    0.536
   -0.216,   -0.224,    0.642
   -0.279,   -0.304,    0.692
   -0.276,   -0.338,    0.683
   -0.199,   -0.307,    0.635
   -0.085,   -0.230,    0.565
    0.009,   -0.157,    0.483
    0.032,   -0.138,    0.404
   -0.017,   -0.187,    0.360
   -0.101,   -0.269,    0.373
   -0.169,   -0.330,    0.429
   -0.192,   -0.327,    0.481
   -0.177,   -0.254,    0.474
   -0.148,   -0.140,    0.387
   -0.123,   -0.029,    0.242
   -0.105,    0.049,    0.087
   -0.078,    0.084,   -0.043
   -0.030,    0.095,   -0.140
    0.039,    0.112,   -0.217
    0.117,    0.168,   -0.275
    0.184,    0.278,   -0.296
    0.221,    0.419,   -0.260
    0.220,    0.537,   -0.173
    0.191,    0.578,   -0.080
    0.151,    0.530,   -0.030
    0.119,    0.440,   -0.040
    0.102,    0.384,   -0.084
    0.088,    0.404,   -0.132
    0.053,    0.477,   -0.179
   -0.023,    0.531,   -0.244
   -0.134,    0.506,   -0.335
   -0.243,    0.389,   -0.422
   -0.305,    0.225,   -0.458
   -0.299,    0.077,   -0.414
   -0.239,   -0.005,   -0.305
   -0.163,   -0.002,   -0.181
   -0.097,    0.067,   -0.088
   -0.045,    0.150,   -0.055
   -0.003,    0.180,   -0.081
    0.018,    0.118,   -0.153
    0.000,   -0.027,   -0.252
   -0.066,   -0.186,   -0.346
   -0.159,   -0.282,   -0.401
   -0.237,   -0.273,   -0.391
   -0.275,   -0.188,   -0.324
   -0.275,   -0.094,   -0.237
   -0.273,   -0.049,   -0.171
   -0.299,   -0.066,   -0.137
   -0.352,   -0.116,   -0.114
   -0.397,   -0.162,   -0.081
   -0.394,   -0.185,   -0.039
   -0.327,   -0.191,   -0.009
   -0.219,   -0.197,   -0.011
   -0.111,   -0.217,   -0.037
   -0.038,   -0.259,   -0.064
   -0.011,   -0.328,   -0.074
   -0.021,   -0.416,   -0.064
   -0.060,   -0.506,   -0.046
   -0.114,   -0.564,   -0.039
   -0.159,   -0.565,   -0.060
   -0.169,   -0.505,   -0.114
   -0.129,   -0.402,   -0.191
   -0.051,   -0.291,   -0.267
    0.027,   -0.196,   -0.319
    0.071,   -0.135,   -0.341
    0.071,   -0.119,   -0.342
    0.051,   -0.148,   -0.346
    0.045,   -0.210,   -0.369
    0.074,   -0.269,   -0.408
    0.138,   -0.280,   -0.449
    0.212,   -0.203,   -0.475
    0.262,   -0.042,   -0.483
