SITE CODE= è„ìcésízín
LAT=  36.3992
LON= 138.2081
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 30
NS, EW, UD
    0.011,    0.024,    0.015
    0.013,   -0.023,   -0.003
   -0.015,   -0.005,   -0.003
    0.014,   -0.033,   -0.011
   -0.012,    0.014,    0.015
   -0.001,    0.032,    0.011
    0.002,   -0.010,   -0.009
   -0.005,   -0.021,    0.001
    0.012,   -0.015,    0.007
    0.007,    0.011,    0.008
   -0.012,    0.017,    0.005
   -0.010,   -0.007,   -0.003
    0.004,   -0.012,    0.001
    0.002,   -0.002,    0.005
    0.011,   -0.004,    0.003
    0.006,    0.000,   -0.005
   -0.022,    0.007,    0.007
    0.003,   -0.019,    0.007
    0.002,   -0.009,    0.002
   -0.012,    0.030,    0.015
    0.017,   -0.009,   -0.007
   -0.002,   -0.014,   -0.003
   -0.008,    0.006,    0.007
   -0.010,   -0.009,    0.009
    0.002,    0.004,    0.009
    0.021,   -0.008,   -0.017
   -0.018,    0.002,    0.007
   -0.029,    0.018,    0.036
    0.014,   -0.023,    0.015
    0.028,   -0.018,   -0.025
   -0.003,    0.016,   -0.012
    0.011,   -0.007,    0.008
   -0.037,    0.001,    0.005
   -0.036,    0.023,    0.020
    0.035,   -0.022,    0.000
   -0.008,    0.007,    0.018
    0.013,    0.023,    0.016
    0.027,    0.000,    0.001
   -0.011,    0.021,    0.014
    0.018,   -0.028,   -0.017
   -0.018,    0.026,    0.033
   -0.004,    0.023,    0.045
    0.037,   -0.046,   -0.031
   -0.032,    0.053,   -0.001
    0.026,    0.018,    0.036
    0.023,   -0.027,    0.010
   -0.045,    0.053,    0.033
    0.047,   -0.004,    0.017
    0.018,   -0.038,   -0.029
   -0.019,    0.034,    0.009
    0.018,    0.018,    0.023
   -0.018,    0.023,    0.008
   -0.002,    0.008,    0.009
    0.032,   -0.022,    0.013
    0.002,    0.043,    0.045
    0.025,   -0.004,    0.005
    0.008,   -0.028,   -0.037
