SITE CODE= ”ü”Z‰Á–ÎŽs‘¾“c’¬
LAT=  35.4400
LON= 137.0167
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 50
NS, EW, UD
    0.056,   -0.067,    0.184
    0.099,   -0.062,    0.153
    0.143,   -0.031,    0.121
    0.184,    0.033,    0.090
    0.219,    0.113,    0.068
    0.248,    0.182,    0.056
    0.275,    0.216,    0.051
    0.303,    0.207,    0.045
    0.329,    0.175,    0.028
    0.346,    0.152,    0.002
    0.346,    0.162,   -0.030
    0.334,    0.202,   -0.059
    0.318,    0.239,   -0.079
    0.309,    0.243,   -0.091
    0.311,    0.204,   -0.097
    0.319,    0.147,   -0.099
    0.323,    0.106,   -0.098
    0.312,    0.102,   -0.094
    0.280,    0.131,   -0.088
    0.226,    0.169,   -0.084
    0.157,    0.191,   -0.075
    0.082,    0.183,   -0.057
    0.015,    0.144,   -0.028
   -0.032,    0.080,    0.011
   -0.052,    0.002,    0.050
   -0.049,   -0.076,    0.082
   -0.036,   -0.141,    0.105
   -0.030,   -0.189,    0.119
   -0.036,   -0.220,    0.118
   -0.046,   -0.243,    0.100
   -0.046,   -0.261,    0.067
   -0.034,   -0.276,    0.035
   -0.016,   -0.284,    0.012
   -0.007,   -0.288,   -0.003
   -0.007,   -0.296,   -0.027
   -0.007,   -0.310,   -0.070
    0.004,   -0.320,   -0.126
    0.033,   -0.313,   -0.177
    0.084,   -0.282,   -0.209
    0.157,   -0.238,   -0.222
    0.242,   -0.197,   -0.228
    0.318,   -0.168,   -0.233
    0.357,   -0.143,   -0.233
    0.348,   -0.112,   -0.229
    0.305,   -0.072,   -0.226
    0.264,   -0.022,   -0.236
    0.260,    0.039,   -0.260
    0.305,    0.119,   -0.284
    0.385,    0.221,   -0.294
    0.473,    0.331,   -0.290
    0.539,    0.420,   -0.286
    0.567,    0.461,   -0.295
    0.558,    0.451,   -0.314
    0.533,    0.409,   -0.332
    0.512,    0.366,   -0.341
    0.503,    0.339,   -0.344
    0.496,    0.334,   -0.344
    0.475,    0.340,   -0.339
    0.437,    0.352,   -0.316
    0.387,    0.361,   -0.267
    0.331,    0.356,   -0.194
    0.264,    0.321,   -0.112
    0.180,    0.245,   -0.034
    0.092,    0.136,    0.033
    0.024,    0.021,    0.099
    0.000,   -0.069,    0.167
    0.013,   -0.125,    0.237
    0.034,   -0.171,    0.298
    0.032,   -0.241,    0.340
   -0.003,   -0.351,    0.358
   -0.064,   -0.478,    0.354
   -0.141,   -0.580,    0.336
   -0.217,   -0.624,    0.308
   -0.280,   -0.610,    0.269
   -0.316,   -0.566,    0.215
   -0.325,   -0.523,    0.146
   -0.317,   -0.498,    0.070
   -0.310,   -0.490,   -0.004
   -0.319,   -0.483,   -0.066
   -0.343,   -0.458,   -0.113
   -0.378,   -0.396,   -0.149
   -0.415,   -0.300,   -0.178
   -0.453,   -0.193,   -0.203
   -0.490,   -0.115,   -0.220
   -0.523,   -0.087,   -0.220
   -0.541,   -0.101,   -0.203
   -0.536,   -0.120,   -0.170
   -0.504,   -0.109,   -0.132
   -0.451,   -0.058,   -0.100
   -0.391,    0.011,   -0.078
   -0.333,    0.070,   -0.062
   -0.277,    0.106,   -0.041
   -0.216,    0.125,   -0.005
   -0.140,    0.141,    0.044
   -0.054,    0.164,    0.094
    0.029,    0.190,    0.134
    0.095,    0.207,    0.160
    0.144,    0.213,    0.175
    0.187,    0.210,    0.188
    0.233,    0.212,    0.201
    0.284,    0.224,    0.212
    0.332,    0.243,    0.216
    0.370,    0.256,    0.213
    0.408,    0.253,    0.213
    0.454,    0.237,    0.220
    0.510,    0.222,    0.235
    0.558,    0.220,    0.249
    0.578,    0.236,    0.249
    0.552,    0.266,    0.229
    0.487,    0.307,    0.192
    0.397,    0.357,    0.146
    0.301,    0.415,    0.102
    0.212,    0.471,    0.062
    0.141,    0.508,    0.025
    0.093,    0.517,   -0.015
    0.067,    0.494,   -0.059
    0.059,    0.450,   -0.103
    0.058,    0.391,   -0.139
    0.051,    0.323,   -0.164
    0.027,    0.246,   -0.174
   -0.014,    0.171,   -0.166
   -0.058,    0.104,   -0.139
   -0.088,    0.050,   -0.090
   -0.097,    0.000,   -0.029
   -0.094,   -0.057,    0.027
   -0.098,   -0.129,    0.063
   -0.116,   -0.212,    0.077
   -0.137,   -0.293,    0.082
   -0.141,   -0.359,    0.089
   -0.115,   -0.405,    0.102
   -0.067,   -0.429,    0.114
   -0.013,   -0.432,    0.113
    0.036,   -0.421,    0.100
    0.073,   -0.402,    0.077
    0.099,   -0.385,    0.048
    0.108,   -0.372,    0.008
    0.102,   -0.364,   -0.048
    0.094,   -0.354,   -0.113
    0.101,   -0.338,   -0.176
    0.130,   -0.312,   -0.225
    0.171,   -0.282,   -0.256
    0.205,   -0.254,   -0.273
    0.216,   -0.238,   -0.281
    0.203,   -0.232,   -0.276
    0.169,   -0.222,   -0.252
    0.118,   -0.191,   -0.210
    0.053,   -0.132,   -0.159
   -0.014,   -0.059,   -0.111
   -0.068,    0.003,   -0.075
   -0.095,    0.034,   -0.046
   -0.094,    0.037,   -0.012
   -0.072,    0.029,    0.036
   -0.046,    0.017,    0.089
   -0.030,   -0.001,    0.129
   -0.030,   -0.033,    0.141
   -0.040,   -0.076,    0.128
   -0.040,   -0.109,    0.106
   -0.011,   -0.117,    0.092
    0.048,   -0.099,    0.086
    0.114,   -0.076,    0.077
    0.159,   -0.064,    0.050
    0.173,   -0.067,    0.006
    0.171,   -0.072,   -0.038
    0.182,   -0.064,   -0.065
    0.212,   -0.050,   -0.066
    0.236,   -0.047,   -0.048
    0.227,   -0.076,   -0.024
    0.180,   -0.138,   -0.007
    0.127,   -0.216,    0.001
    0.102,   -0.283,    0.009
    0.116,   -0.326,    0.023
    0.139,   -0.351,    0.043
    0.139,   -0.373,    0.060
    0.103,   -0.396,    0.067
    0.059,   -0.412,    0.062
    0.040,   -0.396,    0.051
    0.055,   -0.337,    0.045
    0.082,   -0.245,    0.054
    0.092,   -0.154,    0.079
    0.080,   -0.095,    0.113
    0.060,   -0.077,    0.147
    0.052,   -0.082,    0.173
    0.049,   -0.078,    0.192
    0.027,   -0.054,    0.212
   -0.037,   -0.015,    0.233
   -0.141,    0.016,    0.244
   -0.250,    0.025,    0.231
   -0.325,    0.020,    0.193
   -0.345,    0.018,    0.144
   -0.318,    0.032,    0.102
   -0.264,    0.058,    0.072
