SITE CODE= “‡“cŽsŠøŽw
LAT=  34.8447
LON= 138.1748
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 30
NS, EW, UD
    0.289,    0.131,   -0.159
    0.278,    0.155,   -0.178
    0.257,    0.173,   -0.205
    0.234,    0.184,   -0.228
    0.219,    0.186,   -0.242
    0.204,    0.181,   -0.236
    0.194,    0.170,   -0.216
    0.189,    0.157,   -0.194
    0.189,    0.141,   -0.173
    0.185,    0.118,   -0.146
    0.178,    0.093,   -0.110
    0.171,    0.057,   -0.065
    0.161,    0.020,   -0.013
    0.150,   -0.013,    0.013
    0.142,   -0.042,    0.007
    0.136,   -0.066,   -0.012
    0.132,   -0.095,   -0.029
    0.128,   -0.113,   -0.036
    0.121,   -0.127,   -0.037
    0.114,   -0.140,   -0.025
    0.109,   -0.153,    0.020
    0.099,   -0.171,    0.095
    0.085,   -0.195,    0.179
    0.058,   -0.231,    0.237
    0.029,   -0.274,    0.265
    0.009,   -0.317,    0.274
    0.002,   -0.345,    0.270
   -0.001,   -0.342,    0.260
    0.002,   -0.313,    0.238
    0.013,   -0.257,    0.202
    0.037,   -0.181,    0.153
    0.078,   -0.095,    0.106
    0.124,   -0.007,    0.081
    0.161,    0.066,    0.079
    0.175,    0.119,    0.095
    0.170,    0.144,    0.106
    0.150,    0.144,    0.111
    0.120,    0.134,    0.108
    0.091,    0.120,    0.100
    0.066,    0.105,    0.098
    0.052,    0.097,    0.079
    0.048,    0.109,    0.048
    0.057,    0.144,    0.008
    0.086,    0.201,   -0.039
    0.119,    0.259,   -0.078
    0.154,    0.298,   -0.098
    0.183,    0.310,   -0.087
    0.199,    0.301,   -0.067
    0.206,    0.274,   -0.059
    0.199,    0.238,   -0.059
    0.183,    0.202,   -0.060
    0.153,    0.175,   -0.053
    0.103,    0.160,   -0.042
    0.045,    0.151,   -0.035
   -0.014,    0.143,   -0.040
   -0.063,    0.141,   -0.059
   -0.096,    0.146,   -0.079
   -0.118,    0.155,   -0.092
   -0.134,    0.164,   -0.094
   -0.143,    0.158,   -0.085
   -0.152,    0.137,   -0.074
   -0.158,    0.113,   -0.074
   -0.162,    0.090,   -0.078
   -0.166,    0.072,   -0.073
   -0.172,    0.061,   -0.059
   -0.182,    0.054,   -0.024
   -0.194,    0.055,    0.023
   -0.200,    0.062,    0.066
   -0.196,    0.064,    0.096
   -0.187,    0.052,    0.110
   -0.178,    0.026,    0.109
   -0.178,   -0.002,    0.103
   -0.186,   -0.027,    0.113
   -0.196,   -0.039,    0.141
   -0.209,   -0.040,    0.183
