SITE CODE= •xŽm‹{Žs‹|‘ò’¬
LAT=  35.2232
LON= 138.6210
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 30
NS, EW, UD
    0.068,    0.034,   -0.041
    0.034,   -0.038,   -0.053
   -0.031,   -0.059,   -0.005
   -0.069,   -0.010,    0.046
   -0.050,    0.050,    0.041
    0.013,    0.057,   -0.014
    0.070,    0.007,   -0.061
    0.074,   -0.050,   -0.050
    0.011,   -0.058,    0.007
   -0.079,   -0.010,    0.062
   -0.118,    0.052,    0.070
   -0.059,    0.071,    0.029
    0.063,    0.026,   -0.030
    0.145,   -0.049,   -0.070
    0.109,   -0.091,   -0.062
   -0.015,   -0.055,   -0.012
   -0.113,    0.036,    0.044
   -0.099,    0.103,    0.065
   -0.000,    0.083,    0.035
    0.073,   -0.011,   -0.018
    0.050,   -0.097,   -0.042
   -0.029,   -0.097,   -0.014
   -0.069,   -0.014,    0.033
   -0.029,    0.070,    0.042
    0.038,    0.079,   -0.004
    0.054,    0.011,   -0.059
    0.004,   -0.059,   -0.062
   -0.048,   -0.062,   -0.007
   -0.045,   -0.001,    0.051
    0.006,    0.061,    0.053
    0.044,    0.064,    0.004
    0.032,    0.014,   -0.039
   -0.005,   -0.037,   -0.029
   -0.018,   -0.042,    0.018
    0.005,   -0.007,    0.047
    0.028,    0.027,    0.027
    0.020,    0.029,   -0.017
   -0.009,    0.001,   -0.039
   -0.026,   -0.030,   -0.026
   -0.016,   -0.038,   -0.002
   -0.000,   -0.019,    0.007
   -0.002,    0.008,    0.002
   -0.012,    0.022,    0.002
   -0.006,    0.014,    0.010
    0.014,   -0.001,    0.015
    0.021,   -0.004,    0.008
    0.002,    0.012,   -0.003
   -0.016,    0.026,   -0.006
    0.002,    0.014,   -0.005
    0.038,   -0.023,   -0.011
    0.033,   -0.051,   -0.018
   -0.034,   -0.037,   -0.009
   -0.101,    0.012,    0.021
   -0.082,    0.055,    0.041
    0.024,    0.052,    0.019
    0.111,    0.007,   -0.030
    0.082,   -0.038,   -0.054
   -0.031,   -0.048,   -0.020
   -0.095,   -0.020,    0.035
   -0.025,    0.014,    0.044
    0.102,    0.031,   -0.012
    0.134,    0.024,   -0.070
    0.022,    0.005,   -0.051
   -0.124,   -0.011,    0.045
   -0.153,   -0.015,    0.127
   -0.048,   -0.005,    0.108
    0.068,    0.013,   -0.006
    0.078,    0.019,   -0.115
    0.005,   -0.003,   -0.132
   -0.041,   -0.044,   -0.060
   -0.006,   -0.068,    0.023
    0.046,   -0.043,    0.053
    0.030,    0.024,    0.035
   -0.041,    0.080,    0.019
   -0.071,    0.078,    0.028
   -0.006,    0.020,    0.037
    0.084,   -0.042,    0.015
    0.094,   -0.061,   -0.030
    0.011,   -0.032,   -0.059
   -0.068,    0.009,   -0.041
   -0.059,    0.030,    0.000
    0.007,    0.025,    0.028
    0.030,    0.012,    0.028
   -0.022,    0.004,    0.019
   -0.072,   -0.004,    0.017
   -0.042,   -0.013,    0.015
    0.045,   -0.018,   -0.007
    0.088,   -0.017,   -0.043
    0.046,   -0.011,   -0.056
   -0.019,   -0.005,   -0.028
   -0.029,   -0.004,    0.021
    0.007,    0.000,    0.051
    0.014,    0.007,    0.044
   -0.030,    0.014,    0.021
   -0.058,    0.016,    0.002
   -0.010,    0.014,   -0.015
    0.071,    0.006,   -0.040
    0.089,   -0.011,   -0.059
    0.016,   -0.031,   -0.041
   -0.062,   -0.036,    0.017
   -0.061,   -0.009,    0.071
   -0.000,    0.039,    0.070
    0.028,    0.064,    0.017
   -0.009,    0.037,   -0.031
   -0.046,   -0.026,   -0.032
   -0.018,   -0.063,   -0.001
    0.043,   -0.037,    0.008
    0.049,    0.025,   -0.020
   -0.012,    0.054,   -0.042
   -0.058,    0.018,   -0.017
   -0.022,   -0.038,    0.039
    0.048,   -0.046,    0.065
    0.053,    0.003,    0.032
   -0.019,    0.050,   -0.021
   -0.068,    0.041,   -0.040
   -0.021,   -0.013,   -0.016
    0.070,   -0.050,    0.008
    0.087,   -0.037,    0.002
    0.011,   -0.002,   -0.016
   -0.064,    0.012,   -0.009
