SITE CODE= ñLìcésè¨ç‚ñ{í¨
LAT=  35.0871
LON= 137.1505
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
   -0.011,   -0.007,   -0.050
    0.006,    0.012,   -0.056
    0.021,    0.036,   -0.046
    0.028,    0.056,   -0.025
    0.033,    0.066,   -0.004
    0.035,    0.060,    0.012
    0.034,    0.039,    0.026
    0.022,    0.008,    0.044
    0.000,   -0.023,    0.068
   -0.024,   -0.044,    0.089
   -0.036,   -0.052,    0.091
   -0.030,   -0.047,    0.069
   -0.009,   -0.033,    0.028
    0.020,   -0.011,   -0.015
    0.044,    0.014,   -0.044
    0.057,    0.039,   -0.059
    0.055,    0.056,   -0.068
    0.038,    0.059,   -0.079
    0.010,    0.047,   -0.089
   -0.024,    0.022,   -0.089
   -0.052,   -0.010,   -0.071
   -0.067,   -0.039,   -0.039
   -0.064,   -0.060,   -0.004
   -0.047,   -0.069,    0.021
   -0.025,   -0.066,    0.038
   -0.000,   -0.055,    0.047
    0.021,   -0.039,    0.052
    0.038,   -0.023,    0.052
    0.046,   -0.010,    0.049
    0.039,   -0.005,    0.045
    0.018,   -0.009,    0.041
   -0.011,   -0.020,    0.037
   -0.041,   -0.034,    0.027
   -0.061,   -0.046,    0.004
   -0.069,   -0.055,   -0.024
   -0.066,   -0.057,   -0.049
   -0.056,   -0.052,   -0.062
   -0.041,   -0.041,   -0.065
   -0.022,   -0.023,   -0.066
   -0.001,    0.001,   -0.070
    0.017,    0.025,   -0.077
    0.028,    0.044,   -0.082
    0.030,    0.052,   -0.084
    0.024,    0.044,   -0.082
    0.012,    0.022,   -0.079
   -0.004,   -0.005,   -0.068
   -0.020,   -0.022,   -0.044
   -0.028,   -0.023,   -0.004
   -0.023,   -0.008,    0.042
   -0.005,    0.011,    0.082
    0.021,    0.023,    0.107
    0.045,    0.030,    0.119
    0.060,    0.033,    0.121
    0.062,    0.035,    0.118
    0.058,    0.034,    0.107
    0.047,    0.027,    0.090
    0.032,    0.011,    0.063
    0.013,   -0.007,    0.023
   -0.004,   -0.018,   -0.023
   -0.014,   -0.013,   -0.064
   -0.014,    0.010,   -0.081
   -0.000,    0.044,   -0.066
    0.024,    0.079,   -0.027
    0.052,    0.103,    0.005
    0.075,    0.110,    0.015
    0.083,    0.098,    0.007
    0.072,    0.079,    0.003
    0.048,    0.060,    0.019
    0.020,    0.047,    0.052
   -0.004,    0.038,    0.079
   -0.020,    0.028,    0.082
   -0.029,    0.013,    0.057
   -0.032,   -0.004,    0.016
   -0.029,   -0.019,   -0.025
   -0.019,   -0.030,   -0.055
   -0.009,   -0.037,   -0.066
   -0.005,   -0.045,   -0.064
   -0.010,   -0.055,   -0.059
   -0.021,   -0.070,   -0.058
   -0.032,   -0.088,   -0.057
   -0.037,   -0.105,   -0.045
   -0.037,   -0.116,   -0.016
   -0.032,   -0.116,    0.018
   -0.024,   -0.105,    0.034
   -0.014,   -0.081,    0.027
   -0.005,   -0.047,    0.012
    0.001,   -0.013,    0.013
    0.007,    0.006,    0.039
    0.009,   -0.001,    0.073
    0.004,   -0.032,    0.095
   -0.016,   -0.069,    0.099
   -0.048,   -0.091,    0.097
   -0.078,   -0.084,    0.095
   -0.086,   -0.057,    0.085
   -0.063,   -0.025,    0.060
   -0.021,   -0.002,    0.023
    0.018,    0.012,   -0.005
    0.030,    0.025,   -0.013
    0.014,    0.043,   -0.012
   -0.018,    0.063,   -0.023
   -0.049,    0.076,   -0.054
   -0.069,    0.077,   -0.090
   -0.075,    0.063,   -0.107
   -0.072,    0.039,   -0.093
   -0.061,    0.013,   -0.059
   -0.043,   -0.009,   -0.025
   -0.022,   -0.025,   -0.005
   -0.003,   -0.034,   -0.001
    0.012,   -0.039,   -0.006
    0.022,   -0.050,   -0.013
    0.026,   -0.066,   -0.019
    0.018,   -0.084,   -0.024
   -0.004,   -0.094,   -0.031
   -0.036,   -0.089,   -0.037
   -0.064,   -0.069,   -0.036
   -0.072,   -0.043,   -0.017
   -0.054,   -0.020,    0.021
   -0.019,   -0.005,    0.066
    0.014,    0.004,    0.100
    0.034,    0.012,    0.111
    0.039,    0.021,    0.105
    0.039,    0.026,    0.094
    0.044,    0.023,    0.093
    0.053,    0.015,    0.096
    0.061,    0.007,    0.095
    0.064,    0.009,    0.075
    0.060,    0.029,    0.035
    0.050,    0.068,   -0.013
    0.041,    0.121,   -0.055
    0.037,    0.169,   -0.071
    0.039,    0.194,   -0.058
    0.043,    0.183,   -0.020
    0.040,    0.139,    0.026
    0.028,    0.078,    0.057
    0.010,    0.024,    0.060
   -0.005,   -0.007,    0.039
   -0.013,   -0.017,    0.012
   -0.013,   -0.021,   -0.005
   -0.015,   -0.036,   -0.013
   -0.027,   -0.068,   -0.024
   -0.047,   -0.104,   -0.040
   -0.068,   -0.128,   -0.052
   -0.079,   -0.129,   -0.043
   -0.073,   -0.115,   -0.005
   -0.056,   -0.104,    0.043
   -0.038,   -0.114,    0.077
   -0.032,   -0.142,    0.083
   -0.033,   -0.171,    0.071
   -0.032,   -0.182,    0.056
   -0.013,   -0.173,    0.044
    0.021,   -0.153,    0.025
    0.055,   -0.132,   -0.008
    0.076,   -0.107,   -0.050
    0.080,   -0.069,   -0.087
    0.078,   -0.014,   -0.106
    0.080,    0.045,   -0.106
    0.081,    0.087,   -0.089
    0.071,    0.091,   -0.054
    0.044,    0.056,   -0.001
    0.008,    0.000,    0.055
   -0.024,   -0.052,    0.095
   -0.045,   -0.077,    0.107
   -0.057,   -0.064,    0.096
