SITE CODE= â™çËésé·ã{í¨
LAT=  34.9528
LON= 137.1793
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
   -0.023,    0.182,    0.235
   -0.015,    0.255,    0.229
   -0.014,    0.325,    0.217
   -0.016,    0.384,    0.203
   -0.023,    0.428,    0.186
   -0.032,    0.453,    0.163
   -0.042,    0.464,    0.128
   -0.046,    0.463,    0.087
   -0.037,    0.457,    0.045
   -0.018,    0.448,    0.007
    0.005,    0.429,   -0.028
    0.023,    0.400,   -0.058
    0.035,    0.362,   -0.086
    0.050,    0.323,   -0.110
    0.075,    0.289,   -0.131
    0.107,    0.257,   -0.148
    0.140,    0.223,   -0.160
    0.165,    0.181,   -0.169
    0.184,    0.133,   -0.176
    0.200,    0.091,   -0.184
    0.216,    0.070,   -0.194
    0.227,    0.072,   -0.202
    0.230,    0.095,   -0.210
    0.223,    0.129,   -0.215
    0.211,    0.166,   -0.216
    0.196,    0.205,   -0.212
    0.178,    0.251,   -0.201
    0.155,    0.309,   -0.184
    0.129,    0.380,   -0.165
    0.102,    0.456,   -0.149
    0.073,    0.523,   -0.136
    0.041,    0.566,   -0.124
    0.000,    0.581,   -0.108
   -0.046,    0.571,   -0.087
   -0.090,    0.545,   -0.067
   -0.126,    0.508,   -0.051
   -0.156,    0.461,   -0.045
   -0.186,    0.401,   -0.045
   -0.219,    0.328,   -0.047
   -0.253,    0.250,   -0.043
   -0.280,    0.169,   -0.032
   -0.296,    0.094,   -0.014
   -0.307,    0.024,    0.006
   -0.316,   -0.039,    0.025
   -0.319,   -0.095,    0.039
   -0.305,   -0.143,    0.048
   -0.268,   -0.182,    0.048
   -0.209,   -0.214,    0.037
   -0.136,   -0.238,    0.021
   -0.060,   -0.254,    0.002
    0.016,   -0.265,   -0.017
    0.088,   -0.277,   -0.034
    0.154,   -0.292,   -0.052
    0.207,   -0.312,   -0.069
    0.240,   -0.331,   -0.086
    0.254,   -0.341,   -0.100
    0.249,   -0.339,   -0.112
    0.225,   -0.328,   -0.124
    0.182,   -0.314,   -0.132
    0.123,   -0.301,   -0.132
    0.052,   -0.291,   -0.122
   -0.026,   -0.276,   -0.108
   -0.109,   -0.247,   -0.095
   -0.194,   -0.198,   -0.087
   -0.281,   -0.130,   -0.088
   -0.361,   -0.051,   -0.094
   -0.424,    0.025,   -0.105
   -0.462,    0.090,   -0.117
   -0.475,    0.138,   -0.128
   -0.468,    0.170,   -0.135
   -0.450,    0.186,   -0.136
   -0.425,    0.191,   -0.136
   -0.390,    0.186,   -0.138
   -0.347,    0.176,   -0.140
   -0.299,    0.165,   -0.137
   -0.250,    0.155,   -0.126
   -0.205,    0.144,   -0.109
   -0.170,    0.130,   -0.092
   -0.151,    0.113,   -0.078
   -0.152,    0.092,   -0.069
   -0.174,    0.065,   -0.065
   -0.207,    0.031,   -0.068
   -0.237,   -0.012,   -0.075
   -0.254,   -0.063,   -0.082
   -0.255,   -0.116,   -0.086
   -0.247,   -0.160,   -0.086
   -0.237,   -0.190,   -0.092
   -0.226,   -0.202,   -0.106
   -0.211,   -0.200,   -0.122
   -0.187,   -0.192,   -0.128
   -0.153,   -0.184,   -0.120
   -0.115,   -0.170,   -0.102
   -0.078,   -0.140,   -0.087
   -0.051,   -0.091,   -0.081
   -0.033,   -0.030,   -0.078
   -0.020,    0.023,   -0.070
   -0.001,    0.050,   -0.050
    0.029,    0.045,   -0.025
    0.070,    0.021,   -0.001
    0.110,   -0.008,    0.015
    0.137,   -0.030,    0.021
    0.148,   -0.045,    0.020
    0.143,   -0.056,    0.013
    0.134,   -0.070,    0.003
    0.129,   -0.087,   -0.005
    0.127,   -0.106,   -0.011
    0.120,   -0.122,   -0.014
    0.099,   -0.131,   -0.015
    0.064,   -0.132,   -0.016
    0.020,   -0.126,   -0.016
   -0.025,   -0.118,   -0.016
   -0.066,   -0.107,   -0.023
   -0.108,   -0.098,   -0.042
   -0.155,   -0.084,   -0.071
   -0.209,   -0.062,   -0.099
   -0.266,   -0.027,   -0.114
   -0.322,    0.020,   -0.115
   -0.368,    0.080,   -0.107
   -0.403,    0.148,   -0.096
   -0.423,    0.218,   -0.082
   -0.428,    0.280,   -0.062
   -0.413,    0.331,   -0.039
   -0.375,    0.364,   -0.020
   -0.312,    0.385,   -0.016
   -0.232,    0.397,   -0.028
   -0.142,    0.402,   -0.047
   -0.054,    0.396,   -0.069
    0.023,    0.373,   -0.090
    0.078,    0.334,   -0.111
    0.103,    0.287,   -0.123
    0.097,    0.244,   -0.120
    0.067,    0.210,   -0.101
    0.023,    0.185,   -0.075
   -0.020,    0.166,   -0.054
   -0.050,    0.149,   -0.039
   -0.064,    0.139,   -0.027
   -0.061,    0.140,   -0.008
   -0.044,    0.153,    0.015
   -0.017,    0.179,    0.039
    0.014,    0.212,    0.063
    0.040,    0.247,    0.090
    0.056,    0.277,    0.122
    0.061,    0.299,    0.157
    0.058,    0.310,    0.190
    0.055,    0.306,    0.217
    0.056,    0.282,    0.239
    0.063,    0.234,    0.254
    0.073,    0.163,    0.260
    0.080,    0.077,    0.255
    0.086,   -0.017,    0.243
    0.093,   -0.111,    0.231
    0.107,   -0.200,    0.224
    0.135,   -0.284,    0.220
    0.169,   -0.355,    0.216
    0.201,   -0.405,    0.211
    0.216,   -0.431,    0.207
    0.212,   -0.427,    0.201
    0.192,   -0.396,    0.189
    0.167,   -0.343,    0.161
    0.145,   -0.271,    0.119
    0.130,   -0.187,    0.071
    0.119,   -0.095,    0.031
    0.113,    0.001,    0.007
    0.112,    0.096,   -0.002
    0.115,    0.183,   -0.002
    0.121,    0.253,    0.000
    0.122,    0.297,    0.002
    0.112,    0.309,    0.004
    0.090,    0.287,    0.004
    0.058,    0.235,    0.005
    0.024,    0.157,    0.008
   -0.007,    0.055,    0.016
   -0.035,   -0.064,    0.028
   -0.063,   -0.196,    0.039
   -0.096,   -0.330,    0.050
   -0.130,   -0.457,    0.059
   -0.162,   -0.567,    0.068
   -0.186,   -0.656,    0.078
   -0.201,   -0.721,    0.087
   -0.202,   -0.760,    0.096
   -0.182,   -0.774,    0.108
   -0.135,   -0.763,    0.128
   -0.063,   -0.728,    0.155
    0.027,   -0.672,    0.185
    0.130,   -0.599,    0.213
    0.242,   -0.513,    0.237
    0.366,   -0.420,    0.259
    0.500,   -0.326,    0.281
    0.631,   -0.235,    0.299
    0.743,   -0.150,    0.313
    0.815,   -0.068,    0.325
    0.841,    0.009,    0.342
    0.820,    0.085,    0.369
    0.758,    0.154,    0.402
    0.660,    0.211,    0.436
    0.529,    0.253,    0.464
    0.371,    0.279,    0.486
    0.193,    0.293,    0.501
    0.012,    0.300,    0.510
   -0.154,    0.303,    0.510
