SITE CODE= èÌääésêVäJí¨
LAT=  34.8863
LON= 136.8324
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 20
NS, EW, UD
    0.341,    0.000,   -0.177
    0.351,   -0.071,   -0.197
    0.315,   -0.154,   -0.205
    0.254,   -0.239,   -0.191
    0.195,   -0.312,   -0.155
    0.156,   -0.355,   -0.109
    0.129,   -0.362,   -0.062
    0.094,   -0.332,   -0.025
    0.034,   -0.265,    0.005
   -0.047,   -0.164,    0.034
   -0.133,   -0.038,    0.059
   -0.199,    0.098,    0.077
   -0.230,    0.224,    0.075
   -0.222,    0.324,    0.049
   -0.189,    0.389,    0.006
   -0.150,    0.414,   -0.038
   -0.125,    0.401,   -0.064
   -0.123,    0.354,   -0.062
   -0.143,    0.280,   -0.038
   -0.186,    0.194,   -0.003
   -0.248,    0.115,    0.024
   -0.327,    0.055,    0.030
   -0.413,    0.015,    0.015
   -0.487,   -0.016,   -0.010
   -0.526,   -0.054,   -0.035
   -0.518,   -0.105,   -0.055
   -0.462,   -0.166,   -0.071
   -0.367,   -0.225,   -0.083
   -0.248,   -0.269,   -0.082
   -0.116,   -0.295,   -0.062
    0.018,   -0.302,   -0.026
    0.146,   -0.288,    0.017
    0.265,   -0.246,    0.053
    0.372,   -0.178,    0.076
    0.469,   -0.100,    0.089
    0.548,   -0.034,    0.097
    0.596,    0.007,    0.105
    0.593,    0.022,    0.110
    0.528,    0.018,    0.103
    0.408,    0.004,    0.081
    0.265,   -0.016,    0.042
    0.139,   -0.039,   -0.008
    0.059,   -0.057,   -0.054
    0.033,   -0.069,   -0.081
    0.050,   -0.076,   -0.085
    0.084,   -0.086,   -0.070
    0.114,   -0.108,   -0.053
    0.128,   -0.140,   -0.043
    0.123,   -0.173,   -0.043
    0.098,   -0.199,   -0.049
    0.061,   -0.212,   -0.047
    0.016,   -0.215,   -0.030
   -0.032,   -0.217,    0.009
   -0.084,   -0.225,    0.068
   -0.144,   -0.242,    0.131
   -0.216,   -0.262,    0.180
   -0.294,   -0.279,    0.199
   -0.364,   -0.286,    0.185
   -0.411,   -0.284,    0.145
   -0.426,   -0.279,    0.097
   -0.408,   -0.284,    0.055
   -0.361,   -0.307,    0.027
   -0.302,   -0.351,    0.016
   -0.250,   -0.402,    0.011
   -0.215,   -0.442,   -0.003
   -0.195,   -0.447,   -0.039
   -0.175,   -0.407,   -0.100
   -0.135,   -0.326,   -0.173
   -0.071,   -0.220,   -0.244
    0.010,   -0.100,   -0.301
    0.090,    0.026,   -0.342
    0.151,    0.156,   -0.368
    0.181,    0.283,   -0.381
    0.177,    0.389,   -0.385
    0.145,    0.456,   -0.379
    0.100,    0.471,   -0.364
    0.057,    0.435,   -0.330
    0.019,    0.359,   -0.274
   -0.016,    0.263,   -0.201
   -0.059,    0.165,   -0.123
   -0.109,    0.080,   -0.054
   -0.155,    0.018,    0.006
   -0.186,   -0.015,    0.063
   -0.196,   -0.020,    0.127
   -0.190,   -0.005,    0.195
   -0.176,    0.016,    0.256
   -0.155,    0.035,    0.300
   -0.123,    0.042,    0.320
   -0.077,    0.043,    0.321
   -0.025,    0.049,    0.310
    0.019,    0.072,    0.293
    0.040,    0.111,    0.274
    0.032,    0.149,    0.253
    0.004,    0.168,    0.227
   -0.032,    0.166,    0.191
   -0.065,    0.152,    0.147
   -0.090,    0.138,    0.099
   -0.111,    0.127,    0.051
   -0.131,    0.114,    0.007
   -0.148,    0.091,   -0.034
   -0.155,    0.054,   -0.069
   -0.144,    0.002,   -0.095
   -0.109,   -0.065,   -0.105
   -0.055,   -0.139,   -0.096
    0.006,   -0.203,   -0.066
    0.061,   -0.240,   -0.019
    0.102,   -0.241,    0.037
    0.128,   -0.216,    0.093
    0.143,   -0.184,    0.141
    0.152,   -0.154,    0.177
    0.160,   -0.127,    0.205
    0.170,   -0.099,    0.228
    0.185,   -0.076,    0.241
    0.203,   -0.068,    0.237
    0.219,   -0.084,    0.204
    0.232,   -0.115,    0.141
    0.242,   -0.145,    0.059
    0.253,   -0.166,   -0.022
    0.262,   -0.181,   -0.084
    0.254,   -0.196,   -0.114
    0.219,   -0.210,   -0.110
    0.152,   -0.212,   -0.078
    0.070,   -0.188,   -0.028
   -0.002,   -0.131,    0.027
   -0.046,   -0.045,    0.079
   -0.059,    0.055,    0.124
   -0.047,    0.152,    0.161
   -0.022,    0.222,    0.182
    0.007,    0.250,    0.184
    0.030,    0.234,    0.160
    0.036,    0.189,    0.118
    0.018,    0.143,    0.067
   -0.021,    0.113,    0.017
   -0.063,    0.100,   -0.024
   -0.087,    0.091,   -0.056
   -0.089,    0.068,   -0.082
   -0.078,    0.027,   -0.111
   -0.073,   -0.018,   -0.151
   -0.085,   -0.050,   -0.206
   -0.106,   -0.055,   -0.270
   -0.122,   -0.031,   -0.326
   -0.118,    0.012,   -0.358
   -0.092,    0.061,   -0.363
   -0.050,    0.100,   -0.351
   -0.005,    0.120,   -0.337
    0.034,    0.117,   -0.330
    0.058,    0.103,   -0.328
    0.070,    0.091,   -0.330
    0.077,    0.089,   -0.337
    0.089,    0.090,   -0.351
    0.107,    0.083,   -0.369
    0.126,    0.060,   -0.381
    0.132,    0.026,   -0.373
    0.118,   -0.008,   -0.341
    0.084,   -0.032,   -0.284
    0.043,   -0.042,   -0.208
    0.007,   -0.037,   -0.118
   -0.012,   -0.023,   -0.026
   -0.017,   -0.006,    0.056
   -0.022,    0.009,    0.116
   -0.048,    0.018,    0.154
   -0.106,    0.025,    0.180
   -0.193,    0.033,    0.208
   -0.287,    0.038,    0.246
   -0.354,    0.030,    0.293
   -0.368,   -0.005,    0.338
   -0.328,   -0.063,    0.369
   -0.253,   -0.130,    0.379
   -0.173,   -0.189,    0.366
   -0.113,   -0.228,    0.339
   -0.077,   -0.249,    0.313
   -0.057,   -0.259,    0.300
   -0.040,   -0.262,    0.301
   -0.019,   -0.261,    0.308
