SITE CODE= óÈé≠ésêºè
LAT=  34.8787
LON= 136.5687
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
   -0.210,    0.148,    0.272
   -0.154,    0.060,    0.269
   -0.105,   -0.027,    0.269
   -0.064,   -0.102,    0.261
   -0.030,   -0.165,    0.247
    0.000,   -0.205,    0.235
    0.020,   -0.213,    0.212
    0.025,   -0.200,    0.184
    0.019,   -0.162,    0.161
    0.002,   -0.105,    0.139
   -0.012,   -0.038,    0.113
   -0.012,    0.050,    0.094
    0.003,    0.147,    0.086
    0.043,    0.230,    0.080
    0.100,    0.318,    0.080
    0.157,    0.414,    0.088
    0.218,    0.489,    0.095
    0.274,    0.536,    0.101
    0.316,    0.554,    0.109
    0.350,    0.541,    0.119
    0.374,    0.520,    0.125
    0.380,    0.483,    0.130
    0.372,    0.435,    0.143
    0.355,    0.410,    0.151
    0.334,    0.378,    0.145
    0.307,    0.326,    0.141
    0.276,    0.266,    0.134
    0.235,    0.201,    0.116
    0.189,    0.134,    0.100
    0.152,    0.064,    0.082
    0.114,    0.006,    0.069
    0.075,   -0.046,    0.064
    0.036,   -0.097,    0.055
    0.016,   -0.134,    0.049
    0.020,   -0.162,    0.044
    0.032,   -0.180,    0.032
    0.078,   -0.192,    0.018
    0.128,   -0.212,    0.001
    0.182,   -0.230,   -0.012
    0.239,   -0.230,   -0.029
    0.269,   -0.229,   -0.046
    0.298,   -0.230,   -0.062
    0.305,   -0.225,   -0.080
    0.292,   -0.219,   -0.097
    0.278,   -0.222,   -0.116
    0.253,   -0.235,   -0.133
    0.220,   -0.239,   -0.149
    0.184,   -0.241,   -0.162
    0.147,   -0.232,   -0.160
    0.100,   -0.200,   -0.140
    0.061,   -0.153,   -0.107
    0.030,   -0.077,   -0.077
    0.015,    0.014,   -0.049
    0.018,    0.097,   -0.019
    0.025,    0.152,    0.002
    0.048,    0.165,    0.014
    0.058,    0.160,    0.029
    0.060,    0.144,    0.037
    0.053,    0.137,    0.035
    0.025,    0.154,    0.027
   -0.010,    0.183,    0.014
   -0.050,    0.223,   -0.000
   -0.083,    0.254,   -0.010
   -0.102,    0.280,   -0.009
   -0.107,    0.292,    0.005
   -0.105,    0.266,    0.026
   -0.095,    0.207,    0.052
   -0.077,    0.131,    0.086
   -0.058,    0.045,    0.116
   -0.025,   -0.038,    0.134
    0.009,   -0.096,    0.147
    0.037,   -0.134,    0.148
    0.057,   -0.143,    0.144
    0.069,   -0.142,    0.130
    0.081,   -0.136,    0.097
    0.107,   -0.124,    0.064
    0.141,   -0.146,    0.018
    0.177,   -0.193,   -0.031
    0.225,   -0.257,   -0.074
    0.285,   -0.330,   -0.116
    0.350,   -0.396,   -0.151
    0.412,   -0.464,   -0.187
    0.449,   -0.517,   -0.209
    0.446,   -0.542,   -0.217
    0.416,   -0.554,   -0.225
    0.348,   -0.551,   -0.217
    0.249,   -0.524,   -0.203
    0.155,   -0.486,   -0.187
    0.062,   -0.443,   -0.173
   -0.005,   -0.399,   -0.155
   -0.046,   -0.351,   -0.127
   -0.074,   -0.300,   -0.098
   -0.088,   -0.254,   -0.077
   -0.096,   -0.203,   -0.048
   -0.095,   -0.153,   -0.021
   -0.121,   -0.095,   -0.008
   -0.153,   -0.033,   -0.005
   -0.189,   -0.005,   -0.020
   -0.242,    0.018,   -0.041
   -0.296,    0.016,   -0.070
   -0.359,   -0.028,   -0.114
   -0.416,   -0.063,   -0.155
   -0.489,   -0.104,   -0.200
   -0.554,   -0.137,   -0.250
   -0.585,   -0.143,   -0.294
   -0.605,   -0.152,   -0.334
   -0.601,   -0.146,   -0.362
   -0.573,   -0.129,   -0.382
   -0.528,   -0.134,   -0.397
   -0.471,   -0.120,   -0.387
   -0.429,   -0.107,   -0.367
   -0.393,   -0.122,   -0.344
   -0.373,   -0.123,   -0.309
   -0.388,   -0.121,   -0.268
   -0.405,   -0.114,   -0.232
   -0.422,   -0.087,   -0.205
   -0.433,   -0.050,   -0.182
   -0.445,   -0.007,   -0.162
   -0.460,    0.054,   -0.146
   -0.466,    0.121,   -0.138
   -0.472,    0.196,   -0.123
   -0.468,    0.281,   -0.099
   -0.449,    0.340,   -0.082
   -0.425,    0.380,   -0.062
   -0.385,    0.394,   -0.050
   -0.330,    0.364,   -0.046
   -0.283,    0.324,   -0.040
   -0.228,    0.287,   -0.033
   -0.173,    0.246,   -0.022
   -0.139,    0.209,   -0.016
   -0.100,    0.177,   -0.011
   -0.059,    0.159,    0.000
   -0.033,    0.153,    0.010
   -0.011,    0.152,    0.023
    0.011,    0.134,    0.038
    0.026,    0.105,    0.059
    0.034,    0.097,    0.088
    0.044,    0.083,    0.115
    0.062,    0.087,    0.143
    0.082,    0.120,    0.184
    0.109,    0.140,    0.222
    0.152,    0.165,    0.253
    0.209,    0.180,    0.280
    0.255,    0.185,    0.296
    0.320,    0.194,    0.307
    0.392,    0.177,    0.303
    0.441,    0.158,    0.303
    0.486,    0.154,    0.311
    0.514,    0.157,    0.312
    0.524,    0.191,    0.316
    0.516,    0.246,    0.313
    0.491,    0.316,    0.306
    0.461,    0.368,    0.296
    0.434,    0.383,    0.277
    0.417,    0.369,    0.261
    0.409,    0.304,    0.248
    0.400,    0.199,    0.221
    0.384,    0.075,    0.191
    0.348,   -0.048,    0.159
    0.317,   -0.141,    0.121
    0.289,   -0.215,    0.087
    0.250,   -0.266,    0.056
    0.217,   -0.284,    0.033
    0.178,   -0.280,    0.021
    0.123,   -0.266,    0.023
    0.067,   -0.257,    0.036
    0.004,   -0.233,    0.048
   -0.057,   -0.196,    0.053
   -0.071,   -0.147,    0.054
   -0.057,   -0.081,    0.050
   -0.037,   -0.019,    0.036
   -0.003,    0.060,    0.014
    0.018,    0.143,   -0.007
    0.012,    0.235,   -0.016
   -0.020,    0.328,   -0.020
   -0.083,    0.403,   -0.028
   -0.160,    0.465,   -0.024
   -0.237,    0.491,   -0.016
   -0.314,    0.505,   -0.007
   -0.360,    0.517,    0.005
   -0.366,    0.514,    0.013
   -0.344,    0.508,    0.017
   -0.288,    0.492,    0.009
   -0.228,    0.473,   -0.004
   -0.151,    0.458,   -0.021
   -0.085,    0.449,   -0.044
   -0.050,    0.436,   -0.070
   -0.036,    0.416,   -0.081
   -0.050,    0.405,   -0.074
   -0.067,    0.397,   -0.066
   -0.093,    0.391,   -0.055
   -0.116,    0.385,   -0.038
   -0.128,    0.375,   -0.021
   -0.130,    0.363,   -0.011
   -0.113,    0.348,   -0.009
   -0.096,    0.335,   -0.005
   -0.073,    0.337,    0.003
   -0.066,    0.348,    0.021
   -0.087,    0.347,    0.049
   -0.109,    0.357,    0.087
   -0.139,    0.373,    0.134
   -0.175,    0.384,    0.174
   -0.196,    0.411,    0.209
   -0.210,    0.423,    0.226
   -0.200,    0.420,    0.233
   -0.165,    0.404,    0.237
   -0.125,    0.364,    0.230
   -0.070,    0.322,    0.226
   -0.005,    0.273,    0.226
    0.063,    0.209,    0.214
    0.125,    0.151,    0.207
    0.166,    0.103,    0.203
    0.189,    0.056,    0.196
    0.192,    0.016,    0.190
    0.169,   -0.034,    0.186
    0.145,   -0.095,    0.190
    0.106,   -0.171,    0.189
    0.057,   -0.262,    0.185
    0.002,   -0.326,    0.189
   -0.054,   -0.378,    0.185
   -0.102,   -0.419,    0.171
   -0.150,   -0.425,    0.153
   -0.189,   -0.434,    0.127
   -0.215,   -0.433,    0.098
   -0.216,   -0.437,    0.066
   -0.213,   -0.463,    0.030
   -0.202,   -0.473,   -0.004
   -0.170,   -0.510,   -0.046
   -0.140,   -0.573,   -0.095
   -0.114,   -0.620,   -0.146
   -0.092,   -0.662,   -0.202
   -0.064,   -0.694,   -0.255
   -0.027,   -0.707,   -0.293
    0.017,   -0.690,   -0.311
    0.073,   -0.656,   -0.323
    0.132,   -0.608,   -0.328
    0.175,   -0.544,   -0.326
    0.204,   -0.480,   -0.330
    0.209,   -0.430,   -0.335
    0.206,   -0.403,   -0.341
    0.192,   -0.387,   -0.342
    0.147,   -0.385,   -0.337
    0.106,   -0.392,   -0.330
    0.052,   -0.393,   -0.315
    0.002,   -0.390,   -0.300
   -0.035,   -0.368,   -0.283
   -0.060,   -0.316,   -0.266
   -0.047,   -0.239,   -0.245
   -0.003,   -0.128,   -0.217
    0.056,   -0.015,   -0.193
    0.129,    0.077,   -0.173
    0.214,    0.143,   -0.146
    0.295,    0.186,   -0.109
    0.366,    0.207,   -0.076
    0.416,    0.197,   -0.051
    0.440,    0.190,   -0.021
    0.430,    0.191,    0.003
    0.383,    0.176,    0.021
    0.322,    0.157,    0.029
    0.263,    0.147,    0.031
    0.199,    0.143,    0.036
    0.146,    0.124,    0.028
    0.107,    0.082,    0.019
    0.070,    0.059,    0.014
    0.048,    0.058,    0.011
    0.044,    0.072,    0.007
    0.050,    0.105,    0.005
    0.063,    0.135,    0.012
    0.077,    0.182,    0.021
    0.108,    0.224,    0.027
    0.150,    0.244,    0.038
    0.197,    0.278,    0.052
    0.245,    0.300,    0.064
    0.285,    0.305,    0.071
    0.335,    0.311,    0.078
    0.386,    0.308,    0.083
    0.423,    0.305,    0.077
    0.470,    0.303,    0.073
    0.516,    0.292,    0.079
    0.551,    0.278,    0.095
    0.574,    0.267,    0.109
    0.576,    0.250,    0.113
    0.562,    0.226,    0.114
    0.524,    0.224,    0.109
    0.482,    0.225,    0.095
    0.442,    0.215,    0.080
    0.403,    0.223,    0.063
    0.390,    0.234,    0.042
    0.366,    0.239,    0.027
    0.341,    0.234,    0.009
    0.322,    0.212,   -0.007
    0.268,    0.185,   -0.009
    0.224,    0.147,   -0.013
    0.183,    0.103,   -0.007
    0.146,    0.072,   -0.002
    0.115,    0.046,    0.004
    0.077,    0.028,    0.012
    0.060,    0.035,    0.023
    0.033,    0.071,    0.047
    0.003,    0.099,    0.068
   -0.023,    0.113,    0.087
   -0.054,    0.124,    0.120
   -0.095,    0.098,    0.151
   -0.151,    0.053,    0.182
   -0.196,   -0.008,    0.210
   -0.252,   -0.075,    0.228
   -0.301,   -0.118,    0.230
   -0.328,   -0.155,    0.225
   -0.371,   -0.180,    0.223
   -0.390,   -0.180,    0.216
   -0.396,   -0.171,    0.209
   -0.402,   -0.162,    0.207
   -0.378,   -0.154,    0.207
   -0.363,   -0.162,    0.206
   -0.342,   -0.177,    0.203
   -0.335,   -0.172,    0.203
   -0.349,   -0.155,    0.204
   -0.343,   -0.121,    0.204
   -0.343,   -0.068,    0.200
   -0.326,   -0.024,    0.193
   -0.294,    0.011,    0.189
   -0.253,    0.036,    0.189
   -0.202,    0.043,    0.190
   -0.152,    0.059,    0.193
   -0.085,    0.062,    0.200
   -0.035,    0.050,    0.209
   -0.002,    0.045,    0.210
    0.037,    0.052,    0.210
    0.084,    0.079,    0.214
    0.151,    0.103,    0.206
    0.227,    0.136,    0.205
    0.306,    0.160,    0.208
    0.376,    0.174,    0.211
    0.430,    0.185,    0.211
    0.467,    0.170,    0.201
    0.469,    0.154,    0.194
    0.453,    0.128,    0.181
    0.430,    0.088,    0.162
    0.392,    0.053,    0.158
    0.352,    0.038,    0.154
    0.323,    0.041,    0.142
    0.291,    0.047,    0.128
    0.254,    0.065,    0.109
    0.220,    0.104,    0.087
    0.202,    0.140,    0.062
    0.185,    0.168,    0.042
    0.172,    0.210,    0.030
    0.167,    0.232,    0.022
    0.151,    0.235,    0.022
    0.131,    0.223,    0.029
    0.095,    0.198,    0.038
    0.057,    0.183,    0.050
    0.016,    0.149,    0.062
   -0.038,    0.107,    0.086
   -0.083,    0.073,    0.114
   -0.128,    0.050,    0.150
   -0.158,    0.034,    0.180
   -0.174,    0.037,    0.207
   -0.189,    0.055,    0.234
   -0.195,    0.055,    0.242
   -0.198,    0.057,    0.242
   -0.193,    0.050,    0.232
   -0.202,    0.016,    0.209
   -0.221,    0.003,    0.182
   -0.236,   -0.012,    0.144
   -0.265,   -0.036,    0.111
   -0.318,   -0.032,    0.089
   -0.362,   -0.026,    0.060
   -0.392,   -0.016,    0.035
   -0.414,    0.009,    0.007
   -0.420,    0.023,   -0.026
   -0.408,    0.025,   -0.052
   -0.382,    0.025,   -0.070
   -0.355,    0.018,   -0.080
   -0.307,   -0.009,   -0.089
   -0.248,   -0.030,   -0.087
   -0.190,   -0.057,   -0.082
   -0.137,   -0.102,   -0.088
   -0.110,   -0.120,   -0.096
   -0.099,   -0.141,   -0.113
   -0.106,   -0.152,   -0.133
   -0.132,   -0.123,   -0.154
   -0.184,   -0.118,   -0.181
   -0.242,   -0.114,   -0.212
   -0.291,   -0.082,   -0.243
   -0.344,   -0.056,   -0.266
   -0.373,   -0.039,   -0.293
   -0.366,   -0.025,   -0.321
   -0.346,   -0.032,   -0.336
   -0.304,   -0.055,   -0.349
   -0.243,   -0.079,   -0.371
   -0.196,   -0.107,   -0.391
   -0.144,   -0.123,   -0.405
   -0.098,   -0.145,   -0.425
   -0.078,   -0.183,   -0.443
   -0.062,   -0.216,   -0.453
   -0.063,   -0.235,   -0.465
   -0.082,   -0.257,   -0.479
   -0.108,   -0.264,   -0.491
   -0.139,   -0.248,   -0.500
   -0.191,   -0.237,   -0.507
   -0.246,   -0.218,   -0.517
   -0.287,   -0.202,   -0.531
   -0.316,   -0.188,   -0.539
   -0.327,   -0.183,   -0.549
   -0.325,   -0.191,   -0.557
   -0.333,   -0.200,   -0.554
   -0.341,   -0.209,   -0.540
   -0.351,   -0.210,   -0.516
   -0.377,   -0.225,   -0.493
   -0.396,   -0.244,   -0.468
   -0.404,   -0.252,   -0.438
   -0.406,   -0.269,   -0.400
   -0.389,   -0.291,   -0.361
   -0.353,   -0.306,   -0.326
   -0.316,   -0.317,   -0.285
   -0.291,   -0.326,   -0.251
   -0.266,   -0.325,   -0.215
   -0.243,   -0.303,   -0.175
   -0.220,   -0.272,   -0.133
   -0.193,   -0.239,   -0.098
   -0.166,   -0.211,   -0.078
   -0.152,   -0.186,   -0.056
   -0.148,   -0.156,   -0.044
   -0.139,   -0.134,   -0.040
   -0.154,   -0.118,   -0.026
   -0.166,   -0.091,   -0.012
   -0.156,   -0.069,   -0.004
   -0.152,   -0.066,    0.003
   -0.129,   -0.052,    0.008
   -0.103,   -0.026,    0.009
   -0.074,    0.016,    0.002
   -0.021,    0.085,    0.002
    0.028,    0.143,    0.003
    0.082,    0.191,    0.004
    0.131,    0.230,    0.011
    0.174,    0.249,    0.020
    0.200,    0.247,    0.029
    0.198,    0.232,    0.031
    0.189,    0.224,    0.033
    0.159,    0.201,    0.037
    0.118,    0.168,    0.045
    0.084,    0.162,    0.057
    0.050,    0.156,    0.059
    0.050,    0.147,    0.059
    0.049,    0.134,    0.064
    0.051,    0.103,    0.066
    0.067,    0.071,    0.068
    0.063,    0.023,    0.075
    0.067,   -0.020,    0.075
    0.051,   -0.064,    0.073
    0.037,   -0.123,    0.068
    0.052,   -0.166,    0.059
    0.066,   -0.199,    0.055
    0.103,   -0.236,    0.040
    0.153,   -0.248,    0.024
    0.181,   -0.249,    0.011
    0.194,   -0.255,   -0.007
    0.197,   -0.254,   -0.021
    0.188,   -0.262,   -0.033
    0.173,   -0.262,   -0.040
    0.155,   -0.251,   -0.042
    0.128,   -0.264,   -0.040
    0.079,   -0.277,   -0.032
    0.027,   -0.282,   -0.020
   -0.044,   -0.294,   -0.013
   -0.113,   -0.306,   -0.016
   -0.155,   -0.325,   -0.025
   -0.179,   -0.341,   -0.035
   -0.179,   -0.367,   -0.047
   -0.164,   -0.412,   -0.059
   -0.120,   -0.444,   -0.066
   -0.081,   -0.463,   -0.064
   -0.055,   -0.460,   -0.061
   -0.033,   -0.451,   -0.066
   -0.037,   -0.425,   -0.061
   -0.041,   -0.377,   -0.046
   -0.068,   -0.341,   -0.039
   -0.108,   -0.291,   -0.024
   -0.138,   -0.220,   -0.003
   -0.177,   -0.146,    0.014
   -0.205,   -0.064,    0.030
   -0.229,    0.024,    0.049
   -0.243,    0.106,    0.072
   -0.235,    0.176,    0.082
   -0.209,    0.233,    0.086
   -0.166,    0.284,    0.094
   -0.130,    0.336,    0.105
   -0.090,    0.382,    0.120
   -0.062,    0.418,    0.139
   -0.046,    0.460,    0.166
   -0.029,    0.477,    0.191
   -0.022,    0.474,    0.207
   -0.023,    0.487,    0.216
   -0.043,    0.481,    0.214
   -0.063,    0.473,    0.213
   -0.091,    0.473,    0.209
   -0.127,    0.460,    0.203
   -0.163,    0.460,    0.203
   -0.203,    0.453,    0.207
   -0.243,    0.451,    0.217
   -0.275,    0.444,    0.227
   -0.285,    0.417,    0.227
   -0.273,    0.396,    0.225
   -0.225,    0.351,    0.222
   -0.159,    0.305,    0.215
   -0.093,    0.283,    0.209
   -0.020,    0.262,    0.197
    0.047,    0.246,    0.178
    0.108,    0.222,    0.160
    0.151,    0.195,    0.141
    0.184,    0.169,    0.117
    0.202,    0.138,    0.094
    0.210,    0.096,    0.071
    0.216,    0.041,    0.043
    0.209,   -0.019,    0.012
    0.189,   -0.064,   -0.017
    0.173,   -0.079,   -0.043
    0.155,   -0.072,   -0.071
    0.150,   -0.035,   -0.095
    0.164,    0.032,   -0.110
    0.169,    0.103,   -0.125
    0.168,    0.160,   -0.131
    0.151,    0.203,   -0.127
    0.108,    0.225,   -0.117
    0.042,    0.214,   -0.096
   -0.023,    0.189,   -0.078
   -0.078,    0.141,   -0.053
   -0.127,    0.085,   -0.016
   -0.146,    0.014,    0.011
   -0.155,   -0.068,    0.037
   -0.147,   -0.134,    0.068
   -0.121,   -0.186,    0.103
   -0.110,   -0.216,    0.141
   -0.105,   -0.241,    0.175
   -0.100,   -0.238,    0.204
   -0.102,   -0.213,    0.228
   -0.102,   -0.203,    0.241
   -0.106,   -0.201,    0.244
   -0.111,   -0.204,    0.232
   -0.137,   -0.201,    0.220
   -0.173,   -0.208,    0.212
   -0.203,   -0.223,    0.201
   -0.236,   -0.211,    0.196
   -0.250,   -0.191,    0.180
   -0.265,   -0.174,    0.159
   -0.278,   -0.138,    0.135
   -0.283,   -0.081,    0.111
   -0.289,   -0.028,    0.092
   -0.287,   -0.001,    0.071
   -0.283,    0.013,    0.052
   -0.270,    0.014,    0.046
   -0.267,   -0.008,    0.043
   -0.270,   -0.049,    0.030
   -0.255,   -0.089,    0.020
   -0.255,   -0.127,    0.010
   -0.264,   -0.161,   -0.006
   -0.268,   -0.193,   -0.025
   -0.288,   -0.187,   -0.042
   -0.296,   -0.130,   -0.057
   -0.296,   -0.071,   -0.072
   -0.294,   -0.017,   -0.085
   -0.280,    0.032,   -0.086
   -0.264,    0.068,   -0.080
   -0.234,    0.086,   -0.082
   -0.203,    0.087,   -0.075
   -0.169,    0.080,   -0.064
   -0.128,    0.068,   -0.062
   -0.100,    0.049,   -0.054
   -0.074,    0.014,   -0.049
   -0.069,   -0.011,   -0.039
   -0.062,   -0.030,   -0.032
   -0.041,   -0.061,   -0.033
   -0.014,   -0.089,   -0.027
    0.032,   -0.118,   -0.021
    0.084,   -0.154,   -0.012
    0.167,   -0.178,   -0.006
    0.264,   -0.204,    0.003
    0.354,   -0.228,    0.016
    0.446,   -0.237,    0.028
    0.512,   -0.257,    0.040
    0.553,   -0.269,    0.058
    0.584,   -0.273,    0.084
    0.592,   -0.295,    0.107
    0.605,   -0.310,    0.128
    0.627,   -0.328,    0.140
    0.632,   -0.331,    0.141
    0.639,   -0.301,    0.139
    0.656,   -0.261,    0.133
    0.652,   -0.207,    0.133
    0.626,   -0.146,    0.135
    0.606,   -0.090,    0.128
    0.579,   -0.039,    0.127
    0.542,    0.004,    0.123
    0.504,    0.032,    0.112
    0.459,    0.048,    0.099
    0.423,    0.050,    0.086
    0.381,    0.044,    0.075
    0.356,    0.029,    0.063
    0.340,   -0.005,    0.048
    0.327,   -0.032,    0.036
    0.334,   -0.075,    0.030
    0.327,   -0.139,    0.026
    0.322,   -0.197,    0.027
    0.319,   -0.250,    0.043
    0.300,   -0.284,    0.053
    0.289,   -0.303,    0.058
    0.260,   -0.316,    0.063
    0.212,   -0.316,    0.058
    0.173,   -0.306,    0.062
    0.115,   -0.305,    0.068
    0.046,   -0.291,    0.080
   -0.008,   -0.265,    0.100
   -0.067,   -0.241,    0.105
   -0.113,   -0.206,    0.117
   -0.141,   -0.160,    0.135
   -0.171,   -0.105,    0.144
   -0.179,   -0.037,    0.159
   -0.166,    0.017,    0.171
   -0.143,    0.053,    0.180
   -0.099,    0.092,    0.187
   -0.052,    0.130,    0.187
   -0.007,    0.159,    0.187
    0.040,    0.219,    0.176
    0.072,    0.285,    0.162
    0.089,    0.334,    0.143
    0.106,    0.396,    0.118
    0.109,    0.443,    0.094
    0.107,    0.480,    0.064
    0.107,    0.507,    0.037
    0.094,    0.490,    0.011
    0.075,    0.460,   -0.016
    0.043,    0.402,   -0.030
    0.009,    0.328,   -0.052
   -0.006,    0.282,   -0.075
   -0.015,    0.249,   -0.084
   -0.014,    0.239,   -0.102
   -0.008,    0.234,   -0.114
   -0.003,    0.220,   -0.116
    0.008,    0.211,   -0.118
    0.022,    0.178,   -0.119
    0.031,    0.120,   -0.119
    0.043,    0.064,   -0.116
    0.061,   -0.004,   -0.114
    0.084,   -0.095,   -0.117
    0.104,   -0.181,   -0.118
    0.122,   -0.262,   -0.123
    0.141,   -0.323,   -0.135
    0.140,   -0.372,   -0.142
    0.112,   -0.418,   -0.149
    0.072,   -0.428,   -0.152
    0.028,   -0.430,   -0.155
   -0.004,   -0.412,   -0.162
   -0.025,   -0.378,   -0.169
   -0.034,   -0.358,   -0.179
   -0.027,   -0.334,   -0.186
   -0.008,   -0.326,   -0.185
   -0.006,   -0.341,   -0.182
   -0.016,   -0.363,   -0.170
   -0.032,   -0.380,   -0.154
   -0.070,   -0.391,   -0.135
   -0.125,   -0.396,   -0.104
   -0.183,   -0.372,   -0.070
   -0.215,   -0.323,   -0.041
   -0.236,   -0.273,   -0.017
   -0.243,   -0.201,    0.011
   -0.213,   -0.102,    0.030
   -0.163,   -0.020,    0.039
   -0.082,    0.048,    0.049
    0.011,    0.093,    0.057
    0.087,    0.095,    0.066
    0.167,    0.086,    0.080
    0.243,    0.064,    0.098
    0.293,    0.055,    0.119
    0.346,    0.076,    0.140
    0.385,    0.105,    0.157
    0.415,    0.167,    0.171
    0.436,    0.233,    0.177
    0.431,    0.276,    0.177
    0.430,    0.329,    0.183
    0.398,    0.348,    0.192
    0.370,    0.347,    0.193
    0.360,    0.354,    0.205
    0.342,    0.332,    0.210
    0.348,    0.339,    0.219
    0.341,    0.358,    0.241
    0.336,    0.361,    0.241
    0.358,    0.410,    0.253
    0.371,    0.452,    0.267
    0.388,    0.481,    0.265
    0.405,    0.521,    0.277
    0.400,    0.510,    0.287
    0.377,    0.503,    0.298
    0.348,    0.488,    0.311
    0.303,    0.437,    0.306
    0.239,    0.406,    0.301
    0.191,    0.377,    0.289
    0.149,    0.347,    0.257
    0.127,    0.322,    0.228
    0.133,    0.282,    0.198
    0.129,    0.221,    0.160
    0.151,    0.172,    0.129
    0.168,    0.109,    0.105
    0.171,    0.050,    0.084
    0.198,    0.025,    0.067
    0.193,   -0.013,    0.058
    0.189,   -0.018,    0.062
    0.193,    0.015,    0.079
    0.161,    0.039,    0.095
    0.144,    0.082,    0.114
    0.127,    0.123,    0.144
    0.104,    0.127,    0.166
    0.089,    0.113,    0.182
    0.051,    0.071,    0.188
    0.006,    0.011,    0.182
   -0.036,   -0.046,    0.184
   -0.086,   -0.130,    0.175
   -0.139,   -0.202,    0.168
   -0.178,   -0.259,    0.177
   -0.212,   -0.320,    0.171
   -0.232,   -0.345,    0.170
   -0.235,   -0.359,    0.168
   -0.233,   -0.354,    0.152
   -0.219,   -0.327,    0.134
   -0.219,   -0.325,    0.102
   -0.218,   -0.294,    0.073
   -0.218,   -0.250,    0.040
   -0.226,   -0.225,    0.000
   -0.225,   -0.202,   -0.036
   -0.220,   -0.183,   -0.077
   -0.214,   -0.145,   -0.109
   -0.200,   -0.101,   -0.155
   -0.177,   -0.052,   -0.198
   -0.155,    0.028,   -0.225
   -0.128,    0.105,   -0.259
   -0.104,    0.168,   -0.274
   -0.085,    0.239,   -0.280
   -0.058,    0.304,   -0.290
   -0.027,    0.342,   -0.291
    0.007,    0.362,   -0.300
    0.032,    0.370,   -0.306
    0.062,    0.382,   -0.305
    0.098,    0.410,   -0.308
    0.146,    0.439,   -0.307
    0.217,    0.465,   -0.306
    0.259,    0.499,   -0.300
    0.298,    0.508,   -0.302
    0.332,    0.494,   -0.303
    0.337,    0.480,   -0.287
    0.348,    0.445,   -0.266
    0.348,    0.401,   -0.238
    0.343,    0.337,   -0.205
    0.310,    0.271,   -0.164
    0.263,    0.216,   -0.128
    0.214,    0.151,   -0.100
    0.153,    0.113,   -0.062
    0.109,    0.067,   -0.039
    0.072,    0.016,   -0.024
    0.051,   -0.021,   -0.005
    0.041,   -0.070,   -0.002
    0.032,   -0.083,    0.001
    0.031,   -0.095,   -0.002
    0.042,   -0.101,   -0.005
    0.064,   -0.101,    0.001
    0.085,   -0.142,    0.000
    0.118,   -0.182,    0.009
    0.165,   -0.248,    0.014
    0.220,   -0.313,    0.010
    0.252,   -0.365,    0.012
    0.254,   -0.427,    0.016
    0.248,   -0.460,    0.027
    0.232,   -0.476,    0.041
    0.200,   -0.486,    0.061
    0.163,   -0.482,    0.082
    0.136,   -0.485,    0.101
    0.104,   -0.479,    0.121
    0.080,   -0.457,    0.132
    0.061,   -0.435,    0.136
    0.055,   -0.386,    0.134
    0.052,   -0.325,    0.116
    0.045,   -0.255,    0.101
    0.066,   -0.186,    0.081
    0.079,   -0.122,    0.062
