SITE CODE= ‘å’ÃŽsŒä—Ë’¬
LAT=  35.0175
LON= 135.8545
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 30
NS, EW, UD
    0.163,    0.072,   -0.008
    0.177,    0.116,   -0.034
    0.191,    0.163,   -0.060
    0.204,    0.209,   -0.086
    0.214,    0.253,   -0.112
    0.223,    0.299,   -0.137
    0.230,    0.343,   -0.158
    0.235,    0.384,   -0.175
    0.237,    0.418,   -0.189
    0.237,    0.448,   -0.203
    0.238,    0.478,   -0.216
    0.241,    0.508,   -0.227
    0.244,    0.532,   -0.237
    0.245,    0.546,   -0.245
    0.239,    0.553,   -0.251
    0.228,    0.557,   -0.254
    0.216,    0.563,   -0.253
    0.206,    0.563,   -0.251
    0.195,    0.555,   -0.249
    0.180,    0.538,   -0.245
    0.158,    0.518,   -0.236
    0.134,    0.500,   -0.221
    0.112,    0.486,   -0.202
    0.091,    0.470,   -0.184
    0.074,    0.451,   -0.168
    0.055,    0.430,   -0.155
    0.036,    0.407,   -0.144
    0.018,    0.383,   -0.133
    0.000,    0.356,   -0.123
   -0.015,    0.327,   -0.113
   -0.029,    0.296,   -0.102
   -0.041,    0.266,   -0.092
   -0.052,    0.233,   -0.084
   -0.064,    0.197,   -0.080
   -0.075,    0.162,   -0.078
   -0.084,    0.131,   -0.077
   -0.086,    0.107,   -0.076
   -0.084,    0.086,   -0.075
   -0.076,    0.068,   -0.080
   -0.068,    0.051,   -0.090
   -0.062,    0.037,   -0.105
   -0.055,    0.030,   -0.119
   -0.050,    0.029,   -0.130
   -0.044,    0.030,   -0.134
   -0.040,    0.032,   -0.138
   -0.040,    0.033,   -0.144
   -0.043,    0.035,   -0.153
   -0.046,    0.039,   -0.161
   -0.049,    0.042,   -0.166
   -0.050,    0.045,   -0.163
   -0.048,    0.046,   -0.156
   -0.046,    0.045,   -0.146
   -0.043,    0.042,   -0.134
   -0.040,    0.035,   -0.119
   -0.037,    0.025,   -0.102
   -0.032,    0.012,   -0.083
   -0.026,   -0.002,   -0.061
   -0.018,   -0.015,   -0.036
   -0.011,   -0.030,   -0.010
   -0.007,   -0.050,    0.016
   -0.003,   -0.074,    0.038
    0.002,   -0.100,    0.060
    0.009,   -0.125,    0.081
    0.019,   -0.146,    0.103
    0.028,   -0.162,    0.122
    0.036,   -0.174,    0.134
    0.043,   -0.183,    0.139
    0.052,   -0.190,    0.143
    0.063,   -0.193,    0.147
    0.074,   -0.192,    0.153
    0.084,   -0.189,    0.159
    0.093,   -0.185,    0.169
    0.102,   -0.179,    0.183
    0.111,   -0.172,    0.200
    0.120,   -0.163,    0.216
    0.128,   -0.154,    0.231
    0.136,   -0.146,    0.243
    0.144,   -0.139,    0.256
    0.152,   -0.135,    0.267
    0.160,   -0.135,    0.274
    0.167,   -0.138,    0.278
    0.174,   -0.141,    0.280
    0.183,   -0.144,    0.284
    0.192,   -0.151,    0.285
    0.201,   -0.162,    0.280
    0.208,   -0.177,    0.270
    0.215,   -0.194,    0.256
    0.221,   -0.211,    0.239
    0.227,   -0.227,    0.224
    0.232,   -0.240,    0.208
    0.238,   -0.250,    0.189
    0.242,   -0.258,    0.171
    0.244,   -0.265,    0.151
    0.244,   -0.269,    0.128
    0.239,   -0.271,    0.104
    0.229,   -0.266,    0.078
    0.217,   -0.254,    0.051
    0.202,   -0.235,    0.024
    0.184,   -0.215,   -0.001
    0.163,   -0.195,   -0.025
    0.140,   -0.171,   -0.048
    0.113,   -0.139,   -0.068
    0.086,   -0.099,   -0.089
    0.059,   -0.053,   -0.111
    0.033,   -0.007,   -0.132
    0.008,    0.037,   -0.152
   -0.017,    0.078,   -0.170
   -0.041,    0.119,   -0.185
   -0.065,    0.164,   -0.199
   -0.087,    0.210,   -0.213
   -0.108,    0.255,   -0.226
   -0.126,    0.296,   -0.237
   -0.143,    0.331,   -0.243
   -0.155,    0.360,   -0.246
   -0.164,    0.387,   -0.242
   -0.169,    0.414,   -0.236
   -0.174,    0.439,   -0.230
   -0.178,    0.459,   -0.228
   -0.181,    0.472,   -0.230
   -0.183,    0.481,   -0.234
   -0.186,    0.489,   -0.238
   -0.189,    0.494,   -0.239
   -0.192,    0.497,   -0.239
   -0.194,    0.496,   -0.237
   -0.193,    0.489,   -0.231
   -0.191,    0.476,   -0.217
   -0.189,    0.460,   -0.192
   -0.190,    0.439,   -0.159
   -0.191,    0.416,   -0.126
   -0.190,    0.395,   -0.100
   -0.186,    0.376,   -0.086
   -0.182,    0.355,   -0.079
   -0.181,    0.327,   -0.071
   -0.180,    0.293,   -0.056
   -0.175,    0.253,   -0.035
   -0.165,    0.216,   -0.013
   -0.150,    0.181,    0.008
   -0.136,    0.150,    0.029
   -0.124,    0.118,    0.051
   -0.116,    0.086,    0.071
   -0.107,    0.056,    0.082
   -0.096,    0.028,    0.084
   -0.085,    0.004,    0.080
   -0.075,   -0.020,    0.077
   -0.066,   -0.043,    0.077
   -0.054,   -0.066,    0.076
   -0.040,   -0.088,    0.074
   -0.025,   -0.106,    0.071
   -0.014,   -0.120,    0.070
   -0.005,   -0.129,    0.069
    0.006,   -0.134,    0.064
    0.021,   -0.137,    0.057
    0.038,   -0.140,    0.046
    0.052,   -0.147,    0.038
    0.062,   -0.157,    0.032
    0.073,   -0.166,    0.027
    0.087,   -0.172,    0.023
    0.104,   -0.178,    0.019
    0.118,   -0.187,    0.016
    0.124,   -0.200,    0.016
    0.121,   -0.215,    0.017
    0.116,   -0.226,    0.017
    0.111,   -0.234,    0.017
    0.104,   -0.245,    0.020
    0.089,   -0.262,    0.027
    0.063,   -0.287,    0.037
    0.031,   -0.312,    0.046
   -0.002,   -0.332,    0.050
   -0.031,   -0.349,    0.054
   -0.059,   -0.368,    0.063
   -0.091,   -0.391,    0.081
   -0.127,   -0.413,    0.107
   -0.161,   -0.431,    0.133
   -0.192,   -0.444,    0.153
   -0.219,   -0.454,    0.165
   -0.245,   -0.464,    0.175
   -0.272,   -0.473,    0.183
   -0.295,   -0.481,    0.188
   -0.312,   -0.487,    0.191
   -0.322,   -0.493,    0.195
   -0.328,   -0.496,    0.203
   -0.333,   -0.498,    0.217
   -0.335,   -0.494,    0.232
   -0.330,   -0.485,    0.241
   -0.317,   -0.472,    0.244
   -0.300,   -0.456,    0.243
   -0.280,   -0.442,    0.243
   -0.260,   -0.430,    0.243
   -0.236,   -0.419,    0.241
   -0.206,   -0.408,    0.239
   -0.173,   -0.391,    0.240
   -0.139,   -0.371,    0.246
   -0.106,   -0.350,    0.253
   -0.076,   -0.330,    0.256
   -0.043,   -0.309,    0.253
   -0.007,   -0.282,    0.246
    0.032,   -0.250,    0.236
    0.071,   -0.219,    0.228
    0.109,   -0.191,    0.222
    0.146,   -0.166,    0.219
    0.182,   -0.139,    0.219
    0.220,   -0.105,    0.220
    0.258,   -0.070,    0.218
    0.297,   -0.034,    0.210
    0.335,   -0.002,    0.196
    0.371,    0.029,    0.180
    0.404,    0.058,    0.166
    0.434,    0.085,    0.152
    0.460,    0.109,    0.140
    0.483,    0.134,    0.127
    0.504,    0.161,    0.117
    0.524,    0.185,    0.106
    0.542,    0.203,    0.091
    0.558,    0.218,    0.075
    0.569,    0.232,    0.059
    0.578,    0.249,    0.048
    0.585,    0.265,    0.039
    0.595,    0.276,    0.028
    0.605,    0.281,    0.011
    0.610,    0.285,   -0.007
    0.611,    0.292,   -0.023
    0.608,    0.301,   -0.037
    0.605,    0.305,   -0.053
    0.603,    0.305,   -0.073
    0.601,    0.302,   -0.098
    0.597,    0.304,   -0.121
    0.590,    0.309,   -0.140
    0.581,    0.314,   -0.154
    0.574,    0.316,   -0.166
    0.564,    0.318,   -0.177
    0.551,    0.323,   -0.185
    0.534,    0.333,   -0.191
    0.513,    0.343,   -0.196
    0.492,    0.350,   -0.201
    0.470,    0.353,   -0.205
    0.448,    0.357,   -0.205
    0.424,    0.361,   -0.198
    0.398,    0.364,   -0.188
    0.371,    0.365,   -0.178
    0.345,    0.360,   -0.174
    0.319,    0.352,   -0.173
    0.295,    0.341,   -0.174
    0.271,    0.328,   -0.173
    0.247,    0.313,   -0.170
    0.221,    0.295,   -0.168
    0.195,    0.276,   -0.168
    0.168,    0.255,   -0.172
    0.140,    0.230,   -0.177
    0.113,    0.205,   -0.183
    0.084,    0.181,   -0.188
    0.052,    0.160,   -0.194
    0.015,    0.139,   -0.200
   -0.026,    0.117,   -0.204
   -0.070,    0.093,   -0.207
   -0.115,    0.071,   -0.208
   -0.162,    0.053,   -0.207
   -0.210,    0.042,   -0.204
   -0.260,    0.036,   -0.202
   -0.307,    0.033,   -0.200
   -0.352,    0.030,   -0.200
   -0.395,    0.028,   -0.202
   -0.433,    0.027,   -0.203
   -0.469,    0.030,   -0.202
   -0.498,    0.036,   -0.198
   -0.523,    0.045,   -0.194
   -0.543,    0.054,   -0.191
   -0.559,    0.061,   -0.187
   -0.573,    0.066,   -0.184
   -0.582,    0.067,   -0.179
   -0.586,    0.064,   -0.175
   -0.584,    0.060,   -0.170
   -0.580,    0.052,   -0.162
   -0.575,    0.043,   -0.155
   -0.573,    0.033,   -0.148
   -0.569,    0.020,   -0.142
   -0.565,    0.005,   -0.136
   -0.559,   -0.009,   -0.127
   -0.555,   -0.021,   -0.118
   -0.550,   -0.032,   -0.111
   -0.544,   -0.044,   -0.108
   -0.533,   -0.058,   -0.105
   -0.520,   -0.074,   -0.097
   -0.508,   -0.092,   -0.084
   -0.501,   -0.111,   -0.071
   -0.499,   -0.132,   -0.059
   -0.499,   -0.153,   -0.048
   -0.496,   -0.177,   -0.036
   -0.489,   -0.203,   -0.022
   -0.478,   -0.232,   -0.011
   -0.464,   -0.259,   -0.005
   -0.452,   -0.284,   -0.004
   -0.440,   -0.308,   -0.000
   -0.425,   -0.335,    0.007
   -0.403,   -0.366,    0.020
   -0.373,   -0.398,    0.037
   -0.339,   -0.421,    0.055
   -0.305,   -0.432,    0.071
   -0.273,   -0.433,    0.085
   -0.243,   -0.431,    0.095
   -0.210,   -0.428,    0.102
   -0.174,   -0.421,    0.112
   -0.135,   -0.407,    0.125
   -0.094,   -0.385,    0.141
   -0.053,   -0.360,    0.161
   -0.013,   -0.332,    0.180
    0.025,   -0.303,    0.198
    0.058,   -0.274,    0.212
    0.092,   -0.243,    0.220
    0.126,   -0.211,    0.220
    0.161,   -0.177,    0.214
    0.194,   -0.139,    0.200
    0.222,   -0.097,    0.183
    0.247,   -0.056,    0.162
    0.274,   -0.018,    0.145
    0.307,    0.018,    0.135
    0.339,    0.054,    0.132
    0.364,    0.093,    0.132
    0.378,    0.133,    0.124
    0.381,    0.169,    0.108
    0.381,    0.197,    0.086
    0.378,    0.218,    0.063
    0.371,    0.239,    0.039
    0.360,    0.261,    0.012
    0.350,    0.284,   -0.020
    0.345,    0.303,   -0.054
    0.343,    0.314,   -0.083
    0.340,    0.316,   -0.105
    0.332,    0.313,   -0.121
    0.323,    0.309,   -0.140
    0.314,    0.303,   -0.163
    0.306,    0.295,   -0.188
    0.293,    0.282,   -0.214
    0.273,    0.263,   -0.239
    0.252,    0.242,   -0.266
    0.237,    0.221,   -0.291
    0.227,    0.200,   -0.309
    0.217,    0.177,   -0.313
    0.201,    0.147,   -0.307
    0.181,    0.114,   -0.297
    0.162,    0.083,   -0.290
    0.148,    0.055,   -0.288
    0.136,    0.030,   -0.287
    0.121,    0.006,   -0.285
    0.105,   -0.017,   -0.284
    0.091,   -0.037,   -0.288
    0.083,   -0.055,   -0.294
    0.078,   -0.070,   -0.296
    0.077,   -0.084,   -0.285
    0.076,   -0.098,   -0.264
    0.077,   -0.110,   -0.239
    0.078,   -0.119,   -0.215
    0.073,   -0.125,   -0.196
    0.062,   -0.133,   -0.179
    0.046,   -0.139,   -0.164
    0.036,   -0.143,   -0.152
    0.030,   -0.146,   -0.142
    0.028,   -0.150,   -0.132
    0.023,   -0.158,   -0.123
    0.015,   -0.168,   -0.112
    0.008,   -0.178,   -0.102
    0.005,   -0.190,   -0.089
    0.005,   -0.202,   -0.072
    0.007,   -0.218,   -0.050
    0.010,   -0.233,   -0.026
    0.015,   -0.246,   -0.003
    0.024,   -0.253,    0.014
    0.035,   -0.255,    0.026
    0.047,   -0.257,    0.036
    0.059,   -0.258,    0.048
    0.070,   -0.260,    0.062
    0.079,   -0.265,    0.081
    0.086,   -0.272,    0.103
    0.087,   -0.280,    0.123
    0.084,   -0.285,    0.137
    0.081,   -0.283,    0.145
    0.084,   -0.274,    0.147
    0.094,   -0.261,    0.146
    0.105,   -0.247,    0.143
    0.113,   -0.236,    0.139
    0.113,   -0.226,    0.131
    0.110,   -0.215,    0.124
    0.107,   -0.199,    0.122
    0.107,   -0.180,    0.128
    0.105,   -0.159,    0.140
    0.097,   -0.139,    0.152
    0.080,   -0.121,    0.158
    0.057,   -0.103,    0.157
    0.035,   -0.085,    0.152
    0.014,   -0.063,    0.144
   -0.006,   -0.041,    0.139
   -0.027,   -0.021,    0.139
   -0.050,   -0.008,    0.142
   -0.073,    0.002,    0.145
   -0.095,    0.013,    0.146
   -0.117,    0.029,    0.144
   -0.140,    0.050,    0.141
   -0.164,    0.069,    0.136
   -0.188,    0.080,    0.129
   -0.212,    0.086,    0.120
   -0.236,    0.091,    0.110
   -0.260,    0.102,    0.104
   -0.285,    0.118,    0.103
   -0.307,    0.133,    0.103
   -0.327,    0.143,    0.101
   -0.346,    0.149,    0.093
   -0.364,    0.157,    0.083
   -0.382,    0.168,    0.074
   -0.401,    0.180,    0.068
   -0.416,    0.191,    0.064
   -0.426,    0.200,    0.062
   -0.433,    0.210,    0.057
   -0.439,    0.219,    0.051
   -0.445,    0.226,    0.045
   -0.448,    0.227,    0.038
   -0.447,    0.225,    0.032
   -0.442,    0.224,    0.028
   -0.432,    0.225,    0.026
   -0.421,    0.225,    0.024
   -0.407,    0.223,    0.021
   -0.392,    0.218,    0.017
   -0.373,    0.214,    0.014
   -0.351,    0.214,    0.013
   -0.328,    0.214,    0.013
   -0.307,    0.210,    0.012
   -0.287,    0.203,    0.009
   -0.264,    0.196,    0.003
   -0.238,    0.191,   -0.001
   -0.207,    0.187,   -0.001
   -0.175,    0.181,    0.002
   -0.143,    0.171,    0.004
   -0.113,    0.158,    0.004
   -0.082,    0.147,    0.001
   -0.050,    0.139,   -0.004
   -0.015,    0.131,   -0.005
    0.022,    0.122,   -0.004
    0.060,    0.111,    0.000
    0.098,    0.101,    0.004
    0.135,    0.090,    0.006
    0.170,    0.079,    0.009
    0.203,    0.066,    0.013
    0.234,    0.051,    0.019
    0.264,    0.034,    0.024
    0.293,    0.015,    0.027
    0.321,   -0.007,    0.027
    0.348,   -0.030,    0.027
    0.373,   -0.052,    0.027
    0.398,   -0.072,    0.029
    0.419,   -0.086,    0.030
    0.439,   -0.096,    0.029
    0.456,   -0.102,    0.026
    0.471,   -0.107,    0.022
    0.485,   -0.113,    0.017
    0.496,   -0.121,    0.013
    0.505,   -0.126,    0.011
    0.512,   -0.130,    0.009
    0.518,   -0.132,    0.007
    0.523,   -0.133,    0.002
    0.521,   -0.133,   -0.007
    0.514,   -0.130,   -0.018
    0.503,   -0.124,   -0.027
    0.491,   -0.118,   -0.033
    0.477,   -0.112,   -0.035
    0.462,   -0.106,   -0.037
    0.444,   -0.097,   -0.041
    0.425,   -0.085,   -0.046
    0.407,   -0.068,   -0.052
    0.388,   -0.050,   -0.057
    0.368,   -0.029,   -0.059
    0.342,   -0.008,   -0.060
    0.312,    0.014,   -0.060
    0.281,    0.036,   -0.063
    0.248,    0.055,   -0.070
    0.214,    0.072,   -0.079
    0.178,    0.087,   -0.087
    0.141,    0.101,   -0.094
    0.104,    0.111,   -0.097
    0.068,    0.115,   -0.100
    0.031,    0.113,   -0.106
   -0.009,    0.108,   -0.112
   -0.047,    0.098,   -0.120
   -0.084,    0.088,   -0.125
   -0.116,    0.075,   -0.127
   -0.148,    0.062,   -0.126
   -0.181,    0.048,   -0.127
   -0.214,    0.036,   -0.131
   -0.242,    0.025,   -0.136
   -0.265,    0.016,   -0.138
   -0.284,    0.011,   -0.134
   -0.301,    0.008,   -0.125
   -0.317,    0.008,   -0.113
   -0.330,    0.009,   -0.103
   -0.336,    0.008,   -0.094
   -0.337,    0.008,   -0.086
   -0.332,    0.008,   -0.075
   -0.326,    0.008,   -0.061
   -0.316,    0.007,   -0.045
   -0.303,    0.003,   -0.028
   -0.286,   -0.005,   -0.014
   -0.267,   -0.014,   -0.001
   -0.246,   -0.020,    0.012
   -0.224,   -0.024,    0.026
   -0.198,   -0.025,    0.041
   -0.171,   -0.027,    0.056
   -0.144,   -0.030,    0.071
   -0.119,   -0.034,    0.086
   -0.095,   -0.039,    0.103
   -0.071,   -0.045,    0.120
   -0.046,   -0.053,    0.137
   -0.021,   -0.062,    0.152
    0.001,   -0.072,    0.164
    0.019,   -0.081,    0.177
    0.033,   -0.089,    0.189
    0.045,   -0.099,    0.201
    0.054,   -0.109,    0.209
    0.059,   -0.118,    0.216
    0.057,   -0.126,    0.221
    0.051,   -0.132,    0.227
    0.042,   -0.139,    0.230
    0.030,   -0.148,    0.232
    0.014,   -0.158,    0.234
   -0.007,   -0.166,    0.238
   -0.032,   -0.170,    0.242
   -0.058,   -0.173,    0.245
   -0.084,   -0.176,    0.245
   -0.115,   -0.184,    0.242
   -0.147,   -0.194,    0.239
   -0.182,   -0.204,    0.233
   -0.215,   -0.213,    0.226
   -0.244,   -0.220,    0.216
   -0.272,   -0.230,    0.205
   -0.298,   -0.243,    0.195
   -0.320,   -0.260,    0.186
   -0.336,   -0.280,    0.179
   -0.346,   -0.300,    0.175
   -0.350,   -0.320,    0.174
   -0.350,   -0.344,    0.177
   -0.347,   -0.371,    0.182
   -0.338,   -0.402,    0.184
   -0.321,   -0.432,    0.184
   -0.298,   -0.458,    0.183
   -0.270,   -0.480,    0.186
   -0.240,   -0.499,    0.193
   -0.206,   -0.517,    0.202
   -0.168,   -0.533,    0.209
   -0.125,   -0.545,    0.214
   -0.077,   -0.548,    0.221
   -0.027,   -0.544,    0.230
    0.025,   -0.533,    0.239
    0.077,   -0.518,    0.247
    0.129,   -0.498,    0.252
    0.181,   -0.472,    0.255
    0.232,   -0.440,    0.256
    0.281,   -0.403,    0.254
    0.327,   -0.361,    0.250
    0.371,   -0.317,    0.243
    0.413,   -0.273,    0.235
    0.453,   -0.230,    0.225
    0.492,   -0.189,    0.212
    0.527,   -0.148,    0.196
    0.557,   -0.103,    0.175
    0.583,   -0.056,    0.153
    0.605,   -0.009,    0.129
    0.623,    0.034,    0.105
    0.636,    0.073,    0.079
    0.643,    0.110,    0.051
    0.646,    0.148,    0.023
    0.647,    0.185,   -0.003
    0.648,    0.218,   -0.029
    0.647,    0.250,   -0.058
    0.642,    0.280,   -0.092
    0.632,    0.312,   -0.130
    0.616,    0.346,   -0.169
    0.597,    0.380,   -0.206
    0.573,    0.411,   -0.241
    0.544,    0.442,   -0.273
    0.509,    0.472,   -0.302
    0.469,    0.502,   -0.329
    0.425,    0.531,   -0.351
    0.378,    0.557,   -0.370
    0.328,    0.583,   -0.384
    0.279,    0.609,   -0.393
    0.226,    0.636,   -0.397
    0.169,    0.659,   -0.396
