SITE CODE= ‰FŽ¡Žs‰FŽ¡”ú”i
LAT=  34.8837
LON= 135.7996
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 11 00
NS, EW, UD
    0.463,    0.159,   -0.082
    0.488,    0.191,   -0.080
    0.557,    0.119,   -0.136
    0.578,    0.100,   -0.209
    0.538,    0.186,   -0.203
    0.574,    0.215,   -0.205
    0.551,    0.204,   -0.242
    0.553,    0.198,   -0.254
    0.598,    0.237,   -0.271
    0.560,    0.235,   -0.303
    0.513,    0.220,   -0.337
    0.498,    0.219,   -0.346
    0.469,    0.231,   -0.344
    0.467,    0.243,   -0.359
    0.460,    0.237,   -0.380
    0.365,    0.225,   -0.399
    0.310,    0.173,   -0.401
    0.280,    0.157,   -0.405
    0.224,    0.159,   -0.400
    0.185,    0.128,   -0.414
    0.097,    0.076,   -0.410
    0.068,    0.052,   -0.378
    0.044,    0.056,   -0.368
   -0.070,    0.046,   -0.342
   -0.106,    0.018,   -0.327
   -0.153,   -0.053,   -0.312
   -0.220,   -0.085,   -0.279
   -0.240,   -0.084,   -0.269
   -0.292,   -0.116,   -0.266
   -0.346,   -0.146,   -0.229
   -0.363,   -0.159,   -0.193
   -0.391,   -0.176,   -0.180
   -0.467,   -0.173,   -0.150
   -0.508,   -0.187,   -0.124
   -0.491,   -0.221,   -0.117
   -0.455,   -0.250,   -0.109
   -0.511,   -0.232,   -0.085
   -0.579,   -0.182,   -0.048
   -0.507,   -0.220,   -0.016
   -0.458,   -0.227,    0.004
   -0.479,   -0.201,    0.027
   -0.531,   -0.140,    0.066
   -0.500,   -0.129,    0.098
   -0.404,   -0.248,    0.084
   -0.453,   -0.183,    0.084
   -0.455,   -0.086,    0.134
   -0.375,   -0.091,    0.168
   -0.379,   -0.086,    0.178
   -0.356,   -0.078,    0.175
   -0.345,   -0.051,    0.170
   -0.345,   -0.063,    0.174
   -0.342,   -0.033,    0.178
   -0.341,   -0.001,    0.188
   -0.290,    0.016,    0.201
   -0.275,    0.059,    0.212
   -0.259,    0.072,    0.199
   -0.229,    0.087,    0.177
   -0.227,    0.082,    0.187
   -0.229,    0.115,    0.187
   -0.223,    0.151,    0.173
   -0.183,    0.149,    0.167
   -0.152,    0.157,    0.149
   -0.144,    0.168,    0.144
   -0.139,    0.180,    0.128
   -0.136,    0.160,    0.112
   -0.122,    0.163,    0.107
   -0.105,    0.155,    0.085
   -0.100,    0.139,    0.073
   -0.100,    0.166,    0.074
   -0.084,    0.138,    0.074
   -0.076,    0.080,    0.039
   -0.106,    0.066,    0.025
   -0.105,    0.056,    0.041
   -0.100,    0.025,    0.018
   -0.100,   -0.009,   -0.000
   -0.083,   -0.021,    0.009
   -0.107,   -0.051,    0.000
   -0.123,   -0.089,   -0.013
   -0.132,   -0.101,   -0.008
   -0.120,   -0.138,   -0.016
   -0.100,   -0.150,   -0.032
   -0.110,   -0.160,   -0.020
   -0.083,   -0.194,   -0.021
   -0.074,   -0.201,   -0.035
   -0.068,   -0.204,   -0.027
   -0.023,   -0.198,   -0.014
   -0.023,   -0.201,   -0.006
    0.001,   -0.198,   -0.004
    0.070,   -0.194,    0.007
    0.073,   -0.184,    0.030
    0.077,   -0.144,    0.048
    0.124,   -0.140,    0.058
    0.155,   -0.125,    0.061
    0.186,   -0.084,    0.057
    0.204,   -0.069,    0.068
    0.227,   -0.042,    0.093
    0.252,   -0.011,    0.102
    0.266,    0.013,    0.112
    0.303,    0.030,    0.111
    0.310,    0.032,    0.104
    0.330,    0.041,    0.105
    0.364,    0.062,    0.102
    0.396,    0.102,    0.112
    0.428,    0.100,    0.104
    0.408,    0.069,    0.088
