SITE CODE= ‹T‰ªŽsˆÀ’¬
LAT=  35.0128
LON= 135.5735
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 20
NS, EW, UD
    0.180,    0.076,    0.060
    0.157,    0.085,    0.060
    0.127,    0.088,    0.051
    0.093,    0.086,    0.037
    0.059,    0.077,    0.031
    0.029,    0.064,    0.036
    0.004,    0.045,    0.048
   -0.022,    0.024,    0.060
   -0.051,    0.004,    0.065
   -0.085,   -0.014,    0.062
   -0.121,   -0.028,    0.058
   -0.155,   -0.041,    0.055
   -0.183,   -0.054,    0.054
   -0.205,   -0.066,    0.055
   -0.222,   -0.078,    0.059
   -0.237,   -0.090,    0.064
   -0.251,   -0.103,    0.068
   -0.262,   -0.119,    0.068
   -0.270,   -0.139,    0.062
   -0.276,   -0.159,    0.057
   -0.283,   -0.181,    0.055
   -0.289,   -0.200,    0.056
   -0.292,   -0.216,    0.054
   -0.289,   -0.227,    0.049
   -0.280,   -0.232,    0.043
   -0.265,   -0.231,    0.041
   -0.247,   -0.227,    0.042
   -0.227,   -0.218,    0.040
   -0.207,   -0.205,    0.027
   -0.186,   -0.187,    0.005
   -0.164,   -0.166,   -0.014
   -0.137,   -0.141,   -0.021
   -0.103,   -0.117,   -0.015
   -0.064,   -0.092,   -0.007
   -0.023,   -0.070,   -0.011
    0.014,   -0.049,   -0.032
    0.046,   -0.031,   -0.060
    0.073,   -0.016,   -0.081
    0.099,   -0.000,   -0.090
    0.125,    0.017,   -0.087
    0.145,    0.040,   -0.081
    0.156,    0.065,   -0.073
    0.157,    0.089,   -0.061
    0.149,    0.111,   -0.045
    0.137,    0.130,   -0.028
    0.125,    0.146,   -0.017
    0.114,    0.158,   -0.012
    0.103,    0.166,   -0.006
    0.094,    0.170,    0.004
    0.087,    0.171,    0.015
    0.086,    0.171,    0.018
    0.089,    0.174,    0.010
    0.100,    0.177,   -0.000
    0.119,    0.179,   -0.005
    0.145,    0.177,   -0.002
    0.175,    0.172,    0.001
    0.202,    0.166,   -0.004
    0.224,    0.157,   -0.014
    0.243,    0.143,   -0.026
    0.261,    0.120,   -0.034
    0.279,    0.090,   -0.039
    0.292,    0.055,   -0.050
    0.297,    0.022,   -0.070
    0.293,   -0.010,   -0.092
    0.286,   -0.041,   -0.105
    0.276,   -0.072,   -0.106
    0.263,   -0.103,   -0.099
    0.245,   -0.131,   -0.095
    0.221,   -0.155,   -0.100
    0.196,   -0.175,   -0.109
    0.171,   -0.190,   -0.112
    0.145,   -0.196,   -0.105
    0.118,   -0.193,   -0.092
    0.089,   -0.185,   -0.080
    0.060,   -0.177,   -0.073
    0.032,   -0.173,   -0.068
    0.004,   -0.170,   -0.059
   -0.024,   -0.167,   -0.050
   -0.052,   -0.163,   -0.041
   -0.077,   -0.160,   -0.037
   -0.099,   -0.160,   -0.032
   -0.120,   -0.160,   -0.023
   -0.141,   -0.155,   -0.010
   -0.159,   -0.139,    0.003
   -0.173,   -0.119,    0.010
   -0.182,   -0.098,    0.012
   -0.186,   -0.082,    0.020
   -0.186,   -0.066,    0.036
   -0.182,   -0.049,    0.056
   -0.173,   -0.029,    0.073
   -0.158,   -0.009,    0.082
   -0.138,    0.005,    0.089
   -0.117,    0.014,    0.103
   -0.097,    0.019,    0.125
   -0.081,    0.022,    0.144
   -0.067,    0.024,    0.149
   -0.055,    0.024,    0.137
   -0.047,    0.025,    0.120
   -0.043,    0.025,    0.107
   -0.040,    0.024,    0.101
   -0.037,    0.021,    0.096
   -0.033,    0.015,    0.084
   -0.024,    0.008,    0.069
   -0.014,    0.004,    0.054
   -0.006,    0.005,    0.039
    0.002,    0.012,    0.021
    0.010,    0.019,   -0.006
    0.019,    0.025,   -0.036
    0.029,    0.029,   -0.064
    0.040,    0.030,   -0.086
    0.049,    0.032,   -0.105
    0.057,    0.034,   -0.125
    0.062,    0.039,   -0.149
    0.067,    0.045,   -0.172
    0.071,    0.053,   -0.188
    0.075,    0.063,   -0.197
    0.078,    0.075,   -0.203
    0.081,    0.086,   -0.203
    0.081,    0.094,   -0.201
    0.079,    0.097,   -0.192
    0.073,    0.093,   -0.178
    0.063,    0.084,   -0.162
    0.048,    0.074,   -0.145
    0.028,    0.067,   -0.126
    0.009,    0.060,   -0.102
   -0.006,    0.053,   -0.073
   -0.016,    0.043,   -0.044
   -0.022,    0.033,   -0.020
   -0.023,    0.028,   -0.004
   -0.020,    0.028,    0.007
   -0.010,    0.029,    0.019
    0.005,    0.031,    0.033
    0.021,    0.031,    0.047
    0.036,    0.032,    0.054
    0.046,    0.035,    0.046
    0.053,    0.039,    0.025
    0.055,    0.039,   -0.001
    0.056,    0.038,   -0.023
    0.057,    0.037,   -0.037
    0.059,    0.040,   -0.046
    0.059,    0.050,   -0.052
    0.054,    0.065,   -0.058
    0.045,    0.084,   -0.064
    0.031,    0.101,   -0.065
    0.016,    0.117,   -0.061
    0.001,    0.134,   -0.054
   -0.013,    0.152,   -0.045
   -0.025,    0.171,   -0.034
   -0.034,    0.187,   -0.022
   -0.039,    0.201,   -0.009
   -0.042,    0.212,    0.004
   -0.041,    0.224,    0.016
   -0.036,    0.236,    0.027
   -0.026,    0.242,    0.037
   -0.016,    0.239,    0.050
   -0.006,    0.228,    0.064
    0.000,    0.212,    0.076
    0.006,    0.194,    0.083
    0.012,    0.175,    0.088
    0.017,    0.154,    0.095
    0.020,    0.132,    0.104
    0.021,    0.111,    0.115
    0.021,    0.089,    0.122
    0.020,    0.065,    0.125
    0.018,    0.041,    0.127
    0.016,    0.018,    0.128
    0.017,   -0.002,    0.130
    0.023,   -0.019,    0.127
    0.033,   -0.037,    0.120
    0.047,   -0.053,    0.110
    0.062,   -0.064,    0.099
    0.077,   -0.072,    0.087
    0.089,   -0.080,    0.074
    0.098,   -0.090,    0.058
    0.102,   -0.105,    0.041
    0.099,   -0.119,    0.025
    0.090,   -0.131,    0.011
    0.077,   -0.143,   -0.002
    0.060,   -0.159,   -0.012
    0.043,   -0.183,   -0.023
    0.027,   -0.208,   -0.033
    0.015,   -0.230,   -0.043
    0.008,   -0.249,   -0.053
    0.004,   -0.266,   -0.061
    0.000,   -0.285,   -0.065
   -0.003,   -0.304,   -0.067
   -0.003,   -0.317,   -0.068
    0.002,   -0.319,   -0.066
    0.014,   -0.310,   -0.058
    0.030,   -0.295,   -0.046
    0.047,   -0.276,   -0.030
    0.062,   -0.255,   -0.018
    0.077,   -0.230,   -0.011
    0.093,   -0.199,   -0.005
    0.112,   -0.162,    0.004
    0.130,   -0.123,    0.021
    0.144,   -0.087,    0.040
    0.152,   -0.055,    0.052
    0.152,   -0.028,    0.048
    0.146,   -0.002,    0.038
    0.134,    0.021,    0.030
    0.119,    0.040,    0.035
    0.101,    0.057,    0.048
    0.084,    0.074,    0.061
    0.068,    0.096,    0.067
    0.052,    0.121,    0.068
    0.037,    0.146,    0.068
    0.025,    0.165,    0.069
    0.013,    0.178,    0.068
    0.002,    0.189,    0.061
   -0.009,    0.202,    0.052
   -0.016,    0.216,    0.046
   -0.016,    0.227,    0.043
   -0.010,    0.234,    0.039
    0.000,    0.237,    0.030
    0.009,    0.239,    0.016
    0.014,    0.240,    0.002
    0.019,    0.239,   -0.008
    0.025,    0.237,   -0.011
    0.032,    0.232,   -0.010
    0.034,    0.224,   -0.010
    0.027,    0.216,   -0.017
    0.012,    0.203,   -0.030
   -0.005,    0.187,   -0.048
   -0.021,    0.166,   -0.061
   -0.030,    0.144,   -0.066
   -0.034,    0.123,   -0.063
   -0.034,    0.107,   -0.062
   -0.031,    0.093,   -0.066
   -0.027,    0.080,   -0.078
   -0.023,    0.066,   -0.090
   -0.021,    0.046,   -0.098
