SITE CODE= –¥–ÊŽs–¥–Ê
LAT=  34.8319
LON= 135.4708
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 40
NS, EW, UD
   -0.068,   -0.192,   -0.082
   -0.063,   -0.189,   -0.084
   -0.055,   -0.186,   -0.087
   -0.045,   -0.184,   -0.090
   -0.030,   -0.182,   -0.092
   -0.010,   -0.177,   -0.091
    0.015,   -0.169,   -0.088
    0.044,   -0.160,   -0.084
    0.073,   -0.150,   -0.080
    0.104,   -0.139,   -0.074
    0.134,   -0.125,   -0.063
    0.162,   -0.110,   -0.049
    0.189,   -0.094,   -0.032
    0.217,   -0.078,   -0.015
    0.246,   -0.063,    0.000
    0.272,   -0.050,    0.017
    0.296,   -0.035,    0.036
    0.318,   -0.022,    0.056
    0.340,   -0.008,    0.075
    0.362,    0.005,    0.091
    0.385,    0.019,    0.104
    0.408,    0.032,    0.117
    0.433,    0.045,    0.131
    0.458,    0.059,    0.144
    0.482,    0.073,    0.156
    0.501,    0.087,    0.167
    0.518,    0.101,    0.176
    0.535,    0.114,    0.183
    0.551,    0.125,    0.188
    0.564,    0.131,    0.190
    0.573,    0.133,    0.191
    0.576,    0.135,    0.189
    0.576,    0.135,    0.188
    0.576,    0.134,    0.186
    0.575,    0.129,    0.184
    0.573,    0.124,    0.180
    0.567,    0.119,    0.175
    0.557,    0.116,    0.168
    0.546,    0.112,    0.157
    0.533,    0.108,    0.145
    0.521,    0.102,    0.133
    0.507,    0.098,    0.121
    0.490,    0.094,    0.110
    0.470,    0.091,    0.097
    0.449,    0.089,    0.084
    0.433,    0.087,    0.070
    0.420,    0.085,    0.058
    0.410,    0.082,    0.048
    0.402,    0.077,    0.038
    0.396,    0.070,    0.029
    0.392,    0.062,    0.020
    0.392,    0.058,    0.013
    0.392,    0.055,    0.009
    0.391,    0.050,    0.006
    0.387,    0.042,    0.004
    0.382,    0.033,    0.003
    0.376,    0.027,    0.003
    0.366,    0.024,    0.002
    0.354,    0.025,    0.002
    0.339,    0.025,    0.003
    0.325,    0.022,    0.002
    0.312,    0.019,    0.001
    0.303,    0.017,   -0.000
    0.295,    0.017,   -0.002
    0.289,    0.019,   -0.007
    0.283,    0.019,   -0.012
    0.279,    0.019,   -0.018
    0.278,    0.017,   -0.021
    0.278,    0.016,   -0.022
