SITE CODE= çÇíŒésìçâÄí¨
LAT=  34.8454
LON= 135.6169
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 40
NS, EW, UD
    0.165,    0.388,    0.004
    0.148,    0.413,   -0.013
    0.121,    0.441,   -0.033
    0.090,    0.467,   -0.055
    0.062,    0.490,   -0.078
    0.045,    0.510,   -0.100
    0.034,    0.533,   -0.119
    0.023,    0.557,   -0.135
    0.007,    0.575,   -0.147
   -0.015,    0.583,   -0.157
   -0.037,    0.585,   -0.170
   -0.054,    0.585,   -0.189
   -0.064,    0.592,   -0.212
   -0.069,    0.605,   -0.235
   -0.070,    0.620,   -0.250
   -0.070,    0.628,   -0.255
   -0.076,    0.627,   -0.254
   -0.091,    0.617,   -0.254
   -0.111,    0.608,   -0.260
   -0.130,    0.605,   -0.275
   -0.139,    0.606,   -0.292
   -0.140,    0.604,   -0.307
   -0.140,    0.589,   -0.316
   -0.148,    0.562,   -0.318
   -0.163,    0.532,   -0.313
   -0.180,    0.504,   -0.305
   -0.192,    0.478,   -0.296
   -0.197,    0.446,   -0.293
   -0.198,    0.406,   -0.296
   -0.196,    0.361,   -0.305
   -0.194,    0.319,   -0.314
   -0.187,    0.284,   -0.320
   -0.175,    0.255,   -0.318
   -0.158,    0.226,   -0.309
   -0.137,    0.192,   -0.296
   -0.118,    0.154,   -0.283
   -0.103,    0.114,   -0.272
   -0.090,    0.074,   -0.265
   -0.074,    0.037,   -0.264
   -0.052,    0.002,   -0.266
   -0.030,   -0.035,   -0.269
   -0.016,   -0.073,   -0.268
   -0.013,   -0.111,   -0.262
   -0.018,   -0.147,   -0.255
   -0.018,   -0.179,   -0.247
   -0.003,   -0.204,   -0.243
    0.026,   -0.220,   -0.237
    0.062,   -0.227,   -0.229
    0.096,   -0.231,   -0.214
    0.127,   -0.235,   -0.197
    0.152,   -0.243,   -0.183
    0.175,   -0.251,   -0.175
    0.195,   -0.258,   -0.170
    0.212,   -0.266,   -0.161
    0.226,   -0.276,   -0.146
    0.239,   -0.288,   -0.125
    0.252,   -0.296,   -0.105
    0.260,   -0.295,   -0.087
    0.265,   -0.291,   -0.071
    0.265,   -0.289,   -0.056
    0.262,   -0.294,   -0.037
    0.259,   -0.304,   -0.018
    0.257,   -0.311,    0.000
    0.253,   -0.310,    0.017
    0.248,   -0.304,    0.033
    0.241,   -0.297,    0.049
    0.233,   -0.292,    0.064
    0.224,   -0.287,    0.080
    0.217,   -0.283,    0.095
    0.210,   -0.280,    0.109
    0.198,   -0.279,    0.123
    0.179,   -0.282,    0.137
    0.152,   -0.289,    0.148
    0.125,   -0.298,    0.157
    0.104,   -0.305,    0.164
    0.090,   -0.309,    0.174
    0.076,   -0.308,    0.187
    0.053,   -0.307,    0.202
    0.021,   -0.305,    0.216
   -0.012,   -0.305,    0.228
   -0.039,   -0.305,    0.237
   -0.057,   -0.300,    0.244
   -0.068,   -0.296,    0.250
   -0.077,   -0.294,    0.256
   -0.085,   -0.297,    0.267
   -0.093,   -0.307,    0.282
   -0.099,   -0.315,    0.303
   -0.105,   -0.318,    0.322
   -0.113,   -0.318,    0.337
   -0.122,   -0.319,    0.348
   -0.134,   -0.327,    0.356
   -0.149,   -0.342,    0.363
   -0.170,   -0.357,    0.371
   -0.197,   -0.365,    0.380
   -0.228,   -0.364,    0.389
   -0.260,   -0.355,    0.398
   -0.291,   -0.341,    0.403
   -0.322,   -0.326,    0.402
   -0.353,   -0.313,    0.396
   -0.383,   -0.307,    0.387
   -0.410,   -0.307,    0.381
   -0.430,   -0.305,    0.378
   -0.445,   -0.296,    0.377
   -0.461,   -0.274,    0.374
   -0.485,   -0.245,    0.366
   -0.517,   -0.219,    0.355
   -0.550,   -0.200,    0.344
   -0.575,   -0.187,    0.332
   -0.590,   -0.172,    0.318
   -0.598,   -0.151,    0.301
   -0.609,   -0.122,    0.282
   -0.624,   -0.086,    0.264
   -0.638,   -0.048,    0.250
   -0.645,   -0.014,    0.241
   -0.640,    0.012,    0.234
   -0.626,    0.027,    0.226
   -0.610,    0.034,    0.214
   -0.598,    0.040,    0.201
   -0.588,    0.050,    0.186
   -0.577,    0.066,    0.171
   -0.562,    0.085,    0.157
   -0.540,    0.103,    0.146
   -0.514,    0.120,    0.137
   -0.489,    0.139,    0.128
   -0.471,    0.162,    0.118
   -0.461,    0.191,    0.102
   -0.457,    0.226,    0.084
   -0.455,    0.262,    0.066
   -0.449,    0.295,    0.050
   -0.439,    0.323,    0.037
   -0.425,    0.346,    0.025
   -0.410,    0.373,    0.015
   -0.395,    0.408,    0.005
   -0.382,    0.447,   -0.008
   -0.370,    0.478,   -0.027
   -0.357,    0.493,   -0.051
   -0.339,    0.494,   -0.077
   -0.321,    0.494,   -0.099
   -0.304,    0.502,   -0.114
   -0.290,    0.518,   -0.123
   -0.280,    0.531,   -0.127
   -0.275,    0.534,   -0.131
   -0.270,    0.526,   -0.141
   -0.265,    0.517,   -0.160
   -0.259,    0.515,   -0.186
   -0.251,    0.523,   -0.216
   -0.240,    0.535,   -0.243
   -0.225,    0.545,   -0.263
   -0.211,    0.543,   -0.277
   -0.199,    0.526,   -0.287
   -0.189,    0.501,   -0.295
   -0.178,    0.479,   -0.305
   -0.162,    0.468,   -0.318
   -0.141,    0.470,   -0.331
   -0.122,    0.474,   -0.341
   -0.112,    0.469,   -0.346
   -0.109,    0.450,   -0.351
   -0.108,    0.423,   -0.355
   -0.098,    0.398,   -0.361
   -0.080,    0.382,   -0.367
   -0.057,    0.375,   -0.369
   -0.038,    0.371,   -0.366
   -0.029,    0.363,   -0.358
   -0.025,    0.346,   -0.351
   -0.016,    0.320,   -0.350
    0.004,    0.291,   -0.350
    0.036,    0.263,   -0.348
    0.068,    0.235,   -0.341
    0.089,    0.207,   -0.325
    0.093,    0.175,   -0.305
    0.087,    0.146,   -0.282
    0.083,    0.125,   -0.262
    0.088,    0.112,   -0.246
    0.099,    0.105,   -0.233
    0.108,    0.097,   -0.219
    0.109,    0.089,   -0.200
    0.104,    0.086,   -0.177
    0.096,    0.095,   -0.150
    0.092,    0.109,   -0.127
    0.092,    0.120,   -0.109
    0.098,    0.122,   -0.096
    0.107,    0.115,   -0.086
    0.120,    0.107,   -0.073
    0.136,    0.103,   -0.055
    0.153,    0.099,   -0.036
    0.171,    0.092,   -0.018
    0.187,    0.077,   -0.009
    0.201,    0.059,   -0.006
    0.218,    0.041,   -0.006
    0.237,    0.024,   -0.005
    0.259,    0.006,    0.000
    0.276,   -0.013,    0.009
    0.283,   -0.027,    0.019
    0.281,   -0.030,    0.027
    0.271,   -0.025,    0.026
    0.262,   -0.023,    0.014
    0.254,   -0.033,   -0.007
    0.244,   -0.056,   -0.031
    0.232,   -0.080,   -0.049
    0.214,   -0.098,   -0.056
    0.196,   -0.105,   -0.058
    0.177,   -0.109,   -0.063
    0.157,   -0.115,   -0.075
    0.132,   -0.123,   -0.094
    0.100,   -0.128,   -0.115
    0.065,   -0.127,   -0.132
