SITE CODE= •x“c—ÑŽs–{’¬
LAT=  34.5030
LON= 135.6002
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 50
NS, EW, UD
    0.060,   -0.093,   -0.015
    0.100,   -0.077,    0.002
    0.141,   -0.061,    0.020
    0.180,   -0.045,    0.038
    0.219,   -0.029,    0.055
    0.256,   -0.014,    0.071
    0.292,    0.002,    0.086
    0.326,    0.020,    0.100
    0.360,    0.038,    0.115
    0.390,    0.056,    0.131
    0.419,    0.072,    0.147
    0.445,    0.087,    0.163
    0.471,    0.102,    0.178
    0.494,    0.116,    0.193
    0.515,    0.129,    0.206
    0.534,    0.141,    0.218
    0.548,    0.152,    0.228
    0.558,    0.159,    0.238
    0.565,    0.163,    0.247
    0.571,    0.164,    0.255
    0.574,    0.163,    0.262
    0.573,    0.161,    0.266
    0.565,    0.156,    0.269
    0.555,    0.150,    0.271
    0.544,    0.141,    0.271
    0.533,    0.131,    0.267
    0.523,    0.120,    0.261
    0.508,    0.107,    0.253
    0.488,    0.094,    0.242
    0.464,    0.082,    0.229
    0.439,    0.069,    0.213
    0.415,    0.055,    0.196
    0.391,    0.039,    0.178
    0.366,    0.021,    0.162
    0.342,    0.002,    0.147
    0.319,   -0.016,    0.132
    0.299,   -0.034,    0.117
    0.282,   -0.054,    0.103
    0.268,   -0.076,    0.089
    0.255,   -0.099,    0.077
    0.244,   -0.122,    0.064
    0.234,   -0.144,    0.052
    0.224,   -0.164,    0.039
    0.215,   -0.184,    0.026
    0.208,   -0.204,    0.013
    0.203,   -0.224,    0.001
    0.199,   -0.244,   -0.009
    0.194,   -0.262,   -0.019
    0.186,   -0.278,   -0.025
    0.177,   -0.293,   -0.029
    0.169,   -0.305,   -0.032
    0.163,   -0.316,   -0.034
    0.158,   -0.323,   -0.037
    0.152,   -0.326,   -0.041
    0.143,   -0.325,   -0.044
    0.134,   -0.319,   -0.048
    0.126,   -0.312,   -0.051
    0.117,   -0.300,   -0.054
    0.109,   -0.284,   -0.055
    0.102,   -0.264,   -0.058
    0.094,   -0.241,   -0.061
    0.086,   -0.216,   -0.064
    0.079,   -0.191,   -0.068
    0.071,   -0.164,   -0.069
    0.064,   -0.136,   -0.070
    0.056,   -0.105,   -0.071
    0.050,   -0.077,   -0.073
    0.043,   -0.048,   -0.077
    0.037,   -0.021,   -0.078
    0.030,    0.004,   -0.076
    0.024,    0.028,   -0.071
    0.017,    0.053,   -0.064
    0.009,    0.078,   -0.058
   -0.001,    0.100,   -0.052
   -0.012,    0.120,   -0.045
   -0.022,    0.139,   -0.036
   -0.034,    0.157,   -0.027
   -0.045,    0.175,   -0.020
   -0.057,    0.193,   -0.014
   -0.069,    0.208,   -0.008
   -0.078,    0.221,   -0.000
   -0.086,    0.230,    0.009
   -0.093,    0.237,    0.018
   -0.100,    0.243,    0.028
   -0.107,    0.246,    0.035
   -0.113,    0.246,    0.041
   -0.118,    0.243,    0.045
   -0.123,    0.238,    0.050
   -0.130,    0.230,    0.056
   -0.138,    0.221,    0.062
   -0.150,    0.210,    0.067
   -0.162,    0.196,    0.071
   -0.178,    0.181,    0.074
   -0.194,    0.164,    0.076
   -0.212,    0.146,    0.076
   -0.233,    0.130,    0.074
   -0.253,    0.114,    0.071
   -0.275,    0.100,    0.067
   -0.296,    0.086,    0.065
   -0.315,    0.074,    0.064
   -0.334,    0.065,    0.062
   -0.351,    0.058,    0.059
   -0.366,    0.054,    0.055
   -0.379,    0.051,    0.052
   -0.387,    0.049,    0.050
   -0.391,    0.048,    0.050
   -0.389,    0.049,    0.049
   -0.384,    0.049,    0.049
   -0.376,    0.048,    0.050
   -0.366,    0.045,    0.051
   -0.353,    0.040,    0.052
   -0.338,    0.036,    0.055
   -0.321,    0.033,    0.057
   -0.301,    0.030,    0.058
   -0.280,    0.027,    0.057
   -0.259,    0.023,    0.055
   -0.235,    0.020,    0.052
   -0.211,    0.019,    0.048
   -0.185,    0.018,    0.046
   -0.159,    0.018,    0.043
   -0.130,    0.019,    0.040
   -0.101,    0.022,    0.035
   -0.070,    0.028,    0.032
   -0.037,    0.035,    0.030
   -0.004,    0.041,    0.029
    0.030,    0.048,    0.026
    0.062,    0.057,    0.020
    0.095,    0.066,    0.013
    0.124,    0.073,    0.007
    0.152,    0.077,    0.004
    0.177,    0.080,    0.002
    0.201,    0.080,   -0.000
    0.223,    0.079,   -0.004
    0.243,    0.075,   -0.007
    0.263,    0.069,   -0.009
    0.281,    0.058,   -0.011
    0.295,    0.047,   -0.014
    0.308,    0.034,   -0.019
    0.319,    0.020,   -0.025
    0.330,    0.003,   -0.032
    0.341,   -0.018,   -0.038
    0.350,   -0.040,   -0.045
    0.358,   -0.063,   -0.053
    0.362,   -0.084,   -0.061
    0.363,   -0.104,   -0.070
    0.362,   -0.124,   -0.077
    0.358,   -0.143,   -0.083
    0.352,   -0.159,   -0.088
    0.344,   -0.171,   -0.092
    0.332,   -0.179,   -0.094
    0.318,   -0.184,   -0.096
    0.300,   -0.189,   -0.098
    0.278,   -0.192,   -0.100
    0.254,   -0.194,   -0.103
    0.226,   -0.194,   -0.105
    0.195,   -0.193,   -0.103
    0.162,   -0.191,   -0.096
    0.128,   -0.186,   -0.088
    0.091,   -0.181,   -0.081
    0.052,   -0.173,   -0.076
    0.013,   -0.165,   -0.072
   -0.027,   -0.156,   -0.066
   -0.068,   -0.146,   -0.061
   -0.107,   -0.134,   -0.055
   -0.148,   -0.121,   -0.052
   -0.186,   -0.106,   -0.049
   -0.224,   -0.092,   -0.046
   -0.260,   -0.078,   -0.043
   -0.294,   -0.066,   -0.039
   -0.327,   -0.054,   -0.036
   -0.357,   -0.040,   -0.033
   -0.384,   -0.026,   -0.032
   -0.405,   -0.015,   -0.030
   -0.425,   -0.006,   -0.029
   -0.441,    0.000,   -0.027
   -0.455,    0.006,   -0.027
   -0.467,    0.012,   -0.028
   -0.475,    0.018,   -0.030
   -0.479,    0.020,   -0.033
   -0.480,    0.020,   -0.032
   -0.475,    0.019,   -0.028
   -0.468,    0.020,   -0.023
   -0.459,    0.022,   -0.020
   -0.449,    0.024,   -0.019
   -0.437,    0.022,   -0.018
   -0.423,    0.017,   -0.014
   -0.406,    0.013,   -0.008
   -0.385,    0.012,   -0.002
   -0.362,    0.013,    0.005
   -0.338,    0.014,    0.011
   -0.314,    0.014,    0.017
   -0.289,    0.012,    0.021
   -0.262,    0.011,    0.028
   -0.234,    0.011,    0.035
   -0.204,    0.013,    0.043
   -0.175,    0.016,    0.052
   -0.144,    0.020,    0.057
   -0.113,    0.024,    0.059
   -0.085,    0.027,    0.060
   -0.057,    0.030,    0.062
   -0.032,    0.034,    0.067
   -0.007,    0.039,    0.070
    0.017,    0.046,    0.071
    0.039,    0.054,    0.070
    0.057,    0.062,    0.068
    0.073,    0.072,    0.068
    0.087,    0.084,    0.068
    0.100,    0.099,    0.066
    0.111,    0.114,    0.061
    0.118,    0.130,    0.054
    0.121,    0.144,    0.048
    0.119,    0.159,    0.042
    0.114,    0.177,    0.037
    0.107,    0.194,    0.032
    0.098,    0.210,    0.028
    0.089,    0.224,    0.025
    0.080,    0.234,    0.021
    0.070,    0.242,    0.018
    0.058,    0.251,    0.016
    0.043,    0.260,    0.016
    0.025,    0.268,    0.020
    0.006,    0.273,    0.030
   -0.012,    0.276,    0.040
   -0.032,    0.278,    0.048
   -0.051,    0.279,    0.056
   -0.070,    0.278,    0.064
   -0.089,    0.272,    0.076
   -0.108,    0.264,    0.090
   -0.127,    0.255,    0.103
   -0.147,    0.249,    0.112
   -0.166,    0.243,    0.119
   -0.186,    0.234,    0.127
   -0.205,    0.221,    0.136
   -0.223,    0.206,    0.147
   -0.238,    0.193,    0.155
   -0.251,    0.182,    0.157
   -0.262,    0.174,    0.155
   -0.272,    0.165,    0.152
   -0.283,    0.154,    0.148
   -0.292,    0.144,    0.146
   -0.298,    0.136,    0.145
   -0.300,    0.131,    0.141
   -0.300,    0.125,    0.134
   -0.297,    0.118,    0.124
   -0.293,    0.109,    0.113
   -0.287,    0.100,    0.103
   -0.280,    0.093,    0.095
   -0.271,    0.087,    0.086
   -0.261,    0.077,    0.075
   -0.250,    0.062,    0.064
   -0.239,    0.045,    0.052
   -0.227,    0.026,    0.042
   -0.214,    0.008,    0.035
   -0.201,   -0.010,    0.031
   -0.188,   -0.030,    0.027
   -0.173,   -0.050,    0.020
   -0.156,   -0.071,    0.010
   -0.138,   -0.089,   -0.003
   -0.119,   -0.104,   -0.015
   -0.101,   -0.118,   -0.025
   -0.082,   -0.131,   -0.030
   -0.064,   -0.141,   -0.034
   -0.042,   -0.145,   -0.038
   -0.019,   -0.145,   -0.044
    0.005,   -0.144,   -0.054
    0.027,   -0.144,   -0.063
    0.048,   -0.144,   -0.072
    0.064,   -0.142,   -0.078
    0.079,   -0.139,   -0.083
    0.091,   -0.133,   -0.086
    0.104,   -0.128,   -0.088
    0.114,   -0.124,   -0.088
    0.122,   -0.121,   -0.087
    0.127,   -0.120,   -0.086
    0.127,   -0.119,   -0.087
    0.125,   -0.119,   -0.090
    0.120,   -0.122,   -0.094
    0.112,   -0.127,   -0.097
    0.101,   -0.132,   -0.097
    0.086,   -0.139,   -0.097
    0.067,   -0.146,   -0.097
    0.048,   -0.154,   -0.097
    0.027,   -0.164,   -0.099
    0.008,   -0.175,   -0.100
   -0.011,   -0.184,   -0.101
   -0.028,   -0.192,   -0.100
   -0.044,   -0.199,   -0.098
   -0.059,   -0.205,   -0.097
   -0.073,   -0.211,   -0.096
   -0.082,   -0.216,   -0.094
   -0.087,   -0.219,   -0.091
   -0.084,   -0.220,   -0.086
   -0.077,   -0.220,   -0.081
   -0.065,   -0.219,   -0.076
