SITE CODE= ä›òaìcésä›èÈí¨
LAT=  34.4582
LON= 135.3702
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 50
NS, EW, UD
    0.196,    0.433,   -0.212
    0.206,    0.441,   -0.207
    0.214,    0.449,   -0.203
    0.224,    0.456,   -0.198
    0.234,    0.463,   -0.191
    0.243,    0.470,   -0.180
    0.248,    0.476,   -0.166
    0.252,    0.482,   -0.152
    0.255,    0.486,   -0.137
    0.260,    0.491,   -0.120
    0.267,    0.495,   -0.103
    0.272,    0.499,   -0.086
    0.275,    0.502,   -0.069
    0.275,    0.503,   -0.051
    0.274,    0.503,   -0.032
    0.272,    0.503,   -0.012
    0.270,    0.502,    0.009
    0.266,    0.502,    0.029
    0.259,    0.500,    0.049
    0.252,    0.497,    0.068
    0.242,    0.494,    0.087
    0.231,    0.491,    0.106
    0.219,    0.489,    0.123
    0.207,    0.487,    0.140
    0.196,    0.483,    0.156
    0.183,    0.480,    0.171
    0.170,    0.474,    0.185
    0.155,    0.467,    0.196
    0.137,    0.458,    0.203
    0.118,    0.445,    0.209
    0.098,    0.432,    0.212
    0.080,    0.417,    0.212
    0.062,    0.401,    0.210
    0.042,    0.385,    0.209
    0.018,    0.369,    0.208
   -0.009,    0.352,    0.207
   -0.037,    0.334,    0.203
   -0.061,    0.312,    0.196
   -0.082,    0.287,    0.187
   -0.101,    0.262,    0.180
   -0.120,    0.238,    0.173
   -0.137,    0.216,    0.167
   -0.154,    0.193,    0.159
   -0.168,    0.168,    0.150
   -0.180,    0.143,    0.139
   -0.191,    0.122,    0.130
   -0.199,    0.105,    0.121
   -0.207,    0.090,    0.112
   -0.213,    0.075,    0.101
   -0.219,    0.059,    0.089
   -0.224,    0.047,    0.078
   -0.232,    0.041,    0.068
   -0.239,    0.038,    0.057
   -0.246,    0.036,    0.046
   -0.250,    0.031,    0.035
   -0.253,    0.029,    0.023
   -0.255,    0.029,    0.011
   -0.259,    0.031,    0.000
   -0.264,    0.032,   -0.011
   -0.270,    0.032,   -0.021
   -0.277,    0.034,   -0.032
   -0.284,    0.038,   -0.041
   -0.292,    0.045,   -0.049
   -0.301,    0.052,   -0.055
   -0.314,    0.057,   -0.062
   -0.326,    0.063,   -0.067
   -0.337,    0.069,   -0.073
   -0.345,    0.079,   -0.077
   -0.353,    0.090,   -0.077
   -0.362,    0.102,   -0.077
   -0.370,    0.113,   -0.076
   -0.376,    0.123,   -0.077
   -0.378,    0.135,   -0.080
   -0.376,    0.148,   -0.082
   -0.376,    0.164,   -0.082
   -0.376,    0.181,   -0.081
   -0.375,    0.196,   -0.082
   -0.373,    0.207,   -0.084
   -0.369,    0.216,   -0.086
   -0.368,    0.228,   -0.085
   -0.370,    0.244,   -0.081
   -0.373,    0.260,   -0.075
   -0.371,    0.275,   -0.070
   -0.362,    0.284,   -0.067
   -0.351,    0.291,   -0.062
   -0.342,    0.298,   -0.056
   -0.335,    0.304,   -0.049
   -0.331,    0.310,   -0.043
   -0.326,    0.311,   -0.040
   -0.319,    0.310,   -0.036
   -0.313,    0.305,   -0.029
   -0.307,    0.299,   -0.021
   -0.302,    0.291,   -0.014
   -0.294,    0.281,   -0.010
   -0.284,    0.272,   -0.007
   -0.275,    0.266,   -0.001
   -0.266,    0.264,    0.005
   -0.258,    0.261,    0.011
   -0.247,    0.254,    0.014
   -0.232,    0.245,    0.016
   -0.212,    0.237,    0.018
   -0.190,    0.230,    0.021
   -0.168,    0.225,    0.025
   -0.145,    0.216,    0.027
   -0.119,    0.205,    0.025
   -0.089,    0.194,    0.022
   -0.058,    0.184,    0.019
   -0.026,    0.173,    0.014
    0.005,    0.160,    0.007
    0.036,    0.145,   -0.002
    0.064,    0.131,   -0.011
    0.091,    0.119,   -0.020
    0.118,    0.109,   -0.027
    0.143,    0.098,   -0.033
    0.164,    0.086,   -0.040
    0.183,    0.076,   -0.048
    0.198,    0.068,   -0.055
    0.210,    0.062,   -0.058
    0.220,    0.057,   -0.059
    0.228,    0.050,   -0.061
    0.232,    0.042,   -0.062
    0.232,    0.034,   -0.063
    0.230,    0.026,   -0.062
    0.226,    0.017,   -0.059
    0.220,    0.007,   -0.056
    0.211,   -0.001,   -0.052
    0.198,   -0.009,   -0.044
    0.185,   -0.017,   -0.036
    0.171,   -0.022,   -0.027
    0.158,   -0.024,   -0.021
