SITE CODE= ëÂç„ç‰ésíÜãÊê[à‰ê¥êÖí¨
LAT=  34.5336
LON= 135.4918
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 50
NS, EW, UD
    0.082,    0.184,    0.164
    0.114,    0.168,    0.152
    0.138,    0.157,    0.144
    0.165,    0.143,    0.133
    0.185,    0.123,    0.121
    0.200,    0.112,    0.111
    0.217,    0.105,    0.102
    0.237,    0.095,    0.094
    0.262,    0.086,    0.081
    0.281,    0.080,    0.071
    0.296,    0.069,    0.062
    0.304,    0.067,    0.049
    0.308,    0.064,    0.045
    0.318,    0.064,    0.043
    0.332,    0.066,    0.039
    0.345,    0.066,    0.036
    0.348,    0.071,    0.031
    0.348,    0.078,    0.025
    0.351,    0.088,    0.014
    0.349,    0.092,    0.007
    0.339,    0.091,   -0.004
    0.330,    0.091,   -0.016
    0.318,    0.100,   -0.024
    0.312,    0.100,   -0.043
    0.303,    0.099,   -0.059
    0.300,    0.095,   -0.072
    0.300,    0.082,   -0.090
    0.291,    0.078,   -0.099
    0.288,    0.066,   -0.111
    0.283,    0.043,   -0.123
    0.280,    0.024,   -0.131
    0.284,    0.002,   -0.140
    0.280,   -0.015,   -0.148
    0.268,   -0.027,   -0.156
    0.260,   -0.039,   -0.161
    0.262,   -0.057,   -0.167
    0.264,   -0.072,   -0.174
    0.266,   -0.082,   -0.177
    0.265,   -0.090,   -0.182
    0.259,   -0.096,   -0.188
    0.263,   -0.102,   -0.189
    0.271,   -0.108,   -0.188
    0.269,   -0.112,   -0.186
    0.266,   -0.115,   -0.184
    0.269,   -0.115,   -0.176
    0.276,   -0.112,   -0.162
    0.279,   -0.105,   -0.148
    0.276,   -0.100,   -0.136
    0.271,   -0.094,   -0.130
    0.263,   -0.084,   -0.121
    0.251,   -0.078,   -0.108
    0.238,   -0.072,   -0.097
    0.235,   -0.070,   -0.085
    0.230,   -0.064,   -0.078
    0.213,   -0.049,   -0.075
    0.197,   -0.036,   -0.068
    0.173,   -0.029,   -0.059
    0.150,   -0.018,   -0.046
    0.130,   -0.006,   -0.037
    0.104,    0.001,   -0.026
    0.086,    0.001,   -0.017
    0.061,    0.004,   -0.010
    0.035,    0.012,   -0.003
    0.011,    0.016,   -0.004
   -0.015,    0.020,   -0.003
   -0.036,    0.022,   -0.002
   -0.059,    0.018,   -0.003
   -0.075,    0.021,   -0.002
   -0.078,    0.027,   -0.002
   -0.077,    0.029,    0.001
   -0.087,    0.035,    0.007
   -0.094,    0.040,    0.012
   -0.090,    0.041,    0.017
   -0.083,    0.049,    0.018
   -0.068,    0.054,    0.017
   -0.054,    0.057,    0.016
   -0.037,    0.070,    0.016
   -0.019,    0.089,    0.019
    0.002,    0.096,    0.014
    0.032,    0.091,    0.014
    0.068,    0.087,    0.019
    0.102,    0.086,    0.021
    0.139,    0.089,    0.024
    0.171,    0.094,    0.025
    0.200,    0.090,    0.026
    0.232,    0.077,    0.026
    0.260,    0.063,    0.027
    0.289,    0.047,    0.031
    0.323,    0.029,    0.029
    0.353,    0.020,    0.029
    0.377,    0.007,    0.033
    0.406,   -0.004,    0.037
    0.436,   -0.014,    0.039
    0.462,   -0.034,    0.040
    0.493,   -0.046,    0.049
    0.518,   -0.050,    0.051
    0.538,   -0.048,    0.052
    0.559,   -0.043,    0.049
    0.573,   -0.032,    0.043
    0.590,   -0.028,    0.045
    0.605,   -0.025,    0.042
    0.612,   -0.018,    0.039
    0.620,   -0.011,    0.036
    0.623,    0.008,    0.025
    0.628,    0.021,    0.016
    0.630,    0.035,    0.008
    0.626,    0.053,   -0.002
    0.624,    0.070,   -0.008
    0.613,    0.088,   -0.019
    0.602,    0.100,   -0.032
    0.598,    0.111,   -0.045
    0.592,    0.121,   -0.059
    0.583,    0.123,   -0.075
    0.571,    0.123,   -0.084
    0.562,    0.127,   -0.087
    0.556,    0.131,   -0.090
    0.548,    0.134,   -0.095
    0.533,    0.140,   -0.105
    0.515,    0.146,   -0.118
    0.496,    0.145,   -0.129
    0.472,    0.141,   -0.141
    0.449,    0.134,   -0.155
    0.423,    0.133,   -0.167
    0.389,    0.134,   -0.182
    0.355,    0.138,   -0.195
    0.329,    0.142,   -0.205
    0.299,    0.142,   -0.219
    0.264,    0.148,   -0.226
    0.233,    0.150,   -0.237
    0.199,    0.147,   -0.248
    0.165,    0.148,   -0.254
    0.134,    0.155,   -0.259
    0.104,    0.157,   -0.259
    0.072,    0.159,   -0.264
    0.042,    0.168,   -0.268
    0.012,    0.171,   -0.274
   -0.017,    0.169,   -0.278
   -0.039,    0.167,   -0.282
   -0.066,    0.165,   -0.284
   -0.092,    0.165,   -0.288
   -0.117,    0.156,   -0.297
   -0.140,    0.144,   -0.302
   -0.150,    0.130,   -0.304
   -0.159,    0.113,   -0.309
   -0.170,    0.097,   -0.315
   -0.179,    0.081,   -0.320
   -0.194,    0.070,   -0.320
   -0.212,    0.054,   -0.318
   -0.222,    0.040,   -0.320
   -0.234,    0.027,   -0.315
   -0.238,    0.009,   -0.312
   -0.240,   -0.004,   -0.309
   -0.251,   -0.016,   -0.305
   -0.263,   -0.023,   -0.308
   -0.278,   -0.033,   -0.301
   -0.291,   -0.045,   -0.297
   -0.297,   -0.054,   -0.291
   -0.303,   -0.063,   -0.279
   -0.314,   -0.063,   -0.275
   -0.328,   -0.067,   -0.266
   -0.340,   -0.073,   -0.256
   -0.343,   -0.072,   -0.247
   -0.341,   -0.077,   -0.238
   -0.338,   -0.079,   -0.230
   -0.332,   -0.082,   -0.223
   -0.326,   -0.090,   -0.218
   -0.321,   -0.095,   -0.211
   -0.312,   -0.088,   -0.198
   -0.291,   -0.079,   -0.185
   -0.268,   -0.067,   -0.175
   -0.253,   -0.062,   -0.164
