SITE CODE= êºã{ésã{ëOí¨
LAT=  34.7316
LON= 135.3351
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 50
NS, EW, UD
    0.073,   -0.002,    0.045
    0.078,    0.008,    0.050
    0.078,    0.018,    0.057
    0.077,    0.032,    0.059
    0.080,    0.049,    0.056
    0.092,    0.064,    0.053
    0.112,    0.076,    0.056
    0.135,    0.087,    0.065
    0.154,    0.102,    0.073
    0.165,    0.122,    0.076
    0.173,    0.145,    0.073
    0.184,    0.168,    0.071
    0.203,    0.184,    0.073
    0.227,    0.187,    0.078
    0.244,    0.178,    0.080
    0.250,    0.165,    0.075
    0.247,    0.155,    0.066
    0.247,    0.153,    0.059
    0.260,    0.159,    0.057
    0.285,    0.159,    0.059
    0.314,    0.147,    0.057
    0.339,    0.120,    0.050
    0.355,    0.086,    0.042
    0.364,    0.053,    0.037
    0.368,    0.027,    0.038
    0.368,    0.005,    0.041
    0.368,   -0.018,    0.040
    0.371,   -0.043,    0.033
    0.379,   -0.067,    0.024
    0.388,   -0.089,    0.014
    0.394,   -0.110,    0.005
    0.398,   -0.134,   -0.001
    0.400,   -0.160,   -0.005
    0.402,   -0.184,   -0.009
    0.403,   -0.200,   -0.014
    0.402,   -0.205,   -0.021
    0.397,   -0.202,   -0.029
    0.391,   -0.200,   -0.036
    0.388,   -0.203,   -0.041
    0.390,   -0.206,   -0.046
    0.395,   -0.203,   -0.051
    0.396,   -0.186,   -0.057
    0.387,   -0.155,   -0.063
    0.366,   -0.119,   -0.069
    0.338,   -0.084,   -0.074
    0.312,   -0.057,   -0.079
    0.292,   -0.036,   -0.085
    0.277,   -0.019,   -0.094
    0.263,   -0.002,   -0.105
    0.246,    0.021,   -0.116
    0.223,    0.052,   -0.120
    0.198,    0.089,   -0.117
    0.170,    0.129,   -0.112
    0.141,    0.167,   -0.111
    0.114,    0.194,   -0.116
    0.092,    0.206,   -0.123
    0.076,    0.207,   -0.127
    0.064,    0.207,   -0.126
    0.047,    0.214,   -0.125
    0.023,    0.235,   -0.125
   -0.004,    0.265,   -0.126
   -0.027,    0.288,   -0.126
   -0.039,    0.292,   -0.126
   -0.045,    0.275,   -0.126
   -0.053,    0.251,   -0.125
   -0.071,    0.234,   -0.123
   -0.098,    0.233,   -0.119
   -0.130,    0.241,   -0.110
   -0.157,    0.246,   -0.101
   -0.174,    0.239,   -0.091
   -0.186,    0.224,   -0.080
   -0.198,    0.212,   -0.069
   -0.214,    0.209,   -0.056
   -0.232,    0.209,   -0.044
   -0.243,    0.204,   -0.032
   -0.243,    0.191,   -0.021
   -0.237,    0.173,   -0.010
   -0.231,    0.160,   -0.000
   -0.230,    0.156,    0.008
   -0.234,    0.160,    0.015
   -0.239,    0.167,    0.020
   -0.239,    0.171,    0.023
   -0.229,    0.171,    0.026
   -0.208,    0.168,    0.030
   -0.179,    0.162,    0.039
   -0.151,    0.158,    0.055
   -0.132,    0.157,    0.073
   -0.127,    0.158,    0.084
   -0.130,    0.161,    0.082
   -0.131,    0.165,    0.072
   -0.123,    0.172,    0.064
   -0.112,    0.183,    0.066
   -0.107,    0.194,    0.078
   -0.111,    0.199,    0.090
   -0.123,    0.189,    0.098
   -0.134,    0.168,    0.102
   -0.139,    0.150,    0.105
   -0.139,    0.145,    0.108
   -0.140,    0.154,    0.108
   -0.148,    0.168,    0.103
   -0.165,    0.173,    0.099
   -0.186,    0.164,    0.100
   -0.205,    0.142,    0.109
   -0.220,    0.114,    0.119
   -0.235,    0.085,    0.127
   -0.253,    0.062,    0.129
   -0.273,    0.050,    0.129
   -0.288,    0.048,    0.132
   -0.297,    0.050,    0.136
   -0.300,    0.041,    0.140
   -0.303,    0.013,    0.146
   -0.309,   -0.031,    0.152
   -0.316,   -0.077,    0.161
   -0.321,   -0.107,    0.168
   -0.323,   -0.121,    0.174
   -0.326,   -0.130,    0.179
   -0.332,   -0.149,    0.187
   -0.341,   -0.187,    0.200
   -0.347,   -0.238,    0.214
   -0.344,   -0.290,    0.229
   -0.334,   -0.328,    0.241
   -0.320,   -0.346,    0.249
   -0.304,   -0.350,    0.252
   -0.288,   -0.349,    0.249
   -0.271,   -0.358,    0.242
   -0.255,   -0.389,    0.232
   -0.237,   -0.440,    0.225
   -0.215,   -0.496,    0.221
   -0.189,   -0.536,    0.222
   -0.164,   -0.550,    0.223
   -0.141,   -0.544,    0.222
   -0.124,   -0.536,    0.214
   -0.109,   -0.544,    0.201
   -0.089,   -0.567,    0.186
   -0.063,   -0.600,    0.171
   -0.034,   -0.626,    0.159
   -0.011,   -0.637,    0.149
    0.001,   -0.632,    0.137
    0.006,   -0.617,    0.123
    0.016,   -0.599,    0.105
    0.038,   -0.584,    0.086
    0.070,   -0.575,    0.068
    0.096,   -0.573,    0.056
    0.109,   -0.569,    0.048
    0.108,   -0.560,    0.045
    0.101,   -0.541,    0.039
    0.096,   -0.517,    0.032
    0.096,   -0.496,    0.024
    0.098,   -0.481,    0.016
    0.093,   -0.470,    0.009
    0.078,   -0.459,    0.004
    0.053,   -0.444,    0.002
    0.021,   -0.422,    0.002
   -0.011,   -0.394,    0.004
   -0.039,   -0.362,    0.005
   -0.055,   -0.330,    0.006
   -0.062,   -0.306,    0.006
   -0.067,   -0.291,    0.006
   -0.077,   -0.280,    0.007
   -0.097,   -0.261,    0.008
   -0.123,   -0.227,    0.011
   -0.148,   -0.182,    0.016
   -0.169,   -0.136,    0.021
   -0.185,   -0.097,    0.028
   -0.193,   -0.063,    0.034
   -0.193,   -0.032,    0.040
   -0.188,    0.003,    0.045
   -0.184,    0.038,    0.045
   -0.181,    0.070,    0.040
   -0.180,    0.096,    0.036
   -0.172,    0.117,    0.034
   -0.153,    0.136,    0.037
   -0.124,    0.157,    0.039
   -0.095,    0.187,    0.034
   -0.077,    0.222,    0.022
   -0.073,    0.257,    0.012
   -0.072,    0.281,    0.008
   -0.069,    0.288,    0.012
   -0.061,    0.283,    0.021
   -0.050,    0.276,    0.030
   -0.041,    0.277,    0.036
   -0.035,    0.285,    0.038
   -0.028,    0.295,    0.036
   -0.020,    0.299,    0.028
   -0.012,    0.297,    0.018
   -0.012,    0.292,    0.011
   -0.020,    0.288,    0.007
   -0.032,    0.286,    0.006
   -0.039,    0.282,    0.005
   -0.035,    0.276,    0.006
   -0.017,    0.269,    0.008
    0.008,    0.269,    0.014
    0.034,    0.277,    0.018
    0.052,    0.292,    0.016
    0.063,    0.307,    0.010
    0.069,    0.318,    0.000
    0.078,    0.325,   -0.007
    0.093,    0.334,   -0.011
    0.112,    0.347,   -0.016
    0.128,    0.366,   -0.021
    0.128,    0.391,   -0.028
