SITE CODE= â¡å√êÏésâ¡å√êÏí¨
LAT=  34.7566
LON= 134.8416
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 11 00
NS, EW, UD
   -0.120,    0.096,   -0.054
   -0.109,    0.093,   -0.061
   -0.094,    0.126,   -0.092
   -0.109,    0.146,   -0.104
   -0.156,    0.140,   -0.098
   -0.211,    0.118,   -0.084
   -0.246,    0.098,   -0.073
   -0.250,    0.087,   -0.068
   -0.233,    0.080,   -0.066
   -0.214,    0.071,   -0.068
   -0.210,    0.065,   -0.081
   -0.229,    0.066,   -0.105
   -0.270,    0.066,   -0.125
   -0.312,    0.049,   -0.121
   -0.328,    0.016,   -0.090
   -0.301,   -0.011,   -0.058
   -0.249,   -0.016,   -0.054
   -0.215,   -0.009,   -0.078
   -0.233,   -0.017,   -0.100
   -0.292,   -0.048,   -0.087
   -0.341,   -0.078,   -0.050
   -0.336,   -0.078,   -0.029
   -0.287,   -0.053,   -0.047
   -0.250,   -0.044,   -0.078
   -0.267,   -0.077,   -0.079
   -0.319,   -0.132,   -0.037
   -0.350,   -0.158,    0.009
   -0.329,   -0.132,    0.010
   -0.285,   -0.085,   -0.032
   -0.275,   -0.071,   -0.066
   -0.314,   -0.111,   -0.050
   -0.353,   -0.173,    0.006
   -0.336,   -0.200,    0.050
   -0.266,   -0.171,    0.039
   -0.205,   -0.114,   -0.011
   -0.209,   -0.084,   -0.047
   -0.264,   -0.108,   -0.026
   -0.299,   -0.171,    0.043
   -0.262,   -0.221,    0.107
   -0.170,   -0.216,    0.119
   -0.095,   -0.158,    0.075
   -0.090,   -0.088,    0.021
   -0.144,   -0.061,    0.009
   -0.193,   -0.095,    0.055
   -0.181,   -0.153,    0.128
   -0.110,   -0.178,    0.171
   -0.030,   -0.144,    0.161
    0.005,   -0.076,    0.117
   -0.016,   -0.024,    0.078
   -0.060,   -0.017,    0.077
   -0.079,   -0.039,    0.111
   -0.054,   -0.058,    0.155
   -0.003,   -0.052,    0.187
    0.045,   -0.026,    0.187
    0.070,    0.009,    0.157
    0.069,    0.046,    0.118
    0.047,    0.077,    0.097
    0.020,    0.093,    0.111
    0.009,    0.090,    0.145
    0.030,    0.087,    0.166
    0.076,    0.107,    0.150
    0.113,    0.151,    0.108
    0.111,    0.196,    0.077
    0.072,    0.214,    0.079
    0.034,    0.205,    0.101
    0.025,    0.196,    0.111
    0.044,    0.207,    0.093
    0.062,    0.232,    0.061
    0.061,    0.246,    0.036
    0.049,    0.245,    0.025
    0.044,    0.244,    0.021
    0.046,    0.255,    0.016
    0.048,    0.268,    0.012
    0.051,    0.261,    0.016
    0.068,    0.238,    0.017
    0.102,    0.226,    0.005
    0.130,    0.243,   -0.021
    0.127,    0.272,   -0.043
    0.101,    0.278,   -0.047
    0.091,    0.247,   -0.036
    0.127,    0.207,   -0.027
    0.194,    0.192,   -0.034
    0.244,    0.202,   -0.045
    0.245,    0.206,   -0.047
    0.212,    0.179,   -0.036
    0.186,    0.136,   -0.029
    0.189,    0.110,   -0.035
    0.217,    0.112,   -0.046
    0.239,    0.117,   -0.044
    0.241,    0.100,   -0.024
    0.227,    0.066,   -0.003
