SITE CODE= ä‚ì‡í¨çÇë‰
LAT=  42.9800
LON= 140.5150
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
   -0.188,   -0.433,   -0.168
   -0.196,   -0.461,   -0.158
   -0.201,   -0.483,   -0.140
   -0.204,   -0.501,   -0.132
   -0.206,   -0.515,   -0.144
   -0.203,   -0.523,   -0.168
   -0.191,   -0.521,   -0.192
   -0.173,   -0.504,   -0.205
   -0.150,   -0.472,   -0.209
   -0.129,   -0.430,   -0.209
   -0.112,   -0.385,   -0.210
   -0.095,   -0.341,   -0.212
   -0.077,   -0.301,   -0.215
   -0.058,   -0.261,   -0.212
   -0.039,   -0.223,   -0.199
   -0.023,   -0.184,   -0.170
   -0.009,   -0.143,   -0.131
   -0.001,   -0.097,   -0.097
   -0.000,   -0.043,   -0.082
   -0.005,    0.016,   -0.089
   -0.015,    0.072,   -0.110
   -0.026,    0.120,   -0.128
   -0.034,    0.154,   -0.131
   -0.036,    0.180,   -0.117
   -0.032,    0.204,   -0.086
   -0.023,    0.232,   -0.045
   -0.009,    0.270,   -0.006
    0.002,    0.316,    0.013
    0.006,    0.364,    0.007
    0.000,    0.405,   -0.014
   -0.013,    0.426,   -0.034
   -0.032,    0.426,   -0.032
   -0.052,    0.412,   -0.010
   -0.075,    0.395,    0.015
   -0.102,    0.382,    0.034
   -0.130,    0.375,    0.045
   -0.153,    0.372,    0.062
   -0.166,    0.373,    0.091
   -0.170,    0.379,    0.125
   -0.169,    0.389,    0.147
   -0.167,    0.399,    0.152
   -0.164,    0.403,    0.141
   -0.158,    0.397,    0.122
   -0.148,    0.385,    0.101
   -0.136,    0.370,    0.086
   -0.123,    0.356,    0.078
   -0.109,    0.341,    0.080
   -0.092,    0.325,    0.086
   -0.072,    0.310,    0.086
   -0.051,    0.300,    0.080
   -0.035,    0.295,    0.072
   -0.028,    0.295,    0.067
   -0.031,    0.295,    0.062
   -0.040,    0.293,    0.054
   -0.052,    0.289,    0.043
   -0.061,    0.282,    0.039
   -0.066,    0.273,    0.049
   -0.072,    0.264,    0.069
   -0.079,    0.251,    0.086
   -0.089,    0.235,    0.092
   -0.099,    0.216,    0.089
   -0.104,    0.198,    0.087
   -0.103,    0.182,    0.091
   -0.098,    0.172,    0.100
   -0.098,    0.163,    0.105
   -0.108,    0.154,    0.107
   -0.129,    0.143,    0.109
   -0.158,    0.132,    0.111
   -0.187,    0.124,    0.111
   -0.214,    0.122,    0.111
   -0.237,    0.125,    0.107
   -0.253,    0.130,    0.103
   -0.262,    0.136,    0.094
   -0.263,    0.139,    0.077
   -0.257,    0.139,    0.055
   -0.249,    0.131,    0.033
   -0.239,    0.114,    0.023
   -0.230,    0.091,    0.028
   -0.223,    0.066,    0.044
   -0.216,    0.040,    0.065
   -0.210,    0.016,    0.087
   -0.204,   -0.007,    0.110
   -0.196,   -0.032,    0.133
   -0.182,   -0.061,    0.156
   -0.162,   -0.093,    0.177
   -0.138,   -0.126,    0.194
   -0.113,   -0.159,    0.207
   -0.091,   -0.187,    0.214
   -0.073,   -0.208,    0.216
   -0.056,   -0.223,    0.209
   -0.038,   -0.230,    0.196
   -0.020,   -0.233,    0.176
   -0.005,   -0.234,    0.144
    0.003,   -0.237,    0.100
    0.003,   -0.241,    0.046
   -0.003,   -0.244,   -0.009
   -0.012,   -0.243,   -0.054
   -0.021,   -0.236,   -0.079
   -0.027,   -0.227,   -0.083
   -0.029,   -0.221,   -0.078
   -0.027,   -0.216,   -0.079
   -0.027,   -0.212,   -0.106
   -0.035,   -0.206,   -0.161
   -0.052,   -0.198,   -0.230
   -0.076,   -0.190,   -0.291
   -0.102,   -0.182,   -0.325
   -0.125,   -0.170,   -0.333
   -0.146,   -0.150,   -0.327
   -0.167,   -0.122,   -0.321
   -0.186,   -0.093,   -0.316
   -0.195,   -0.068,   -0.313
   -0.193,   -0.054,   -0.312
   -0.182,   -0.050,   -0.317
   -0.167,   -0.055,   -0.328
   -0.153,   -0.062,   -0.338
   -0.144,   -0.069,   -0.340
   -0.142,   -0.070,   -0.332
   -0.144,   -0.064,   -0.318
   -0.151,   -0.053,   -0.302
   -0.155,   -0.039,   -0.281
   -0.152,   -0.028,   -0.252
   -0.140,   -0.020,   -0.218
   -0.123,   -0.015,   -0.186
   -0.105,   -0.013,   -0.161
   -0.090,   -0.015,   -0.139
   -0.079,   -0.022,   -0.118
   -0.073,   -0.030,   -0.095
   -0.072,   -0.036,   -0.074
   -0.081,   -0.034,   -0.058
   -0.096,   -0.024,   -0.041
   -0.109,   -0.007,   -0.020
   -0.111,    0.010,    0.004
   -0.095,    0.022,    0.024
