SITE CODE= —]Žs’¬’©“ú’¬
LAT=  43.1952
LON= 140.7835
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 20
NS, EW, UD
    0.421,   -0.264,    0.154
    0.443,   -0.259,    0.126
    0.444,   -0.230,    0.067
    0.421,   -0.187,   -0.002
    0.385,   -0.141,   -0.060
    0.350,   -0.105,   -0.101
    0.326,   -0.081,   -0.132
    0.314,   -0.065,   -0.166
    0.310,   -0.049,   -0.199
    0.312,   -0.030,   -0.221
    0.313,   -0.015,   -0.219
    0.310,   -0.007,   -0.194
    0.301,   -0.006,   -0.152
    0.286,    0.000,   -0.108
    0.266,    0.021,   -0.069
    0.243,    0.052,   -0.040
    0.221,    0.077,   -0.020
    0.207,    0.080,   -0.011
    0.203,    0.064,   -0.017
    0.207,    0.041,   -0.039
    0.209,    0.027,   -0.067
    0.202,    0.029,   -0.084
    0.184,    0.038,   -0.074
    0.158,    0.045,   -0.038
    0.130,    0.048,    0.004
    0.105,    0.046,    0.034
    0.081,    0.043,    0.043
    0.061,    0.039,    0.036
    0.042,    0.030,    0.016
    0.024,    0.022,   -0.011
    0.003,    0.019,   -0.039
   -0.024,    0.026,   -0.048
   -0.057,    0.041,   -0.019
   -0.093,    0.050,    0.041
   -0.125,    0.043,    0.097
   -0.149,    0.021,    0.111
   -0.164,   -0.009,    0.073
   -0.175,   -0.036,    0.012
   -0.186,   -0.057,   -0.034
   -0.199,   -0.070,   -0.054
   -0.209,   -0.078,   -0.061
   -0.207,   -0.081,   -0.073
   -0.191,   -0.082,   -0.085
   -0.167,   -0.086,   -0.080
   -0.142,   -0.096,   -0.056
   -0.120,   -0.107,   -0.034
   -0.096,   -0.108,   -0.041
   -0.062,   -0.099,   -0.087
   -0.020,   -0.090,   -0.149
    0.020,   -0.093,   -0.194
    0.048,   -0.110,   -0.204
    0.062,   -0.132,   -0.182
    0.069,   -0.142,   -0.150
    0.077,   -0.136,   -0.125
    0.086,   -0.120,   -0.116
    0.092,   -0.107,   -0.122
    0.093,   -0.100,   -0.146
    0.095,   -0.093,   -0.182
    0.102,   -0.077,   -0.221
    0.114,   -0.055,   -0.246
    0.123,   -0.034,   -0.244
    0.119,   -0.020,   -0.213
    0.105,   -0.014,   -0.170
    0.089,   -0.010,   -0.136
    0.078,    0.000,   -0.124
    0.072,    0.016,   -0.137
    0.065,    0.039,   -0.165
    0.052,    0.062,   -0.197
    0.031,    0.081,   -0.225
    0.003,    0.091,   -0.232
   -0.030,    0.088,   -0.207
   -0.075,    0.073,   -0.148
   -0.124,    0.049,   -0.076
   -0.171,    0.028,   -0.018
   -0.202,    0.014,    0.001
   -0.214,    0.004,   -0.011
   -0.211,   -0.006,   -0.037
   -0.206,   -0.016,   -0.055
   -0.203,   -0.019,   -0.061
   -0.200,   -0.011,   -0.066
   -0.187,   -0.002,   -0.077
   -0.166,   -0.007,   -0.093
   -0.148,   -0.030,   -0.107
   -0.142,   -0.057,   -0.112
   -0.141,   -0.069,   -0.102
