SITE CODE= ŽÎ—¢’¬–{’¬
LAT=  43.9114
LON= 144.6711
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 30
NS, EW, UD
    0.014,    0.093,   -0.029
    0.000,    0.095,   -0.082
    0.004,    0.099,   -0.122
    0.022,    0.110,   -0.126
    0.053,    0.127,   -0.081
    0.087,    0.139,   -0.001
    0.116,    0.135,    0.071
    0.130,    0.112,    0.091
    0.130,    0.078,    0.043
    0.123,    0.047,   -0.041
    0.114,    0.029,   -0.102
    0.103,    0.026,   -0.102
    0.089,    0.030,   -0.050
    0.070,    0.038,    0.016
    0.049,    0.047,    0.058
    0.030,    0.061,    0.069
    0.013,    0.084,    0.067
   -0.000,    0.112,    0.069
   -0.004,    0.140,    0.075
    0.003,    0.164,    0.064
    0.021,    0.180,    0.020
    0.041,    0.184,   -0.056
    0.054,    0.183,   -0.137
    0.057,    0.180,   -0.184
    0.061,    0.183,   -0.177
    0.072,    0.191,   -0.130
    0.095,    0.194,   -0.082
    0.119,    0.189,   -0.073
    0.132,    0.178,   -0.117
    0.128,    0.173,   -0.192
    0.106,    0.183,   -0.260
    0.074,    0.205,   -0.287
    0.042,    0.224,   -0.264
    0.014,    0.225,   -0.202
   -0.007,    0.209,   -0.127
   -0.028,    0.189,   -0.070
   -0.044,    0.174,   -0.049
   -0.047,    0.161,   -0.060
   -0.032,    0.139,   -0.082
   -0.002,    0.104,   -0.089
    0.031,    0.062,   -0.066
    0.060,    0.027,   -0.020
    0.081,    0.007,    0.031
    0.097,    0.000,    0.074
    0.114,   -0.006,    0.099
    0.132,   -0.021,    0.109
    0.146,   -0.045,    0.107
    0.150,   -0.075,    0.103
    0.139,   -0.102,    0.097
    0.123,   -0.120,    0.089
    0.112,   -0.125,    0.076
    0.117,   -0.112,    0.054
    0.137,   -0.080,    0.026
    0.160,   -0.035,   -0.000
    0.173,    0.014,   -0.015
    0.172,    0.057,   -0.015
    0.166,    0.084,   -0.002
    0.162,    0.093,    0.017
    0.159,    0.083,    0.036
    0.151,    0.058,    0.059
    0.135,    0.022,    0.097
    0.118,   -0.020,    0.153
    0.111,   -0.062,    0.205
    0.114,   -0.098,    0.214
    0.121,   -0.127,    0.155
    0.125,   -0.150,    0.037
    0.123,   -0.168,   -0.084
    0.123,   -0.185,   -0.145
    0.132,   -0.202,   -0.111
    0.148,   -0.221,   -0.003
    0.167,   -0.239,    0.120
    0.180,   -0.250,    0.201
    0.190,   -0.250,    0.211
    0.194,   -0.239,    0.152
    0.191,   -0.222,    0.044
    0.173,   -0.206,   -0.084
    0.136,   -0.192,   -0.209
    0.082,   -0.178,   -0.300
    0.022,   -0.163,   -0.328
   -0.027,   -0.146,   -0.278
   -0.058,   -0.134,   -0.167
   -0.068,   -0.125,   -0.038
   -0.062,   -0.118,    0.058
   -0.052,   -0.110,    0.096
   -0.043,   -0.100,    0.078
   -0.041,   -0.093,    0.029
   -0.047,   -0.090,   -0.021
   -0.056,   -0.090,   -0.060
   -0.064,   -0.089,   -0.074
   -0.069,   -0.086,   -0.059
   -0.071,   -0.082,   -0.012
   -0.074,   -0.078,    0.052
   -0.076,   -0.070,    0.103
   -0.077,   -0.056,    0.111
   -0.079,   -0.029,    0.063
   -0.084,    0.008,   -0.016
   -0.092,    0.055,   -0.091
   -0.099,    0.103,   -0.132
   -0.098,    0.150,   -0.125
   -0.082,    0.189,   -0.073
   -0.055,    0.222,    0.007
   -0.026,    0.242,    0.088
   -0.010,    0.246,    0.136
   -0.015,    0.236,    0.135
   -0.040,    0.216,    0.104
   -0.078,    0.192,    0.084
   -0.118,    0.166,    0.102
   -0.150,    0.140,    0.136
   -0.177,    0.114,    0.131
   -0.207,    0.093,    0.050
   -0.244,    0.084,   -0.082
   -0.282,    0.086,   -0.191
   -0.305,    0.095,   -0.202
   -0.303,    0.099,   -0.095
   -0.283,    0.095,    0.083
   -0.259,    0.086,    0.250
   -0.248,    0.077,    0.333
   -0.255,    0.070,    0.301
   -0.272,    0.067,    0.175
   -0.282,    0.065,    0.016
   -0.275,    0.067,   -0.104
   -0.250,    0.075,   -0.142
   -0.206,    0.089,   -0.100
   -0.155,    0.105,   -0.024
   -0.103,    0.119,    0.020
   -0.064,    0.127,   -0.004
   -0.041,    0.131,   -0.096
   -0.035,    0.133,   -0.211
   -0.037,    0.141,   -0.291
   -0.046,    0.154,   -0.294
   -0.062,    0.170,   -0.223
   -0.091,    0.178,   -0.116
   -0.127,    0.167,   -0.033
   -0.159,    0.136,   -0.015
   -0.171,    0.092,   -0.059
   -0.159,    0.050,   -0.130
   -0.130,    0.020,   -0.186
   -0.098,    0.007,   -0.205
   -0.077,    0.008,   -0.185
   -0.068,    0.018,   -0.133
   -0.066,    0.029,   -0.061
   -0.057,    0.036,    0.010
   -0.034,    0.037,    0.051
    0.005,    0.031,    0.033
    0.053,    0.023,   -0.048
    0.098,    0.021,   -0.162
    0.133,    0.030,   -0.260
    0.156,    0.048,   -0.300
    0.169,    0.072,   -0.271
    0.175,    0.097,   -0.197
    0.175,    0.121,   -0.121
    0.165,    0.146,   -0.073
    0.146,    0.173,   -0.066
    0.117,    0.200,   -0.083
    0.083,    0.224,   -0.094
    0.052,    0.241,   -0.074
    0.035,    0.250,   -0.025
    0.036,    0.251,    0.029
    0.052,    0.242,    0.051
    0.068,    0.220,    0.022
    0.070,    0.187,   -0.043
    0.058,    0.150,   -0.102
    0.041,    0.115,   -0.110
    0.032,    0.086,   -0.044
    0.036,    0.059,    0.084
    0.057,    0.031,    0.235
    0.087,    0.003,    0.356
    0.125,   -0.020,    0.405
    0.162,   -0.035,    0.366
    0.194,   -0.041,    0.255
    0.212,   -0.044,    0.113
    0.211,   -0.050,   -0.001
    0.192,   -0.061,   -0.035
    0.166,   -0.076,    0.036
    0.146,   -0.092,    0.191
    0.141,   -0.101,    0.353
    0.149,   -0.097,    0.429
    0.158,   -0.077,    0.363
    0.153,   -0.042,    0.184
    0.125,    0.003,   -0.009
    0.077,    0.052,   -0.112
    0.024,    0.091,   -0.090
   -0.025,    0.107,    0.007
   -0.068,    0.089,    0.092
   -0.106,    0.045,    0.102
   -0.135,   -0.009,    0.044
   -0.147,   -0.057,   -0.026
   -0.134,   -0.093,   -0.049
   -0.101,   -0.122,   -0.001
   -0.061,   -0.146,    0.094
   -0.030,   -0.160,    0.189
   -0.014,   -0.155,    0.240
   -0.007,   -0.135,    0.232
    0.001,   -0.111,    0.184
    0.021,   -0.098,    0.134
    0.047,   -0.102,    0.113
    0.064,   -0.112,    0.123
    0.063,   -0.120,    0.133
    0.041,   -0.121,    0.115
    0.009,   -0.118,    0.066
   -0.015,   -0.119,    0.012
   -0.023,   -0.127,   -0.012
