SITE CODE= ñkå©ésóØï”ÂAí¨è„í¨
LAT=  43.7884
LON= 143.6153
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 20
NS, EW, UD
    0.015,   -0.022,   -0.246
    0.010,   -0.024,   -0.124
   -0.010,   -0.018,    0.075
   -0.026,    0.002,    0.172
   -0.003,    0.027,    0.102
    0.060,    0.039,   -0.042
    0.113,    0.035,   -0.121
    0.101,    0.025,   -0.082
    0.026,    0.032,    0.006
   -0.053,    0.065,    0.057
   -0.085,    0.110,    0.050
   -0.070,    0.137,    0.030
   -0.048,    0.125,    0.029
   -0.043,    0.075,    0.034
   -0.038,    0.010,    0.011
   -0.004,   -0.042,   -0.034
    0.052,   -0.063,   -0.071
    0.088,   -0.050,   -0.069
    0.073,   -0.013,   -0.034
    0.024,    0.020,    0.012
   -0.005,    0.023,    0.058
    0.021,   -0.015,    0.091
    0.084,   -0.074,    0.092
    0.127,   -0.109,    0.047
    0.108,   -0.080,   -0.023
    0.041,   -0.000,   -0.075
   -0.021,    0.077,   -0.072
   -0.038,    0.102,   -0.034
   -0.014,    0.077,   -0.015
    0.007,    0.044,   -0.047
   -0.006,    0.047,   -0.097
   -0.055,    0.087,   -0.114
   -0.100,    0.127,   -0.082
   -0.100,    0.127,   -0.049
   -0.042,    0.081,   -0.059
    0.045,    0.014,   -0.096
    0.115,   -0.040,   -0.094
    0.129,   -0.068,   -0.017
    0.094,   -0.070,    0.087
    0.052,   -0.059,    0.134
    0.045,   -0.048,    0.090
    0.073,   -0.042,    0.012
    0.100,   -0.042,   -0.002
    0.089,   -0.042,    0.074
    0.046,   -0.040,    0.179
    0.017,   -0.032,    0.219
    0.029,   -0.016,    0.166
    0.057,    0.003,    0.073
    0.048,    0.018,    0.009
   -0.022,    0.020,   -0.012
   -0.118,    0.012,   -0.027
   -0.170,    0.007,   -0.062
   -0.148,    0.013,   -0.095
   -0.087,    0.030,   -0.085
   -0.051,    0.042,   -0.032
   -0.062,    0.043,    0.023
   -0.081,    0.032,    0.046
   -0.050,    0.015,    0.048
    0.039,   -0.006,    0.071
    0.138,   -0.034,    0.130
    0.184,   -0.065,    0.188
    0.168,   -0.083,    0.195
    0.140,   -0.077,    0.133
    0.148,   -0.044,    0.039
    0.185,    0.005,   -0.030
    0.193,    0.047,   -0.048
    0.133,    0.061,   -0.022
    0.026,    0.043,    0.018
   -0.064,    0.015,    0.046
   -0.095,    0.004,    0.041
   -0.084,    0.015,    0.001
   -0.076,    0.029,   -0.054
   -0.103,    0.019,   -0.086
   -0.152,   -0.014,   -0.064
   -0.185,   -0.044,    0.002
   -0.180,   -0.046,    0.061
   -0.142,   -0.025,    0.063
   -0.089,   -0.009,    0.009
   -0.042,   -0.011,   -0.042
   -0.011,   -0.018,   -0.031
    0.009,   -0.017,    0.038
    0.027,   -0.016,    0.105
    0.048,   -0.033,    0.104
    0.064,   -0.071,    0.035
    0.059,   -0.108,   -0.043
