SITE CODE= è\èüê¥êÖí¨ìÏÇSè
LAT=  43.0115
LON= 142.8845
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 50
NS, EW, UD
   -0.258,    0.149,    0.313
   -0.292,    0.090,    0.283
   -0.297,    0.051,    0.113
   -0.282,    0.013,   -0.103
   -0.278,   -0.030,   -0.261
   -0.307,   -0.070,   -0.288
   -0.346,   -0.085,   -0.178
   -0.364,   -0.068,    0.005
   -0.349,   -0.030,    0.161
   -0.321,    0.013,    0.212
   -0.304,    0.065,    0.147
   -0.300,    0.134,    0.024
   -0.298,    0.218,   -0.071
   -0.297,    0.287,   -0.086
   -0.310,    0.312,   -0.020
   -0.348,    0.289,    0.079
   -0.396,    0.240,    0.157
   -0.423,    0.192,    0.183
   -0.404,    0.153,    0.165
   -0.336,    0.113,    0.137
   -0.234,    0.071,    0.130
   -0.118,    0.039,    0.143
   -0.016,    0.020,    0.147
    0.050,    0.002,    0.121
    0.078,   -0.035,    0.069
    0.090,   -0.094,    0.009
    0.125,   -0.145,   -0.050
    0.205,   -0.154,   -0.125
    0.320,   -0.114,   -0.224
    0.433,   -0.055,   -0.320
    0.512,   -0.015,   -0.360
    0.552,   -0.009,   -0.301
    0.558,   -0.031,   -0.146
    0.536,   -0.059,    0.055
    0.491,   -0.081,    0.252
    0.433,   -0.086,    0.400
    0.370,   -0.065,    0.479
    0.301,   -0.014,    0.483
    0.204,    0.060,    0.432
    0.070,    0.146,    0.367
   -0.078,    0.235,    0.327
   -0.191,    0.330,    0.310
   -0.234,    0.425,    0.277
   -0.216,    0.508,    0.199
   -0.182,    0.558,    0.104
   -0.167,    0.562,    0.050
   -0.174,    0.521,    0.072
   -0.183,    0.442,    0.149
   -0.178,    0.339,    0.235
   -0.157,    0.227,    0.308
   -0.132,    0.128,    0.368
   -0.111,    0.051,    0.401
   -0.090,   -0.019,    0.359
   -0.062,   -0.119,    0.205
   -0.026,   -0.262,   -0.027
    0.017,   -0.418,   -0.240
    0.064,   -0.526,   -0.332
    0.110,   -0.543,   -0.272
    0.157,   -0.483,   -0.118
    0.210,   -0.399,    0.030
    0.270,   -0.344,    0.081
    0.334,   -0.330,   -0.005
    0.393,   -0.331,   -0.203
    0.442,   -0.307,   -0.422
    0.474,   -0.236,   -0.560
    0.482,   -0.127,   -0.564
    0.460,   -0.017,   -0.464
    0.417,    0.052,   -0.339
    0.369,    0.056,   -0.262
    0.322,    0.004,   -0.256
    0.272,   -0.070,   -0.311
    0.209,   -0.134,   -0.400
    0.142,   -0.160,   -0.481
    0.092,   -0.143,   -0.507
    0.072,   -0.095,   -0.440
    0.071,   -0.039,   -0.293
    0.064,   -0.001,   -0.131
    0.046,    0.006,   -0.029
    0.035,   -0.005,   -0.020
    0.047,   -0.024,   -0.081
    0.068,   -0.052,   -0.161
    0.070,   -0.112,   -0.224
    0.043,   -0.219,   -0.265
    0.021,   -0.343,   -0.301
    0.035,   -0.427,   -0.342
    0.081,   -0.429,   -0.377
    0.114,   -0.366,   -0.383
    0.093,   -0.288,   -0.343
    0.022,   -0.226,   -0.268
   -0.057,   -0.162,   -0.191
   -0.109,   -0.064,   -0.149
   -0.138,    0.061,   -0.154
   -0.173,    0.169,   -0.188
   -0.234,    0.218,   -0.216
   -0.303,    0.215,   -0.212
   -0.344,    0.190,   -0.160
   -0.336,    0.159,   -0.064
   -0.284,    0.091,    0.061
   -0.222,   -0.046,    0.194
   -0.177,   -0.248,    0.316
   -0.152,   -0.453,    0.417
   -0.121,   -0.597,    0.496
   -0.053,   -0.647,    0.548
    0.071,   -0.617,    0.551
    0.237,   -0.545,    0.480
    0.404,   -0.464,    0.324
    0.530,   -0.391,    0.099
    0.593,   -0.334,   -0.144
    0.600,   -0.291,   -0.330
    0.565,   -0.247,   -0.381
    0.503,   -0.182,   -0.264
    0.419,   -0.084,   -0.021
    0.322,    0.047,    0.244
    0.231,    0.188,    0.422
    0.166,    0.307,    0.467
    0.128,    0.379,    0.413
    0.097,    0.398,    0.346
    0.043,    0.375,    0.334
   -0.042,    0.319,    0.387
   -0.138,    0.236,    0.458
   -0.216,    0.131,    0.483
   -0.260,    0.025,    0.436
   -0.283,   -0.046,    0.343
   -0.303,   -0.059,    0.261
   -0.330,   -0.020,    0.220
   -0.355,    0.039,    0.195
   -0.366,    0.089,    0.130
   -0.359,    0.120,    0.001
   -0.333,    0.143,   -0.150
   -0.289,    0.169,   -0.254
   -0.232,    0.200,   -0.263
   -0.173,    0.229,   -0.193
   -0.129,    0.259,   -0.099
   -0.107,    0.287,   -0.037
   -0.102,    0.309,   -0.026
   -0.099,    0.314,   -0.046
   -0.089,    0.295,   -0.063
   -0.074,    0.262,   -0.046
   -0.059,    0.228,    0.010
   -0.043,    0.202,    0.086
   -0.015,    0.183,    0.139
    0.021,    0.168,    0.131
    0.052,    0.169,    0.048
    0.066,    0.198,   -0.089
    0.064,    0.258,   -0.236
    0.063,    0.332,   -0.341
    0.076,    0.391,   -0.374
    0.091,    0.417,   -0.334
    0.082,    0.405,   -0.235
    0.044,    0.371,   -0.093
   -0.003,    0.334,    0.082
   -0.035,    0.307,    0.273
   -0.051,    0.294,    0.448
   -0.074,    0.293,    0.566
   -0.124,    0.297,    0.606
   -0.194,    0.298,    0.566
   -0.254,    0.294,    0.453
   -0.272,    0.281,    0.277
   -0.239,    0.260,    0.060
   -0.163,    0.241,   -0.152
   -0.069,    0.228,   -0.303
    0.007,    0.227,   -0.359
    0.032,    0.230,   -0.334
   -0.003,    0.222,   -0.284
   -0.069,    0.192,   -0.267
   -0.115,    0.142,   -0.305
   -0.110,    0.086,   -0.378
   -0.073,    0.041,   -0.433
   -0.049,    0.020,   -0.427
   -0.068,    0.011,   -0.353
   -0.119,   -0.002,   -0.244
   -0.172,   -0.041,   -0.151
   -0.214,   -0.105,   -0.098
   -0.249,   -0.173,   -0.071
   -0.289,   -0.216,   -0.041
   -0.324,   -0.215,    0.000
   -0.332,   -0.182,    0.039
   -0.306,   -0.143,    0.057
   -0.255,   -0.114,    0.062
   -0.193,   -0.091,    0.079
   -0.123,   -0.056,    0.122
   -0.047,   -0.009,    0.177
    0.029,    0.032,    0.210
    0.086,    0.045,    0.203
    0.117,    0.029,    0.164
    0.128,    0.007,    0.122
    0.138,    0.006,    0.099
    0.149,    0.037,    0.104
    0.155,    0.090,    0.124
    0.152,    0.143,    0.142
    0.147,    0.173,    0.151
    0.139,    0.160,    0.154
    0.114,    0.101,    0.163
    0.058,    0.015,    0.174
   -0.019,   -0.067,    0.164
   -0.076,   -0.125,    0.114
   -0.077,   -0.162,    0.036
   -0.030,   -0.208,   -0.025
    0.010,   -0.280,   -0.032
   -0.002,   -0.370,    0.007
   -0.070,   -0.449,    0.038
   -0.144,   -0.493,    0.010
   -0.175,   -0.504,   -0.077
   -0.154,   -0.491,   -0.187
   -0.113,   -0.457,   -0.277
   -0.087,   -0.394,   -0.339
   -0.089,   -0.299,   -0.374
   -0.121,   -0.193,   -0.373
   -0.182,   -0.109,   -0.316
   -0.271,   -0.071,   -0.213
   -0.369,   -0.078,   -0.112
   -0.427,   -0.099,   -0.062
   -0.410,   -0.111,   -0.068
   -0.324,   -0.109,   -0.087
   -0.222,   -0.112,   -0.075
   -0.159,   -0.147,   -0.032
   -0.145,   -0.222,    0.004
   -0.139,   -0.325,   -0.000
   -0.089,   -0.438,   -0.047
    0.021,   -0.543,   -0.113
    0.155,   -0.632,   -0.175
    0.255,   -0.694,   -0.231
    0.285,   -0.712,   -0.291
    0.257,   -0.683,   -0.371
    0.219,   -0.624,   -0.481
    0.207,   -0.569,   -0.608
    0.229,   -0.535,   -0.707
    0.257,   -0.501,   -0.711
    0.263,   -0.426,   -0.578
    0.244,   -0.294,   -0.331
    0.225,   -0.137,   -0.059
    0.234,   -0.013,    0.145
    0.270,    0.042,    0.250
    0.312,    0.050,    0.298
    0.335,    0.048,    0.354
    0.336,    0.061,    0.441
    0.328,    0.075,    0.517
    0.334,    0.067,    0.532
    0.363,    0.031,    0.479
    0.412,   -0.010,    0.411
    0.453,   -0.034,    0.388
    0.453,   -0.028,    0.416
    0.400,    0.007,    0.446
    0.312,    0.073,    0.418
    0.227,    0.159,    0.321
    0.168,    0.247,    0.195
    0.128,    0.320,    0.098
    0.086,    0.372,    0.074
    0.035,    0.411,    0.141
   -0.012,    0.445,    0.284
   -0.046,    0.462,    0.458
   -0.076,    0.450,    0.583
   -0.118,    0.417,    0.595
   -0.170,    0.392,    0.485
   -0.210,    0.408,    0.316
   -0.220,    0.463,    0.173
   -0.202,    0.523,    0.112
   -0.162,    0.548,    0.132
   -0.091,    0.520,    0.193
    0.016,    0.450,    0.246
    0.143,    0.373,    0.248
    0.241,    0.320,    0.171
    0.271,    0.314,    0.022
    0.241,    0.348,   -0.154
    0.186,    0.398,   -0.297
    0.130,    0.435,   -0.367
    0.059,    0.444,   -0.370
   -0.045,    0.432,   -0.338
   -0.177,    0.409,   -0.298
   -0.301,    0.372,   -0.245
   -0.390,    0.306,   -0.158
   -0.448,    0.202,   -0.018
   -0.487,    0.080,    0.167
   -0.511,   -0.017,    0.368
   -0.501,   -0.053,    0.531
   -0.448,   -0.017,    0.606
   -0.360,    0.070,    0.583
   -0.262,    0.173,    0.503
   -0.168,    0.253,    0.433
   -0.078,    0.281,    0.407
    0.013,    0.246,    0.396
    0.109,    0.157,    0.342
    0.203,    0.043,    0.212
    0.290,   -0.056,    0.043
    0.363,   -0.113,   -0.087
    0.413,   -0.132,   -0.127
    0.439,   -0.141,   -0.096
    0.448,   -0.167,   -0.070
    0.456,   -0.216,   -0.116
    0.467,   -0.270,   -0.242
    0.479,   -0.305,   -0.382
    0.484,   -0.310,   -0.455
    0.479,   -0.289,   -0.421
    0.474,   -0.252,   -0.305
    0.474,   -0.201,   -0.169
    0.475,   -0.138,   -0.076
    0.468,   -0.064,   -0.062
    0.445,    0.011,   -0.132
    0.407,    0.071,   -0.255
    0.355,    0.094,   -0.367
    0.289,    0.067,   -0.396
    0.208,    0.005,   -0.311
    0.117,   -0.056,   -0.152
    0.029,   -0.089,   -0.007
   -0.048,   -0.092,    0.042
   -0.120,   -0.087,   -0.016
   -0.195,   -0.099,   -0.139
   -0.272,   -0.123,   -0.255
   -0.338,   -0.136,   -0.319
   -0.371,   -0.114,   -0.325
   -0.358,   -0.062,   -0.284
   -0.307,    0.002,   -0.217
   -0.235,    0.055,   -0.144
   -0.166,    0.086,   -0.083
