SITE CODE= –{•Ê’¬–k‚Q’š–Ú
LAT=  43.1246
LON= 143.6111
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 10
NS, EW, UD
    0.001,    0.001,   -0.012
    0.002,    0.003,   -0.016
    0.002,    0.004,   -0.002
    0.002,    0.001,    0.016
    0.001,   -0.003,    0.027
    0.000,   -0.005,    0.023
   -0.000,   -0.003,    0.011
    0.000,    0.001,    0.003
    0.002,    0.002,    0.007
    0.004,    0.001,    0.022
    0.004,   -0.002,    0.034
    0.002,   -0.002,    0.026
    0.000,   -0.001,   -0.001
    0.000,    0.001,   -0.032
    0.000,    0.001,   -0.040
    0.000,    0.001,   -0.015
    0.000,    0.000,    0.027
    0.000,   -0.000,    0.056
    0.000,   -0.001,    0.050
    0.000,   -0.000,    0.014
    0.001,    0.002,   -0.024
    0.001,    0.004,   -0.041
    0.000,    0.005,   -0.029
   -0.002,    0.002,   -0.006
   -0.004,   -0.001,    0.004
   -0.002,   -0.003,   -0.005
    0.000,   -0.004,   -0.024
    0.002,   -0.003,   -0.027
    0.000,   -0.003,   -0.008
   -0.006,   -0.002,    0.018
   -0.009,   -0.001,    0.027
   -0.007,    0.001,    0.004
   -0.000,    0.005,   -0.036
    0.004,    0.007,   -0.064
    0.003,    0.006,   -0.061
    0.000,    0.002,   -0.033
   -0.004,   -0.002,   -0.005
   -0.005,   -0.006,    0.005
   -0.007,   -0.006,   -0.003
   -0.009,   -0.004,   -0.025
   -0.010,   -0.001,   -0.048
   -0.010,    0.002,   -0.065
   -0.007,    0.005,   -0.065
   -0.005,    0.006,   -0.045
   -0.005,    0.004,   -0.013
   -0.005,   -0.002,    0.009
   -0.004,   -0.007,    0.012
   -0.002,   -0.009,   -0.000
    0.000,   -0.004,   -0.013
    0.002,    0.002,   -0.009
    0.002,    0.007,    0.012
    0.001,    0.007,    0.037
    0.001,    0.004,    0.048
    0.002,    0.002,    0.038
    0.004,    0.001,    0.012
    0.004,    0.000,   -0.009
    0.003,   -0.001,   -0.012
    0.003,   -0.003,    0.006
    0.004,   -0.003,    0.031
    0.006,   -0.002,    0.041
    0.005,   -0.000,    0.028
    0.001,    0.002,    0.005
   -0.002,    0.005,   -0.003
   -0.004,    0.007,    0.015
    0.000,    0.007,    0.048
    0.006,    0.003,    0.067
    0.010,   -0.002,    0.055
    0.011,   -0.004,    0.022
    0.012,   -0.001,   -0.002
    0.012,    0.005,   -0.000
    0.009,    0.007,    0.016
    0.002,    0.005,    0.024
   -0.004,    0.003,    0.008
   -0.003,    0.003,   -0.018
    0.005,    0.006,   -0.027
    0.014,    0.006,   -0.002
    0.014,    0.002,    0.046
    0.006,   -0.004,    0.091
   -0.001,   -0.009,    0.112
    0.000,   -0.009,    0.111
    0.010,   -0.008,    0.094
    0.019,   -0.011,    0.064
    0.019,   -0.011,    0.025
    0.011,   -0.007,   -0.016
    0.005,    0.002,   -0.041
    0.003,    0.012,   -0.030
    0.002,    0.011,    0.009
   -0.000,    0.002,    0.046
   -0.006,   -0.009,    0.046
   -0.008,   -0.010,    0.006
   -0.005,   -0.003,   -0.043
   -0.000,    0.006,   -0.063
    0.000,    0.009,   -0.043
   -0.004,    0.006,   -0.016
   -0.010,    0.001,   -0.018
   -0.014,   -0.001,   -0.060
   -0.014,   -0.002,   -0.112
   -0.013,   -0.003,   -0.132
   -0.012,   -0.006,   -0.106
   -0.010,   -0.009,   -0.048
   -0.010,   -0.009,    0.006
   -0.012,   -0.007,    0.031
   -0.014,   -0.002,    0.012
   -0.015,    0.001,   -0.045
   -0.012,    0.004,   -0.108
   -0.006,    0.004,   -0.134
   -0.001,    0.002,   -0.094
    0.000,   -0.001,   -0.012
    0.000,   -0.007,    0.049
    0.000,   -0.015,    0.045
   -0.002,   -0.018,   -0.015
   -0.008,   -0.017,   -0.066
   -0.016,   -0.012,   -0.051
   -0.022,   -0.009,    0.023
   -0.022,   -0.009,    0.088
   -0.016,   -0.007,    0.073
   -0.008,   -0.000,   -0.030
   -0.002,    0.012,   -0.152
   -0.004,    0.022,   -0.198
   -0.010,    0.024,   -0.129
   -0.016,    0.015,    0.002
   -0.014,    0.004,    0.095
   -0.005,    0.000,    0.088
    0.005,    0.005,    0.007
    0.010,    0.016,   -0.061
    0.005,    0.022,   -0.057
   -0.001,    0.021,   -0.004
   -0.005,    0.013,    0.018
   -0.002,    0.002,   -0.036
    0.002,   -0.006,   -0.137
    0.005,   -0.008,   -0.195
    0.006,   -0.001,   -0.142
    0.007,    0.009,    0.017
    0.008,    0.016,    0.201
    0.009,    0.012,    0.312
    0.011,    0.001,    0.293
    0.018,   -0.004,    0.163
    0.031,    0.003,    0.002
    0.047,    0.020,   -0.097
    0.054,    0.030,   -0.084
    0.047,    0.021,    0.016
    0.028,   -0.001,    0.127
    0.007,   -0.024,    0.173
   -0.004,   -0.033,    0.136
   -0.008,   -0.026,    0.065
   -0.010,   -0.013,    0.021
   -0.011,    0.001,    0.028
   -0.005,    0.014,    0.055
    0.010,    0.025,    0.062
    0.031,    0.029,    0.037
    0.043,    0.020,    0.011
    0.036,   -0.000,    0.019
    0.012,   -0.021,    0.060
   -0.014,   -0.034,    0.093
   -0.026,   -0.030,    0.071
   -0.020,   -0.013,   -0.014
   -0.002,    0.009,   -0.119
    0.014,    0.029,   -0.167
    0.017,    0.036,   -0.113
    0.005,    0.025,    0.010
   -0.012,    0.000,    0.109
   -0.025,   -0.026,    0.098
   -0.019,   -0.038,   -0.018
    0.003,   -0.030,   -0.128
    0.028,   -0.012,   -0.110
    0.036,   -0.001,    0.037
    0.020,   -0.006,    0.185
   -0.008,   -0.021,    0.187
   -0.032,   -0.030,    0.037
   -0.040,   -0.028,   -0.122
   -0.036,   -0.022,   -0.138
   -0.025,   -0.024,   -0.015
   -0.018,   -0.030,    0.085
   -0.011,   -0.025,    0.020
   -0.005,   -0.000,   -0.169
   -0.004,    0.025,   -0.294
   -0.013,    0.028,   -0.205
   -0.034,   -0.000,    0.038
   -0.055,   -0.036,    0.219
   -0.059,   -0.045,    0.173
   -0.041,   -0.017,   -0.057
   -0.015,    0.021,   -0.267
   -0.002,    0.032,   -0.285
   -0.012,    0.005,   -0.120
