SITE CODE= ï äCí¨èÌî’
LAT=  43.3946
LON= 145.1180
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 10
NS, EW, UD
    0.000,    0.001,   -0.000
   -0.000,    0.000,   -0.000
   -0.000,   -0.001,    0.001
    0.000,   -0.002,    0.001
    0.000,   -0.001,    0.001
    0.001,    0.000,    0.000
    0.001,    0.001,    0.000
    0.000,    0.001,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.001,   -0.001
    0.001,    0.001,   -0.001
    0.000,   -0.000,   -0.001
    0.000,   -0.002,   -0.002
    0.000,   -0.002,   -0.002
    0.000,   -0.000,   -0.002
    0.001,    0.000,   -0.001
    0.002,    0.001,   -0.000
    0.002,    0.000,   -0.000
    0.001,   -0.000,   -0.000
    0.001,   -0.000,   -0.000
    0.001,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.001,   -0.000,   -0.000
    0.002,   -0.000,   -0.000
    0.002,   -0.000,   -0.001
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.002
    0.001,    0.000,   -0.002
    0.002,    0.000,   -0.002
    0.002,    0.000,   -0.002
    0.001,    0.000,   -0.002
    0.000,   -0.001,   -0.000
    0.000,   -0.002,   -0.000
    0.000,   -0.002,   -0.000
    0.000,   -0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.001,    0.000,   -0.000
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.001
    0.000,    0.001,   -0.001
   -0.000,    0.002,   -0.002
    0.000,    0.001,   -0.003
    0.000,    0.001,   -0.003
    0.000,    0.001,   -0.002
    0.000,    0.001,   -0.001
   -0.000,    0.000,   -0.001
    0.000,   -0.000,   -0.002
    0.000,   -0.002,   -0.002
    0.001,   -0.001,   -0.000
    0.002,   -0.001,    0.000
    0.001,   -0.001,    0.003
    0.001,   -0.000,    0.004
    0.001,    0.000,    0.002
    0.001,    0.000,    0.000
    0.001,    0.002,    0.000
    0.001,    0.001,    0.000
    0.001,    0.000,    0.000
    0.001,   -0.002,    0.000
    0.001,   -0.002,    0.000
   -0.000,   -0.001,   -0.001
   -0.002,    0.000,   -0.001
   -0.002,    0.000,    0.000
   -0.002,    0.000,    0.002
   -0.000,    0.002,    0.002
    0.000,    0.002,    0.002
    0.000,    0.001,    0.002
   -0.000,    0.000,    0.000
    0.000,   -0.000,    0.000
   -0.001,   -0.001,    0.000
   -0.001,   -0.000,    0.000
   -0.001,    0.000,    0.000
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.002
    0.002,   -0.000,   -0.001
    0.002,   -0.001,    0.000
    0.001,   -0.002,    0.001
    0.000,   -0.001,    0.002
    0.001,    0.000,    0.002
    0.001,    0.002,    0.001
    0.001,    0.002,    0.002
   -0.000,    0.001,    0.002
   -0.000,   -0.000,    0.002
   -0.000,   -0.002,    0.001
    0.001,   -0.001,   -0.000
    0.002,    0.000,   -0.000
    0.001,    0.000,    0.002
   -0.000,    0.000,    0.003
   -0.001,    0.000,    0.002
   -0.000,    0.000,    0.000
   -0.000,    0.000,   -0.002
   -0.000,    0.000,   -0.001
   -0.001,    0.000,   -0.000
   -0.001,    0.000,    0.001
   -0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.001,    0.000,   -0.000
    0.001,    0.001,   -0.000
    0.000,    0.002,   -0.001
   -0.000,    0.001,   -0.001
   -0.000,    0.000,   -0.000
   -0.000,    0.000,    0.000
    0.001,    0.000,    0.001
    0.001,    0.001,    0.001
    0.001,    0.001,    0.001
   -0.000,   -0.000,   -0.000
   -0.001,   -0.002,   -0.000
   -0.001,   -0.002,   -0.001
    0.000,   -0.000,   -0.001
    0.001,    0.000,   -0.001
    0.001,    0.001,   -0.000
   -0.000,    0.000,   -0.000
   -0.000,    0.000,    0.000
   -0.000,    0.001,   -0.000
    0.000,    0.001,   -0.000
    0.001,    0.001,   -0.000
   -0.000,    0.000,   -0.001
   -0.002,   -0.000,   -0.001
   -0.002,   -0.000,   -0.002
   -0.000,    0.000,   -0.002
    0.000,    0.001,   -0.001
   -0.000,    0.001,   -0.000
   -0.000,    0.001,   -0.000
   -0.002,    0.000,   -0.001
   -0.000,    0.000,   -0.002
    0.000,    0.001,   -0.003
    0.001,    0.002,   -0.003
    0.000,    0.003,   -0.002
   -0.000,    0.002,   -0.001
   -0.002,    0.001,   -0.000
   -0.000,   -0.001,   -0.000
    0.000,   -0.002,   -0.000
    0.002,   -0.002,   -0.000
    0.002,   -0.000,    0.000
    0.000,    0.002,    0.000
    0.000,    0.003,    0.000
   -0.000,    0.003,    0.000
    0.000,    0.002,   -0.002
    0.000,    0.001,   -0.002
    0.001,   -0.000,   -0.001
    0.000,   -0.000,   -0.000
   -0.000,   -0.002,    0.000
   -0.000,   -0.002,    0.000
    0.000,   -0.000,    0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.002
    0.000,    0.001,    0.002
   -0.000,   -0.000,    0.000
   -0.000,   -0.000,   -0.000
