SITE CODE= ìnìáèºëOí¨ïüéR
LAT=  41.4300
LON= 140.1104
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
    0.105,    0.053,   -0.031
    0.100,    0.036,   -0.016
    0.091,    0.010,    0.020
    0.075,   -0.019,    0.069
    0.059,   -0.045,    0.115
    0.046,   -0.064,    0.150
    0.045,   -0.077,    0.165
    0.059,   -0.088,    0.161
    0.087,   -0.096,    0.145
    0.123,   -0.096,    0.124
    0.153,   -0.081,    0.104
    0.167,   -0.054,    0.079
    0.162,   -0.025,    0.044
    0.143,   -0.002,    0.002
    0.116,    0.013,   -0.036
    0.086,    0.025,   -0.064
    0.058,    0.034,   -0.084
    0.033,    0.037,   -0.099
    0.016,    0.028,   -0.102
    0.011,    0.011,   -0.077
    0.015,   -0.006,   -0.024
    0.021,   -0.020,    0.034
    0.025,   -0.030,    0.066
    0.030,   -0.042,    0.049
    0.037,   -0.052,   -0.014
    0.050,   -0.054,   -0.101
    0.062,   -0.043,   -0.180
    0.064,   -0.028,   -0.228
    0.055,   -0.021,   -0.228
    0.033,   -0.027,   -0.181
    0.000,   -0.042,   -0.103
   -0.039,   -0.059,   -0.027
   -0.083,   -0.076,    0.021
   -0.119,   -0.094,    0.032
   -0.134,   -0.114,    0.022
   -0.130,   -0.128,    0.010
   -0.111,   -0.124,    0.010
   -0.091,   -0.099,    0.014
   -0.073,   -0.060,    0.017
   -0.059,   -0.018,    0.014
   -0.041,    0.016,    0.011
   -0.019,    0.045,    0.006
    0.003,    0.064,   -0.008
    0.024,    0.076,   -0.043
    0.044,    0.078,   -0.093
    0.062,    0.073,   -0.136
    0.075,    0.067,   -0.150
    0.075,    0.061,   -0.130
    0.061,    0.054,   -0.087
    0.039,    0.041,   -0.038
    0.020,    0.023,    0.002
    0.012,    0.007,    0.026
    0.019,    0.001,    0.028
    0.034,    0.005,    0.009
    0.051,    0.014,   -0.025
    0.061,    0.019,   -0.060
    0.060,    0.018,   -0.082
    0.048,    0.014,   -0.087
    0.029,    0.009,   -0.079
    0.013,    0.001,   -0.066
    0.007,   -0.013,   -0.055
    0.011,   -0.037,   -0.045
    0.022,   -0.069,   -0.036
    0.030,   -0.100,   -0.029
    0.027,   -0.130,   -0.023
    0.009,   -0.156,   -0.009
   -0.017,   -0.178,    0.019
   -0.044,   -0.191,    0.067
   -0.063,   -0.185,    0.121
   -0.070,   -0.161,    0.159
   -0.067,   -0.123,    0.160
   -0.058,   -0.080,    0.118
   -0.045,   -0.041,    0.050
   -0.033,   -0.005,   -0.022
   -0.021,    0.024,   -0.084
   -0.016,    0.047,   -0.128
   -0.020,    0.058,   -0.154
   -0.029,    0.056,   -0.157
   -0.037,    0.040,   -0.136
   -0.041,    0.014,   -0.096
   -0.039,   -0.019,   -0.050
   -0.037,   -0.055,   -0.007
   -0.038,   -0.088,    0.025
   -0.039,   -0.108,    0.052
   -0.036,   -0.110,    0.081
   -0.030,   -0.096,    0.114
   -0.024,   -0.077,    0.146
   -0.021,   -0.066,    0.163
   -0.020,   -0.069,    0.151
