SITE CODE= “o•ÄŽs’†“c’¬
LAT=  38.7103
LON= 141.2357
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 00
NS, EW, UD
    0.008,    0.023,   -0.028
    0.019,   -0.004,   -0.011
    0.018,   -0.030,    0.010
    0.004,   -0.039,    0.022
   -0.011,   -0.025,    0.016
   -0.019,    0.004,   -0.001
   -0.013,    0.034,   -0.018
    0.004,    0.044,   -0.021
    0.022,    0.024,   -0.006
    0.028,   -0.014,    0.015
    0.018,   -0.046,    0.026
   -0.002,   -0.046,    0.015
   -0.020,   -0.014,   -0.011
   -0.023,    0.023,   -0.030
   -0.009,    0.037,   -0.021
    0.011,    0.020,    0.008
    0.021,   -0.008,    0.031
    0.013,   -0.022,    0.023
   -0.005,   -0.012,   -0.007
   -0.019,    0.006,   -0.032
   -0.018,    0.015,   -0.027
   -0.007,    0.007,    0.000
    0.000,   -0.003,    0.022
    0.002,   -0.004,    0.021
    0.002,    0.005,    0.002
    0.005,    0.013,   -0.010
    0.010,    0.008,   -0.010
    0.007,   -0.006,   -0.001
   -0.004,   -0.017,    0.003
   -0.016,   -0.011,    0.001
   -0.016,    0.004,   -0.002
   -0.002,    0.014,   -0.002
    0.016,    0.009,   -0.000
    0.022,   -0.005,    0.000
    0.010,   -0.016,   -0.001
   -0.007,   -0.012,   -0.003
   -0.017,    0.000,   -0.004
   -0.011,    0.009,   -0.003
    0.004,    0.007,    0.000
    0.018,   -0.001,    0.005
    0.019,   -0.008,    0.008
    0.007,   -0.007,    0.007
   -0.006,   -0.002,    0.000
   -0.015,    0.003,   -0.005
   -0.015,    0.006,   -0.008
   -0.009,    0.005,   -0.004
   -0.003,    0.002,    0.002
   -0.000,   -0.000,    0.006
   -0.000,   -0.003,    0.004
   -0.002,   -0.002,   -0.001
   -0.003,    0.004,   -0.007
   -0.002,    0.011,   -0.011
    0.001,    0.009,   -0.009
    0.008,   -0.002,   -0.001
    0.014,   -0.016,    0.007
    0.016,   -0.018,    0.011
    0.011,   -0.007,    0.007
   -0.000,    0.007,   -0.000
   -0.012,    0.015,   -0.005
   -0.018,    0.009,   -0.004
   -0.015,   -0.004,    0.002
   -0.005,   -0.014,    0.007
    0.004,   -0.012,    0.007
    0.008,   -0.002,    0.002
    0.005,    0.008,    0.000
    0.001,    0.011,   -0.001
   -0.004,    0.005,   -0.001
   -0.007,   -0.000,   -0.001
   -0.007,   -0.002,   -0.000
   -0.005,    0.000,    0.000
   -0.001,    0.004,    0.005
    0.004,    0.003,    0.007
    0.007,   -0.000,    0.005
    0.005,   -0.001,    0.000
    0.001,    0.001,   -0.004
   -0.002,    0.005,   -0.006
   -0.002,    0.006,   -0.005
    0.001,    0.000,   -0.000
    0.003,   -0.006,    0.002
    0.002,   -0.009,    0.003
   -0.000,   -0.005,    0.000
    0.000,    0.001,   -0.003
    0.001,    0.005,   -0.006
    0.000,    0.003,   -0.005
   -0.005,   -0.001,   -0.000
   -0.012,   -0.004,    0.004
   -0.012,   -0.003,    0.005
   -0.003,   -0.000,    0.004
    0.006,    0.002,    0.000
    0.009,    0.001,    0.001
    0.001,    0.000,    0.004
   -0.007,    0.002,    0.006
   -0.011,    0.007,    0.003
   -0.005,    0.011,   -0.003
    0.003,    0.006,   -0.009
    0.007,   -0.002,   -0.007
    0.004,   -0.009,    0.000
   -0.000,   -0.008,    0.008
   -0.003,    0.001,    0.007
    0.000,    0.010,   -0.001
    0.006,    0.011,   -0.008
    0.009,    0.002,   -0.007
    0.005,   -0.007,    0.002
   -0.003,   -0.011,    0.008
   -0.011,   -0.004,    0.006
   -0.011,    0.003,   -0.000
   -0.004,    0.004,   -0.005
    0.005,   -0.001,   -0.002
    0.011,   -0.008,    0.001
    0.011,   -0.010,    0.001
    0.007,   -0.003,   -0.000
    0.001,    0.005,   -0.002
   -0.004,    0.012,   -0.000
   -0.008,    0.012,    0.000
   -0.011,    0.009,   -0.001
   -0.009,    0.003,   -0.007
   -0.004,   -0.002,   -0.009
    0.004,   -0.006,   -0.006
    0.010,   -0.007,    0.000
    0.009,   -0.007,    0.005
    0.003,   -0.004,    0.006
   -0.003,   -0.002,    0.002
   -0.004,   -0.000,   -0.004
   -0.002,    0.000,   -0.007
    0.001,   -0.000,   -0.007
    0.001,   -0.000,   -0.003
   -0.001,   -0.000,    0.003
   -0.002,    0.000,    0.007
   -0.002,    0.001,    0.006
    0.000,    0.002,    0.001
    0.002,    0.004,   -0.001
    0.001,    0.004,    0.000
   -0.000,    0.001,    0.003
   -0.000,   -0.003,    0.004
    0.001,   -0.006,    0.000
    0.002,   -0.007,   -0.006
    0.004,   -0.003,   -0.010
    0.003,    0.001,   -0.007
    0.002,    0.004,    0.000
    0.002,    0.002,    0.007
    0.001,   -0.000,    0.009
   -0.000,   -0.003,    0.004
   -0.003,   -0.001,   -0.002
   -0.006,    0.003,   -0.006
   -0.006,    0.007,   -0.004
   -0.004,    0.006,    0.000
    0.000,    0.003,    0.004
    0.003,   -0.000,    0.002
    0.004,   -0.002,    0.000
    0.004,   -0.003,   -0.002
    0.002,   -0.004,   -0.003
    0.001,   -0.006,   -0.002
   -0.000,   -0.006,   -0.000
   -0.000,   -0.004,    0.000
   -0.000,    0.000,    0.003
    0.002,    0.004,    0.005
    0.003,    0.005,    0.005
    0.003,    0.002,    0.002
    0.001,   -0.002,   -0.000
   -0.000,   -0.003,   -0.001
   -0.001,   -0.002,    0.000
   -0.000,    0.002,    0.002
    0.002,    0.006,    0.002
    0.003,    0.005,    0.000
    0.001,    0.000,    0.000
   -0.002,   -0.006,    0.000
   -0.006,   -0.010,    0.000
   -0.006,   -0.007,   -0.000
   -0.001,   -0.000,   -0.001
    0.006,    0.006,   -0.000
    0.011,    0.009,    0.001
    0.008,    0.005,    0.004
    0.001,    0.001,    0.002
   -0.003,   -0.001,   -0.000
   -0.002,   -0.002,   -0.004
    0.003,   -0.001,   -0.004
    0.007,   -0.002,    0.000
    0.005,   -0.003,    0.005
   -0.000,   -0.004,    0.008
   -0.005,   -0.004,    0.007
   -0.005,   -0.003,    0.003
   -0.001,   -0.002,   -0.000
    0.003,   -0.000,   -0.002
    0.005,    0.001,   -0.001
    0.005,    0.005,    0.000
    0.003,    0.008,    0.001
    0.002,    0.006,    0.001
    0.000,    0.001,    0.000
   -0.001,   -0.004,   -0.000
   -0.003,   -0.006,   -0.000
   -0.004,   -0.003,    0.000
   -0.003,   -0.001,    0.001
    0.000,   -0.000,    0.001
    0.004,   -0.002,    0.001
    0.006,   -0.004,    0.001
    0.004,   -0.004,    0.000
   -0.000,   -0.003,   -0.000
   -0.005,   -0.000,    0.000
   -0.005,    0.001,    0.001
   -0.000,    0.002,    0.002
    0.005,    0.002,    0.003
    0.010,    0.002,    0.003
    0.009,    0.000,    0.002
    0.003,   -0.001,   -0.000
   -0.002,   -0.000,   -0.001
   -0.005,    0.000,   -0.002
   -0.005,   -0.001,   -0.001
   -0.004,   -0.005,   -0.000
   -0.001,   -0.009,   -0.000
