SITE CODE= ñkèHìcésâ‘âÄí¨
LAT=  40.2260
LON= 140.3707
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 20
NS, EW, UD
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.001,    0.000,   -0.000
    0.001,    0.000,   -0.000
    0.000,    0.000,   -0.001
    0.000,    0.002,   -0.001
    0.000,    0.002,   -0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.001
    0.000,    0.000,   -0.002
    0.000,    0.001,   -0.001
    0.000,    0.001,   -0.000
    0.000,    0.000,   -0.000
    0.000,   -0.002,   -0.000
    0.000,   -0.002,    0.000
    0.000,   -0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,   -0.000
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.002
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.002,   -0.000
    0.000,    0.002,    0.000
   -0.001,    0.001,    0.000
   -0.001,    0.000,    0.000
    0.000,    0.000,    0.000
    0.001,    0.000,    0.000
    0.002,    0.000,    0.000
    0.001,    0.000,    0.000
    0.000,    0.001,    0.000
    0.000,    0.002,    0.000
    0.001,    0.002,   -0.001
    0.002,    0.000,   -0.000
    0.002,   -0.000,    0.000
    0.001,   -0.001,    0.001
    0.000,   -0.000,    0.001
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.002
    0.000,   -0.001,   -0.001
   -0.000,   -0.002,   -0.000
    0.000,   -0.002,    0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.001,    0.001
    0.000,    0.002,    0.001
    0.001,    0.002,    0.001
    0.001,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.001,    0.000,    0.001
    0.000,   -0.000,    0.001
   -0.000,   -0.000,    0.001
   -0.001,   -0.000,    0.001
   -0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.001,    0.000,   -0.000
    0.001,    0.000,   -0.000
    0.000,    0.000,    0.000
    0.000,   -0.000,    0.001
    0.000,   -0.000,    0.002
    0.001,    0.000,    0.002
    0.001,    0.000,    0.001
    0.001,    0.000,    0.000
    0.000,    0.000,   -0.000
    0.000,   -0.000,   -0.000
    0.000,   -0.001,    0.000
    0.000,   -0.001,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.001
    0.002,   -0.000,    0.002
    0.002,    0.000,    0.002
    0.002,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.001,    0.001,    0.001
    0.002,    0.001,    0.001
    0.000,    0.001,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.002,   -0.000,   -0.000
    0.001,   -0.000,   -0.000
    0.000,    0.000,    0.000
    0.000,    0.001,    0.000
    0.000,    0.002,    0.000
    0.001,    0.002,   -0.000
    0.001,    0.000,   -0.000
    0.000,   -0.000,   -0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.000
    0.000,   -0.001,    0.000
    0.000,   -0.002,    0.001
    0.000,   -0.001,    0.001
   -0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,    0.000
    0.000,    0.002,   -0.000
    0.000,    0.001,   -0.000
    0.000,    0.000,   -0.000
    0.000,   -0.000,   -0.001
    0.000,   -0.000,   -0.001
    0.000,    0.000,   -0.001
   -0.000,    0.000,   -0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,   -0.000
    0.000,   -0.000,   -0.001
    0.000,   -0.001,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.001
   -0.000,    0.001,    0.001
   -0.000,    0.000,    0.000
   -0.000,    0.000,   -0.000
    0.000,   -0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,   -0.001,    0.001
    0.000,   -0.002,    0.000
    0.000,   -0.002,   -0.000
    0.000,   -0.002,   -0.000
    0.000,   -0.001,   -0.000
    0.000,    0.000,   -0.000
   -0.000,    0.000,    0.000
   -0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.001
   -0.000,    0.000,   -0.002
   -0.001,    0.000,   -0.001
   -0.000,    0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,    0.001
    0.000,    0.001,    0.000
    0.001,    0.001,   -0.000
    0.002,    0.000,   -0.000
    0.002,    0.000,    0.000
    0.002,    0.000,    0.001
    0.002,    0.000,   -0.000
    0.001,    0.000,   -0.001
    0.000,    0.001,   -0.001
    0.000,    0.001,   -0.000
    0.000,    0.000,    0.000
    0.000,   -0.000,    0.001
    0.000,   -0.000,    0.001
    0.000,    0.000,    0.000
    0.000,    0.000,   -0.000
