SITE CODE= “c‘ºŽs‘Dˆø’¬
LAT=  37.4401
LON= 140.5765
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 07 50
NS, EW, UD
    0.001,    0.003,   -0.000
    0.000,    0.002,   -0.000
   -0.000,   -0.000,   -0.000
   -0.001,   -0.002,   -0.000
   -0.001,   -0.002,    0.000
   -0.001,    0.000,    0.000
   -0.000,    0.002,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,   -0.001,    0.000
    0.000,   -0.000,    0.000
    0.001,    0.000,    0.000
    0.002,    0.000,    0.000
    0.000,    0.000,   -0.000
   -0.000,    0.000,    0.000
   -0.001,    0.000,    0.000
    0.000,    0.000,    0.001
    0.001,    0.000,    0.000
    0.002,    0.000,   -0.001
    0.000,    0.002,   -0.001
   -0.001,    0.003,    0.000
   -0.002,    0.001,    0.001
   -0.001,   -0.000,    0.002
    0.000,   -0.002,    0.000
    0.000,   -0.002,   -0.001
    0.000,   -0.001,   -0.001
   -0.001,    0.000,    0.000
   -0.001,    0.000,    0.000
    0.000,    0.000,    0.001
    0.002,   -0.000,    0.000
    0.002,    0.000,   -0.000
    0.001,    0.001,    0.000
   -0.000,    0.002,    0.001
   -0.002,    0.001,    0.001
   -0.002,   -0.000,    0.000
    0.000,   -0.002,   -0.000
    0.000,   -0.002,   -0.000
    0.000,    0.000,   -0.000
   -0.000,    0.000,    0.000
   -0.001,    0.000,   -0.000
    0.000,   -0.001,   -0.000
    0.001,   -0.001,   -0.000
    0.002,    0.000,   -0.001
    0.001,    0.001,   -0.001
    0.000,    0.001,   -0.000
   -0.001,    0.000,    0.000
   -0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.001,    0.000,    0.000
    0.001,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,   -0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.001,   -0.000
    0.000,   -0.001,    0.000
    0.001,    0.000,    0.000
    0.000,    0.002,    0.002
    0.000,    0.002,    0.001
   -0.000,    0.000,    0.000
   -0.000,   -0.001,    0.000
    0.000,   -0.001,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
   -0.000,    0.000,   -0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.001
