SITE CODE= •xŽR’©“ú’¬“¹‰º
LAT=  36.9461
LON= 137.5596
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
    0.068,   -0.160,    0.054
   -0.002,   -0.173,    0.020
   -0.077,   -0.171,   -0.016
   -0.155,   -0.155,   -0.040
   -0.230,   -0.130,   -0.046
   -0.296,   -0.099,   -0.038
   -0.349,   -0.067,   -0.029
   -0.386,   -0.039,   -0.032
   -0.405,   -0.018,   -0.052
   -0.403,   -0.006,   -0.086
   -0.383,    0.000,   -0.122
   -0.346,    0.004,   -0.148
   -0.300,    0.010,   -0.157
   -0.248,    0.020,   -0.153
   -0.194,    0.036,   -0.145
   -0.142,    0.056,   -0.147
   -0.093,    0.080,   -0.166
   -0.051,    0.104,   -0.197
   -0.017,    0.124,   -0.234
    0.008,    0.133,   -0.268
    0.024,    0.131,   -0.300
    0.028,    0.117,   -0.331
    0.020,    0.094,   -0.362
    0.004,    0.064,   -0.389
   -0.016,    0.031,   -0.400
   -0.034,   -0.000,   -0.385
   -0.046,   -0.026,   -0.341
   -0.053,   -0.044,   -0.274
   -0.056,   -0.055,   -0.191
   -0.055,   -0.063,   -0.101
   -0.050,   -0.068,   -0.009
   -0.041,   -0.073,    0.080
   -0.032,   -0.075,    0.157
   -0.027,   -0.075,    0.214
   -0.025,   -0.072,    0.246
   -0.025,   -0.069,    0.250
   -0.021,   -0.067,    0.232
   -0.015,   -0.065,    0.197
   -0.004,   -0.062,    0.158
    0.007,   -0.059,    0.119
    0.017,   -0.057,    0.086
    0.024,   -0.055,    0.063
    0.027,   -0.058,    0.048
    0.024,   -0.070,    0.043
    0.017,   -0.095,    0.045
    0.008,   -0.134,    0.053
   -0.001,   -0.186,    0.060
   -0.009,   -0.245,    0.058
   -0.021,   -0.305,    0.040
   -0.041,   -0.362,    0.005
   -0.070,   -0.410,   -0.042
   -0.103,   -0.447,   -0.091
   -0.133,   -0.470,   -0.132
   -0.157,   -0.478,   -0.160
   -0.174,   -0.471,   -0.177
   -0.192,   -0.449,   -0.188
   -0.212,   -0.416,   -0.200
   -0.237,   -0.371,   -0.214
   -0.260,   -0.321,   -0.227
   -0.274,   -0.269,   -0.230
   -0.277,   -0.219,   -0.216
   -0.266,   -0.177,   -0.185
   -0.246,   -0.141,   -0.142
   -0.215,   -0.114,   -0.094
   -0.180,   -0.094,   -0.051
   -0.143,   -0.081,   -0.015
   -0.112,   -0.072,    0.011
   -0.092,   -0.062,    0.031
   -0.089,   -0.051,    0.045
   -0.101,   -0.033,    0.050
   -0.128,   -0.011,    0.041
   -0.169,    0.009,    0.011
   -0.218,    0.020,   -0.040
   -0.271,    0.013,   -0.106
   -0.317,   -0.012,   -0.181
   -0.353,   -0.050,   -0.253
   -0.373,   -0.092,   -0.318
   -0.382,   -0.127,   -0.371
   -0.382,   -0.148,   -0.412
   -0.378,   -0.159,   -0.435
   -0.371,   -0.161,   -0.439
   -0.361,   -0.161,   -0.416
   -0.351,   -0.159,   -0.367
   -0.339,   -0.152,   -0.300
   -0.322,   -0.138,   -0.232
   -0.299,   -0.113,   -0.182
   -0.268,   -0.080,   -0.161
   -0.229,   -0.043,   -0.166
   -0.182,   -0.005,   -0.185
   -0.126,    0.029,   -0.205
   -0.067,    0.062,   -0.219
   -0.008,    0.097,   -0.236
    0.043,    0.137,   -0.259
    0.085,    0.186,   -0.287
    0.120,    0.242,   -0.305
    0.148,    0.300,   -0.300
    0.171,    0.351,   -0.265
    0.189,    0.388,   -0.202
    0.198,    0.406,   -0.124
    0.200,    0.405,   -0.041
    0.196,    0.391,    0.038
    0.191,    0.369,    0.110
    0.188,    0.341,    0.172
    0.189,    0.306,    0.226
    0.192,    0.262,    0.273
    0.196,    0.209,    0.308
    0.202,    0.150,    0.329
    0.204,    0.090,    0.336
    0.204,    0.034,    0.336
    0.198,   -0.017,    0.337
    0.186,   -0.064,    0.348
    0.168,   -0.104,    0.366
    0.144,   -0.136,    0.378
    0.116,   -0.155,    0.372
    0.086,   -0.161,    0.343
    0.059,   -0.157,    0.295
    0.039,   -0.143,    0.238
    0.028,   -0.123,    0.189
    0.024,   -0.100,    0.157
    0.024,   -0.074,    0.148
    0.026,   -0.045,    0.155
    0.027,   -0.011,    0.169
    0.026,    0.027,    0.183
    0.021,    0.063,    0.191
    0.009,    0.092,    0.196
   -0.013,    0.105,    0.201
   -0.041,    0.102,    0.206
   -0.073,    0.085,    0.207
   -0.099,    0.059,    0.203
   -0.114,    0.029,    0.192
   -0.113,   -0.001,    0.177
   -0.098,   -0.025,    0.160
   -0.073,   -0.042,    0.144
   -0.045,   -0.050,    0.132
   -0.022,   -0.050,    0.128
   -0.006,   -0.047,    0.137
    0.002,   -0.045,    0.159
    0.005,   -0.045,    0.193
    0.009,   -0.048,    0.233
    0.022,   -0.056,    0.275
    0.045,   -0.069,    0.318
    0.078,   -0.087,    0.355
    0.116,   -0.108,    0.383
    0.152,   -0.128,    0.397
    0.179,   -0.141,    0.391
    0.189,   -0.143,    0.367
    0.183,   -0.132,    0.325
    0.157,   -0.112,    0.273
    0.116,   -0.088,    0.214
    0.061,   -0.065,    0.157
   -0.001,   -0.048,    0.103
   -0.065,   -0.039,    0.052
   -0.125,   -0.039,   -0.000
   -0.178,   -0.045,   -0.052
   -0.222,   -0.052,   -0.102
   -0.259,   -0.057,   -0.143
   -0.285,   -0.054,   -0.167
   -0.303,   -0.043,   -0.169
   -0.312,   -0.028,   -0.155
   -0.311,   -0.012,   -0.136
   -0.303,    0.004,   -0.117
   -0.286,    0.018,   -0.105
   -0.260,    0.033,   -0.096
   -0.225,    0.050,   -0.084
   -0.179,    0.068,   -0.068
   -0.128,    0.082,   -0.049
   -0.077,    0.090,   -0.029
   -0.032,    0.088,   -0.009
    0.005,    0.075,    0.012
    0.033,    0.050,    0.030
    0.052,    0.013,    0.040
    0.063,   -0.032,    0.037
    0.069,   -0.078,    0.018
    0.072,   -0.114,   -0.013
    0.073,   -0.135,   -0.046
    0.075,   -0.138,   -0.067
    0.077,   -0.130,   -0.070
    0.077,   -0.118,   -0.054
    0.077,   -0.108,   -0.028
    0.080,   -0.102,   -0.007
    0.090,   -0.101,   -0.002
    0.112,   -0.103,   -0.019
    0.143,   -0.105,   -0.047
    0.182,   -0.103,   -0.073
    0.223,   -0.098,   -0.087
    0.261,   -0.087,   -0.084
    0.293,   -0.073,   -0.072
    0.315,   -0.059,   -0.060
    0.326,   -0.041,   -0.054
    0.325,   -0.018,   -0.055
    0.311,    0.007,   -0.065
    0.285,    0.035,   -0.086
    0.248,    0.059,   -0.115
    0.203,    0.075,   -0.151
    0.156,    0.077,   -0.187
    0.112,    0.067,   -0.217
    0.075,    0.048,   -0.232
    0.049,    0.028,   -0.233
    0.038,    0.010,   -0.221
    0.045,   -0.003,   -0.203
    0.066,   -0.010,   -0.191
    0.094,   -0.009,   -0.192
    0.118,    0.002,   -0.206
    0.130,    0.023,   -0.227
    0.128,    0.054,   -0.243
    0.111,    0.089,   -0.253
    0.084,    0.120,   -0.259
    0.047,    0.144,   -0.268
    0.004,    0.161,   -0.285
   -0.041,    0.169,   -0.307
   -0.078,    0.169,   -0.322
   -0.102,    0.158,   -0.323
   -0.109,    0.134,   -0.311
   -0.100,    0.103,   -0.288
   -0.081,    0.070,   -0.262
   -0.054,    0.043,   -0.236
   -0.023,    0.024,   -0.217
    0.014,    0.011,   -0.208
    0.056,    0.003,   -0.215
    0.100,   -0.003,   -0.240
    0.139,   -0.004,   -0.278
    0.169,    0.000,   -0.321
    0.186,    0.012,   -0.363
    0.190,    0.029,   -0.399
    0.183,    0.052,   -0.424
    0.169,    0.076,   -0.437
    0.150,    0.102,   -0.435
    0.125,    0.124,   -0.419
    0.096,    0.144,   -0.388
    0.065,    0.166,   -0.338
    0.034,    0.190,   -0.268
    0.000,    0.221,   -0.182
   -0.035,    0.257,   -0.091
   -0.071,    0.292,   -0.007
   -0.108,    0.319,    0.059
   -0.139,    0.334,    0.107
   -0.164,    0.335,    0.142
   -0.180,    0.323,    0.175
   -0.193,    0.300,    0.212
   -0.208,    0.268,    0.253
   -0.232,    0.230,    0.296
   -0.262,    0.190,    0.332
   -0.292,    0.152,    0.357
   -0.314,    0.118,    0.368
   -0.321,    0.089,    0.362
   -0.313,    0.065,    0.342
   -0.293,    0.043,    0.307
   -0.268,    0.018,    0.262
   -0.236,   -0.011,    0.214
   -0.202,   -0.045,    0.168
   -0.164,   -0.082,    0.134
   -0.123,   -0.118,    0.113
   -0.078,   -0.148,    0.109
   -0.030,   -0.168,    0.122
    0.019,   -0.176,    0.149
    0.064,   -0.170,    0.186
    0.102,   -0.152,    0.227
    0.125,   -0.127,    0.266
    0.132,   -0.102,    0.303
    0.123,   -0.078,    0.339
    0.103,   -0.061,    0.378
    0.076,   -0.047,    0.421
    0.049,   -0.032,    0.462
    0.024,   -0.010,    0.499
    0.006,    0.019,    0.528
   -0.005,    0.052,    0.545
   -0.009,    0.081,    0.551
   -0.009,    0.101,    0.543
   -0.004,    0.105,    0.517
    0.004,    0.094,    0.474
    0.018,    0.069,    0.417
    0.045,    0.034,    0.352
    0.087,   -0.005,    0.287
    0.143,   -0.040,    0.226
    0.209,   -0.062,    0.171
    0.274,   -0.071,    0.124
    0.328,   -0.065,    0.084
    0.364,   -0.049,    0.046
    0.380,   -0.029,    0.009
    0.378,   -0.007,   -0.027
    0.356,    0.012,   -0.059
    0.321,    0.029,   -0.083
    0.275,    0.040,   -0.094
    0.221,    0.050,   -0.093
    0.159,    0.061,   -0.088
    0.093,    0.074,   -0.087
    0.028,    0.087,   -0.096
   -0.029,    0.096,   -0.117
   -0.068,    0.100,   -0.143
   -0.086,    0.100,   -0.164
   -0.081,    0.103,   -0.168
   -0.058,    0.114,   -0.156
   -0.021,    0.136,   -0.136
    0.026,    0.163,   -0.118
    0.076,    0.193,   -0.110
    0.127,    0.216,   -0.107
    0.174,    0.231,   -0.104
    0.217,    0.235,   -0.096
    0.252,    0.230,   -0.084
    0.278,    0.220,   -0.074
    0.294,    0.210,   -0.068
    0.302,    0.203,   -0.066
    0.307,    0.205,   -0.065
    0.314,    0.219,   -0.063
    0.325,    0.244,   -0.061
    0.336,    0.279,   -0.060
    0.347,    0.315,   -0.061
    0.358,    0.345,   -0.063
    0.369,    0.360,   -0.063
    0.381,    0.358,   -0.059
    0.391,    0.341,   -0.050
    0.392,    0.310,   -0.041
    0.381,    0.273,   -0.035
    0.355,    0.230,   -0.034
    0.317,    0.183,   -0.040
    0.266,    0.135,   -0.057
    0.204,    0.089,   -0.082
    0.136,    0.048,   -0.116
    0.066,    0.020,   -0.155
    0.002,    0.009,   -0.197
   -0.049,    0.021,   -0.234
   -0.083,    0.052,   -0.259
   -0.098,    0.096,   -0.268
   -0.093,    0.143,   -0.259
   -0.072,    0.186,   -0.239
   -0.038,    0.221,   -0.213
    0.003,    0.247,   -0.187
    0.045,    0.262,   -0.158
    0.080,    0.268,   -0.120
    0.105,    0.267,   -0.063
    0.117,    0.260,    0.014
    0.113,    0.250,    0.108
    0.096,    0.240,    0.204
    0.068,    0.232,    0.289
    0.030,    0.228,    0.347
   -0.018,    0.227,    0.372
   -0.071,    0.223,    0.363
   -0.132,    0.212,    0.324
   -0.197,    0.191,    0.261
   -0.264,    0.161,    0.179
   -0.329,    0.122,    0.085
   -0.388,    0.078,   -0.013
   -0.435,    0.029,   -0.104
   -0.464,   -0.020,   -0.178
   -0.472,   -0.068,   -0.227
   -0.459,   -0.111,   -0.252
   -0.430,   -0.149,   -0.257
   -0.391,   -0.180,   -0.253
   -0.349,   -0.202,   -0.245
   -0.306,   -0.215,   -0.230
   -0.260,   -0.218,   -0.204
   -0.212,   -0.214,   -0.164
   -0.163,   -0.208,   -0.118
   -0.115,   -0.203,   -0.077
   -0.071,   -0.203,   -0.056
   -0.036,   -0.210,   -0.061
   -0.009,   -0.219,   -0.089
    0.010,   -0.228,   -0.126
    0.016,   -0.234,   -0.154
    0.012,   -0.236,   -0.163
   -0.001,   -0.236,   -0.153
   -0.016,   -0.236,   -0.136
   -0.023,   -0.238,   -0.126
   -0.016,   -0.243,   -0.131
    0.008,   -0.253,   -0.152
    0.043,   -0.264,   -0.177
    0.086,   -0.276,   -0.198
    0.126,   -0.280,   -0.211
    0.156,   -0.271,   -0.216
    0.172,   -0.245,   -0.218
    0.170,   -0.203,   -0.219
    0.153,   -0.151,   -0.216
    0.126,   -0.097,   -0.204
    0.092,   -0.047,   -0.175
    0.055,   -0.006,   -0.129
    0.014,    0.025,   -0.073
   -0.030,    0.051,   -0.017
   -0.073,    0.070,    0.025
   -0.113,    0.082,    0.047
   -0.144,    0.087,    0.048
   -0.166,    0.080,    0.030
   -0.181,    0.062,    0.000
   -0.191,    0.036,   -0.035
   -0.198,    0.005,   -0.062
   -0.200,   -0.021,   -0.075
   -0.197,   -0.039,   -0.067
   -0.187,   -0.045,   -0.039
   -0.171,   -0.043,    0.000
   -0.152,   -0.036,    0.045
   -0.136,   -0.031,    0.084
   -0.123,   -0.032,    0.112
   -0.114,   -0.041,    0.128
   -0.106,   -0.059,    0.129
   -0.099,   -0.083,    0.115
   -0.092,   -0.107,    0.090
   -0.084,   -0.128,    0.063
   -0.073,   -0.138,    0.043
   -0.060,   -0.136,    0.038
   -0.044,   -0.119,    0.046
   -0.026,   -0.089,    0.059
   -0.007,   -0.048,    0.067
    0.010,    0.002,    0.068
    0.025,    0.056,    0.065
    0.036,    0.112,    0.070
    0.045,    0.166,    0.089
    0.053,    0.210,    0.121
    0.062,    0.237,    0.157
    0.073,    0.240,    0.187
    0.088,    0.222,    0.203
    0.106,    0.187,    0.207
    0.122,    0.145,    0.207
    0.134,    0.105,    0.211
    0.134,    0.071,    0.222
    0.121,    0.052,    0.236
    0.097,    0.048,    0.243
    0.065,    0.058,    0.237
    0.030,    0.078,    0.214
   -0.001,    0.102,    0.178
   -0.025,    0.121,    0.135
   -0.036,    0.130,    0.093
   -0.033,    0.130,    0.062
   -0.018,    0.123,    0.043
    0.006,    0.112,    0.039
    0.034,    0.103,    0.049
    0.062,    0.093,    0.069
    0.086,    0.078,    0.098
    0.104,    0.057,    0.131
    0.112,    0.030,    0.165
    0.109,    0.004,    0.193
    0.093,   -0.012,    0.209
    0.068,   -0.016,    0.209
    0.037,   -0.008,    0.195
    0.008,    0.007,    0.170
   -0.015,    0.022,    0.142
   -0.028,    0.032,    0.116
   -0.027,    0.036,    0.096
   -0.012,    0.032,    0.081
    0.014,    0.020,    0.066
    0.047,    0.000,    0.050
    0.084,   -0.027,    0.035
    0.122,   -0.057,    0.024
    0.159,   -0.083,    0.021
    0.194,   -0.096,    0.025
    0.225,   -0.090,    0.028
    0.255,   -0.061,    0.023
    0.288,   -0.012,    0.006
    0.326,    0.050,   -0.015
    0.368,    0.117,   -0.032
    0.409,    0.183,   -0.035
    0.443,    0.240,   -0.020
    0.466,    0.286,    0.009
    0.476,    0.317,    0.042
    0.476,    0.334,    0.073
    0.470,    0.336,    0.099
    0.460,    0.323,    0.123
    0.448,    0.292,    0.149
    0.434,    0.244,    0.182
    0.415,    0.182,    0.217
    0.391,    0.109,    0.248
    0.361,    0.030,    0.264
    0.328,   -0.050,    0.262
    0.297,   -0.122,    0.245
    0.269,   -0.182,    0.220
    0.244,   -0.227,    0.196
    0.218,   -0.254,    0.177
    0.190,   -0.269,    0.164
    0.158,   -0.275,    0.155
    0.125,   -0.277,    0.151
    0.091,   -0.280,    0.150
    0.061,   -0.282,    0.154
    0.035,   -0.284,    0.158
    0.018,   -0.281,    0.159
