SITE CODE= •xŽRŽs”ª”ö’¬•Ÿ“‡
LAT=  36.5855
LON= 137.1399
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 10
NS, EW, UD
   -0.565,   -0.169,    0.109
   -0.573,   -0.175,    0.100
   -0.571,   -0.183,    0.086
   -0.557,   -0.190,    0.065
   -0.536,   -0.198,    0.042
   -0.509,   -0.204,    0.017
   -0.480,   -0.206,   -0.009
   -0.450,   -0.203,   -0.034
   -0.422,   -0.191,   -0.058
   -0.398,   -0.173,   -0.082
   -0.378,   -0.148,   -0.104
   -0.361,   -0.116,   -0.124
   -0.346,   -0.080,   -0.140
   -0.333,   -0.043,   -0.150
   -0.320,   -0.009,   -0.152
   -0.308,    0.021,   -0.148
   -0.295,    0.045,   -0.138
   -0.282,    0.064,   -0.127
   -0.267,    0.076,   -0.115
   -0.250,    0.083,   -0.103
   -0.231,    0.084,   -0.093
   -0.212,    0.082,   -0.082
   -0.194,    0.076,   -0.071
   -0.178,    0.067,   -0.065
   -0.166,    0.057,   -0.063
   -0.153,    0.046,   -0.068
   -0.140,    0.037,   -0.079
   -0.124,    0.029,   -0.095
   -0.104,    0.026,   -0.111
   -0.078,    0.027,   -0.125
   -0.044,    0.035,   -0.136
   -0.003,    0.047,   -0.143
    0.045,    0.062,   -0.149
    0.096,    0.078,   -0.155
    0.149,    0.091,   -0.162
    0.199,    0.101,   -0.170
    0.249,    0.108,   -0.179
    0.297,    0.110,   -0.186
    0.343,    0.107,   -0.191
    0.387,    0.102,   -0.192
    0.427,    0.095,   -0.188
    0.464,    0.088,   -0.179
    0.496,    0.082,   -0.164
    0.523,    0.079,   -0.142
    0.543,    0.078,   -0.114
    0.555,    0.081,   -0.079
    0.558,    0.083,   -0.041
    0.554,    0.086,   -0.002
    0.538,    0.087,    0.032
    0.513,    0.086,    0.058
    0.477,    0.083,    0.073
    0.435,    0.075,    0.080
    0.389,    0.059,    0.080
    0.340,    0.036,    0.077
    0.291,    0.004,    0.070
    0.241,   -0.037,    0.061
    0.189,   -0.084,    0.050
    0.134,   -0.131,    0.039
    0.079,   -0.174,    0.031
    0.023,   -0.209,    0.029
   -0.030,   -0.231,    0.034
   -0.082,   -0.239,    0.047
   -0.128,   -0.236,    0.067
   -0.172,   -0.223,    0.089
   -0.214,   -0.201,    0.110
   -0.253,   -0.173,    0.125
   -0.291,   -0.142,    0.134
   -0.325,   -0.111,    0.132
   -0.353,   -0.085,    0.120
   -0.372,   -0.066,    0.094
   -0.378,   -0.055,    0.058
   -0.373,   -0.052,    0.017
   -0.358,   -0.056,   -0.023
   -0.335,   -0.066,   -0.057
   -0.307,   -0.082,   -0.080
   -0.277,   -0.101,   -0.095
   -0.248,   -0.118,   -0.102
   -0.220,   -0.131,   -0.104
   -0.194,   -0.137,   -0.102
   -0.169,   -0.141,   -0.097
   -0.146,   -0.142,   -0.087
   -0.123,   -0.141,   -0.072
   -0.100,   -0.134,   -0.052
   -0.075,   -0.121,   -0.026
   -0.047,   -0.105,    0.003
   -0.016,   -0.084,    0.034
    0.017,   -0.061,    0.064
    0.051,   -0.034,    0.092
    0.083,   -0.004,    0.116
    0.111,    0.030,    0.135
    0.134,    0.065,    0.150
    0.150,    0.100,    0.162
    0.162,    0.132,    0.170
    0.173,    0.162,    0.179
    0.182,    0.187,    0.190
    0.190,    0.209,    0.205
    0.197,    0.227,    0.223
    0.203,    0.241,    0.244
    0.208,    0.252,    0.262
    0.211,    0.259,    0.278
    0.213,    0.258,    0.290
    0.214,    0.252,    0.298
    0.212,    0.239,    0.302
    0.207,    0.221,    0.305
    0.196,    0.198,    0.305
    0.182,    0.170,    0.301
    0.161,    0.141,    0.293
    0.136,    0.113,    0.282
    0.106,    0.087,    0.271
    0.075,    0.065,    0.260
    0.045,    0.046,    0.254
    0.016,    0.030,    0.253
   -0.010,    0.018,    0.253
   -0.030,    0.010,    0.252
   -0.047,    0.006,    0.246
   -0.061,    0.005,    0.233
   -0.071,    0.007,    0.215
   -0.080,    0.012,    0.191
   -0.088,    0.019,    0.163
   -0.096,    0.029,    0.133
   -0.106,    0.036,    0.102
   -0.117,    0.040,    0.074
   -0.130,    0.040,    0.052
   -0.145,    0.037,    0.040
   -0.159,    0.034,    0.038
   -0.169,    0.030,    0.046
   -0.174,    0.025,    0.062
   -0.167,    0.018,    0.082
   -0.148,    0.011,    0.107
   -0.117,    0.005,    0.136
   -0.077,    0.002,    0.169
   -0.029,   -0.001,    0.205
    0.022,   -0.004,    0.239
    0.073,   -0.011,    0.268
    0.122,   -0.023,    0.290
    0.166,   -0.037,    0.304
    0.203,   -0.056,    0.309
    0.233,   -0.077,    0.305
    0.257,   -0.100,    0.290
    0.277,   -0.123,    0.265
    0.296,   -0.144,    0.229
    0.315,   -0.166,    0.186
    0.333,   -0.189,    0.137
    0.350,   -0.210,    0.087
    0.364,   -0.227,    0.040
    0.376,   -0.241,    0.000
    0.385,   -0.250,   -0.031
    0.389,   -0.255,   -0.054
    0.386,   -0.255,   -0.072
    0.375,   -0.252,   -0.088
    0.358,   -0.244,   -0.105
    0.334,   -0.235,   -0.122
    0.304,   -0.225,   -0.141
    0.271,   -0.215,   -0.159
    0.236,   -0.204,   -0.177
    0.203,   -0.193,   -0.194
    0.171,   -0.182,   -0.207
    0.141,   -0.169,   -0.215
    0.111,   -0.153,   -0.215
    0.079,   -0.129,   -0.207
    0.045,   -0.096,   -0.193
    0.010,   -0.056,   -0.172
   -0.029,   -0.008,   -0.146
   -0.071,    0.043,   -0.115
   -0.115,    0.095,   -0.082
   -0.159,    0.142,   -0.051
   -0.198,    0.182,   -0.021
   -0.230,    0.211,    0.002
   -0.251,    0.227,    0.020
   -0.261,    0.228,    0.026
   -0.259,    0.213,    0.022
   -0.246,    0.182,    0.007
   -0.223,    0.137,   -0.016
   -0.195,    0.080,   -0.042
   -0.165,    0.017,   -0.066
   -0.137,   -0.050,   -0.082
   -0.114,   -0.116,   -0.090
   -0.095,   -0.176,   -0.091
   -0.081,   -0.226,   -0.089
   -0.071,   -0.262,   -0.087
   -0.066,   -0.282,   -0.086
   -0.064,   -0.288,   -0.088
   -0.064,   -0.284,   -0.094
   -0.064,   -0.269,   -0.107
   -0.066,   -0.251,   -0.130
   -0.071,   -0.229,   -0.164
   -0.080,   -0.209,   -0.206
   -0.095,   -0.192,   -0.255
   -0.113,   -0.178,   -0.308
   -0.133,   -0.162,   -0.361
   -0.152,   -0.145,   -0.410
   -0.168,   -0.125,   -0.450
   -0.179,   -0.100,   -0.478
   -0.183,   -0.070,   -0.494
