SITE CODE= “ì“vŽs“V’r
LAT=  36.5383
LON= 136.8840
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 50
NS, EW, UD
   -0.036,    0.152,    0.314
   -0.009,    0.168,    0.313
    0.018,    0.182,    0.312
    0.044,    0.194,    0.307
    0.070,    0.203,    0.300
    0.093,    0.210,    0.291
    0.114,    0.215,    0.285
    0.132,    0.218,    0.280
    0.150,    0.218,    0.273
    0.168,    0.215,    0.263
    0.189,    0.212,    0.249
    0.210,    0.210,    0.232
    0.232,    0.208,    0.216
    0.254,    0.206,    0.201
    0.275,    0.202,    0.188
    0.295,    0.197,    0.177
    0.317,    0.192,    0.166
    0.340,    0.189,    0.158
    0.364,    0.186,    0.152
    0.391,    0.185,    0.146
    0.417,    0.184,    0.139
    0.443,    0.183,    0.132
    0.466,    0.182,    0.123
    0.486,    0.182,    0.114
    0.500,    0.179,    0.105
    0.508,    0.176,    0.096
    0.510,    0.172,    0.087
    0.506,    0.172,    0.079
    0.496,    0.174,    0.070
    0.481,    0.180,    0.061
    0.463,    0.188,    0.050
    0.444,    0.198,    0.040
    0.425,    0.210,    0.029
    0.407,    0.223,    0.016
    0.388,    0.238,   -0.002
    0.369,    0.252,   -0.023
    0.354,    0.264,   -0.042
    0.339,    0.272,   -0.058
    0.325,    0.276,   -0.071
    0.309,    0.278,   -0.086
    0.289,    0.276,   -0.102
    0.269,    0.272,   -0.115
    0.248,    0.266,   -0.126
    0.227,    0.259,   -0.133
    0.205,    0.251,   -0.140
    0.182,    0.243,   -0.146
    0.158,    0.236,   -0.147
    0.131,    0.229,   -0.143
    0.102,    0.224,   -0.136
    0.068,    0.222,   -0.128
    0.034,    0.223,   -0.120
   -0.004,    0.227,   -0.108
   -0.041,    0.231,   -0.090
   -0.080,    0.238,   -0.070
   -0.121,    0.244,   -0.049
   -0.163,    0.251,   -0.029
   -0.203,    0.254,   -0.009
   -0.239,    0.255,    0.010
   -0.273,    0.252,    0.029
   -0.303,    0.247,    0.045
   -0.330,    0.241,    0.056
   -0.355,    0.231,    0.062
   -0.374,    0.219,    0.068
   -0.389,    0.203,    0.074
   -0.401,    0.184,    0.081
   -0.413,    0.164,    0.088
   -0.421,    0.142,    0.096
   -0.428,    0.117,    0.101
   -0.435,    0.091,    0.105
   -0.443,    0.064,    0.107
   -0.452,    0.037,    0.106
   -0.462,    0.008,    0.104
   -0.472,   -0.021,    0.103
   -0.481,   -0.052,    0.102
   -0.490,   -0.081,    0.102
   -0.497,   -0.108,    0.099
   -0.503,   -0.132,    0.095
   -0.505,   -0.156,    0.091
   -0.507,   -0.180,    0.087
   -0.508,   -0.203,    0.083
   -0.509,   -0.228,    0.078
   -0.511,   -0.253,    0.069
   -0.513,   -0.279,    0.060
   -0.514,   -0.304,    0.053
   -0.514,   -0.327,    0.048
   -0.512,   -0.347,    0.043
   -0.506,   -0.363,    0.034
   -0.495,   -0.375,    0.021
   -0.479,   -0.381,    0.004
   -0.460,   -0.380,   -0.016
   -0.439,   -0.374,   -0.036
   -0.416,   -0.361,   -0.058
   -0.393,   -0.342,   -0.079
   -0.371,   -0.321,   -0.098
   -0.350,   -0.296,   -0.113
   -0.330,   -0.271,   -0.125
   -0.311,   -0.246,   -0.136
   -0.294,   -0.223,   -0.147
   -0.278,   -0.201,   -0.159
   -0.261,   -0.180,   -0.169
   -0.243,   -0.161,   -0.179
   -0.225,   -0.144,   -0.186
   -0.207,   -0.130,   -0.190
   -0.192,   -0.120,   -0.189
   -0.181,   -0.110,   -0.186
   -0.173,   -0.102,   -0.180
   -0.170,   -0.094,   -0.173
   -0.172,   -0.085,   -0.164
   -0.180,   -0.075,   -0.152
   -0.191,   -0.061,   -0.140
   -0.203,   -0.046,   -0.128
   -0.213,   -0.027,   -0.118
   -0.221,   -0.010,   -0.108
   -0.224,    0.006,   -0.099
   -0.224,    0.021,   -0.091
   -0.218,    0.034,   -0.087
   -0.208,    0.045,   -0.084
   -0.193,    0.054,   -0.081
   -0.176,    0.062,   -0.078
   -0.157,    0.068,   -0.080
   -0.140,    0.074,   -0.087
   -0.124,    0.078,   -0.098
   -0.110,    0.080,   -0.111
   -0.097,    0.079,   -0.123
   -0.084,    0.076,   -0.135
   -0.070,    0.070,   -0.147
   -0.057,    0.064,   -0.161
   -0.045,    0.056,   -0.175
   -0.036,    0.050,   -0.184
   -0.029,    0.046,   -0.192
   -0.022,    0.044,   -0.195
   -0.013,    0.045,   -0.197
   -0.002,    0.048,   -0.196
    0.012,    0.054,   -0.193
    0.031,    0.060,   -0.189
    0.053,    0.066,   -0.186
    0.079,    0.073,   -0.183
    0.108,    0.080,   -0.180
    0.138,    0.088,   -0.178
    0.166,    0.093,   -0.177
    0.191,    0.098,   -0.178
    0.212,    0.100,   -0.181
    0.233,    0.100,   -0.183
    0.253,    0.097,   -0.181
    0.274,    0.092,   -0.177
    0.294,    0.087,   -0.171
    0.312,    0.082,   -0.169
    0.332,    0.078,   -0.166
    0.352,    0.074,   -0.162
    0.375,    0.070,   -0.156
    0.397,    0.065,   -0.148
    0.416,    0.062,   -0.138
    0.430,    0.061,   -0.130
    0.443,    0.060,   -0.122
    0.455,    0.060,   -0.114
    0.464,    0.061,   -0.104
    0.470,    0.062,   -0.095
    0.471,    0.064,   -0.086
    0.467,    0.066,   -0.079
    0.460,    0.068,   -0.071
    0.449,    0.068,   -0.064
    0.435,    0.067,   -0.055
    0.420,    0.065,   -0.047
    0.403,    0.061,   -0.041
    0.385,    0.057,   -0.034
    0.368,    0.052,   -0.031
    0.350,    0.046,   -0.031
    0.331,    0.039,   -0.032
    0.312,    0.031,   -0.032
    0.294,    0.025,   -0.033
    0.276,    0.020,   -0.036
    0.258,    0.018,   -0.042
    0.239,    0.016,   -0.055
    0.218,    0.017,   -0.069
    0.197,    0.018,   -0.082
    0.176,    0.021,   -0.093
    0.155,    0.025,   -0.099
    0.132,    0.031,   -0.100
    0.110,    0.040,   -0.095
    0.088,    0.052,   -0.083
    0.067,    0.068,   -0.068
    0.049,    0.086,   -0.052
    0.031,    0.105,   -0.035
    0.015,    0.123,   -0.015
    0.000,    0.141,    0.008
   -0.012,    0.157,    0.033
   -0.023,    0.170,    0.057
   -0.032,    0.179,    0.082
   -0.039,    0.182,    0.111
   -0.044,    0.181,    0.141
   -0.045,    0.177,    0.168
   -0.046,    0.168,    0.190
   -0.048,    0.154,    0.207
   -0.053,    0.136,    0.225
   -0.062,    0.115,    0.241
   -0.074,    0.092,    0.253
   -0.089,    0.066,    0.258
   -0.109,    0.038,    0.257
   -0.132,    0.007,    0.255
   -0.158,   -0.023,    0.252
   -0.188,   -0.053,    0.248
   -0.219,   -0.080,    0.241
   -0.253,   -0.105,    0.233
   -0.287,   -0.127,    0.227
   -0.318,   -0.143,    0.222
   -0.345,   -0.151,    0.218
   -0.368,   -0.154,    0.213
   -0.386,   -0.150,    0.207
   -0.402,   -0.138,    0.197
   -0.413,   -0.121,    0.183
   -0.422,   -0.098,    0.163
   -0.428,   -0.069,    0.141
   -0.434,   -0.036,    0.118
   -0.441,   -0.004,    0.096
   -0.446,    0.028,    0.073
   -0.448,    0.055,    0.050
   -0.444,    0.079,    0.027
   -0.435,    0.097,    0.011
   -0.423,    0.111,   -0.002
   -0.404,    0.120,   -0.015
   -0.379,    0.125,   -0.027
   -0.350,    0.129,   -0.037
   -0.316,    0.132,   -0.040
   -0.280,    0.137,   -0.040
   -0.245,    0.141,   -0.041
   -0.209,    0.144,   -0.043
   -0.175,    0.145,   -0.045
   -0.144,    0.145,   -0.042
   -0.116,    0.146,   -0.038
   -0.091,    0.146,   -0.036
   -0.069,    0.146,   -0.035
   -0.048,    0.144,   -0.032
   -0.030,    0.143,   -0.027
   -0.015,    0.140,   -0.021
   -0.001,    0.138,   -0.016
    0.013,    0.135,   -0.011
    0.029,    0.131,   -0.002
    0.045,    0.126,    0.010
    0.058,    0.120,    0.023
    0.066,    0.114,    0.034
    0.069,    0.108,    0.043
    0.066,    0.102,    0.053
    0.060,    0.098,    0.064
    0.052,    0.097,    0.076
    0.043,    0.098,    0.085
    0.034,    0.100,    0.091
    0.025,    0.105,    0.095
    0.014,    0.109,    0.100
    0.002,    0.116,    0.102
   -0.011,    0.123,    0.103
   -0.026,    0.128,    0.103
   -0.040,    0.131,    0.102
   -0.054,    0.133,    0.098
   -0.069,    0.132,    0.092
   -0.082,    0.131,    0.086
   -0.096,    0.129,    0.082
   -0.108,    0.125,    0.082
   -0.118,    0.121,    0.080
   -0.127,    0.117,    0.075
   -0.135,    0.113,    0.064
   -0.142,    0.110,    0.053
   -0.147,    0.107,    0.046
   -0.149,    0.103,    0.042
   -0.149,    0.097,    0.035
   -0.150,    0.091,    0.021
   -0.153,    0.084,    0.004
   -0.157,    0.077,   -0.013
   -0.163,    0.068,   -0.027
   -0.172,    0.062,   -0.040
   -0.184,    0.059,   -0.054
   -0.196,    0.060,   -0.068
   -0.207,    0.065,   -0.079
   -0.215,    0.072,   -0.084
   -0.219,    0.082,   -0.086
   -0.221,    0.096,   -0.086
   -0.221,    0.116,   -0.089
   -0.218,    0.140,   -0.092
   -0.212,    0.167,   -0.097
   -0.200,    0.196,   -0.101
   -0.187,    0.225,   -0.105
   -0.175,    0.257,   -0.109
   -0.166,    0.291,   -0.114
   -0.161,    0.325,   -0.117
