SITE CODE= ’Ã”¦’¬‰Á‰ê’Ü
LAT=  36.6691
LON= 136.7284
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 30
NS, EW, UD
   -0.183,   -0.053,    0.093
   -0.150,   -0.038,    0.100
   -0.118,   -0.024,    0.102
   -0.089,   -0.013,    0.101
   -0.062,   -0.005,    0.101
   -0.037,    0.000,    0.105
   -0.014,    0.000,    0.114
    0.007,   -0.004,    0.124
    0.026,   -0.013,    0.133
    0.042,   -0.023,    0.138
    0.054,   -0.033,    0.139
    0.061,   -0.041,    0.139
    0.060,   -0.047,    0.142
    0.052,   -0.050,    0.150
    0.036,   -0.053,    0.161
    0.014,   -0.054,    0.173
   -0.010,   -0.057,    0.180
   -0.034,   -0.060,    0.184
   -0.056,   -0.063,    0.186
   -0.076,   -0.066,    0.185
   -0.093,   -0.069,    0.181
   -0.107,   -0.067,    0.173
   -0.117,   -0.060,    0.162
   -0.123,   -0.047,    0.154
   -0.126,   -0.029,    0.150
   -0.128,   -0.009,    0.149
   -0.134,    0.009,    0.148
   -0.143,    0.026,    0.145
   -0.155,    0.039,    0.143
   -0.168,    0.049,    0.138
   -0.183,    0.058,    0.134
   -0.198,    0.070,    0.130
   -0.215,    0.086,    0.124
   -0.231,    0.107,    0.120
   -0.246,    0.135,    0.119
   -0.258,    0.164,    0.120
   -0.267,    0.196,    0.122
   -0.271,    0.225,    0.125
   -0.270,    0.249,    0.128
   -0.264,    0.269,    0.133
   -0.252,    0.287,    0.136
   -0.235,    0.302,    0.138
   -0.214,    0.316,    0.141
   -0.191,    0.326,    0.148
   -0.165,    0.334,    0.158
   -0.138,    0.339,    0.170
   -0.111,    0.345,    0.183
   -0.081,    0.351,    0.195
   -0.052,    0.358,    0.209
   -0.024,    0.362,    0.221
   -0.001,    0.365,    0.231
    0.019,    0.367,    0.237
    0.035,    0.369,    0.238
    0.050,    0.374,    0.237
    0.068,    0.380,    0.234
    0.085,    0.387,    0.227
    0.105,    0.396,    0.216
    0.125,    0.406,    0.199
    0.144,    0.414,    0.175
    0.159,    0.417,    0.142
    0.168,    0.414,    0.102
    0.173,    0.406,    0.055
    0.176,    0.392,    0.005
    0.180,    0.376,   -0.048
    0.190,    0.357,   -0.102
    0.201,    0.332,   -0.153
    0.213,    0.303,   -0.200
    0.227,    0.269,   -0.238
    0.242,    0.232,   -0.268
    0.258,    0.193,   -0.291
    0.273,    0.152,   -0.309
    0.287,    0.112,   -0.319
    0.298,    0.073,   -0.321
    0.306,    0.036,   -0.316
    0.311,    0.001,   -0.302
    0.316,   -0.032,   -0.282
    0.320,   -0.061,   -0.257
    0.326,   -0.088,   -0.231
    0.334,   -0.111,   -0.207
    0.342,   -0.132,   -0.184
    0.350,   -0.148,   -0.166
    0.354,   -0.157,   -0.150
    0.357,   -0.160,   -0.139
    0.359,   -0.153,   -0.132
    0.358,   -0.139,   -0.131
    0.354,   -0.118,   -0.134
    0.343,   -0.093,   -0.137
    0.326,   -0.069,   -0.141
    0.307,   -0.046,   -0.145
    0.285,   -0.029,   -0.151
    0.262,   -0.017,   -0.154
    0.238,   -0.010,   -0.154
    0.214,   -0.008,   -0.150
    0.194,   -0.007,   -0.143
    0.177,   -0.006,   -0.136
    0.162,   -0.006,   -0.129
    0.148,   -0.007,   -0.122
    0.134,   -0.011,   -0.116
    0.118,   -0.016,   -0.109
    0.102,   -0.019,   -0.105
    0.089,   -0.019,   -0.106
    0.076,   -0.017,   -0.112
    0.063,   -0.012,   -0.121
    0.048,   -0.007,   -0.134
    0.031,   -0.000,   -0.148
    0.011,    0.007,   -0.161
   -0.011,    0.014,   -0.173
   -0.035,    0.025,   -0.183
   -0.058,    0.036,   -0.193
   -0.081,    0.050,   -0.200
   -0.102,    0.062,   -0.206
   -0.122,    0.073,   -0.207
   -0.139,    0.080,   -0.200
   -0.150,    0.084,   -0.188
   -0.156,    0.083,   -0.169
   -0.159,    0.077,   -0.145
   -0.162,    0.070,   -0.115
   -0.168,    0.061,   -0.082
   -0.177,    0.053,   -0.047
   -0.187,    0.046,   -0.016
   -0.198,    0.043,    0.012
   -0.207,    0.043,    0.037
   -0.214,    0.047,    0.061
   -0.218,    0.053,    0.083
   -0.219,    0.057,    0.101
   -0.216,    0.056,    0.115
   -0.212,    0.050,    0.125
   -0.205,    0.039,    0.129
   -0.197,    0.025,    0.126
   -0.189,    0.009,    0.116
   -0.182,   -0.009,    0.102
   -0.176,   -0.027,    0.089
   -0.172,   -0.044,    0.079
   -0.170,   -0.058,    0.072
   -0.170,   -0.071,    0.064
   -0.170,   -0.083,    0.056
   -0.169,   -0.096,    0.051
   -0.165,   -0.109,    0.049
   -0.160,   -0.124,    0.051
   -0.152,   -0.140,    0.054
   -0.139,   -0.159,    0.060
   -0.122,   -0.180,    0.068
   -0.098,   -0.205,    0.080
   -0.071,   -0.233,    0.092
   -0.041,   -0.263,    0.104
   -0.009,   -0.291,    0.114
    0.023,   -0.319,    0.126
    0.057,   -0.344,    0.137
    0.093,   -0.369,    0.149
    0.126,   -0.391,    0.156
    0.155,   -0.410,    0.158
    0.177,   -0.428,    0.153
    0.194,   -0.444,    0.141
    0.207,   -0.456,    0.122
    0.218,   -0.462,    0.098
    0.229,   -0.463,    0.069
    0.240,   -0.458,    0.039
    0.245,   -0.450,    0.007
    0.244,   -0.439,   -0.028
    0.238,   -0.425,   -0.067
    0.229,   -0.409,   -0.107
    0.217,   -0.391,   -0.144
    0.202,   -0.369,   -0.171
    0.184,   -0.345,   -0.187
    0.162,   -0.318,   -0.198
    0.141,   -0.285,   -0.205
    0.120,   -0.246,   -0.212
    0.101,   -0.200,   -0.218
    0.084,   -0.147,   -0.221
    0.065,   -0.091,   -0.219
    0.046,   -0.033,   -0.212
    0.030,    0.027,   -0.205
    0.018,    0.086,   -0.196
    0.006,    0.143,   -0.186
   -0.006,    0.196,   -0.177
   -0.021,    0.241,   -0.169
   -0.039,    0.273,   -0.161
   -0.058,    0.293,   -0.150
   -0.077,    0.301,   -0.135
   -0.096,    0.298,   -0.114
   -0.116,    0.286,   -0.088
   -0.136,    0.269,   -0.062
   -0.155,    0.247,   -0.043
   -0.172,    0.225,   -0.035
   -0.187,    0.203,   -0.036
   -0.199,    0.183,   -0.047
   -0.206,    0.164,   -0.062
   -0.209,    0.147,   -0.075
   -0.204,    0.132,   -0.084
   -0.194,    0.119,   -0.087
   -0.177,    0.107,   -0.089
   -0.151,    0.098,   -0.087
   -0.120,    0.088,   -0.083
   -0.085,    0.078,   -0.071
   -0.051,    0.068,   -0.050
   -0.016,    0.059,   -0.025
    0.020,    0.051,   -0.001
    0.055,    0.044,    0.016
    0.089,    0.034,    0.024
    0.120,    0.021,    0.025
    0.147,    0.005,    0.024
    0.173,   -0.011,    0.025
    0.196,   -0.024,    0.028
    0.215,   -0.035,    0.033
    0.227,   -0.041,    0.039
    0.233,   -0.041,    0.044
    0.234,   -0.035,    0.046
    0.231,   -0.020,    0.046
    0.223,    0.002,    0.045
