SITE CODE= è„ñÏå¥ésélï˚í√
LAT=  35.6134
LON= 139.0815
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 30
NS, EW, UD
    0.000,    0.000,    0.001
   -0.001,    0.000,    0.001
   -0.001,    0.000,    0.000
   -0.001,   -0.001,    0.000
    0.000,   -0.001,    0.000
    0.000,   -0.001,    0.000
    0.001,    0.000,    0.000
    0.001,    0.000,    0.000
    0.001,    0.000,    0.001
    0.001,   -0.001,    0.001
    0.000,   -0.002,    0.002
    0.000,   -0.002,    0.001
    0.000,   -0.001,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,    0.001
   -0.001,    0.001,    0.001
    0.000,    0.001,    0.001
    0.000,    0.000,    0.001
    0.001,    0.000,    0.001
    0.001,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,    0.000
    0.000,    0.002,   -0.000
    0.000,    0.002,    0.000
    0.000,    0.001,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.001,    0.000,   -0.000
    0.001,    0.000,   -0.001
    0.001,    0.000,   -0.002
    0.000,    0.000,   -0.003
    0.000,    0.000,   -0.002
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.001
    0.000,   -0.001,    0.001
    0.000,   -0.001,    0.000
    0.000,   -0.001,   -0.001
   -0.001,   -0.001,   -0.001
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.002
   -0.001,   -0.002,   -0.000
    0.000,   -0.002,    0.000
    0.000,   -0.001,    0.001
    0.000,    0.000,    0.000
    0.000,    0.001,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.001,    0.000,    0.000
    0.001,    0.001,   -0.000
    0.000,    0.001,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,   -0.001,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.001
    0.000,    0.001,   -0.001
    0.001,    0.001,   -0.001
    0.001,    0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,   -0.001,   -0.000
   -0.001,    0.000,   -0.000
   -0.001,    0.000,   -0.000
   -0.001,    0.001,    0.001
   -0.001,    0.001,    0.001
   -0.001,    0.000,    0.002
    0.000,   -0.001,    0.001
    0.000,   -0.001,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.001,    0.000,    0.001
    0.001,    0.000,    0.001
    0.000,    0.001,    0.001
    0.000,    0.001,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,    0.001
    0.000,    0.001,    0.001
    0.000,    0.000,    0.000
   -0.001,    0.000,    0.001
   -0.002,    0.000,    0.001
   -0.002,    0.000,    0.001
   -0.001,   -0.001,    0.001
    0.000,   -0.001,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
   -0.001,    0.000,    0.001
   -0.001,    0.000,    0.001
    0.000,   -0.001,    0.002
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,    0.000
    0.000,    0.000,    0.001
    0.000,   -0.001,    0.001
    0.000,   -0.001,    0.002
    0.000,   -0.001,    0.002
    0.000,    0.000,    0.002
    0.000,    0.000,    0.002
    0.000,    0.000,    0.002
    0.000,    0.000,    0.002
    0.000,    0.000,    0.001
    0.000,    0.000,   -0.000
    0.000,    0.001,   -0.001
    0.000,    0.001,    0.000
    0.001,    0.001,    0.001
    0.001,    0.001,    0.001
    0.001,    0.001,    0.000
    0.001,    0.002,   -0.000
    0.001,    0.001,    0.000
    0.001,    0.001,    0.001
    0.001,    0.000,    0.001
    0.001,   -0.001,    0.001
    0.000,   -0.001,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.001
   -0.001,    0.000,    0.000
   -0.001,    0.000,   -0.001
   -0.001,    0.000,   -0.002
   -0.001,    0.000,   -0.001
    0.000,    0.001,   -0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,   -0.001,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.002,   -0.000
    0.000,    0.002,   -0.000
    0.000,    0.001,   -0.000
    0.000,    0.000,    0.000
    0.000,   -0.001,    0.000
    0.000,   -0.001,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.001,    0.000,    0.001
    0.001,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,    0.001
    0.000,    0.001,    0.001
   -0.001,    0.001,    0.001
   -0.001,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,   -0.001,    0.000
    0.000,   -0.002,    0.000
    0.000,   -0.002,    0.000
    0.000,   -0.001,    0.000
   -0.001,    0.000,    0.001
   -0.002,    0.000,    0.001
   -0.002,    0.000,    0.001
   -0.001,    0.000,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,   -0.001,   -0.000
   -0.002,   -0.001,    0.000
   -0.002,    0.000,    0.001
   -0.002,    0.001,    0.001
   -0.001,    0.001,    0.001
    0.000,    0.000,    0.001
    0.001,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,   -0.001,    0.001
    0.000,   -0.001,    0.001
    0.000,   -0.001,    0.001
    0.000,   -0.001,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.001,    0.001,    0.001
    0.000,    0.000,    0.001
    0.000,   -0.001,    0.001
    0.000,   -0.002,   -0.000
    0.000,   -0.002,   -0.000
    0.000,   -0.001,    0.000
    0.000,    0.000,    0.001
   -0.001,    0.000,    0.001
   -0.001,    0.000,    0.001
    0.000,   -0.001,    0.001
    0.001,   -0.001,    0.001
    0.001,    0.000,    0.001
    0.001,    0.000,    0.001
    0.000,    0.001,    0.001
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.001,    0.000,    0.001
    0.001,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.002
   -0.001,    0.000,    0.002
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,   -0.001,    0.001
    0.000,   -0.001,    0.001
    0.000,    0.000,    0.002
    0.000,    0.000,    0.001
    0.000,    0.001,    0.001
   -0.001,    0.000,    0.000
   -0.002,    0.000,    0.001
   -0.002,   -0.001,    0.001
   -0.001,    0.000,    0.001
    0.001,    0.000,   -0.000
    0.002,    0.000,   -0.001
    0.001,    0.000,   -0.001
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.001,    0.000,   -0.000
    0.001,    0.000,   -0.001
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.000,    0.001,   -0.000
    0.001,    0.000,   -0.001
    0.001,    0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.001,    0.000,    0.001
    0.001,    0.000,    0.000
    0.000,    0.000,    0.000
   -0.001,    0.000,    0.000
   -0.001,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,   -0.002,    0.000
    0.001,   -0.002,   -0.000
    0.000,   -0.002,   -0.001
    0.000,   -0.001,   -0.001
   -0.001,    0.000,   -0.000
   -0.002,   -0.001,   -0.000
   -0.002,   -0.001,   -0.001
   -0.001,   -0.001,   -0.001
   -0.001,    0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.000,    0.000,   -0.000
