SITE CODE= ç≤ãvésâ∫è¨ìcêÿ
LAT=  36.1932
LON= 138.4773
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 30
NS, EW, UD
    0.001,   -0.000,    0.000
    0.001,   -0.001,    0.000
    0.001,   -0.001,    0.000
    0.001,   -0.000,    0.001
    0.001,    0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.001,    0.001
   -0.001,    0.001,    0.000
   -0.001,    0.002,   -0.001
    0.000,    0.002,   -0.002
    0.000,    0.002,   -0.001
    0.000,    0.000,   -0.000
    0.001,   -0.000,    0.000
    0.001,   -0.001,    0.001
    0.001,   -0.000,    0.000
    0.001,    0.000,    0.000
    0.001,    0.000,   -0.000
    0.001,    0.000,   -0.000
    0.002,    0.001,   -0.000
    0.001,    0.001,   -0.000
    0.001,    0.001,    0.000
   -0.001,    0.000,    0.000
   -0.001,   -0.000,   -0.000
   -0.001,   -0.000,   -0.001
   -0.001,   -0.000,   -0.001
   -0.001,    0.000,   -0.002
   -0.001,    0.000,   -0.002
    0.000,   -0.000,   -0.001
    0.001,   -0.000,   -0.001
    0.001,    0.000,   -0.001
    0.001,    0.002,   -0.002
    0.001,    0.002,   -0.002
   -0.001,    0.002,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.000,   -0.001
    0.001,   -0.000,   -0.001
    0.001,   -0.000,   -0.002
    0.001,   -0.000,   -0.001
    0.000,    0.000,   -0.000
   -0.001,    0.001,    0.000
   -0.001,    0.002,   -0.000
   -0.001,    0.002,   -0.001
   -0.001,    0.002,   -0.002
   -0.001,    0.002,   -0.002
   -0.001,    0.002,   -0.001
    0.000,    0.002,   -0.001
    0.001,    0.000,   -0.001
    0.001,   -0.001,   -0.001
    0.001,   -0.002,   -0.001
    0.000,   -0.001,   -0.001
   -0.001,    0.000,   -0.001
   -0.001,    0.001,   -0.001
   -0.001,    0.001,   -0.000
   -0.001,    0.002,   -0.000
   -0.001,    0.002,   -0.000
   -0.001,    0.002,   -0.001
   -0.001,    0.001,   -0.002
   -0.001,   -0.000,   -0.002
   -0.001,   -0.002,   -0.001
   -0.001,   -0.002,    0.000
   -0.002,   -0.001,   -0.000
   -0.002,   -0.000,   -0.001
   -0.001,   -0.000,   -0.002
   -0.001,   -0.000,   -0.002
    0.000,    0.000,   -0.000
    0.000,    0.002,    0.000
    0.000,    0.002,   -0.000
    0.000,    0.001,   -0.002
    0.001,    0.000,   -0.002
    0.001,    0.000,   -0.002
    0.001,    0.000,   -0.000
    0.001,    0.001,    0.000
    0.001,    0.001,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
   -0.001,    0.000,    0.000
   -0.001,    0.001,    0.001
   -0.001,    0.000,    0.001
   -0.001,   -0.000,    0.000
   -0.001,   -0.000,    0.000
   -0.001,    0.000,    0.000
   -0.001,    0.001,    0.000
   -0.001,    0.001,   -0.000
   -0.001,    0.001,   -0.001
    0.000,    0.000,   -0.001
    0.001,    0.000,   -0.000
    0.001,   -0.000,    0.000
    0.001,   -0.000,    0.000
    0.000,   -0.000,   -0.000
    0.001,   -0.000,   -0.001
    0.001,    0.000,   -0.000
    0.001,    0.000,    0.002
    0.001,   -0.000,    0.002
    0.001,   -0.000,    0.002
    0.000,    0.000,    0.000
    0.000,    0.001,   -0.001
    0.000,    0.002,   -0.001
   -0.001,    0.002,    0.000
   -0.001,    0.002,    0.001
   -0.001,    0.002,    0.001
    0.000,    0.002,   -0.000
    0.000,    0.000,   -0.001
    0.001,   -0.001,   -0.001
    0.001,   -0.002,   -0.000
    0.001,   -0.000,    0.000
    0.001,    0.001,    0.000
    0.000,    0.002,    0.000
    0.000,    0.002,    0.000
    0.000,    0.001,    0.000
    0.000,    0.000,    0.000
    0.001,   -0.000,   -0.000
    0.001,    0.000,    0.000
    0.001,    0.001,    0.001
    0.001,    0.001,    0.001
   -0.001,    0.001,    0.001
   -0.001,    0.001,    0.000
   -0.002,    0.000,    0.000
   -0.002,   -0.000,    0.000
   -0.001,   -0.000,    0.001
   -0.001,   -0.000,    0.001
    0.000,    0.000,    0.001
    0.001,   -0.000,    0.000
    0.001,   -0.000,   -0.000
    0.001,   -0.001,   -0.001
    0.000,   -0.001,   -0.001
    0.000,   -0.001,   -0.001
   -0.001,   -0.000,   -0.001
   -0.001,   -0.000,   -0.002
   -0.002,   -0.000,   -0.002
   -0.002,    0.000,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.002,   -0.002
   -0.001,    0.002,   -0.002
   -0.001,    0.001,   -0.001
    0.000,    0.000,   -0.001
    0.001,   -0.000,   -0.001
    0.001,   -0.000,   -0.002
    0.000,   -0.000,   -0.001
   -0.001,    0.000,   -0.001
    0.000,    0.000,   -0.001
    0.000,    0.001,   -0.001
    0.001,    0.001,   -0.001
    0.000,    0.001,   -0.001
   -0.001,    0.001,   -0.001
   -0.001,    0.000,   -0.002
   -0.001,    0.000,   -0.002
   -0.001,    0.000,   -0.002
   -0.002,    0.001,   -0.001
   -0.002,    0.001,   -0.001
   -0.001,    0.000,   -0.001
   -0.001,    0.000,   -0.001
   -0.001,    0.000,   -0.001
   -0.001,   -0.000,   -0.001
   -0.001,   -0.000,   -0.002
    0.000,   -0.000,   -0.002
    0.001,   -0.000,   -0.002
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
   -0.001,    0.000,   -0.000
   -0.001,   -0.000,   -0.002
   -0.001,   -0.000,   -0.002
   -0.002,    0.000,   -0.002
   -0.002,    0.002,   -0.002
   -0.001,    0.003,   -0.000
    0.000,    0.002,    0.000
    0.000,    0.002,    0.000
   -0.001,    0.001,    0.000
   -0.002,    0.000,    0.000
   -0.002,    0.000,   -0.000
   -0.001,   -0.000,   -0.000
    0.001,   -0.002,   -0.000
    0.001,   -0.002,   -0.001
   -0.001,   -0.001,   -0.002
   -0.001,   -0.000,   -0.002
   -0.001,    0.000,   -0.001
    0.000,    0.000,   -0.000
   -0.001,    0.001,    0.000
   -0.001,    0.001,    0.001
   -0.001,    0.001,    0.001
   -0.001,    0.001,    0.002
    0.000,    0.000,    0.002
    0.001,    0.000,    0.002
    0.001,    0.000,    0.000
    0.001,    0.001,   -0.000
    0.001,    0.000,   -0.000
    0.002,   -0.001,    0.000
    0.001,   -0.002,    0.002
    0.000,   -0.001,    0.002
   -0.001,    0.000,    0.000
   -0.002,    0.002,   -0.000
   -0.002,    0.002,   -0.000
   -0.002,    0.000,    0.000
   -0.001,   -0.001,   -0.000
   -0.001,   -0.002,   -0.000
    0.000,   -0.002,   -0.000
    0.001,   -0.002,    0.001
    0.001,   -0.000,    0.002
    0.000,    0.001,    0.002
    0.000,    0.002,    0.001
    0.000,    0.002,    0.000
    0.001,    0.002,   -0.000
    0.000,    0.002,    0.000
    0.000,    0.000,    0.000
    0.000,   -0.000,    0.001
    0.001,   -0.002,    0.001
    0.001,   -0.002,    0.000
    0.001,   -0.002,    0.000
    0.000,   -0.001,    0.000
   -0.001,    0.000,    0.000
   -0.001,    0.001,    0.000
    0.000,    0.002,   -0.000
    0.000,    0.002,   -0.000
   -0.001,    0.002,   -0.000
