SITE CODE= ìáìcésêÏç™í¨â∆éR
LAT=  34.9391
LON= 138.0758
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 50
NS, EW, UD
    0.039,   -0.041,   -0.012
    0.047,    0.004,    0.004
    0.004,    0.037,    0.011
   -0.041,    0.023,    0.005
   -0.039,   -0.015,   -0.003
    0.002,   -0.032,   -0.004
    0.032,   -0.012,   -0.002
    0.023,    0.018,   -0.004
   -0.008,    0.027,   -0.005
   -0.022,    0.011,    0.001
   -0.009,   -0.007,    0.012
    0.009,   -0.014,    0.012
    0.012,   -0.014,   -0.003
    0.005,   -0.014,   -0.018
   -0.000,   -0.010,   -0.014
   -0.004,    0.007,    0.004
   -0.011,    0.027,    0.017
   -0.018,    0.024,    0.011
   -0.009,   -0.004,   -0.007
    0.014,   -0.028,   -0.016
    0.027,   -0.019,   -0.010
    0.012,    0.016,    0.005
   -0.020,    0.033,    0.012
   -0.034,    0.007,    0.008
   -0.010,   -0.034,   -0.002
    0.028,   -0.040,   -0.007
    0.037,   -0.000,   -0.005
    0.004,    0.040,    0.002
   -0.038,    0.035,    0.005
   -0.042,   -0.009,    0.003
   -0.005,   -0.038,   -0.002
    0.035,   -0.019,   -0.005
    0.037,    0.022,   -0.002
    0.004,    0.034,    0.005
   -0.029,    0.007,    0.009
   -0.030,   -0.025,    0.004
   -0.005,   -0.028,   -0.003
    0.018,   -0.008,   -0.007
    0.018,    0.007,   -0.004
    0.001,    0.008,    0.001
   -0.016,    0.009,    0.006
   -0.018,    0.014,    0.006
   -0.005,    0.011,    0.002
    0.012,   -0.010,   -0.004
    0.021,   -0.030,   -0.008
    0.015,   -0.021,   -0.004
   -0.004,    0.011,    0.005
   -0.020,    0.030,    0.012
   -0.020,    0.010,    0.008
   -0.001,   -0.023,   -0.004
    0.017,   -0.023,   -0.011
    0.016,    0.010,   -0.007
   -0.004,    0.036,    0.005
   -0.021,    0.018,    0.010
   -0.016,   -0.024,    0.004
    0.007,   -0.040,   -0.005
    0.026,   -0.011,   -0.007
    0.019,    0.026,    0.001
   -0.007,    0.029,    0.007
   -0.025,   -0.002,    0.004
   -0.021,   -0.025,   -0.005
    0.000,   -0.016,   -0.009
    0.015,    0.009,   -0.002
    0.015,    0.018,    0.005
    0.004,    0.007,    0.006
   -0.007,   -0.006,    0.000
   -0.011,   -0.006,   -0.005
   -0.006,   -0.001,   -0.005
    0.004,   -0.005,    0.001
    0.012,   -0.012,    0.002
    0.010,   -0.008,    0.000
   -0.003,    0.004,   -0.002
   -0.016,    0.011,    0.001
   -0.015,    0.005,    0.005
   -0.001,   -0.002,    0.004
    0.013,    0.002,   -0.002
    0.012,    0.010,   -0.007
    0.000,    0.006,   -0.004
   -0.009,   -0.013,    0.005
   -0.005,   -0.026,    0.012
    0.007,   -0.014,    0.007
    0.011,    0.011,   -0.003
    0.001,    0.022,   -0.009
   -0.011,    0.008,   -0.005
   -0.013,   -0.011,    0.002
   -0.003,   -0.011,    0.007
    0.008,    0.003,    0.003
    0.012,    0.011,   -0.003
    0.007,    0.002,   -0.005
   -0.000,   -0.010,   -0.000
   -0.006,   -0.008,    0.003
   -0.009,    0.004,    0.002
   -0.007,    0.009,   -0.005
    0.002,   -0.002,   -0.009
    0.011,   -0.014,   -0.005
    0.009,   -0.010,    0.004
   -0.004,    0.008,    0.009
   -0.018,    0.020,    0.004
   -0.015,    0.014,   -0.005
    0.004,   -0.004,   -0.009
