SITE CODE= ïlèºñkãÊéOÉñì˙í¨
LAT=  34.8031
LON= 137.5560
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
   -0.052,   -0.016,    0.038
   -0.052,   -0.012,    0.056
   -0.055,   -0.009,    0.065
   -0.056,   -0.005,    0.061
   -0.052,   -0.004,    0.042
   -0.044,   -0.005,    0.013
   -0.034,   -0.007,   -0.007
   -0.022,   -0.008,   -0.004
   -0.011,   -0.005,    0.025
    0.002,    0.003,    0.059
    0.016,    0.013,    0.081
    0.031,    0.025,    0.085
    0.045,    0.034,    0.080
    0.060,    0.042,    0.080
    0.073,    0.045,    0.088
    0.082,    0.046,    0.097
    0.085,    0.042,    0.094
    0.078,    0.036,    0.076
    0.062,    0.027,    0.048
    0.041,    0.017,    0.021
    0.017,    0.004,   -0.002
   -0.005,   -0.011,   -0.020
   -0.025,   -0.025,   -0.036
   -0.042,   -0.039,   -0.052
   -0.056,   -0.051,   -0.058
   -0.067,   -0.063,   -0.048
   -0.075,   -0.075,   -0.021
   -0.081,   -0.087,    0.015
   -0.086,   -0.096,    0.045
   -0.089,   -0.100,    0.056
   -0.093,   -0.102,    0.045
   -0.094,   -0.103,    0.020
   -0.095,   -0.105,   -0.002
   -0.094,   -0.109,   -0.006
   -0.093,   -0.110,    0.008
   -0.091,   -0.111,    0.029
   -0.090,   -0.110,    0.037
   -0.086,   -0.106,    0.027
   -0.078,   -0.100,    0.008
   -0.063,   -0.093,   -0.002
   -0.042,   -0.084,    0.005
   -0.018,   -0.074,    0.023
    0.006,   -0.062,    0.031
    0.027,   -0.046,    0.018
    0.048,   -0.029,   -0.002
    0.071,   -0.012,   -0.009
    0.092,    0.002,    0.010
    0.109,    0.015,    0.049
    0.118,    0.029,    0.087
    0.116,    0.047,    0.103
    0.104,    0.070,    0.092
    0.085,    0.091,    0.065
    0.063,    0.107,    0.040
    0.037,    0.111,    0.029
    0.011,    0.104,    0.031
   -0.019,    0.091,    0.036
   -0.048,    0.076,    0.030
   -0.068,    0.060,    0.007
   -0.078,    0.041,   -0.031
   -0.077,    0.018,   -0.078
   -0.069,   -0.008,   -0.122
   -0.058,   -0.033,   -0.153
   -0.049,   -0.052,   -0.164
   -0.039,   -0.062,   -0.153
   -0.028,   -0.066,   -0.128
   -0.016,   -0.066,   -0.102
   -0.006,   -0.065,   -0.086
    0.000,   -0.062,   -0.080
    0.004,   -0.058,   -0.084
    0.002,   -0.052,   -0.096
   -0.001,   -0.043,   -0.113
   -0.004,   -0.032,   -0.128
   -0.007,   -0.020,   -0.120
   -0.004,   -0.009,   -0.079
    0.004,    0.001,   -0.016
    0.017,    0.007,    0.041
    0.035,    0.012,    0.064
    0.054,    0.016,    0.055
    0.075,    0.020,    0.037
    0.097,    0.025,    0.041
    0.118,    0.031,    0.075
    0.134,    0.041,    0.126
    0.141,    0.055,    0.168
    0.139,    0.071,    0.186
    0.131,    0.088,    0.174
    0.121,    0.102,    0.137
    0.113,    0.112,    0.091
    0.105,    0.117,    0.043
    0.096,    0.115,    0.002
    0.084,    0.111,   -0.031
    0.066,    0.105,   -0.054
    0.046,    0.098,   -0.061
    0.027,    0.089,   -0.055
    0.012,    0.076,   -0.050
    0.000,    0.060,   -0.062
   -0.008,    0.046,   -0.091
   -0.013,    0.036,   -0.121
   -0.018,    0.029,   -0.132
   -0.025,    0.020,   -0.121
   -0.040,    0.008,   -0.110
   -0.064,   -0.006,   -0.116
   -0.098,   -0.020,   -0.133
   -0.132,   -0.032,   -0.136
   -0.160,   -0.043,   -0.111
   -0.175,   -0.055,   -0.064
   -0.180,   -0.068,   -0.015
   -0.177,   -0.083,    0.029
   -0.168,   -0.096,    0.073
   -0.153,   -0.106,    0.119
   -0.130,   -0.112,    0.155
   -0.100,   -0.117,    0.162
   -0.064,   -0.117,    0.135
   -0.024,   -0.112,    0.094
    0.019,   -0.101,    0.064
    0.064,   -0.084,    0.061
    0.105,   -0.061,    0.077
    0.137,   -0.035,    0.090
    0.156,   -0.005,    0.086
    0.161,    0.028,    0.065
    0.155,    0.063,    0.036
    0.144,    0.098,    0.007
    0.130,    0.128,   -0.016
    0.112,    0.149,   -0.039
    0.090,    0.162,   -0.066
    0.062,    0.167,   -0.091
    0.030,    0.162,   -0.108
   -0.002,    0.145,   -0.111
   -0.031,    0.116,   -0.107
   -0.057,    0.078,   -0.106
   -0.080,    0.036,   -0.104
   -0.101,   -0.005,   -0.089
   -0.115,   -0.044,   -0.051
   -0.122,   -0.081,   -0.002
   -0.125,   -0.114,    0.035
