SITE CODE= “ì’m‘½’¬–L•l
LAT=  34.7151
LON= 136.9291
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
    0.194,   -0.068,    0.014
    0.178,   -0.046,    0.040
    0.164,   -0.027,    0.064
    0.156,   -0.002,    0.090
    0.145,    0.028,    0.108
    0.126,    0.061,    0.125
    0.098,    0.097,    0.137
    0.071,    0.140,    0.148
    0.055,    0.190,    0.158
    0.037,    0.227,    0.159
    0.026,    0.256,    0.160
    0.029,    0.278,    0.152
    0.034,    0.291,    0.141
    0.052,    0.301,    0.122
    0.061,    0.294,    0.095
    0.073,    0.284,    0.069
    0.081,    0.266,    0.038
    0.065,    0.251,    0.005
    0.043,    0.246,   -0.033
    0.004,    0.235,   -0.063
   -0.023,    0.218,   -0.093
   -0.049,    0.186,   -0.124
   -0.086,    0.144,   -0.141
   -0.109,    0.096,   -0.153
   -0.141,    0.041,   -0.159
   -0.169,   -0.020,   -0.159
   -0.192,   -0.066,   -0.149
   -0.217,   -0.091,   -0.132
   -0.238,   -0.118,   -0.114
   -0.267,   -0.119,   -0.086
   -0.294,   -0.103,   -0.063
   -0.322,   -0.088,   -0.040
   -0.343,   -0.061,   -0.012
   -0.363,   -0.030,    0.009
   -0.384,    0.025,    0.032
   -0.396,    0.077,    0.053
   -0.410,    0.111,    0.076
   -0.420,    0.147,    0.100
   -0.429,    0.168,    0.112
   -0.413,    0.201,    0.120
   -0.381,    0.226,    0.122
   -0.351,    0.245,    0.121
   -0.309,    0.277,    0.114
   -0.262,    0.304,    0.109
   -0.206,    0.326,    0.105
   -0.164,    0.333,    0.097
   -0.128,    0.344,    0.094
   -0.091,    0.350,    0.090
   -0.067,    0.354,    0.084
   -0.041,    0.362,    0.078
   -0.025,    0.352,    0.073
   -0.007,    0.357,    0.073
    0.009,    0.371,    0.070
    0.014,    0.382,    0.064
    0.025,    0.396,    0.059
    0.021,    0.398,    0.045
    0.022,    0.398,    0.022
    0.039,    0.388,   -0.004
    0.051,    0.370,   -0.034
    0.063,    0.351,   -0.061
    0.071,    0.315,   -0.089
    0.070,    0.266,   -0.119
    0.056,    0.209,   -0.146
    0.038,    0.147,   -0.175
    0.016,    0.073,   -0.205
   -0.009,    0.011,   -0.232
   -0.026,   -0.021,   -0.251
   -0.027,   -0.045,   -0.260
   -0.011,   -0.065,   -0.266
    0.010,   -0.087,   -0.268
    0.041,   -0.102,   -0.260
    0.080,   -0.111,   -0.250
    0.117,   -0.109,   -0.240
    0.136,   -0.090,   -0.225
    0.145,   -0.059,   -0.210
    0.157,   -0.024,   -0.193
    0.161,    0.018,   -0.177
    0.159,    0.075,   -0.165
    0.161,    0.128,   -0.154
    0.158,    0.175,   -0.141
    0.153,    0.209,   -0.123
    0.152,    0.232,   -0.100
    0.149,    0.249,   -0.078
    0.150,    0.255,   -0.061
    0.150,    0.249,   -0.038
    0.136,    0.234,   -0.011
    0.111,    0.210,    0.013
    0.085,    0.180,    0.041
    0.045,    0.156,    0.067
   -0.004,    0.135,    0.087
   -0.037,    0.120,    0.102
   -0.066,    0.107,    0.110
   -0.091,    0.103,    0.111
   -0.107,    0.104,    0.106
   -0.122,    0.102,    0.098
   -0.141,    0.102,    0.083
   -0.159,    0.099,    0.066
   -0.182,    0.094,    0.050
   -0.212,    0.084,    0.033
   -0.237,    0.071,    0.011
   -0.258,    0.059,   -0.007
   -0.271,    0.046,   -0.021
   -0.279,    0.042,   -0.037
   -0.287,    0.048,   -0.048
   -0.289,    0.054,   -0.058
   -0.278,    0.064,   -0.069
   -0.259,    0.060,   -0.080
   -0.241,    0.051,   -0.092
   -0.215,    0.047,   -0.105
   -0.182,    0.034,   -0.116
   -0.142,    0.017,   -0.128
   -0.089,   -0.005,   -0.139
   -0.025,   -0.030,   -0.148
    0.044,   -0.057,   -0.160
    0.104,   -0.079,   -0.171
    0.152,   -0.103,   -0.174
    0.184,   -0.128,   -0.168
    0.204,   -0.144,   -0.161
    0.221,   -0.157,   -0.148
    0.225,   -0.172,   -0.135
    0.227,   -0.178,   -0.121
    0.229,   -0.180,   -0.097
    0.227,   -0.183,   -0.078
    0.224,   -0.179,   -0.050
    0.227,   -0.177,   -0.014
    0.238,   -0.166,    0.015
    0.248,   -0.152,    0.043
    0.251,   -0.137,    0.073
    0.256,   -0.128,    0.100
    0.265,   -0.119,    0.124
    0.273,   -0.108,    0.136
    0.271,   -0.102,    0.142
    0.261,   -0.092,    0.151
    0.251,   -0.076,    0.151
    0.244,   -0.054,    0.156
