SITE CODE= êºîˆésàÍêFí¨
LAT=  34.8123
LON= 137.0298
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 10
NS, EW, UD
    0.025,   -0.032,    0.134
    0.073,   -0.010,    0.125
    0.102,    0.039,    0.099
    0.093,    0.091,    0.058
    0.045,    0.124,    0.001
   -0.020,    0.132,   -0.057
   -0.071,    0.124,   -0.099
   -0.093,    0.112,   -0.109
   -0.088,    0.105,   -0.093
   -0.067,    0.111,   -0.068
   -0.038,    0.130,   -0.053
   -0.005,    0.163,   -0.048
    0.032,    0.200,   -0.049
    0.074,    0.233,   -0.050
    0.114,    0.256,   -0.050
    0.145,    0.269,   -0.054
    0.160,    0.275,   -0.058
    0.162,    0.276,   -0.062
    0.159,    0.271,   -0.068
    0.161,    0.261,   -0.077
    0.168,    0.245,   -0.087
    0.169,    0.225,   -0.091
    0.154,    0.201,   -0.080
    0.125,    0.175,   -0.058
    0.095,    0.152,   -0.032
    0.081,    0.141,   -0.004
    0.085,    0.143,    0.023
    0.099,    0.156,    0.044
    0.110,    0.168,    0.047
    0.113,    0.177,    0.030
    0.110,    0.184,   -0.000
    0.103,    0.194,   -0.023
    0.095,    0.209,   -0.020
    0.087,    0.220,    0.009
    0.084,    0.216,    0.048
    0.088,    0.191,    0.079
    0.093,    0.145,    0.091
    0.085,    0.087,    0.086
    0.057,    0.033,    0.071
    0.014,    0.001,    0.055
   -0.023,    0.003,    0.046
   -0.032,    0.038,    0.043
   -0.006,    0.093,    0.039
    0.042,    0.143,    0.028
    0.087,    0.173,    0.012
    0.112,    0.175,   -0.002
    0.122,    0.159,   -0.004
    0.132,    0.137,    0.009
    0.157,    0.115,    0.030
    0.195,    0.096,    0.052
    0.226,    0.082,    0.066
    0.224,    0.079,    0.069
    0.175,    0.087,    0.060
    0.091,    0.099,    0.050
   -0.004,    0.100,    0.058
   -0.080,    0.077,    0.099
   -0.123,    0.034,    0.170
   -0.136,   -0.014,    0.241
   -0.132,   -0.051,    0.279
   -0.128,   -0.073,    0.269
   -0.132,   -0.087,    0.229
   -0.140,   -0.100,    0.188
   -0.136,   -0.110,    0.162
   -0.109,   -0.108,    0.147
   -0.057,   -0.089,    0.123
   -0.000,   -0.062,    0.087
    0.037,   -0.036,    0.050
    0.042,   -0.022,    0.029
    0.022,   -0.021,    0.030
   -0.002,   -0.030,    0.051
   -0.010,   -0.043,    0.082
   -0.001,   -0.056,    0.109
    0.010,   -0.064,    0.121
    0.005,   -0.063,    0.111
   -0.018,   -0.051,    0.080
   -0.046,   -0.034,    0.044
   -0.061,   -0.024,    0.017
   -0.050,   -0.027,    0.004
   -0.019,   -0.039,   -0.003
    0.016,   -0.045,   -0.015
    0.035,   -0.037,   -0.033
    0.028,   -0.018,   -0.052
   -0.000,   -0.003,   -0.069
   -0.034,   -0.006,   -0.086
   -0.060,   -0.037,   -0.105
   -0.073,   -0.096,   -0.115
   -0.086,   -0.170,   -0.099
   -0.108,   -0.240,   -0.052
   -0.139,   -0.285,    0.007
   -0.162,   -0.296,    0.053
   -0.167,   -0.276,    0.074
   -0.158,   -0.243,    0.079
   -0.151,   -0.216,    0.080
   -0.158,   -0.202,    0.072
   -0.171,   -0.196,    0.040
   -0.172,   -0.189,   -0.019
   -0.150,   -0.177,   -0.088
   -0.112,   -0.162,   -0.141
   -0.076,   -0.155,   -0.167
   -0.053,   -0.160,   -0.175
   -0.038,   -0.178,   -0.181
   -0.026,   -0.209,   -0.189
   -0.016,   -0.246,   -0.195
   -0.011,   -0.282,   -0.191
   -0.011,   -0.304,   -0.182
   -0.009,   -0.307,   -0.173
    0.000,   -0.291,   -0.168
    0.017,   -0.262,   -0.164
    0.030,   -0.227,   -0.158
    0.032,   -0.193,   -0.149
    0.023,   -0.164,   -0.140
    0.006,   -0.146,   -0.130
   -0.016,   -0.141,   -0.117
   -0.045,   -0.149,   -0.103
   -0.080,   -0.162,   -0.089
   -0.118,   -0.172,   -0.072
   -0.150,   -0.174,   -0.044
   -0.169,   -0.168,    0.000
   -0.166,   -0.156,    0.054
   -0.142,   -0.142,    0.102
   -0.102,   -0.127,    0.133
   -0.059,   -0.111,    0.144
   -0.027,   -0.096,    0.142
   -0.014,   -0.087,    0.140
   -0.018,   -0.087,    0.142
   -0.023,   -0.101,    0.150
   -0.014,   -0.122,    0.162
    0.009,   -0.137,    0.175
    0.036,   -0.130,    0.183
    0.049,   -0.094,    0.181
    0.038,   -0.041,    0.170
    0.010,    0.009,    0.158
   -0.017,    0.039,    0.157
   -0.031,    0.045,    0.170
   -0.029,    0.042,    0.189
   -0.024,    0.045,    0.202
   -0.028,    0.066,    0.201
   -0.043,    0.101,    0.189
   -0.065,    0.142,    0.168
   -0.080,    0.182,    0.136
   -0.083,    0.220,    0.091
   -0.071,    0.259,    0.036
   -0.050,    0.298,   -0.019
   -0.028,    0.325,   -0.055
   -0.011,    0.331,   -0.065
   -0.002,    0.315,   -0.053
    0.003,    0.283,   -0.033
    0.017,    0.250,   -0.020
    0.046,    0.222,   -0.017
    0.089,    0.201,   -0.022
    0.130,    0.183,   -0.029
    0.153,    0.166,   -0.036
    0.148,    0.155,   -0.041
    0.122,    0.154,   -0.048
    0.092,    0.165,   -0.060
    0.075,    0.176,   -0.082
    0.078,    0.172,   -0.111
    0.096,    0.143,   -0.135
    0.117,    0.092,   -0.143
    0.128,    0.038,   -0.129
    0.129,    0.003,   -0.102
    0.124,   -0.009,   -0.075
    0.120,   -0.008,   -0.055
    0.115,   -0.011,   -0.040
    0.097,   -0.020,   -0.025
    0.061,   -0.026,   -0.014
    0.009,   -0.021,   -0.013
   -0.036,   -0.004,   -0.025
   -0.055,    0.011,   -0.044
   -0.043,    0.018,   -0.056
   -0.014,    0.020,   -0.056
    0.012,    0.027,   -0.047
    0.024,    0.041,   -0.038
    0.028,    0.049,   -0.036
    0.029,    0.037,   -0.042
    0.032,    0.002,   -0.055
    0.031,   -0.043,   -0.077
