SITE CODE= êVèÈésèÊñ{
LAT=  34.9309
LON= 137.5742
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
    0.084,   -0.141,   -0.111
    0.143,   -0.149,   -0.086
    0.210,   -0.157,   -0.067
    0.280,   -0.148,   -0.049
    0.345,   -0.115,   -0.032
    0.390,   -0.062,   -0.015
    0.399,   -0.002,   -0.004
    0.366,    0.057,    0.001
    0.300,    0.106,    0.002
    0.224,    0.144,    0.004
    0.164,    0.175,    0.004
    0.138,    0.200,    0.004
    0.143,    0.219,    0.006
    0.168,    0.227,    0.016
    0.197,    0.221,    0.034
    0.228,    0.204,    0.055
    0.262,    0.180,    0.071
    0.302,    0.157,    0.076
    0.343,    0.136,    0.075
    0.373,    0.111,    0.071
    0.385,    0.068,    0.063
    0.375,    0.001,    0.050
    0.343,   -0.083,    0.035
    0.296,   -0.159,    0.024
    0.243,   -0.201,    0.023
    0.200,   -0.193,    0.032
    0.175,   -0.143,    0.043
    0.173,   -0.079,    0.055
    0.187,   -0.031,    0.066
    0.203,   -0.016,    0.082
    0.206,   -0.034,    0.105
    0.195,   -0.070,    0.133
    0.184,   -0.109,    0.161
    0.187,   -0.138,    0.182
    0.215,   -0.159,    0.194
    0.267,   -0.182,    0.197
    0.331,   -0.218,    0.196
    0.389,   -0.269,    0.193
    0.428,   -0.333,    0.189
    0.437,   -0.394,    0.179
    0.417,   -0.437,    0.158
    0.376,   -0.456,    0.125
    0.333,   -0.456,    0.088
    0.305,   -0.451,    0.052
    0.300,   -0.448,    0.023
    0.314,   -0.445,    0.001
    0.329,   -0.430,   -0.015
    0.334,   -0.389,   -0.023
    0.326,   -0.325,   -0.015
    0.319,   -0.250,    0.007
    0.329,   -0.180,    0.043
    0.361,   -0.129,    0.086
    0.405,   -0.102,    0.130
    0.445,   -0.087,    0.174
    0.463,   -0.076,    0.216
    0.459,   -0.057,    0.253
    0.440,   -0.032,    0.284
    0.412,   -0.011,    0.303
    0.380,    0.001,    0.309
    0.342,    0.007,    0.299
    0.297,    0.024,    0.272
    0.246,    0.068,    0.238
    0.198,    0.138,    0.211
    0.157,    0.208,    0.205
    0.123,    0.252,    0.220
    0.089,    0.260,    0.243
    0.052,    0.247,    0.256
    0.014,    0.240,    0.250
   -0.016,    0.248,    0.234
   -0.032,    0.256,    0.220
   -0.038,    0.229,    0.216
   -0.045,    0.153,    0.221
   -0.065,    0.047,    0.225
   -0.101,   -0.045,    0.227
   -0.139,   -0.084,    0.230
   -0.162,   -0.064,    0.236
   -0.159,   -0.015,    0.243
   -0.134,    0.016,    0.248
   -0.100,    0.005,    0.249
   -0.068,   -0.040,    0.248
   -0.043,   -0.088,    0.249
   -0.024,   -0.109,    0.252
   -0.010,   -0.096,    0.255
   -0.003,   -0.063,    0.257
   -0.004,   -0.033,    0.261
   -0.012,   -0.023,    0.268
   -0.020,   -0.030,    0.275
   -0.021,   -0.041,    0.275
   -0.014,   -0.042,    0.261
   -0.005,   -0.031,    0.239
    0.002,   -0.016,    0.215
    0.005,   -0.008,    0.198
    0.012,   -0.014,    0.193
    0.037,   -0.023,    0.195
    0.088,   -0.019,    0.198
    0.163,    0.007,    0.198
    0.243,    0.047,    0.200
    0.304,    0.073,    0.207
    0.330,    0.070,    0.225
    0.325,    0.039,    0.254
    0.309,    0.008,    0.290
    0.303,    0.006,    0.328
    0.313,    0.043,    0.360
    0.325,    0.098,    0.378
    0.314,    0.139,    0.376
    0.270,    0.141,    0.352
    0.202,    0.109,    0.316
    0.134,    0.068,    0.278
    0.086,    0.050,    0.241
    0.062,    0.066,    0.205
    0.048,    0.101,    0.167
    0.027,    0.124,    0.127
   -0.016,    0.105,    0.086
   -0.072,    0.037,    0.043
   -0.127,   -0.052,   -0.004
   -0.156,   -0.117,   -0.055
   -0.149,   -0.125,   -0.109
   -0.108,   -0.079,   -0.155
   -0.051,   -0.014,   -0.192
   -0.007,    0.022,   -0.220
    0.008,    0.005,   -0.242
   -0.005,   -0.057,   -0.260
   -0.024,   -0.130,   -0.274
   -0.022,   -0.183,   -0.286
    0.015,   -0.200,   -0.298
    0.075,   -0.185,   -0.309
    0.130,   -0.160,   -0.316
    0.155,   -0.148,   -0.316
    0.138,   -0.163,   -0.308
    0.091,   -0.205,   -0.298
    0.040,   -0.246,   -0.287
    0.008,   -0.254,   -0.277
