SITE CODE= ëÂí√ésìÏè¨èº
LAT=  35.2360
LON= 135.9558
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 20
NS, EW, UD
   -0.072,   -0.132,    0.059
   -0.063,   -0.119,    0.046
   -0.052,   -0.098,    0.035
   -0.050,   -0.073,    0.024
   -0.048,   -0.043,    0.012
   -0.052,   -0.006,   -0.002
   -0.060,    0.043,   -0.018
   -0.069,    0.096,   -0.036
   -0.084,    0.152,   -0.054
   -0.094,    0.207,   -0.071
   -0.101,    0.259,   -0.089
   -0.109,    0.298,   -0.102
   -0.108,    0.328,   -0.120
   -0.098,    0.344,   -0.134
   -0.081,    0.339,   -0.141
   -0.052,    0.323,   -0.150
   -0.023,    0.289,   -0.151
    0.009,    0.243,   -0.148
    0.049,    0.191,   -0.142
    0.086,    0.133,   -0.134
    0.120,    0.071,   -0.131
    0.151,    0.009,   -0.126
    0.180,   -0.051,   -0.122
    0.200,   -0.105,   -0.115
    0.210,   -0.160,   -0.104
    0.210,   -0.212,   -0.090
    0.200,   -0.255,   -0.072
    0.193,   -0.289,   -0.052
    0.184,   -0.315,   -0.029
    0.173,   -0.331,   -0.007
    0.161,   -0.334,    0.011
    0.153,   -0.334,    0.025
    0.141,   -0.331,    0.037
    0.122,   -0.319,    0.049
    0.107,   -0.303,    0.062
    0.091,   -0.288,    0.077
    0.083,   -0.267,    0.089
    0.078,   -0.242,    0.104
    0.068,   -0.219,    0.119
    0.054,   -0.191,    0.130
    0.034,   -0.167,    0.139
    0.012,   -0.144,    0.141
   -0.011,   -0.119,    0.140
   -0.028,   -0.100,    0.134
   -0.040,   -0.086,    0.126
   -0.055,   -0.075,    0.118
   -0.073,   -0.077,    0.107
   -0.102,   -0.087,    0.094
   -0.136,   -0.104,    0.080
   -0.172,   -0.133,    0.066
   -0.211,   -0.169,    0.052
   -0.240,   -0.203,    0.036
   -0.266,   -0.241,    0.017
   -0.284,   -0.280,   -0.000
   -0.292,   -0.314,   -0.014
   -0.292,   -0.347,   -0.030
   -0.281,   -0.378,   -0.039
   -0.268,   -0.404,   -0.044
   -0.245,   -0.419,   -0.045
   -0.214,   -0.420,   -0.039
   -0.185,   -0.410,   -0.029
   -0.158,   -0.392,   -0.014
   -0.140,   -0.364,    0.004
   -0.125,   -0.328,    0.024
   -0.117,   -0.290,    0.044
   -0.120,   -0.252,    0.065
   -0.119,   -0.218,    0.088
   -0.114,   -0.184,    0.109
   -0.107,   -0.152,    0.132
   -0.099,   -0.129,    0.154
   -0.086,   -0.108,    0.175
   -0.077,   -0.090,    0.196
   -0.067,   -0.066,    0.211
   -0.055,   -0.036,    0.223
   -0.041,    0.001,    0.232
   -0.020,    0.043,    0.236
    0.002,    0.088,    0.239
    0.026,    0.139,    0.241
    0.049,    0.187,    0.239
    0.071,    0.232,    0.234
    0.090,    0.269,    0.227
    0.103,    0.294,    0.214
    0.123,    0.308,    0.198
    0.141,    0.312,    0.184
    0.164,    0.311,    0.168
    0.189,    0.304,    0.155
    0.217,    0.301,    0.146
    0.246,    0.301,    0.137
    0.273,    0.301,    0.136
    0.300,    0.308,    0.134
    0.319,    0.310,    0.130
    0.330,    0.310,    0.127
    0.328,    0.305,    0.121
    0.310,    0.298,    0.114
    0.277,    0.289,    0.106
    0.233,    0.279,    0.099
    0.184,    0.276,    0.091
    0.123,    0.276,    0.081
    0.054,    0.277,    0.069
   -0.014,    0.287,    0.055
   -0.082,    0.305,    0.043
   -0.146,    0.324,    0.031
   -0.204,    0.349,    0.017
   -0.255,    0.373,    0.005
   -0.298,    0.394,   -0.007
   -0.328,    0.417,   -0.021
   -0.347,    0.430,   -0.033
   -0.352,    0.436,   -0.044
   -0.350,    0.439,   -0.054
   -0.339,    0.436,   -0.063
   -0.321,    0.430,   -0.074
   -0.297,    0.423,   -0.086
   -0.267,    0.408,   -0.098
   -0.239,    0.389,   -0.107
   -0.210,    0.372,   -0.114
   -0.180,    0.357,   -0.125
   -0.158,    0.341,   -0.134
   -0.145,    0.327,   -0.141
   -0.137,    0.317,   -0.148
   -0.132,    0.307,   -0.148
   -0.131,    0.301,   -0.150
   -0.132,    0.293,   -0.150
   -0.135,    0.285,   -0.147
   -0.139,    0.278,   -0.145
   -0.139,    0.275,   -0.141
   -0.141,    0.272,   -0.136
   -0.150,    0.273,   -0.132
   -0.154,    0.276,   -0.130
   -0.157,    0.282,   -0.132
   -0.162,    0.287,   -0.133
   -0.165,    0.294,   -0.127
   -0.166,    0.302,   -0.120
   -0.169,    0.307,   -0.112
