SITE CODE= çbâÍésêÖå˚í¨
LAT=  34.9657
LON= 136.1659
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
   -0.099,    0.326,    0.107
   -0.070,    0.330,    0.077
   -0.039,    0.334,    0.050
   -0.005,    0.339,    0.026
    0.032,    0.342,    0.007
    0.071,    0.343,   -0.004
    0.108,    0.340,   -0.005
    0.141,    0.331,   -0.002
    0.170,    0.314,    0.004
    0.196,    0.289,    0.007
    0.222,    0.254,    0.010
    0.244,    0.211,    0.018
    0.264,    0.161,    0.031
    0.278,    0.104,    0.045
    0.290,    0.041,    0.055
    0.300,   -0.029,    0.059
    0.307,   -0.103,    0.059
    0.310,   -0.176,    0.059
    0.309,   -0.246,    0.057
    0.305,   -0.307,    0.054
    0.303,   -0.360,    0.050
    0.301,   -0.403,    0.047
    0.296,   -0.438,    0.048
    0.288,   -0.464,    0.051
    0.275,   -0.485,    0.054
    0.259,   -0.498,    0.057
    0.243,   -0.508,    0.060
    0.228,   -0.514,    0.066
    0.216,   -0.517,    0.073
    0.204,   -0.519,    0.078
    0.194,   -0.523,    0.078
    0.188,   -0.528,    0.072
    0.186,   -0.533,    0.064
    0.189,   -0.539,    0.055
    0.193,   -0.541,    0.044
    0.198,   -0.539,    0.028
    0.199,   -0.531,    0.008
    0.199,   -0.519,   -0.014
    0.196,   -0.500,   -0.035
    0.191,   -0.475,   -0.051
    0.180,   -0.446,   -0.065
    0.165,   -0.411,   -0.079
    0.144,   -0.372,   -0.097
    0.120,   -0.329,   -0.119
    0.093,   -0.285,   -0.144
    0.061,   -0.243,   -0.173
    0.027,   -0.202,   -0.204
   -0.006,   -0.167,   -0.233
   -0.036,   -0.133,   -0.258
   -0.061,   -0.102,   -0.275
   -0.082,   -0.071,   -0.287
   -0.103,   -0.042,   -0.295
   -0.123,   -0.016,   -0.300
   -0.143,    0.007,   -0.301
   -0.161,    0.028,   -0.293
   -0.177,    0.049,   -0.278
   -0.193,    0.068,   -0.258
   -0.214,    0.085,   -0.239
   -0.237,    0.099,   -0.223
   -0.257,    0.112,   -0.204
   -0.271,    0.123,   -0.178
   -0.280,    0.132,   -0.146
   -0.283,    0.137,   -0.116
   -0.284,    0.140,   -0.093
   -0.279,    0.142,   -0.078
   -0.266,    0.146,   -0.062
   -0.246,    0.155,   -0.039
   -0.219,    0.168,   -0.007
   -0.189,    0.182,    0.029
   -0.161,    0.197,    0.066
   -0.133,    0.212,    0.102
   -0.109,    0.225,    0.141
   -0.089,    0.237,    0.180
   -0.073,    0.244,    0.218
   -0.059,    0.248,    0.252
   -0.043,    0.248,    0.284
   -0.024,    0.242,    0.315
   -0.002,    0.233,    0.341
    0.021,    0.221,    0.355
    0.041,    0.204,    0.355
    0.058,    0.187,    0.350
    0.070,    0.169,    0.347
    0.076,    0.152,    0.348
    0.079,    0.136,    0.347
    0.081,    0.123,    0.339
    0.084,    0.114,    0.326
    0.089,    0.108,    0.313
    0.098,    0.105,    0.305
    0.113,    0.104,    0.302
    0.134,    0.104,    0.298
    0.159,    0.104,    0.292
    0.186,    0.105,    0.284
    0.213,    0.104,    0.275
    0.237,    0.103,    0.265
    0.258,    0.100,    0.254
    0.275,    0.096,    0.237
    0.286,    0.088,    0.214
    0.293,    0.077,    0.184
    0.295,    0.064,    0.149
    0.296,    0.050,    0.109
    0.296,    0.034,    0.069
    0.294,    0.019,    0.030
    0.288,    0.005,   -0.006
    0.276,   -0.007,   -0.036
    0.259,   -0.019,   -0.062
    0.234,   -0.027,   -0.084
    0.203,   -0.032,   -0.102
    0.167,   -0.035,   -0.116
    0.128,   -0.034,   -0.126
    0.089,   -0.030,   -0.130
    0.050,   -0.024,   -0.130
    0.009,   -0.016,   -0.128
   -0.032,   -0.007,   -0.122
   -0.070,    0.004,   -0.112
   -0.102,    0.016,   -0.098
   -0.124,    0.024,   -0.083
   -0.140,    0.028,   -0.067
   -0.150,    0.025,   -0.051
   -0.155,    0.018,   -0.033
   -0.155,    0.007,   -0.012
   -0.149,   -0.005,    0.009
   -0.139,   -0.018,    0.027
   -0.128,   -0.030,    0.041
   -0.118,   -0.043,    0.050
   -0.111,   -0.057,    0.055
   -0.106,   -0.074,    0.056
   -0.103,   -0.093,    0.054
   -0.104,   -0.111,    0.048
   -0.107,   -0.129,    0.039
   -0.111,   -0.144,    0.028
   -0.112,   -0.156,    0.015
   -0.110,   -0.162,    0.000
   -0.105,   -0.164,   -0.014
   -0.098,   -0.159,   -0.025
   -0.089,   -0.153,   -0.033
   -0.080,   -0.143,   -0.040
   -0.068,   -0.132,   -0.049
   -0.055,   -0.119,   -0.062
   -0.045,   -0.106,   -0.077
   -0.037,   -0.093,   -0.089
   -0.031,   -0.081,   -0.101
   -0.028,   -0.071,   -0.112
   -0.025,   -0.063,   -0.127
   -0.027,   -0.056,   -0.144
   -0.030,   -0.051,   -0.159
   -0.038,   -0.048,   -0.169
   -0.046,   -0.050,   -0.176
   -0.055,   -0.053,   -0.185
   -0.062,   -0.057,   -0.197
   -0.066,   -0.061,   -0.210
   -0.067,   -0.062,   -0.219
   -0.065,   -0.062,   -0.220
   -0.060,   -0.060,   -0.218
   -0.056,   -0.054,   -0.218
   -0.053,   -0.045,   -0.222
   -0.050,   -0.031,   -0.227
   -0.047,   -0.013,   -0.229
   -0.045,    0.010,   -0.227
   -0.042,    0.036,   -0.225
   -0.039,    0.064,   -0.222
   -0.036,    0.091,   -0.216
   -0.032,    0.116,   -0.205
   -0.030,    0.137,   -0.189
   -0.028,    0.153,   -0.172
   -0.023,    0.168,   -0.155
   -0.016,    0.182,   -0.135
   -0.004,    0.196,   -0.107
    0.010,    0.211,   -0.071
    0.026,    0.223,   -0.036
    0.043,    0.233,   -0.005
    0.060,    0.237,    0.020
    0.078,    0.237,    0.046
    0.095,    0.229,    0.075
    0.107,    0.214,    0.105
    0.114,    0.191,    0.132
    0.116,    0.165,    0.156
    0.114,    0.136,    0.179
    0.111,    0.108,    0.203
    0.109,    0.082,    0.227
    0.103,    0.059,    0.246
    0.097,    0.039,    0.260
    0.089,    0.024,    0.269
    0.082,    0.010,    0.275
    0.076,   -0.004,    0.280
    0.076,   -0.021,    0.281
    0.081,   -0.041,    0.275
    0.090,   -0.064,    0.263
    0.102,   -0.092,    0.243
    0.113,   -0.123,    0.218
    0.121,   -0.158,    0.188
    0.125,   -0.195,    0.154
    0.123,   -0.229,    0.115
    0.113,   -0.258,    0.075
    0.095,   -0.278,    0.036
    0.066,   -0.289,    0.004
    0.030,   -0.289,   -0.023
   -0.009,   -0.280,   -0.045
   -0.050,   -0.262,   -0.067
   -0.089,   -0.237,   -0.085
   -0.130,   -0.214,   -0.100
   -0.172,   -0.193,   -0.114
   -0.213,   -0.176,   -0.126
   -0.251,   -0.159,   -0.139
   -0.283,   -0.144,   -0.151
   -0.305,   -0.128,   -0.164
   -0.318,   -0.111,   -0.176
   -0.323,   -0.092,   -0.189
   -0.321,   -0.069,   -0.202
   -0.312,   -0.041,   -0.212
   -0.296,   -0.009,   -0.216
   -0.276,    0.024,   -0.215
   -0.251,    0.061,   -0.210
   -0.222,    0.099,   -0.200
   -0.194,    0.136,   -0.186
   -0.168,    0.170,   -0.168
   -0.144,    0.198,   -0.146
   -0.123,    0.218,   -0.123
   -0.104,    0.233,   -0.102
   -0.086,    0.244,   -0.086
   -0.069,    0.252,   -0.073
   -0.056,    0.257,   -0.064
   -0.049,    0.260,   -0.055
   -0.050,    0.258,   -0.045
   -0.057,    0.253,   -0.035
   -0.072,    0.244,   -0.027
   -0.092,    0.234,   -0.024
   -0.116,    0.222,   -0.019
   -0.140,    0.208,   -0.009
   -0.162,    0.191,    0.011
   -0.181,    0.171,    0.036
   -0.197,    0.150,    0.057
   -0.212,    0.129,    0.072
   -0.224,    0.111,    0.083
   -0.232,    0.097,    0.093
   -0.237,    0.089,    0.107
   -0.237,    0.084,    0.123
   -0.233,    0.086,    0.137
   -0.227,    0.093,    0.148
   -0.216,    0.107,    0.153
   -0.204,    0.123,    0.152
   -0.189,    0.141,    0.148
   -0.170,    0.158,    0.141
   -0.149,    0.173,    0.130
   -0.124,    0.188,    0.115
   -0.095,    0.202,    0.093
   -0.062,    0.212,    0.071
   -0.029,    0.216,    0.054
    0.006,    0.214,    0.043
    0.039,    0.208,    0.036
    0.071,    0.198,    0.028
    0.099,    0.188,    0.021
    0.124,    0.179,    0.020
    0.148,    0.169,    0.023
    0.172,    0.157,    0.030
    0.198,    0.143,    0.039
    0.225,    0.127,    0.046
    0.253,    0.106,    0.055
    0.280,    0.080,    0.067
    0.305,    0.050,    0.079
    0.329,    0.017,    0.089
    0.353,   -0.019,    0.096
    0.378,   -0.055,    0.102
    0.402,   -0.094,    0.108
    0.426,   -0.134,    0.112
    0.448,   -0.175,    0.112
    0.467,   -0.218,    0.106
    0.481,   -0.258,    0.097
    0.492,   -0.294,    0.087
    0.500,   -0.324,    0.079
    0.507,   -0.345,    0.070
    0.512,   -0.359,    0.061
    0.511,   -0.363,    0.049
    0.503,   -0.362,    0.034
    0.488,   -0.359,    0.011
    0.464,   -0.355,   -0.020
    0.437,   -0.351,   -0.058
    0.405,   -0.348,   -0.100
    0.373,   -0.340,   -0.143
    0.340,   -0.329,   -0.185
    0.307,   -0.314,   -0.226
    0.275,   -0.298,   -0.266
    0.245,   -0.282,   -0.304
    0.219,   -0.266,   -0.340
    0.198,   -0.246,   -0.367
    0.180,   -0.224,   -0.383
    0.164,   -0.201,   -0.391
    0.147,   -0.177,   -0.396
    0.125,   -0.157,   -0.403
    0.096,   -0.137,   -0.413
    0.062,   -0.114,   -0.419
    0.026,   -0.086,   -0.415
   -0.012,   -0.048,   -0.403
   -0.053,   -0.005,   -0.387
   -0.094,    0.045,   -0.371
   -0.133,    0.098,   -0.348
   -0.167,    0.157,   -0.314
   -0.193,    0.221,   -0.269
   -0.213,    0.284,   -0.220
   -0.230,    0.344,   -0.177
   -0.247,    0.395,   -0.143
   -0.264,    0.439,   -0.110
   -0.280,    0.476,   -0.071
   -0.292,    0.507,   -0.027
   -0.302,    0.531,    0.017
   -0.309,    0.547,    0.055
   -0.314,    0.553,    0.086
   -0.312,    0.551,    0.114
   -0.303,    0.540,    0.142
   -0.288,    0.520,    0.168
   -0.273,    0.492,    0.187
   -0.259,    0.455,    0.196
   -0.246,    0.414,    0.195
   -0.235,    0.369,    0.193
   -0.223,    0.322,    0.193
   -0.216,    0.273,    0.197
   -0.216,    0.219,    0.198
   -0.225,    0.162,    0.191
   -0.240,    0.104,    0.180
   -0.257,    0.050,    0.175
   -0.273,    0.004,    0.180
   -0.289,   -0.035,    0.193
   -0.305,   -0.069,    0.205
   -0.324,   -0.102,    0.212
   -0.341,   -0.134,    0.216
   -0.351,   -0.160,    0.226
   -0.354,   -0.182,    0.241
   -0.350,   -0.198,    0.257
   -0.341,   -0.212,    0.268
   -0.332,   -0.225,    0.271
   -0.323,   -0.237,    0.271
   -0.314,   -0.249,    0.268
   -0.308,   -0.260,    0.264
   -0.303,   -0.270,    0.253
   -0.302,   -0.276,    0.233
   -0.303,   -0.278,    0.208
   -0.305,   -0.273,    0.182
   -0.307,   -0.264,    0.161
   -0.309,   -0.252,    0.141
   -0.315,   -0.238,    0.118
   -0.325,   -0.222,    0.086
   -0.341,   -0.208,    0.048
   -0.362,   -0.198,    0.013
   -0.384,   -0.192,   -0.013
   -0.408,   -0.191,   -0.035
   -0.430,   -0.189,   -0.058
   -0.448,   -0.187,   -0.087
   -0.458,   -0.184,   -0.117
   -0.457,   -0.180,   -0.139
   -0.447,   -0.177,   -0.151
   -0.428,   -0.174,   -0.155
   -0.404,   -0.171,   -0.159
   -0.374,   -0.170,   -0.162
   -0.339,   -0.170,   -0.164
   -0.301,   -0.172,   -0.162
   -0.262,   -0.174,   -0.156
   -0.224,   -0.175,   -0.150
   -0.187,   -0.173,   -0.143
   -0.150,   -0.171,   -0.134
   -0.114,   -0.169,   -0.123
   -0.078,   -0.171,   -0.113
   -0.044,   -0.175,   -0.105
   -0.011,   -0.180,   -0.095
    0.020,   -0.189,   -0.082
    0.051,   -0.198,   -0.069
    0.082,   -0.207,   -0.060
    0.113,   -0.212,   -0.056
    0.146,   -0.212,   -0.054
    0.178,   -0.206,   -0.047
    0.211,   -0.197,   -0.037
    0.239,   -0.185,   -0.032
    0.265,   -0.170,   -0.030
    0.290,   -0.150,   -0.030
    0.316,   -0.125,   -0.024
    0.340,   -0.093,   -0.011
    0.362,   -0.059,    0.003
    0.378,   -0.023,    0.012
    0.391,    0.014,    0.019
    0.401,    0.051,    0.028
    0.410,    0.089,    0.038
    0.415,    0.126,    0.044
    0.416,    0.160,    0.044
    0.413,    0.190,    0.040
    0.404,    0.215,    0.038
    0.393,    0.235,    0.037
    0.379,    0.248,    0.032
    0.361,    0.255,    0.019
    0.341,    0.256,    0.000
    0.317,    0.252,   -0.020
    0.290,    0.245,   -0.039
    0.263,    0.239,   -0.060
    0.237,    0.235,   -0.080
    0.213,    0.233,   -0.094
    0.190,    0.231,   -0.099
    0.166,    0.227,   -0.100
    0.140,    0.222,   -0.103
    0.116,    0.216,   -0.110
    0.098,    0.209,   -0.119
    0.087,    0.202,   -0.124
    0.084,    0.193,   -0.127
    0.082,    0.178,   -0.134
    0.080,    0.159,   -0.152
    0.078,    0.136,   -0.181
    0.078,    0.114,   -0.210
    0.085,    0.096,   -0.229
    0.095,    0.081,   -0.234
    0.106,    0.068,   -0.229
    0.115,    0.055,   -0.220
    0.122,    0.043,   -0.214
    0.130,    0.031,   -0.209
    0.141,    0.022,   -0.205
    0.154,    0.016,   -0.196
    0.168,    0.011,   -0.181
    0.181,    0.007,   -0.162
    0.194,    0.002,   -0.144
    0.206,   -0.004,   -0.129
    0.217,   -0.012,   -0.121
    0.226,   -0.021,   -0.114
    0.233,   -0.032,   -0.104
    0.241,   -0.047,   -0.091
    0.249,   -0.062,   -0.074
    0.258,   -0.076,   -0.061
    0.264,   -0.089,   -0.055
    0.262,   -0.103,   -0.055
    0.251,   -0.118,   -0.058
    0.232,   -0.132,   -0.060
    0.209,   -0.144,   -0.059
    0.186,   -0.154,   -0.053
    0.162,   -0.162,   -0.044
    0.139,   -0.172,   -0.032
    0.118,   -0.182,   -0.020
    0.098,   -0.191,   -0.004
    0.082,   -0.200,    0.015
    0.071,   -0.205,    0.040
    0.066,   -0.207,    0.067
    0.064,   -0.206,    0.094
    0.063,   -0.201,    0.119
    0.064,   -0.194,    0.142
    0.064,   -0.185,    0.164
    0.065,   -0.175,    0.183
    0.068,   -0.161,    0.199
    0.072,   -0.147,    0.212
    0.079,   -0.132,    0.223
    0.086,   -0.117,    0.231
    0.093,   -0.101,    0.232
    0.099,   -0.084,    0.226
    0.107,   -0.064,    0.215
    0.116,   -0.043,    0.206
    0.126,   -0.021,    0.201
    0.137,    0.000,    0.198
    0.149,    0.022,    0.189
    0.164,    0.045,    0.176
    0.182,    0.067,    0.161
    0.201,    0.089,    0.145
    0.217,    0.111,    0.131
    0.229,    0.135,    0.116
    0.234,    0.159,    0.098
    0.234,    0.184,    0.078
    0.229,    0.209,    0.062
    0.220,    0.231,    0.051
    0.206,    0.248,    0.042
    0.184,    0.258,    0.034
    0.157,    0.261,    0.028
    0.124,    0.258,    0.026
    0.089,    0.251,    0.027
    0.053,    0.241,    0.030
    0.014,    0.228,    0.032
   -0.027,    0.212,    0.034
   -0.070,    0.194,    0.037
   -0.112,    0.173,    0.046
   -0.153,    0.152,    0.060
   -0.194,    0.129,    0.072
   -0.236,    0.103,    0.078
   -0.275,    0.075,    0.077
   -0.309,    0.045,    0.075
   -0.337,    0.014,    0.079
   -0.360,   -0.018,    0.092
   -0.383,   -0.048,    0.107
   -0.408,   -0.078,    0.116
   -0.434,   -0.105,    0.116
   -0.458,   -0.129,    0.113
   -0.477,   -0.148,    0.113
   -0.489,   -0.161,    0.116
   -0.492,   -0.172,    0.117
   -0.488,   -0.182,    0.109
   -0.475,   -0.192,    0.093
   -0.456,   -0.198,    0.075
   -0.428,   -0.201,    0.055
   -0.396,   -0.198,    0.035
   -0.359,   -0.190,    0.011
   -0.317,   -0.174,   -0.014
   -0.271,   -0.150,   -0.034
   -0.223,   -0.118,   -0.048
   -0.177,   -0.083,   -0.061
   -0.134,   -0.047,   -0.075
   -0.099,   -0.016,   -0.087
   -0.070,    0.009,   -0.090
   -0.046,    0.029,   -0.082
   -0.023,    0.042,   -0.067
    0.001,    0.050,   -0.052
    0.025,    0.051,   -0.042
    0.049,    0.046,   -0.034
    0.071,    0.036,   -0.023
    0.095,    0.020,   -0.009
    0.119,   -0.003,    0.005
    0.144,   -0.034,    0.017
    0.166,   -0.075,    0.024
    0.182,   -0.127,    0.026
    0.194,   -0.187,    0.023
    0.202,   -0.249,    0.016
    0.207,   -0.309,    0.003
    0.210,   -0.362,   -0.012
    0.209,   -0.407,   -0.027
    0.203,   -0.445,   -0.043
    0.194,   -0.473,   -0.059
    0.181,   -0.491,   -0.080
    0.164,   -0.500,   -0.103
    0.143,   -0.500,   -0.125
    0.117,   -0.491,   -0.144
    0.090,   -0.476,   -0.163
    0.066,   -0.453,   -0.181
    0.045,   -0.425,   -0.198
    0.031,   -0.395,   -0.212
    0.023,   -0.365,   -0.220
    0.022,   -0.338,   -0.225
    0.029,   -0.315,   -0.228
    0.044,   -0.298,   -0.230
    0.066,   -0.287,   -0.228
    0.093,   -0.278,   -0.218
    0.124,   -0.271,   -0.203
