SITE CODE= •l’†’¬“’•¦
LAT=  43.0828
LON= 145.1608
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
   -0.077,    0.078,   -0.028
    0.121,    0.133,    0.020
    0.236,    0.162,    0.040
    0.228,    0.075,    0.047
    0.146,   -0.121,    0.052
    0.078,   -0.302,    0.052
    0.101,   -0.329,    0.045
    0.221,   -0.192,    0.045
    0.364,   -0.001,    0.060
    0.415,    0.126,    0.073
    0.313,    0.172,    0.056
    0.108,    0.182,    0.008
   -0.082,    0.181,   -0.043
   -0.172,    0.140,   -0.067
   -0.159,    0.031,   -0.060
   -0.087,   -0.106,   -0.038
    0.028,   -0.194,   -0.018
    0.195,   -0.184,   -0.001
    0.387,   -0.096,    0.013
    0.509,    0.022,    0.029
    0.459,    0.142,    0.051
    0.239,    0.256,    0.084
   -0.032,    0.348,    0.122
   -0.200,    0.380,    0.139
   -0.193,    0.321,    0.117
   -0.048,    0.173,    0.074
    0.137,   -0.028,    0.055
    0.276,   -0.224,    0.091
    0.318,   -0.346,    0.159
    0.243,   -0.332,    0.205
    0.067,   -0.168,    0.195
   -0.148,    0.078,    0.147
   -0.318,    0.276,    0.106
   -0.370,    0.311,    0.101
   -0.292,    0.170,    0.121
   -0.136,   -0.051,    0.134
    0.008,   -0.229,    0.109
    0.061,   -0.298,    0.040
    0.001,   -0.270,   -0.050
   -0.127,   -0.192,   -0.118
   -0.235,   -0.101,   -0.120
   -0.256,   -0.013,   -0.053
   -0.186,    0.054,    0.038
   -0.082,    0.075,    0.087
    0.001,    0.044,    0.063
    0.048,   -0.005,   -0.002
    0.072,   -0.017,   -0.042
    0.078,    0.037,   -0.028
    0.045,    0.119,    0.000
   -0.034,    0.153,   -0.022
   -0.137,    0.089,   -0.113
   -0.218,   -0.046,   -0.200
   -0.255,   -0.165,   -0.198
   -0.255,   -0.195,   -0.092
   -0.227,   -0.133,    0.034
   -0.162,   -0.042,    0.081
   -0.058,    0.022,    0.024
    0.040,    0.062,   -0.064
    0.060,    0.117,   -0.105
   -0.035,    0.201,   -0.083
   -0.183,    0.265,   -0.038
   -0.270,    0.235,   -0.013
   -0.230,    0.098,   -0.011
   -0.111,   -0.067,   -0.020
   -0.021,   -0.156,   -0.034
   -0.021,   -0.129,   -0.058
   -0.072,   -0.038,   -0.083
   -0.094,    0.042,   -0.093
   -0.057,    0.091,   -0.089
   -0.004,    0.147,   -0.085
    0.014,    0.234,   -0.093
    0.008,    0.314,   -0.104
    0.032,    0.313,   -0.102
    0.112,    0.198,   -0.079
    0.202,    0.018,   -0.042
    0.228,   -0.133,    0.000
    0.163,   -0.195,    0.039
    0.050,   -0.173,    0.056
