SITE CODE= çLîˆí¨îíäíí 
LAT=  42.2913
LON= 143.2988
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 50
NS, EW, UD
   -0.311,    0.435,   -0.452
   -0.281,    0.099,   -0.712
   -0.226,   -0.273,   -0.485
   -0.240,   -0.410,   -0.021
   -0.322,   -0.196,    0.344
   -0.366,    0.216,    0.418
   -0.257,    0.478,    0.194
    0.019,    0.321,   -0.178
    0.342,   -0.154,   -0.446
    0.519,   -0.514,   -0.375
    0.431,   -0.390,    0.046
    0.124,    0.122,    0.528
   -0.222,    0.538,    0.687
   -0.427,    0.476,    0.397
   -0.432,    0.051,   -0.079
   -0.318,   -0.278,   -0.354
   -0.213,   -0.222,   -0.289
   -0.166,    0.073,   -0.085
   -0.113,    0.268,   -0.008
    0.037,    0.218,   -0.085
    0.259,    0.060,   -0.126
    0.393,   -0.040,    0.012
    0.288,   -0.072,    0.230
   -0.016,   -0.095,    0.302
   -0.270,   -0.091,    0.141
   -0.229,    0.003,   -0.102
    0.096,    0.127,   -0.222
    0.427,    0.122,   -0.190
    0.454,   -0.050,   -0.164
    0.122,   -0.193,   -0.276
   -0.332,   -0.064,   -0.438
   -0.614,    0.325,   -0.424
   -0.623,    0.678,   -0.125
   -0.490,    0.699,    0.293
   -0.385,    0.375,    0.536
   -0.320,   -0.038,    0.456
   -0.155,   -0.266,    0.166
    0.205,   -0.228,   -0.124
    0.656,   -0.041,   -0.310
    0.942,    0.119,   -0.416
    0.866,    0.138,   -0.454
    0.449,   -0.000,   -0.351
   -0.100,   -0.236,   -0.065
   -0.552,   -0.453,    0.287
   -0.784,   -0.524,    0.476
   -0.790,   -0.371,    0.357
   -0.601,   -0.025,    0.014
   -0.254,    0.350,   -0.299
    0.186,    0.549,   -0.330
    0.600,    0.486,    0.017
    0.846,    0.280,    0.601
    0.846,    0.150,    1.063
    0.641,    0.193,    0.997
    0.355,    0.277,    0.267
    0.102,    0.190,   -0.761
   -0.091,   -0.117,   -1.377
   -0.264,   -0.465,   -1.075
   -0.450,   -0.626,   -0.044
   -0.614,   -0.537,    0.922
   -0.665,   -0.315,    1.082
   -0.516,   -0.110,    0.381
   -0.152,    0.019,   -0.543
    0.336,    0.093,   -0.971
    0.761,    0.142,   -0.700
    0.911,    0.179,   -0.117
    0.697,    0.197,    0.263
    0.248,    0.162,    0.263
   -0.168,    0.006,    0.081
   -0.368,   -0.293,   -0.021
   -0.412,   -0.619,   -0.019
   -0.498,   -0.745,   -0.099
   -0.687,   -0.533,   -0.374
   -0.787,   -0.099,   -0.682
   -0.558,    0.239,   -0.703
   -0.030,    0.242,   -0.277
    0.462,   -0.028,    0.384
    0.589,   -0.265,    0.816
    0.362,   -0.207,    0.677
    0.096,    0.106,    0.032
    0.061,    0.381,   -0.678
    0.179,    0.361,   -0.976
    0.129,    0.066,   -0.693
   -0.282,   -0.252,   -0.067
   -0.876,   -0.379,    0.470
   -1.217,   -0.323,    0.630
   -1.009,   -0.229,    0.435
   -0.373,   -0.173,    0.134
    0.253,   -0.091,   -0.046
    0.491,    0.092,   -0.066
    0.340,    0.319,   -0.029
    0.135,    0.449,   -0.010
    0.191,    0.408,    0.039
    0.482,    0.254,    0.219
    0.683,    0.092,    0.503
    0.512,   -0.017,    0.692
    0.041,   -0.056,    0.556
   -0.359,   -0.019,    0.070
   -0.363,    0.067,   -0.502
    0.003,    0.120,   -0.763
    0.402,    0.064,   -0.492
    0.484,   -0.070,    0.153
    0.183,   -0.157,    0.729
   -0.250,   -0.108,    0.846
   -0.468,    0.041,    0.467
   -0.303,    0.199,   -0.092
    0.114,    0.343,   -0.455
    0.476,    0.504,   -0.473
    0.539,    0.650,   -0.261
    0.307,    0.660,   -0.002
   -0.011,    0.454,    0.216
   -0.208,    0.104,    0.373
   -0.251,   -0.214,    0.421
   -0.250,   -0.370,    0.288
   -0.285,   -0.345,    0.014
   -0.288,   -0.193,   -0.218
   -0.133,   -0.009,   -0.233
    0.179,    0.077,   -0.058
    0.466,   -0.031,    0.097
    0.509,   -0.266,    0.061
    0.270,   -0.383,   -0.121
   -0.061,   -0.185,   -0.251
   -0.241,    0.229,   -0.195
   -0.201,    0.534,    0.003
   -0.089,    0.518,    0.201
   -0.106,    0.310,    0.318
   -0.290,    0.191,    0.364
   -0.473,    0.239,    0.367
   -0.440,    0.246,    0.307
   -0.148,    0.030,    0.160
    0.228,   -0.295,   -0.032
    0.442,   -0.449,   -0.177
    0.370,   -0.344,   -0.196
    0.083,   -0.196,   -0.082
   -0.252,   -0.252,    0.115
   -0.490,   -0.469,    0.315
   -0.569,   -0.579,    0.414
   -0.478,   -0.415,    0.312
   -0.244,   -0.109,    0.009
    0.070,    0.084,   -0.313
    0.372,    0.078,   -0.376
    0.575,    0.001,   -0.055
    0.640,   -0.016,    0.448
    0.586,   -0.010,    0.730
    0.470,   -0.093,    0.563
    0.355,   -0.258,    0.121
    0.289,   -0.358,   -0.184
    0.273,   -0.287,   -0.135
    0.257,   -0.112,    0.076
    0.180,    0.003,    0.086
    0.046,   -0.001,   -0.207
   -0.060,   -0.030,   -0.510
   -0.061,    0.038,   -0.433
    0.016,    0.197,    0.092
    0.049,    0.325,    0.717
   -0.037,    0.334,    0.987
   -0.155,    0.246,    0.720
   -0.122,    0.134,    0.125
    0.131,    0.012,   -0.404
    0.438,   -0.157,   -0.577
    0.509,   -0.369,   -0.366
    0.206,   -0.516,    0.030
   -0.293,   -0.466,    0.339
   -0.630,   -0.202,    0.386
   -0.571,    0.135,    0.196
   -0.203,    0.361,   -0.043
    0.153,    0.403,   -0.116
    0.247,    0.351,    0.050
    0.112,    0.333,    0.332
    0.000,    0.369,    0.506
    0.124,    0.352,    0.440
    0.458,    0.191,    0.197
    0.765,   -0.057,   -0.029
    0.809,   -0.218,   -0.104
    0.551,   -0.187,   -0.073
    0.176,   -0.047,   -0.090
   -0.057,    0.013,   -0.217
   -0.002,   -0.101,   -0.321
    0.268,   -0.306,   -0.203
    0.524,   -0.441,    0.138
    0.565,   -0.428,    0.425
    0.392,   -0.303,    0.329
    0.217,   -0.117,   -0.185
    0.251,    0.112,   -0.774
    0.459,    0.334,   -0.994
    0.534,    0.421,   -0.678
    0.176,    0.268,   -0.069
   -0.564,   -0.055,    0.408
   -1.250,   -0.323,    0.480
   -1.410,   -0.366,    0.185
   -0.969,   -0.225,   -0.199
   -0.308,   -0.067,   -0.366
    0.111,    0.033,   -0.178
