SITE CODE= êVÇ–ÇæÇ©í¨ê√ì‡å‰âÄ
LAT=  42.4099
LON= 142.4667
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 40
NS, EW, UD
    0.099,    0.466,   -0.098
    0.151,    0.436,   -0.140
    0.179,    0.330,   -0.203
    0.190,    0.166,   -0.269
    0.182,   -0.007,   -0.311
    0.150,   -0.134,   -0.311
    0.106,   -0.183,   -0.269
    0.079,   -0.167,   -0.210
    0.101,   -0.123,   -0.163
    0.177,   -0.082,   -0.146
    0.278,   -0.052,   -0.158
    0.363,   -0.018,   -0.178
    0.400,    0.037,   -0.186
    0.391,    0.107,   -0.166
    0.361,    0.162,   -0.126
    0.338,    0.170,   -0.089
    0.336,    0.118,   -0.077
    0.342,    0.021,   -0.090
    0.330,   -0.082,   -0.114
    0.281,   -0.156,   -0.127
    0.201,   -0.182,   -0.121
    0.121,   -0.167,   -0.099
    0.071,   -0.133,   -0.068
    0.057,   -0.108,   -0.025
    0.057,   -0.118,    0.033
    0.040,   -0.170,    0.102
   -0.002,   -0.253,    0.173
   -0.045,   -0.340,    0.235
   -0.055,   -0.403,    0.288
   -0.020,   -0.424,    0.332
    0.035,   -0.406,    0.362
    0.074,   -0.359,    0.370
    0.078,   -0.293,    0.351
    0.061,   -0.219,    0.315
    0.055,   -0.154,    0.279
    0.079,   -0.124,    0.253
    0.120,   -0.147,    0.232
    0.143,   -0.217,    0.201
    0.118,   -0.288,    0.148
    0.044,   -0.309,    0.080
   -0.055,   -0.250,    0.015
   -0.144,   -0.129,   -0.032
   -0.199,   -0.001,   -0.061
   -0.213,    0.070,   -0.080
   -0.195,    0.051,   -0.100
   -0.165,   -0.046,   -0.122
   -0.147,   -0.171,   -0.141
   -0.158,   -0.266,   -0.146
   -0.192,   -0.296,   -0.133
   -0.221,   -0.266,   -0.102
   -0.212,   -0.218,   -0.063
   -0.156,   -0.194,   -0.036
   -0.083,   -0.212,   -0.033
