SITE CODE= å˙ê^í¨é≠è¿
LAT=  42.6226
LON= 141.9204
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 20
NS, EW, UD
   -0.054,    0.103,    0.596
    0.082,    0.149,    0.562
    0.172,    0.117,    0.416
    0.173,    0.003,    0.276
    0.106,   -0.167,    0.188
    0.043,   -0.326,    0.097
    0.041,   -0.379,   -0.055
    0.095,   -0.278,   -0.235
    0.157,   -0.070,   -0.348
    0.202,    0.129,   -0.340
    0.259,    0.223,   -0.250
    0.362,    0.198,   -0.169
    0.490,    0.110,   -0.158
    0.568,    0.031,   -0.210
    0.522,   -0.000,   -0.263
    0.349,    0.015,   -0.253
    0.111,    0.063,   -0.164
   -0.115,    0.117,   -0.047
   -0.282,    0.146,    0.012
   -0.382,    0.133,   -0.032
   -0.416,    0.083,   -0.134
   -0.393,    0.012,   -0.189
   -0.340,   -0.068,   -0.130
   -0.292,   -0.158,    0.010
   -0.274,   -0.245,    0.118
   -0.282,   -0.294,    0.107
   -0.293,   -0.268,   -0.019
   -0.285,   -0.162,   -0.177
   -0.248,   -0.013,   -0.287
   -0.182,    0.129,   -0.323
   -0.090,    0.243,   -0.308
    0.013,    0.329,   -0.266
    0.100,    0.387,   -0.190
    0.145,    0.397,   -0.062
    0.149,    0.341,    0.101
    0.147,    0.233,    0.250
    0.176,    0.123,    0.330
    0.236,    0.063,    0.335
    0.291,    0.061,    0.301
    0.304,    0.089,    0.266
    0.281,    0.115,    0.232
    0.260,    0.121,    0.189
    0.270,    0.104,    0.151
    0.295,    0.047,    0.164
    0.296,   -0.056,    0.248
    0.251,   -0.183,    0.344
    0.187,   -0.266,    0.346
    0.144,   -0.251,    0.199
    0.128,   -0.152,   -0.021
    0.098,   -0.049,   -0.160
    0.009,   -0.019,   -0.109
   -0.130,   -0.071,    0.075
   -0.255,   -0.153,    0.218
   -0.302,   -0.213,    0.171
   -0.264,   -0.233,   -0.051
   -0.194,   -0.216,   -0.288
   -0.150,   -0.150,   -0.378
   -0.145,   -0.028,   -0.301
   -0.157,    0.118,   -0.176
   -0.161,    0.216,   -0.139
   -0.166,    0.208,   -0.216
   -0.194,    0.119,   -0.321
   -0.241,    0.028,   -0.365
   -0.274,    0.000,   -0.344
   -0.251,    0.029,   -0.315
   -0.164,    0.062,   -0.305
   -0.047,    0.071,   -0.279
    0.042,    0.074,   -0.198
    0.075,    0.105,   -0.083
    0.063,    0.165,   -0.005
    0.042,    0.217,   -0.006
    0.044,    0.229,   -0.065
    0.071,    0.195,   -0.137
    0.104,    0.126,   -0.201
    0.128,    0.037,   -0.253
    0.150,   -0.058,   -0.264
    0.190,   -0.134,   -0.193
    0.259,   -0.158,   -0.055
    0.339,   -0.116,    0.065
    0.390,   -0.031,    0.095
    0.370,    0.045,    0.067
    0.271,    0.067,    0.083
    0.121,    0.030,    0.179
   -0.027,   -0.033,    0.258
   -0.134,   -0.073,    0.195
   -0.195,   -0.062,   -0.000
   -0.235,   -0.009,   -0.173
   -0.282,    0.047,   -0.180
   -0.343,    0.078,   -0.049
   -0.401,    0.082,    0.061
   -0.440,    0.092,    0.048
   -0.460,    0.131,   -0.026
   -0.470,    0.192,   -0.023
   -0.469,    0.233,    0.105
   -0.447,    0.211,    0.257
   -0.398,    0.115,    0.300
   -0.331,   -0.030,    0.222
   -0.260,   -0.182,    0.145
   -0.180,   -0.302,    0.193
   -0.066,   -0.366,    0.354
    0.097,   -0.362,    0.478
    0.288,   -0.287,    0.417
    0.446,   -0.153,    0.175
    0.518,    0.012,   -0.084
    0.493,    0.160,   -0.184
    0.413,    0.235,   -0.099
    0.337,    0.212,    0.031
    0.303,    0.120,    0.047
    0.313,    0.030,   -0.072
    0.336,   -0.008,   -0.202
    0.345,    0.002,   -0.228
    0.325,    0.012,   -0.164
    0.275,   -0.014,   -0.119
    0.198,   -0.062,   -0.151
    0.098,   -0.092,   -0.198
   -0.017,   -0.092,   -0.161
   -0.129,   -0.094,   -0.028
   -0.212,   -0.138,    0.121
   -0.254,   -0.216,    0.218
   -0.258,   -0.280,    0.275
   -0.235,   -0.285,    0.335
   -0.181,   -0.214,    0.380
   -0.090,   -0.080,    0.327
    0.022,    0.097,    0.133
    0.098,    0.289,   -0.135
    0.069,    0.444,   -0.343
   -0.084,    0.506,   -0.401
   -0.308,    0.448,   -0.334
   -0.504,    0.302,   -0.234
