SITE CODE= êŒéÎés„⁄ïx
LAT=  43.2753
LON= 141.4175
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
    0.189,   -0.092,   -0.171
    0.260,   -0.066,   -0.108
    0.324,   -0.034,   -0.059
    0.354,   -0.009,   -0.060
    0.339,   -0.002,   -0.119
    0.296,   -0.020,   -0.213
    0.253,   -0.058,   -0.303
    0.233,   -0.108,   -0.363
    0.240,   -0.159,   -0.388
    0.259,   -0.207,   -0.393
    0.263,   -0.253,   -0.383
    0.232,   -0.297,   -0.345
    0.157,   -0.331,   -0.269
    0.052,   -0.338,   -0.158
   -0.049,   -0.306,   -0.043
   -0.108,   -0.243,    0.042
   -0.106,   -0.168,    0.088
   -0.055,   -0.102,    0.099
    0.008,   -0.056,    0.083
    0.052,   -0.035,    0.039
    0.063,   -0.044,   -0.026
    0.047,   -0.082,   -0.090
    0.014,   -0.136,   -0.115
   -0.034,   -0.182,   -0.083
   -0.098,   -0.195,   -0.016
   -0.172,   -0.163,    0.045
   -0.238,   -0.093,    0.070
   -0.274,    0.000,    0.059
   -0.273,    0.089,    0.040
   -0.243,    0.147,    0.035
   -0.205,    0.159,    0.052
   -0.174,    0.129,    0.074
   -0.155,    0.081,    0.082
   -0.141,    0.038,    0.064
   -0.125,    0.007,    0.028
   -0.102,   -0.023,   -0.005
   -0.073,   -0.064,   -0.015
   -0.039,   -0.109,    0.004
    0.000,   -0.140,    0.039
    0.042,   -0.143,    0.059
    0.083,   -0.117,    0.047
    0.118,   -0.072,    0.005
    0.148,   -0.016,   -0.038
    0.173,    0.038,   -0.050
    0.187,    0.079,   -0.021
    0.182,    0.094,    0.031
    0.151,    0.080,    0.070
    0.103,    0.051,    0.066
    0.051,    0.025,    0.020
    0.009,    0.009,   -0.034
   -0.022,   -0.002,   -0.054
   -0.051,   -0.023,   -0.011
   -0.089,   -0.053,    0.083
   -0.140,   -0.082,    0.178
   -0.202,   -0.094,    0.220
   -0.259,   -0.084,    0.191
   -0.291,   -0.053,    0.118
   -0.283,   -0.015,    0.048
   -0.237,    0.019,    0.009
   -0.166,    0.039,   -0.006
   -0.090,    0.041,   -0.013
   -0.015,    0.031,   -0.011
    0.050,    0.016,    0.013
    0.099,    0.002,    0.062
    0.124,   -0.015,    0.106
    0.130,   -0.049,    0.104
    0.131,   -0.106,    0.041
    0.138,   -0.175,   -0.055
    0.146,   -0.237,   -0.141
    0.145,   -0.280,   -0.185
    0.136,   -0.303,   -0.176
    0.138,   -0.308,   -0.124
    0.168,   -0.283,   -0.049
    0.220,   -0.210,    0.025
    0.266,   -0.089,    0.072
    0.277,    0.047,    0.073
    0.245,    0.144,    0.032
    0.188,    0.168,   -0.032
    0.130,    0.129,   -0.099
    0.098,    0.066,   -0.153
    0.110,    0.016,   -0.194
    0.168,   -0.011,   -0.229
    0.250,   -0.030,   -0.258
    0.314,   -0.049,   -0.273
    0.326,   -0.070,   -0.260
    0.277,   -0.091,   -0.213
    0.183,   -0.115,   -0.146
    0.074,   -0.146,   -0.084
   -0.024,   -0.182,   -0.049
   -0.094,   -0.209,   -0.044
   -0.122,   -0.211,   -0.061
   -0.110,   -0.179,   -0.090
   -0.076,   -0.118,   -0.128
   -0.045,   -0.045,   -0.167
   -0.035,    0.016,   -0.186
   -0.039,    0.043,   -0.169
   -0.039,    0.026,   -0.125
   -0.021,   -0.028,   -0.084
    0.009,   -0.098,   -0.080
    0.029,   -0.162,   -0.116
    0.022,   -0.209,   -0.164
   -0.014,   -0.242,   -0.187
   -0.068,   -0.269,   -0.163
   -0.124,   -0.279,   -0.095
   -0.170,   -0.259,   -0.007
   -0.198,   -0.199,    0.073
   -0.208,   -0.115,    0.122
   -0.201,   -0.035,    0.130
   -0.182,    0.012,    0.097
   -0.164,    0.020,    0.040
   -0.155,    0.000,   -0.021
   -0.162,   -0.027,   -0.065
   -0.179,   -0.051,   -0.078
   -0.197,   -0.058,   -0.055
   -0.208,   -0.036,   -0.013
   -0.209,    0.022,    0.022
   -0.201,    0.110,    0.022
   -0.179,    0.200,   -0.024
   -0.146,    0.260,   -0.100
   -0.106,    0.272,   -0.169
   -0.079,    0.239,   -0.203
   -0.086,    0.175,   -0.198
   -0.133,    0.093,   -0.167
   -0.199,    0.005,   -0.128
   -0.244,   -0.073,   -0.079
   -0.229,   -0.122,   -0.013
   -0.145,   -0.128,    0.062
   -0.011,   -0.101,    0.122
    0.132,   -0.068,    0.144
    0.251,   -0.061,    0.130
    0.320,   -0.083,    0.107
    0.328,   -0.113,    0.101
    0.275,   -0.116,    0.118
    0.177,   -0.076,    0.139
    0.068,   -0.010,    0.150
   -0.015,    0.051,    0.148
   -0.053,    0.083,    0.142
   -0.051,    0.079,    0.137
   -0.033,    0.049,    0.132
   -0.015,    0.001,    0.125
    0.009,   -0.054,    0.125
    0.052,   -0.104,    0.145
    0.114,   -0.136,    0.188
    0.171,   -0.139,    0.241
    0.196,   -0.116,    0.283
    0.177,   -0.085,    0.296
    0.129,   -0.069,    0.280
    0.078,   -0.081,    0.246
    0.043,   -0.115,    0.210
    0.027,   -0.150,    0.181
    0.017,   -0.164,    0.154
    0.001,   -0.152,    0.124
   -0.023,   -0.133,    0.096
   -0.047,   -0.134,    0.082
   -0.049,   -0.169,    0.090
   -0.014,   -0.222,    0.119
    0.058,   -0.256,    0.158
    0.142,   -0.239,    0.192
    0.203,   -0.170,    0.209
    0.219,   -0.080,    0.198
    0.197,   -0.016,    0.154
    0.161,   -0.006,    0.094
    0.131,   -0.050,    0.052
    0.103,   -0.115,    0.065
    0.062,   -0.165,    0.136
    0.009,   -0.171,    0.225
   -0.031,   -0.131,    0.276
   -0.032,   -0.055,    0.256
    0.010,    0.035,    0.177
    0.070,    0.126,    0.088
    0.108,    0.201,    0.032
    0.107,    0.243,    0.022
    0.075,    0.241,    0.039
    0.027,    0.198,    0.055
   -0.030,    0.139,    0.063
   -0.100,    0.094,    0.069
   -0.176,    0.085,    0.085
   -0.244,    0.111,    0.106
   -0.281,    0.152,    0.115
   -0.279,    0.189,    0.106
   -0.251,    0.209,    0.092
   -0.216,    0.215,    0.097
   -0.191,    0.211,    0.130
   -0.175,    0.199,    0.164
   -0.160,    0.184,    0.165
   -0.136,    0.178,    0.116
   -0.106,    0.192,    0.034
   -0.078,    0.225,   -0.049
   -0.062,    0.248,   -0.107
   -0.057,    0.232,   -0.130
   -0.057,    0.175,   -0.119
   -0.052,    0.113,   -0.083
   -0.046,    0.098,   -0.034
   -0.045,    0.156,    0.005
   -0.054,    0.252,    0.015
   -0.068,    0.327,   -0.005
   -0.069,    0.337,   -0.041
   -0.051,    0.281,   -0.073
   -0.013,    0.189,   -0.092
    0.029,    0.091,   -0.101
    0.060,   -0.000,   -0.104
    0.065,   -0.077,   -0.104
    0.035,   -0.124,   -0.096
   -0.021,   -0.121,   -0.081
   -0.082,   -0.067,   -0.057
   -0.115,    0.012,   -0.025
   -0.106,    0.077,    0.012
   -0.068,    0.095,    0.042
   -0.037,    0.057,    0.050
   -0.037,   -0.023,    0.027
   -0.065,   -0.124,   -0.009
   -0.095,   -0.218,   -0.024
   -0.105,   -0.272,    0.003
   -0.094,   -0.265,    0.067
   -0.073,   -0.190,    0.124
   -0.052,   -0.078,    0.135
   -0.025,    0.023,    0.090
    0.007,    0.075,    0.016
    0.038,    0.074,   -0.042
    0.052,    0.049,   -0.062
    0.037,    0.023,   -0.053
    0.001,    0.000,   -0.046
   -0.032,   -0.028,   -0.067
   -0.039,   -0.059,   -0.110
   -0.003,   -0.072,   -0.154
    0.068,   -0.045,   -0.172
    0.155,    0.010,   -0.157
    0.222,    0.058,   -0.123
    0.242,    0.066,   -0.094
    0.206,    0.035,   -0.086
    0.136,   -0.006,   -0.103
    0.070,   -0.036,   -0.124
    0.036,   -0.058,   -0.116
    0.033,   -0.085,   -0.062
    0.037,   -0.121,    0.028
    0.029,   -0.148,    0.111
    0.015,   -0.151,    0.139
    0.015,   -0.134,    0.103
    0.032,   -0.116,    0.037
    0.053,   -0.108,   -0.009
    0.057,   -0.097,   -0.009
    0.045,   -0.073,    0.022
    0.032,   -0.041,    0.051
    0.026,   -0.020,    0.059
    0.016,   -0.019,    0.053
   -0.015,   -0.026,    0.042
   -0.061,   -0.024,    0.025
   -0.095,   -0.016,   -0.014
   -0.097,   -0.026,   -0.080
   -0.076,   -0.066,   -0.155
   -0.059,   -0.120,   -0.208
   -0.062,   -0.155,   -0.219
   -0.075,   -0.157,   -0.183
   -0.081,   -0.139,   -0.107
   -0.069,   -0.112,   -0.009
   -0.047,   -0.069,    0.083
   -0.018,    0.000,    0.135
    0.025,    0.086,    0.123
    0.090,    0.147,    0.059
    0.165,    0.150,   -0.009
    0.220,    0.103,   -0.035
    0.233,    0.051,   -0.004
    0.201,    0.034,    0.062
    0.149,    0.062,    0.136
    0.097,    0.117,    0.204
    0.057,    0.172,    0.260
    0.033,    0.200,    0.289
    0.033,    0.180,    0.273
    0.058,    0.111,    0.213
    0.095,    0.021,    0.140
    0.117,   -0.037,    0.088
    0.105,   -0.023,    0.068
    0.069,    0.049,    0.052
    0.047,    0.125,    0.010
    0.069,    0.152,   -0.052
    0.131,    0.122,   -0.098
    0.198,    0.064,   -0.083
    0.233,    0.012,   -0.002
    0.217,   -0.024,    0.101
    0.157,   -0.053,    0.161
    0.076,   -0.074,    0.142
    0.000,   -0.070,    0.061
   -0.052,   -0.032,   -0.021
   -0.066,    0.023,   -0.054
   -0.039,    0.056,   -0.032
    0.020,    0.035,    0.000
    0.091,   -0.027,    0.007
    0.146,   -0.083,   -0.011
    0.164,   -0.084,   -0.017
    0.131,   -0.016,    0.018
    0.054,    0.085,    0.083
   -0.045,    0.170,    0.129
   -0.139,    0.203,    0.126
   -0.205,    0.181,    0.089
   -0.234,    0.120,    0.062
   -0.234,    0.039,    0.070
   -0.222,   -0.042,    0.103
   -0.213,   -0.104,    0.133
   -0.212,   -0.132,    0.156
   -0.209,   -0.131,    0.190
   -0.186,   -0.127,    0.248
   -0.135,   -0.141,    0.304
   -0.065,   -0.174,    0.307
    0.000,   -0.195,    0.234
    0.047,   -0.173,    0.119
    0.073,   -0.097,    0.030
    0.085,    0.015,    0.008
    0.091,    0.124,    0.030
    0.094,    0.190,    0.040
    0.099,    0.191,    0.003
    0.101,    0.133,   -0.062
    0.091,    0.048,   -0.115
    0.055,   -0.021,   -0.135
   -0.009,   -0.046,   -0.136
   -0.086,   -0.032,   -0.135
   -0.150,   -0.008,   -0.129
   -0.184,   -0.003,   -0.103
   -0.189,   -0.028,   -0.046
   -0.173,   -0.073,    0.029
   -0.141,   -0.126,    0.100
   -0.094,   -0.177,    0.145
   -0.037,   -0.219,    0.147
    0.013,   -0.242,    0.104
    0.040,   -0.234,    0.038
    0.034,   -0.184,   -0.007
    0.002,   -0.098,   -0.008
   -0.040,    0.004,    0.014
   -0.073,    0.097,    0.007
   -0.083,    0.153,   -0.058
   -0.065,    0.159,   -0.148
   -0.042,    0.123,   -0.194
   -0.043,    0.069,   -0.156
   -0.084,    0.025,   -0.068
   -0.147,    0.004,   -0.007
   -0.193,    0.002,   -0.031
   -0.198,    0.008,   -0.131
   -0.178,    0.016,   -0.252
   -0.168,    0.027,   -0.336
   -0.191,    0.045,   -0.352
   -0.230,    0.063,   -0.298
   -0.246,    0.067,   -0.194
   -0.213,    0.047,   -0.069
   -0.140,    0.011,    0.046
   -0.057,   -0.010,    0.125
    0.009,    0.002,    0.146
    0.054,    0.042,    0.101
    0.084,    0.077,   -0.003
    0.105,    0.079,   -0.135
    0.116,    0.055,   -0.239
    0.109,    0.038,   -0.254
    0.083,    0.052,   -0.159
    0.043,    0.081,    0.006
    0.008,    0.088,    0.152
   -0.007,    0.051,    0.197
    0.004,   -0.014,    0.121
    0.034,   -0.065,   -0.022
    0.071,   -0.071,   -0.148
    0.104,   -0.035,   -0.200
    0.134,    0.018,   -0.179
    0.166,    0.073,   -0.127
    0.198,    0.131,   -0.082
    0.223,    0.198,   -0.061
    0.228,    0.267,   -0.066
    0.217,    0.309,   -0.099
    0.208,    0.291,   -0.159
    0.219,    0.205,   -0.224
    0.247,    0.075,   -0.247
    0.265,   -0.050,   -0.191
    0.245,   -0.128,   -0.071
    0.187,   -0.150,    0.051
    0.124,   -0.136,    0.110
    0.095,   -0.113,    0.082
    0.113,   -0.089,    0.002
    0.152,   -0.052,   -0.081
    0.174,    0.003,   -0.138
    0.159,    0.069,   -0.166
    0.115,    0.117,   -0.169
    0.062,    0.129,   -0.145
    0.014,    0.107,   -0.094
   -0.024,    0.069,   -0.044
   -0.053,    0.033,   -0.034
   -0.069,    0.008,   -0.093
   -0.073,   -0.000,   -0.202
   -0.072,    0.005,   -0.304
   -0.073,    0.021,   -0.341
   -0.081,    0.031,   -0.294
   -0.084,    0.019,   -0.197
   -0.068,   -0.029,   -0.114
   -0.035,   -0.107,   -0.093
   -0.006,   -0.191,   -0.134
   -0.005,   -0.253,   -0.195
   -0.038,   -0.277,   -0.222
   -0.084,   -0.262,   -0.194
   -0.113,   -0.225,   -0.134
   -0.111,   -0.182,   -0.078
   -0.096,   -0.143,   -0.050
   -0.091,   -0.105,   -0.042
   -0.104,   -0.072,   -0.033
   -0.117,   -0.049,   -0.005
   -0.109,   -0.049,    0.048
   -0.082,   -0.067,    0.125
   -0.059,   -0.080,    0.210
   -0.060,   -0.055,    0.267
   -0.084,    0.021,    0.257
   -0.109,    0.128,    0.170
   -0.122,    0.221,    0.042
   -0.124,    0.260,   -0.061
   -0.121,    0.240,   -0.097
   -0.107,    0.190,   -0.074
   -0.065,    0.147,   -0.032
    0.013,    0.128,    0.002
    0.115,    0.125,    0.029
    0.211,    0.117,    0.052
    0.277,    0.092,    0.051
    0.303,    0.056,    0.002
    0.288,    0.028,   -0.087
    0.238,    0.016,   -0.175
    0.162,    0.015,   -0.221
    0.087,    0.018,   -0.226
    0.047,    0.028,   -0.221
    0.068,    0.061,   -0.228
    0.150,    0.125,   -0.220
    0.263,    0.198,   -0.152
