SITE CODE= çOëOésñÌê∂
LAT=  40.6519
LON= 140.3590
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 40
NS, EW, UD
   -0.004,    0.001,   -0.009
   -0.003,    0.001,   -0.007
   -0.002,    0.001,   -0.007
   -0.000,    0.001,   -0.007
    0.000,    0.002,   -0.007
    0.000,    0.002,   -0.005
   -0.000,    0.002,   -0.001
   -0.002,    0.002,    0.002
   -0.003,    0.002,    0.004
   -0.002,    0.001,    0.004
   -0.001,    0.001,    0.006
    0.000,    0.001,    0.008
    0.000,    0.000,    0.011
    0.000,    0.000,    0.015
    0.001,   -0.000,    0.019
    0.001,   -0.000,    0.022
    0.000,    0.000,    0.023
   -0.000,    0.001,    0.023
   -0.002,    0.002,    0.022
   -0.002,    0.002,    0.020
   -0.002,    0.001,    0.019
   -0.002,    0.000,    0.020
   -0.002,    0.000,    0.021
   -0.003,    0.000,    0.022
   -0.003,    0.002,    0.022
   -0.002,    0.003,    0.022
    0.000,    0.005,    0.021
    0.000,    0.005,    0.023
    0.000,    0.004,    0.026
    0.000,    0.003,    0.029
    0.001,    0.003,    0.030
    0.003,    0.003,    0.028
    0.006,    0.003,    0.025
    0.007,    0.003,    0.021
    0.008,    0.002,    0.015
    0.007,    0.000,    0.009
    0.006,   -0.000,    0.002
    0.005,   -0.002,   -0.005
    0.003,   -0.002,   -0.011
    0.001,   -0.000,   -0.016
    0.000,    0.000,   -0.018
    0.000,    0.002,   -0.017
    0.000,    0.002,   -0.013
    0.000,    0.003,   -0.009
    0.000,    0.003,   -0.003
   -0.000,    0.004,    0.000
   -0.002,    0.005,    0.003
   -0.003,    0.006,    0.005
   -0.005,    0.005,    0.005
   -0.005,    0.003,    0.002
   -0.005,    0.001,   -0.004
   -0.004,   -0.001,   -0.012
   -0.003,   -0.003,   -0.021
   -0.002,   -0.005,   -0.029
   -0.003,   -0.005,   -0.035
   -0.006,   -0.005,   -0.038
   -0.009,   -0.003,   -0.038
   -0.012,   -0.002,   -0.033
   -0.016,    0.000,   -0.027
   -0.018,    0.002,   -0.018
   -0.019,    0.003,   -0.009
   -0.017,    0.003,    0.000
   -0.013,    0.003,    0.009
   -0.008,    0.002,    0.019
   -0.003,    0.000,    0.028
    0.001,   -0.000,    0.035
    0.005,   -0.002,    0.038
    0.007,   -0.003,    0.039
    0.010,   -0.002,    0.035
    0.011,    0.000,    0.030
    0.010,    0.003,    0.023
    0.009,    0.005,    0.018
    0.005,    0.006,    0.014
    0.000,    0.007,    0.012
   -0.004,    0.007,    0.010
   -0.009,    0.007,    0.007
   -0.013,    0.006,    0.003
   -0.016,    0.003,    0.001
   -0.016,    0.000,    0.001
   -0.013,   -0.002,    0.005
   -0.009,   -0.005,    0.011
   -0.005,   -0.006,    0.017
    0.000,   -0.006,    0.020
    0.004,   -0.003,    0.017
    0.009,   -0.001,    0.010
    0.012,    0.000,    0.000
    0.013,   -0.000,   -0.011
    0.011,   -0.002,   -0.022
    0.009,   -0.004,   -0.031
    0.006,   -0.004,   -0.038
    0.004,   -0.003,   -0.044
    0.002,   -0.001,   -0.051
    0.000,   -0.000,   -0.056
   -0.001,   -0.000,   -0.060
   -0.003,   -0.002,   -0.060
   -0.004,   -0.004,   -0.056
   -0.003,   -0.006,   -0.048
   -0.003,   -0.007,   -0.037
   -0.001,   -0.007,   -0.026
    0.001,   -0.005,   -0.016
    0.005,   -0.001,   -0.008
    0.009,    0.000,   -0.003
    0.012,    0.001,   -0.001
    0.014,    0.000,   -0.002
    0.015,   -0.002,   -0.004
    0.015,   -0.005,   -0.008
    0.013,   -0.007,   -0.012
    0.009,   -0.009,   -0.017
    0.002,   -0.009,   -0.021
   -0.005,   -0.009,   -0.022
   -0.012,   -0.007,   -0.020
   -0.018,   -0.005,   -0.014
   -0.023,   -0.003,   -0.007
   -0.025,   -0.002,    0.000
   -0.025,   -0.000,    0.009
   -0.021,    0.000,    0.016
   -0.014,    0.000,    0.020
   -0.006,   -0.000,    0.016
    0.003,   -0.003,    0.009
    0.011,   -0.006,   -0.001
    0.018,   -0.008,   -0.008
    0.021,   -0.007,   -0.010
    0.022,   -0.005,   -0.006
    0.018,   -0.001,   -0.000
    0.012,    0.002,    0.004
    0.006,    0.004,    0.007
   -0.000,    0.006,    0.006
   -0.005,    0.006,    0.003
   -0.008,    0.004,   -0.001
   -0.008,    0.000,   -0.006
   -0.004,   -0.003,   -0.009
    0.001,   -0.006,   -0.009
    0.007,   -0.006,   -0.007
    0.011,   -0.003,   -0.006
    0.013,    0.000,   -0.007
    0.013,    0.004,   -0.012
    0.012,    0.007,   -0.020
    0.010,    0.007,   -0.028
    0.006,    0.006,   -0.033
    0.002,    0.002,   -0.036
    0.000,   -0.002,   -0.039
   -0.000,   -0.006,   -0.044
   -0.000,   -0.008,   -0.050
   -0.000,   -0.008,   -0.055
   -0.002,   -0.008,   -0.056
   -0.003,   -0.009,   -0.050
   -0.005,   -0.011,   -0.035
   -0.006,   -0.012,   -0.014
   -0.006,   -0.010,    0.006
   -0.004,   -0.005,    0.020
    0.000,   -0.001,    0.026
    0.007,    0.001,    0.023
    0.014,    0.002,    0.017
    0.020,    0.001,    0.012
    0.026,    0.000,    0.007
    0.030,    0.000,    0.001
    0.031,    0.005,   -0.006
    0.030,    0.012,   -0.014
    0.027,    0.019,   -0.022
    0.020,    0.021,   -0.029
    0.012,    0.019,   -0.033
    0.003,    0.012,   -0.034
   -0.007,    0.003,   -0.029
   -0.018,   -0.003,   -0.017
   -0.028,   -0.006,    0.003
   -0.034,   -0.004,    0.027
   -0.037,    0.002,    0.051
   -0.037,    0.010,    0.070
   -0.032,    0.018,    0.083
   -0.024,    0.022,    0.092
   -0.012,    0.021,    0.098
    0.000,    0.018,    0.101
    0.010,    0.013,    0.102
    0.018,    0.009,    0.098
    0.021,    0.006,    0.092
    0.020,    0.004,    0.083
    0.016,    0.004,    0.072
    0.007,    0.004,    0.059
   -0.003,    0.004,    0.045
   -0.013,    0.004,    0.034
   -0.021,    0.004,    0.027
   -0.022,    0.005,    0.024
   -0.019,    0.005,    0.025
   -0.013,    0.004,    0.027
   -0.006,    0.002,    0.029
   -0.000,   -0.001,    0.028
    0.003,   -0.006,    0.026
    0.007,   -0.009,    0.022
    0.011,   -0.010,    0.018
    0.015,   -0.010,    0.015
    0.019,   -0.008,    0.013
    0.019,   -0.006,    0.010
    0.017,   -0.002,    0.003
    0.011,    0.001,   -0.006
    0.006,    0.006,   -0.016
    0.003,    0.010,   -0.025
    0.004,    0.014,   -0.031
    0.007,    0.015,   -0.035
    0.012,    0.015,   -0.038
    0.018,    0.011,   -0.037
    0.022,    0.007,   -0.034
    0.024,    0.000,   -0.029
    0.022,   -0.010,   -0.024
    0.018,   -0.020,   -0.017
    0.010,   -0.029,   -0.007
    0.000,   -0.033,    0.007
   -0.011,   -0.032,    0.023
   -0.022,   -0.026,    0.034
   -0.033,   -0.016,    0.032
   -0.039,   -0.002,    0.016
   -0.040,    0.009,   -0.008
   -0.037,    0.015,   -0.032
   -0.033,    0.013,   -0.052
   -0.029,    0.004,   -0.062
   -0.028,   -0.005,   -0.064
   -0.028,   -0.010,   -0.057
   -0.030,   -0.007,   -0.043
   -0.034,    0.000,   -0.026
   -0.040,    0.008,   -0.009
   -0.043,    0.012,    0.004
   -0.041,    0.015,    0.015
   -0.031,    0.016,    0.023
   -0.012,    0.015,    0.027
    0.006,    0.011,    0.027
    0.021,    0.004,    0.023
    0.028,   -0.006,    0.018
    0.026,   -0.016,    0.014
    0.016,   -0.023,    0.012
    0.002,   -0.025,    0.010
   -0.012,   -0.022,    0.003
   -0.027,   -0.014,   -0.010
   -0.037,   -0.003,   -0.028
   -0.042,    0.009,   -0.050
   -0.042,    0.016,   -0.070
   -0.038,    0.017,   -0.084
   -0.032,    0.012,   -0.090
   -0.024,    0.002,   -0.086
   -0.014,   -0.006,   -0.075
   -0.003,   -0.011,   -0.058
    0.005,   -0.012,   -0.042
    0.011,   -0.006,   -0.032
    0.012,    0.006,   -0.030
    0.009,    0.021,   -0.032
    0.005,    0.034,   -0.034
   -0.000,    0.041,   -0.028
   -0.008,    0.039,   -0.013
   -0.018,    0.030,    0.003
   -0.027,    0.021,    0.015
   -0.032,    0.017,    0.017
   -0.032,    0.017,    0.009
   -0.028,    0.017,   -0.004
   -0.023,    0.013,   -0.018
   -0.022,    0.003,   -0.028
   -0.022,   -0.010,   -0.034
   -0.021,   -0.022,   -0.038
   -0.017,   -0.030,   -0.042
   -0.010,   -0.032,   -0.045
   -0.004,   -0.029,   -0.048
   -0.002,   -0.020,   -0.047
   -0.006,   -0.009,   -0.041
   -0.012,    0.002,   -0.032
   -0.020,    0.014,   -0.024
   -0.026,    0.026,   -0.021
   -0.028,    0.038,   -0.022
   -0.025,    0.045,   -0.028
   -0.020,    0.043,   -0.033
   -0.014,    0.033,   -0.033
   -0.014,    0.019,   -0.025
   -0.022,    0.007,   -0.010
   -0.036,    0.003,    0.008
   -0.051,    0.004,    0.024
   -0.061,    0.006,    0.034
   -0.061,    0.003,    0.036
   -0.053,   -0.002,    0.034
   -0.037,   -0.011,    0.033
   -0.020,   -0.022,    0.036
   -0.004,   -0.032,    0.040
    0.011,   -0.040,    0.041
    0.027,   -0.042,    0.037
    0.045,   -0.036,    0.028
    0.063,   -0.026,    0.018
    0.076,   -0.016,    0.010
    0.078,   -0.012,    0.006
    0.068,   -0.015,    0.003
    0.050,   -0.021,   -0.001
    0.028,   -0.024,   -0.009
    0.010,   -0.021,   -0.016
   -0.001,   -0.012,   -0.017
   -0.006,   -0.002,   -0.010
   -0.004,    0.006,    0.001
    0.001,    0.008,    0.013
    0.010,    0.005,    0.021
    0.022,   -0.001,    0.026
    0.037,   -0.008,    0.031
    0.053,   -0.015,    0.040
    0.067,   -0.022,    0.050
    0.076,   -0.030,    0.054
    0.078,   -0.037,    0.051
    0.075,   -0.044,    0.037
    0.069,   -0.048,    0.016
    0.064,   -0.048,   -0.005
    0.060,   -0.044,   -0.023
    0.056,   -0.036,   -0.036
    0.052,   -0.025,   -0.040
    0.045,   -0.014,   -0.036
    0.035,   -0.006,   -0.027
    0.023,   -0.005,   -0.018
    0.010,   -0.009,   -0.013
   -0.002,   -0.012,   -0.013
   -0.013,   -0.011,   -0.017
   -0.020,   -0.002,   -0.020
   -0.024,    0.012,   -0.020
   -0.024,    0.028,   -0.019
   -0.021,    0.041,   -0.022
   -0.016,    0.050,   -0.031
   -0.009,    0.055,   -0.049
    0.000,    0.057,   -0.071
    0.009,    0.054,   -0.089
    0.015,    0.046,   -0.100
    0.013,    0.033,   -0.102
    0.005,    0.017,   -0.098
   -0.010,    0.003,   -0.091
   -0.028,   -0.003,   -0.083
   -0.044,   -0.004,   -0.073
   -0.056,   -0.002,   -0.061
   -0.062,   -0.001,   -0.047
   -0.061,   -0.001,   -0.034
   -0.056,    0.000,   -0.020
   -0.049,    0.008,   -0.007
   -0.042,    0.019,    0.003
   -0.037,    0.031,    0.006
   -0.033,    0.038,   -0.004
   -0.029,    0.039,   -0.025
   -0.027,    0.033,   -0.049
   -0.028,    0.024,   -0.067
   -0.031,    0.013,   -0.075
   -0.040,    0.008,   -0.074
   -0.050,    0.010,   -0.070
   -0.062,    0.020,   -0.065
   -0.072,    0.033,   -0.058
   -0.074,    0.042,   -0.047
   -0.068,    0.044,   -0.031
   -0.052,    0.039,   -0.013
   -0.028,    0.032,    0.003
   -0.002,    0.028,    0.016
    0.020,    0.026,    0.026
    0.033,    0.024,    0.035
    0.034,    0.021,    0.042
    0.027,    0.019,    0.048
    0.016,    0.020,    0.052
    0.005,    0.026,    0.053
   -0.003,    0.033,    0.050
   -0.012,    0.040,    0.038
   -0.020,    0.041,    0.021
   -0.029,    0.035,    0.002
   -0.035,    0.023,   -0.009
   -0.038,    0.008,   -0.008
   -0.041,   -0.005,    0.003
   -0.043,   -0.011,    0.021
   -0.044,   -0.008,    0.041
   -0.043,    0.001,    0.060
   -0.039,    0.011,    0.078
   -0.032,    0.016,    0.093
   -0.028,    0.012,    0.099
   -0.027,    0.005,    0.092
   -0.027,   -0.002,    0.075
   -0.027,   -0.008,    0.056
   -0.023,   -0.013,    0.040
   -0.017,   -0.020,    0.032
   -0.009,   -0.025,    0.032
    0.000,   -0.027,    0.039
    0.009,   -0.024,    0.051
    0.014,   -0.020,    0.063
    0.015,   -0.017,    0.071
    0.009,   -0.018,    0.071
   -0.000,   -0.018,    0.070
   -0.006,   -0.013,    0.075
   -0.005,   -0.003,    0.090
    0.004,    0.007,    0.112
    0.014,    0.013,    0.130
    0.021,    0.012,    0.136
    0.020,    0.007,    0.128
    0.012,   -0.000,    0.108
   -0.000,   -0.011,    0.082
   -0.018,   -0.026,    0.054
   -0.037,   -0.043,    0.028
   -0.056,   -0.063,    0.005
   -0.074,   -0.081,   -0.016
   -0.087,   -0.093,   -0.038
   -0.094,   -0.096,   -0.062
   -0.092,   -0.092,   -0.086
   -0.080,   -0.082,   -0.105
   -0.058,   -0.067,   -0.113
   -0.027,   -0.050,   -0.109
    0.006,   -0.031,   -0.094
    0.035,   -0.012,   -0.071
    0.054,    0.002,   -0.041
    0.061,    0.011,   -0.010
    0.056,    0.018,    0.017
    0.044,    0.026,    0.036
    0.029,    0.037,    0.050
    0.016,    0.048,    0.063
    0.011,    0.050,    0.082
    0.013,    0.037,    0.105
    0.020,    0.011,    0.130
    0.027,   -0.020,    0.149
    0.030,   -0.049,    0.155
    0.027,   -0.066,    0.144
    0.019,   -0.070,    0.118
    0.009,   -0.063,    0.086
    0.000,   -0.045,    0.061
   -0.007,   -0.023,    0.051
   -0.012,   -0.000,    0.058
   -0.012,    0.022,    0.072
   -0.005,    0.043,    0.082
    0.007,    0.061,    0.085
    0.021,    0.074,    0.085
    0.029,    0.076,    0.086
    0.023,    0.064,    0.089
    0.003,    0.043,    0.091
   -0.025,    0.021,    0.085
   -0.051,    0.005,    0.073
   -0.069,    0.000,    0.056
   -0.074,    0.002,    0.040
   -0.068,    0.007,    0.027
   -0.055,    0.011,    0.019
   -0.041,    0.015,    0.012
   -0.028,    0.022,   -0.000
   -0.019,    0.034,   -0.023
   -0.013,    0.051,   -0.054
   -0.011,    0.070,   -0.085
   -0.012,    0.085,   -0.104
   -0.016,    0.091,   -0.105
   -0.025,    0.088,   -0.093
   -0.035,    0.081,   -0.079
   -0.042,    0.076,   -0.075
   -0.041,    0.075,   -0.083
   -0.030,    0.075,   -0.099
   -0.013,    0.069,   -0.112
    0.002,    0.053,   -0.112
    0.011,    0.033,   -0.093
    0.011,    0.017,   -0.059
    0.002,    0.009,   -0.020
   -0.010,    0.009,    0.008
   -0.027,    0.015,    0.018
   -0.045,    0.020,    0.012
   -0.068,    0.022,   -0.002
   -0.098,    0.022,   -0.017
   -0.134,    0.019,   -0.031
   -0.168,    0.014,   -0.039
   -0.190,    0.009,   -0.037
   -0.192,    0.003,   -0.018
   -0.173,   -0.000,    0.016
   -0.138,   -0.003,    0.058
   -0.093,   -0.005,    0.094
   -0.040,   -0.004,    0.115
    0.019,   -0.001,    0.121
    0.079,    0.000,    0.118
    0.131,   -0.000,    0.110
    0.167,   -0.007,    0.099
    0.182,   -0.020,    0.085
    0.180,   -0.035,    0.072
    0.167,   -0.048,    0.059
    0.147,   -0.054,    0.045
    0.122,   -0.051,    0.030
    0.091,   -0.039,    0.013
    0.057,   -0.022,   -0.000
    0.028,   -0.006,   -0.004
    0.006,    0.003,    0.004
   -0.003,    0.004,    0.017
   -0.001,   -0.001,    0.025
    0.010,   -0.011,    0.019
    0.029,   -0.023,    0.003
    0.052,   -0.036,   -0.012
    0.074,   -0.049,   -0.021
    0.094,   -0.061,   -0.020
    0.109,   -0.074,   -0.016
    0.124,   -0.091,   -0.013
    0.141,   -0.112,   -0.012
    0.156,   -0.135,   -0.009
    0.163,   -0.154,   -0.001
    0.153,   -0.157,    0.013
    0.126,   -0.140,    0.032
    0.085,   -0.103,    0.052
    0.043,   -0.057,    0.071
    0.007,   -0.019,    0.085
   -0.017,    0.002,    0.092
   -0.031,   -0.000,    0.087
   -0.034,   -0.018,    0.071
   -0.029,   -0.038,    0.050
   -0.016,   -0.046,    0.030
   -0.001,   -0.038,    0.017
    0.013,   -0.019,    0.009
    0.024,    0.000,   -0.000
    0.031,    0.008,   -0.017
    0.041,    0.001,   -0.034
    0.054,   -0.014,   -0.041
    0.070,   -0.031,   -0.028
    0.078,   -0.042,    0.002
    0.076,   -0.044,    0.038
    0.066,   -0.037,    0.065
    0.059,   -0.024,    0.074
    0.060,   -0.010,    0.068
    0.070,   -0.003,    0.051
    0.082,   -0.008,    0.029
    0.091,   -0.023,    0.000
    0.093,   -0.041,   -0.035
    0.088,   -0.052,   -0.075
    0.076,   -0.050,   -0.116
    0.054,   -0.033,   -0.154
    0.023,   -0.006,   -0.191
   -0.012,    0.022,   -0.229
   -0.044,    0.042,   -0.270
   -0.065,    0.045,   -0.312
   -0.075,    0.026,   -0.353
   -0.081,   -0.007,   -0.390
   -0.091,   -0.040,   -0.411
   -0.109,   -0.060,   -0.402
   -0.132,   -0.063,   -0.350
   -0.155,   -0.052,   -0.260
   -0.171,   -0.036,   -0.156
   -0.177,   -0.015,   -0.061
   -0.172,    0.012,    0.007
   -0.155,    0.044,    0.050
   -0.131,    0.076,    0.077
   -0.103,    0.093,    0.091
